# Station Code,abei
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:26
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,BEET,FCRN,LAWN,PAST,POTA,POTS,RAPE,SGRN,WGRN
02/12,,,,,,,,,,,0.02
02/13,,,,,,,,,,,0.02
02/14,,,,,,,,,,,0.02
02/15,,,,,,,,,,,0.02
02/16,,,,,,,,,,,0.03
02/17,,,,,,,,,,,0.03
02/18,,,,,,,,,,,0.03
02/19,,,,,,,,,,,0.06
02/20,,,,,,,,,,,0.04
02/21,,,,,,,,,,,0.03
02/22,,,,,,,,,,,0.06
02/23,,,,,,,,,,,0.07
02/24,,,,,,,,,,,0.07
02/25,,,,,,,,,,,0.05
02/26,,,,,,,,,,,0.035
02/27,,,,,,,,,,,0.03
02/28,,,,,,,,,,,0.055
02/29,,,,,,,,,,,0.05
03/01,,,,,,,,,,,0.05
03/02,,,,,,,,,,,0.04
03/03,,,,,,,,,,,0.037
03/04,,,,,,,,,,,0.043
03/05,,,,,0.02,0.03,,,,,0.05
03/06,,,,,0.01,0.02,,,,,0.043
03/07,,,,,0.01,0.02,,,,,0.05
03/08,,,,,0.01,0.02,,,,,0.05
03/09,,,,,0.02,0.02,,,,,0.063
03/10,0.023,0.023,,,0.027,0.04,,,,,0.062
03/11,0.023,0.023,,,0.027,0.037,,,,,0.062
03/12,0.02,0.02,,,0.03,0.037,,,,,0.054
03/13,0.013,0.013,,,0.02,0.027,,,,,0.046
03/14,0.033,0.033,,,0.04,0.05,,,,,0.072
03/15,0.033,0.033,,,0.03,0.036,,,,,0.068
03/16,0.037,0.037,,,0.04,0.042,,,,,0.08
03/17,0.037,0.037,,,0.044,0.042,,,,,0.076
03/18,0.033,0.033,,,0.042,0.04,,,,,0.07
03/19,0.043,0.043,,,0.058,0.046,,,,,0.082
03/20,0.046,0.046,,,0.078,0.058,,,0.045,,0.09
03/21,0.038,0.038,,,0.06,0.044,,,0.035,,0.053
03/22,0.038,0.038,,,0.062,0.048,,,0.03,,0.048
03/23,0.05,0.05,,,0.08,0.058,,,0.04,,0.06
03/24,0.054,0.054,,,0.09,0.062,,,0.035,,0.065
03/25,0.06,0.06,,,0.051,0.044,,,0.04,,0.066
03/26,0.056,0.056,,,0.048,0.043,,,0.04,,0.064
03/27,0.066,0.066,,,0.057,0.047,,,0.04,,0.076
03/28,0.078,0.078,,,0.064,0.057,,,0.05,,0.092
03/29,0.064,0.064,,,0.052,0.05,,,0.045,,0.077
03/30,0.064,0.064,,,0.052,0.046,,,0.03,,0.075
03/31,0.088,0.088,,,0.078,0.067,,,0.055,,0.107
04/01,0.047,0.045,,,0.072,0.056,,,0.035,0.025,0.085
04/02,0.047,0.047,,,0.08,0.061,,,0.03,0.025,0.092
04/03,0.052,0.052,,,0.088,0.064,,,0.045,0.025,0.096
04/04,0.053,0.054,,,0.097,0.07,,,0.06,0.035,0.104
04/05,0.059,0.059,,,0.096,0.069,,,0.075,0.035,0.107
04/06,0.065,0.065,,,0.105,0.075,,,0.09,0.04,0.115
04/07,0.064,0.064,,,0.102,0.072,,,0.085,0.035,0.11
04/08,0.088,0.088,,,0.122,0.088,,,0.1,0.035,0.135
04/09,0.095,0.096,,,0.131,0.097,,,0.135,0.045,0.143
04/10,0.088,0.088,,,0.129,0.094,,,0.155,0.042,0.142
04/11,0.089,0.091,,,0.127,0.092,,,0.185,0.044,0.138
04/12,0.091,0.092,,,0.128,0.093,,,0.18,0.04,0.138
04/13,0.102,0.102,,,0.141,0.099,,,0.205,0.044,0.152
04/14,0.088,0.089,,,0.122,0.089,,,0.165,0.038,0.132
04/15,0.08,0.082,,,0.11,0.078,,,0.087,0.032,0.118
04/16,0.115,0.116,,,0.145,0.105,,,0.123,0.042,0.162
04/17,0.126,0.13,,,0.156,0.115,,,0.153,0.046,0.171
04/18,0.135,0.139,,,0.164,0.123,,,0.167,0.048,0.182
04/19,0.139,0.143,,,0.165,0.122,,,0.143,0.051,0.183
04/20,0.181,0.186,,,0.214,0.161,,,0.183,0.068,0.237
04/21,0.16,0.168,,,0.186,0.143,,,0.16,0.06,0.208
04/22,0.16,0.168,,,0.182,0.142,,,0.163,0.059,0.204
04/23,0.138,0.145,,,0.158,0.12,,,0.17,0.055,0.176
04/24,0.135,0.142,,,0.153,0.119,,,0.113,0.052,0.174
04/25,0.138,0.146,,,0.153,0.121,,0.04,0.055,0.055,0.177
04/26,0.137,0.143,,,0.146,0.115,,0.04,0.057,0.057,0.17
04/27,0.147,0.155,,,0.155,0.125,,0.06,0.067,0.065,0.184
04/28,0.174,0.184,,,0.184,0.146,,0.065,0.073,0.081,0.216
04/29,0.174,0.185,,,0.182,0.145,,0.08,0.085,0.087,0.215
04/30,0.162,0.173,,,0.165,0.136,,0.085,0.082,0.087,0.198
05/01,0.176,0.188,,,0.181,0.146,,0.067,0.077,0.091,0.214
05/02,0.191,0.206,,,0.193,0.159,,0.1,0.094,0.112,0.23
05/03,0.184,0.197,,,0.181,0.151,,0.08,0.085,0.113,0.218
05/04,0.21,0.226,,,0.205,0.17,,0.09,0.097,0.132,0.248
05/05,0.211,0.226,,0.075,0.205,0.171,,0.08,0.092,0.138,0.249
05/06,0.206,0.224,,0.05,0.199,0.166,,0.06,0.089,0.14,0.244
05/07,0.171,0.185,,0.045,0.164,0.136,,0.057,0.077,0.119,0.2
05/08,0.175,0.191,,0.045,0.166,0.141,,0.055,0.079,0.131,0.206
05/09,0.2,0.22,,0.075,0.189,0.159,,0.09,0.103,0.156,0.235
05/10,0.183,0.205,0.045,0.055,0.174,0.146,0.06,0.071,0.097,0.149,0.216
05/11,0.209,0.236,0.06,0.077,0.196,0.166,0.09,0.081,0.121,0.177,0.244
05/12,0.239,0.27,0.065,0.085,0.225,0.191,0.085,0.094,0.142,0.205,0.279
05/13,0.221,0.255,0.05,0.073,0.209,0.176,0.07,0.092,0.136,0.196,0.259
05/14,0.206,0.241,0.05,0.075,0.194,0.165,0.065,0.096,0.136,0.194,0.243
05/15,0.209,0.241,0.056,0.068,0.195,0.166,0.068,0.095,0.148,0.199,0.243
05/16,0.214,0.249,0.061,0.065,0.201,0.171,0.065,0.099,0.156,0.205,0.251
05/17,0.194,0.227,0.056,0.075,0.183,0.156,0.075,0.095,0.149,0.193,0.228
05/18,0.203,0.239,0.061,0.085,0.192,0.163,0.085,0.106,0.162,0.207,0.24
05/19,0.187,0.219,0.053,0.06,0.175,0.15,0.058,0.097,0.154,0.19,0.219
05/20,0.165,0.192,0.046,0.061,0.153,0.131,0.055,0.092,0.145,0.17,0.192
05/21,0.186,0.218,0.052,0.069,0.175,0.148,0.073,0.109,0.171,0.197,0.218
05/22,0.179,0.211,0.049,0.071,0.169,0.144,0.062,0.113,0.167,0.191,0.211
05/23,0.176,0.208,0.053,0.072,0.166,0.141,0.072,0.115,0.166,0.194,0.208
05/24,0.196,0.232,0.056,0.08,0.186,0.157,0.075,0.134,0.196,0.22,0.232
05/25,0.196,0.231,0.056,0.078,0.184,0.156,0.08,0.125,0.199,0.219,0.231
05/26,0.192,0.226,0.054,0.073,0.181,0.153,0.076,0.126,0.197,0.217,0.226
05/27,0.199,0.234,0.057,0.078,0.186,0.158,0.081,0.139,0.205,0.225,0.234
05/28,0.206,0.242,0.061,0.074,0.193,0.164,0.076,0.142,0.215,0.234,0.242
05/29,0.217,0.254,0.064,0.079,0.203,0.174,0.08,0.156,0.232,0.246,0.254
05/30,0.212,0.249,0.063,0.077,0.2,0.169,0.081,0.156,0.227,0.243,0.249
05/31,0.225,0.266,0.068,0.089,0.214,0.183,0.092,0.175,0.245,0.262,0.266
06/01,0.239,0.28,0.074,0.092,0.222,0.189,0.103,0.192,0.264,0.275,0.28
06/02,0.244,0.286,0.075,0.096,0.229,0.195,0.106,0.204,0.271,0.284,0.286
