# Station Code,acki
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:26
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,HAYM,HAYP,LAWN,PAST,SGRN,WGRN
02/12,,,,,,,,0.02
02/13,,,,,,,,0.02
02/14,,,,,,,,0.02
02/15,,,,,,,,0.02
02/16,,,,,,,,0.03
02/17,,,,,,,,0.02
02/18,,,,,,,,0.03
02/19,,,,,,,,0.04
02/20,,,,,,,,0.03
02/21,,,,,,,,0.04
02/22,,,,,,,,0.05
02/23,,,,,,,,0.05
02/24,,,,,,,,0.06
02/25,,,,,,,,0.05
02/26,,,,,,,,0.035
02/27,,,,,,,,0.02
02/28,,,,,,,,0.05
02/29,,,,,,,,0.04
03/01,,,,,,,,0.045
03/02,,,,,,,,0.05
03/03,,,,,,,,0.045
03/04,,,,,,,,0.045
03/05,,,,,0.02,0.03,,0.055
03/06,,,,,0.01,0.02,,0.055
03/07,,,,,0.02,0.02,,0.06
03/08,,,,,0.01,0.01,,0.05
03/09,,,,,0.02,0.02,,0.07
03/10,0.04,0.04,,,0.05,0.07,,0.08
03/11,0.02,0.02,,,0.04,0.04,,0.068
03/12,0.02,0.02,,,0.04,0.04,,0.058
03/13,0.01,0.01,,,0.03,0.03,,0.052
03/14,0.02,0.02,,,0.05,0.03,,0.08
03/15,0.02,0.02,0.11,0.11,0.04,0.05,,0.11
03/16,0.02,0.02,0.07,0.07,0.025,0.033,,0.065
03/17,0.02,0.02,0.07,0.07,0.028,0.033,,0.062
03/18,0.03,0.03,0.07,0.07,0.03,0.035,,0.068
03/19,0.04,0.04,0.09,0.09,0.043,0.045,,0.08
03/20,0.028,0.028,0.095,0.095,0.05,0.05,,0.078
03/21,0.022,0.022,0.08,0.08,0.04,0.038,,0.055
03/22,0.025,0.025,0.09,0.09,0.05,0.042,,0.051
03/23,0.03,0.03,0.095,0.095,0.06,0.048,,0.06
03/24,0.04,0.04,0.11,0.11,0.075,0.058,,0.068
03/25,0.033,0.033,0.08,0.08,0.045,0.04,,0.062
03/26,0.036,0.036,0.092,0.092,0.052,0.043,,0.073
03/27,0.048,0.048,0.106,0.106,0.062,0.051,,0.086
03/28,0.058,0.058,0.134,0.134,0.077,0.066,,0.109
03/29,0.052,0.052,0.113,0.113,0.064,0.056,,0.091
03/30,0.056,0.056,0.104,0.104,0.066,0.053,,0.087
03/31,0.068,0.068,0.122,0.122,0.081,0.061,,0.103
04/01,0.043,0.043,0.104,0.104,0.076,0.058,,0.086
04/02,0.047,0.047,0.104,0.104,0.08,0.059,,0.087
04/03,0.054,0.054,0.122,0.122,0.091,0.063,,0.098
04/04,0.059,0.059,0.132,0.132,0.102,0.071,,0.11
04/05,0.06,0.06,0.121,0.121,0.097,0.068,,0.108
04/06,0.067,0.067,0.129,0.129,0.103,0.071,,0.112
04/07,0.07,0.07,0.136,0.136,0.112,0.079,,0.12
04/08,0.091,0.091,0.156,0.156,0.123,0.091,,0.138
04/09,0.102,0.102,0.159,0.159,0.127,0.093,,0.143
04/10,0.085,0.085,0.154,0.154,0.123,0.09,0.034,0.137
04/11,0.092,0.092,0.154,0.154,0.128,0.094,0.04,0.139
04/12,0.088,0.089,0.149,0.149,0.124,0.089,0.036,0.135
04/13,0.097,0.097,0.16,0.16,0.135,0.097,0.034,0.146
04/14,0.085,0.085,0.133,0.133,0.111,0.082,0.034,0.124
04/15,0.088,0.089,0.136,0.136,0.117,0.085,0.031,0.126
04/16,0.111,0.112,0.164,0.164,0.14,0.101,0.038,0.156
04/17,0.119,0.121,0.166,0.166,0.145,0.107,0.039,0.16
04/18,0.133,0.135,0.182,0.182,0.158,0.117,0.042,0.177
04/19,0.14,0.142,0.189,0.189,0.164,0.124,0.046,0.184
04/20,0.143,0.146,0.188,0.188,0.164,0.127,0.048,0.185
04/21,0.143,0.147,0.182,0.182,0.161,0.124,0.046,0.183
04/22,0.167,0.175,0.212,0.213,0.186,0.146,0.056,0.214
04/23,0.131,0.136,0.167,0.167,0.145,0.113,0.043,0.166
04/24,0.129,0.133,0.161,0.161,0.139,0.11,0.044,0.16
04/25,0.125,0.131,0.156,0.156,0.136,0.108,0.044,0.156
04/26,0.126,0.132,0.154,0.155,0.133,0.107,0.048,0.156
04/27,0.135,0.145,0.163,0.163,0.138,0.114,0.055,0.165
04/28,0.16,0.169,0.191,0.191,0.166,0.132,0.067,0.194
04/29,0.157,0.168,0.187,0.189,0.161,0.132,0.074,0.193
04/30,0.156,0.167,0.182,0.185,0.155,0.129,0.076,0.187
05/01,0.173,0.186,0.204,0.205,0.175,0.142,0.083,0.206
05/02,0.185,0.204,0.216,0.218,0.185,0.153,0.102,0.222
05/03,0.18,0.196,0.21,0.212,0.179,0.146,0.105,0.213
05/04,0.193,0.214,0.224,0.226,0.193,0.158,0.116,0.229
05/05,0.195,0.213,0.223,0.225,0.188,0.157,0.125,0.229
05/06,0.197,0.216,0.224,0.226,0.19,0.157,0.133,0.233
05/07,0.162,0.176,0.18,0.181,0.154,0.128,0.115,0.188
05/08,0.158,0.176,0.18,0.18,0.152,0.129,0.117,0.188
05/09,0.187,0.211,0.214,0.214,0.179,0.151,0.143,0.222
05/10,0.17,0.194,0.193,0.193,0.162,0.138,0.137,0.201
05/11,0.182,0.207,0.206,0.207,0.174,0.145,0.153,0.215
05/12,0.222,0.252,0.25,0.252,0.209,0.179,0.188,0.26
05/13,0.204,0.235,0.229,0.23,0.192,0.163,0.183,0.238
05/14,0.184,0.215,0.207,0.207,0.175,0.148,0.171,0.216
05/15,0.172,0.199,0.193,0.193,0.163,0.137,0.161,0.201
05/16,0.195,0.225,0.219,0.22,0.183,0.155,0.184,0.227
05/17,0.192,0.223,0.214,0.216,0.179,0.153,0.187,0.224
05/18,0.199,0.231,0.221,0.223,0.185,0.159,0.199,0.232
05/19,0.184,0.216,0.205,0.207,0.174,0.148,0.187,0.216
05/20,0.16,0.185,0.176,0.178,0.148,0.127,0.162,0.185
05/21,0.166,0.196,0.186,0.188,0.159,0.133,0.176,0.196
05/22,0.158,0.186,0.177,0.178,0.149,0.128,0.166,0.186
05/23,0.155,0.182,0.173,0.175,0.145,0.125,0.169,0.182
05/24,0.19,0.224,0.212,0.214,0.18,0.154,0.21,0.224
05/25,0.2,0.235,0.222,0.225,0.188,0.16,0.221,0.235
05/26,0.205,0.24,0.226,0.231,0.193,0.162,0.228,0.24
05/27,0.198,0.232,0.218,0.223,0.185,0.157,0.224,0.232
05/28,0.216,0.254,0.24,0.244,0.202,0.172,0.245,0.254
05/29,0.22,0.258,0.241,0.248,0.207,0.175,0.251,0.258
05/30,0.215,0.252,0.235,0.243,0.201,0.171,0.245,0.252
05/31,0.206,0.243,0.226,0.234,0.195,0.166,0.238,0.243
06/01,0.219,0.257,0.239,0.247,0.205,0.175,0.255,0.257
06/02,0.235,0.274,0.254,0.262,0.22,0.185,0.272,0.274
06/03,0.229,0.27,0.248,0.258,0.215,0.183,0.268,0.27
06/04,0.251,0.296,0.272,0.284,0.237,0.203,0.295,0.296
06/05,0.265,0.312,0.284,0.298,0.25,0.21,0.31,0.312
06/06,0.254,0.298,0.271,0.285,0.239,0.202,0.296,0.298
06/07,0.231,0.271,0.245,0.259,0.216,0.183,0.27,0.271
06/08,0.243,0.286,0.258,0.273,0.228,0.194,0.285,0.286
06/09,0.246,0.288,0.257,0.274,0.23,0.196,0.288,0.288
06/10,0.24,0.282,0.249,0.269,0.225,0.191,0.282,0.282
06/11,0.242,0.283,0.25,0.269,0.226,0.192,0.283,0.283
06/12,0.245,0.287,0.251,0.273,0.229,0.196,0.287,0.287
06/13,0.257,0.302,0.263,0.286,0.243,0.206,0.302,0.301
06/14,0.268,0.316,0.275,0.301,0.254,0.215,0.316,0.315
06/15,0.251,0.295,0.255,0.281,0.234,0.201,0.295,0.294
