# Station Code,ahti
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:26
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,POTA,RAPE,SGRN,WGRN
04/02,,,,,,,,0.02
04/03,,,,,,,,0.015
04/04,,,,,,,,0.025
04/05,,,0.01,0.02,,,,0.03
04/06,,,0.015,0.022,,,,0.026
04/07,,,0.022,0.03,,,,0.038
04/08,,,0.033,0.045,,,,0.058
04/09,,,0.025,0.037,,,,0.05
04/10,0.02,0.015,0.032,0.042,,,,0.052
04/11,0.028,0.02,0.042,0.047,,,,0.058
04/12,0.025,0.02,0.05,0.045,,,,0.058
04/13,0.028,0.02,0.06,0.047,,,,0.06
04/14,0.028,0.01,0.057,0.043,,,,0.06
04/15,0.022,0.013,0.048,0.038,,,,0.046
04/16,0.03,0.023,0.075,0.055,,,,0.061
04/17,0.038,0.023,0.092,0.063,,,,0.068
04/18,0.052,0.047,0.112,0.075,,,,0.073
04/19,0.058,0.053,0.12,0.08,,,,0.08
04/20,0.07,0.06,0.09,0.071,,,,0.096
04/21,0.07,0.047,0.082,0.066,,,,0.093
04/22,0.095,0.063,0.101,0.083,,,,0.116
04/23,0.062,0.053,0.069,0.058,,,,0.083
04/24,0.065,0.067,0.069,0.059,,,,0.086
04/25,0.048,0.048,0.072,0.058,,,0.03,0.087
04/26,0.048,0.054,0.078,0.06,,,0.025,0.088
04/27,0.062,0.057,0.095,0.072,,,0.033,0.105
04/28,0.063,0.051,0.1,0.073,,,0.035,0.105
04/29,0.073,0.058,0.114,0.084,,,0.045,0.121
04/30,0.071,0.051,0.109,0.082,,,0.037,0.113
05/01,0.09,0.063,0.141,0.102,,0.06,0.045,0.144
05/02,0.102,0.074,0.156,0.114,,0.07,0.047,0.161
05/03,0.115,0.085,0.17,0.122,,0.05,0.052,0.171
05/04,0.125,0.091,0.174,0.126,,0.06,0.058,0.182
05/05,0.12,0.1,0.165,0.118,,0.04,0.052,0.169
05/06,0.135,0.134,0.182,0.132,,0.03,0.055,0.193
05/07,0.106,0.106,0.144,0.102,,0.02,0.035,0.15
