# Station Code,bano
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:26
# Note,Averages calculated from all available years

DATE,BLUB,CRAN,LAWN,PAST
02/10,,,0.01,0.01
02/11,,,0.005,0.015
02/12,,,0.01,0.01
02/13,,,0.01,0.01
02/14,,,0.01,0.02
02/15,,0.023,0.023,0.033
02/16,,0.01,0.007,0.012
02/17,,0.008,0.007,0.012
02/18,,0.008,0.007,0.01
02/19,,0.014,0.013,0.018
02/20,,0.009,0.011,0.011
02/21,,0.011,0.01,0.013
02/22,,0.017,0.018,0.02
02/23,,0.019,0.02,0.022
02/24,,0.016,0.018,0.017
02/25,,0.016,0.021,0.017
02/26,,0.014,0.015,0.015
02/27,,0.02,0.02,0.018
02/28,,0.021,0.021,0.017
02/29,,0.025,0.023,0.02
03/01,,0.03,0.032,0.022
03/02,,0.019,0.02,0.016
03/03,,0.027,0.027,0.022
03/04,,0.037,0.036,0.028
03/05,,0.028,0.028,0.018
03/06,,0.028,0.028,0.02
03/07,,0.038,0.037,0.026
03/08,,0.034,0.034,0.025
03/09,,0.035,0.036,0.024
03/10,0.01,0.039,0.038,0.028
03/11,0.014,0.048,0.045,0.034
03/12,0.018,0.054,0.051,0.036
03/13,0.012,0.04,0.037,0.027
03/14,0.012,0.044,0.042,0.03
03/15,0.01,0.036,0.035,0.025
03/16,0.014,0.053,0.048,0.037
03/17,0.023,0.073,0.065,0.048
03/18,0.019,0.06,0.058,0.042
03/19,0.018,0.052,0.047,0.036
03/20,0.017,0.055,0.051,0.037
03/21,0.019,0.058,0.055,0.04
03/22,0.023,0.058,0.054,0.041
03/23,0.022,0.058,0.052,0.041
03/24,0.024,0.061,0.054,0.043
03/25,0.022,0.06,0.055,0.041
03/26,0.025,0.065,0.06,0.045
03/27,0.029,0.061,0.056,0.043
03/28,0.029,0.065,0.059,0.047
03/29,0.032,0.065,0.062,0.046
03/30,0.039,0.07,0.066,0.052
03/31,0.042,0.072,0.066,0.054
04/01,0.04,0.064,0.06,0.049
04/02,0.055,0.084,0.078,0.062
04/03,0.045,0.066,0.062,0.049
04/04,0.047,0.061,0.056,0.046
04/05,0.065,0.08,0.075,0.062
04/06,0.059,0.072,0.068,0.054
04/07,0.058,0.069,0.066,0.054
04/08,0.064,0.075,0.07,0.058
04/09,0.072,0.078,0.074,0.06
04/10,0.065,0.066,0.062,0.05
04/11,0.078,0.081,0.075,0.063
04/12,0.085,0.085,0.078,0.065
04/13,0.095,0.091,0.086,0.072
04/14,0.094,0.089,0.082,0.068
04/15,0.083,0.076,0.072,0.06
04/16,0.101,0.092,0.086,0.072
