# Station Code,bato
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:27
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,BEET,LAWN,ONYN,PAST,POTA,SGRN,WGRN
02/21,,,,,,,,,0.02
02/22,,,,,,,,,0.03
02/23,,,,,,,,,0.04
02/24,,,,0.02,,0.03,,,0.04
02/25,,,,0.02,,0.03,,,0.04
02/26,,,,0.01,,0.02,,,0.02
02/27,,,,0.01,,0.01,,,0.02
02/28,,,,0.01,,0.02,,,0.02
03/01,,,,0.01,,0.02,,,0.03
03/02,,,,0.02,,0.03,,,0.035
03/03,,,,0.02,,0.02,,,0.03
03/04,,,,0.02,,0.02,,,0.03
03/05,0.01,0.01,,0.02,,0.03,,,0.04
03/06,0.02,0.02,,0.015,,0.023,,,0.035
03/07,0.02,0.02,,0.02,,0.027,,,0.04
03/08,0.02,0.02,,0.025,,0.023,,,0.04
03/09,0.01,0.01,,0.025,,0.023,,,0.05
03/10,0.015,0.015,,0.025,,0.023,,,0.045
03/11,0.015,0.015,,0.015,,0.023,,,0.025
03/12,0.02,0.02,,0.025,,0.023,,,0.035
03/13,0.02,0.02,,0.035,,0.037,,,0.055
03/14,0.015,0.015,,0.03,,0.03,,,0.045
03/15,0.02,0.02,,0.055,,0.043,,,0.057
03/16,0.02,0.02,,0.025,,0.04,,,0.037
03/17,0.02,0.02,,0.04,,0.04,,,0.043
03/18,0.022,0.022,,0.05,,0.04,,,0.045
03/19,0.03,0.03,,0.06,,0.05,,,0.058
03/20,0.022,0.022,,0.035,,0.04,,,0.042
03/21,0.037,0.037,,0.037,,0.036,,,0.045
03/22,0.025,0.025,,0.035,,0.034,,,0.043
03/23,0.035,0.035,,0.04,,0.038,,,0.05
03/24,0.035,0.035,,0.04,,0.044,,,0.052
03/25,0.03,0.03,,0.035,,0.037,,,0.057
03/26,0.036,0.036,,0.035,,0.033,,,0.053
03/27,0.054,0.054,,0.048,,0.04,,,0.067
03/28,0.054,0.054,,0.047,,0.039,,,0.062
03/29,0.058,0.058,,0.057,,0.044,,,0.075
03/30,0.064,0.064,,0.055,,0.046,,,0.077
03/31,0.062,0.062,,0.057,,0.049,,,0.068
04/01,0.043,0.043,,0.052,,0.043,,,0.057
04/02,0.054,0.054,,0.068,,0.054,,,0.062
04/03,0.054,0.054,,0.068,,0.051,,,0.063
04/04,0.047,0.047,,0.055,,0.041,,,0.053
04/05,0.046,0.046,,0.046,,0.044,,,0.059
04/06,0.054,0.054,,0.055,,0.045,,,0.066
04/07,0.079,0.08,,0.069,,0.06,,,0.085
04/08,0.084,0.084,,0.07,,0.058,,,0.086
04/09,0.094,0.096,,0.078,,0.067,,,0.096
04/10,0.062,0.062,,0.071,,0.062,,,0.089
04/11,0.059,0.06,,0.068,,0.058,,,0.08
04/12,0.061,0.061,,0.08,,0.065,,,0.088
04/13,0.065,0.066,,0.083,,0.067,,,0.092
04/14,0.062,0.063,,0.078,,0.062,,,0.083
04/15,0.064,0.066,,0.077,,0.061,,,0.086
04/16,0.067,0.068,,0.084,,0.065,,,0.093
