# Station Code,bfgi
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:27
# Note,Averages calculated from all available years

DATE,LAWN
03/01,0.01
03/02,0.01
03/03,0.013
03/04,0.015
03/05,0.022
03/06,0.022
03/07,0.018
03/08,0.022
03/09,0.025
03/10,0.038
03/11,0.032
03/12,0.045
03/13,0.042
03/14,0.047
03/15,0.042
03/16,0.043
03/17,0.055
03/18,0.052
03/19,0.058
03/20,0.067
03/21,0.057
03/22,0.054
03/23,0.067
03/24,0.059
03/25,0.06
03/26,0.067
03/27,0.066
03/28,0.091
03/29,0.087
03/30,0.069
03/31,0.091
04/01,0.09
04/02,0.097
04/03,0.097
04/04,0.093
04/05,0.096
04/06,0.093
04/07,0.106
04/08,0.09
04/09,0.104
04/10,0.111
04/11,0.099
04/12,0.109
04/13,0.093
04/14,0.081
04/15,0.101
04/16,0.104
04/17,0.116
04/18,0.121
04/19,0.133
04/20,0.126
04/21,0.131
04/22,0.137
04/23,0.113
04/24,0.106
04/25,0.126
04/26,0.106
04/27,0.12
04/28,0.129
04/29,0.13
04/30,0.124
05/01,0.124
05/02,0.141
05/03,0.144
05/04,0.147
05/05,0.141
05/06,0.14
05/07,0.14
05/08,0.151
05/09,0.133
05/10,0.141
05/11,0.134
05/12,0.13
05/13,0.13
05/14,0.13
05/15,0.121
05/16,0.119
05/17,0.12
05/18,0.13
05/19,0.113
05/20,0.097
05/21,0.117
05/22,0.123
05/23,0.144
05/24,0.151
05/25,0.136
05/26,0.144
05/27,0.161
05/28,0.163
05/29,0.151
05/30,0.16
05/31,0.161
06/01,0.151
06/02,0.17
06/03,0.181
06/04,0.181
06/05,0.18
06/06,0.16
06/07,0.146
06/08,0.147
06/09,0.167
06/10,0.156
06/11,0.163
06/12,0.144
06/13,0.16
06/14,0.153
06/15,0.139
06/16,0.151
06/17,0.144
06/18,0.176
06/19,0.184
06/20,0.181
06/21,0.194
06/22,0.203
06/23,0.197
06/24,0.186
06/25,0.179
06/26,0.189
06/27,0.186
06/28,0.166
06/29,0.17
06/30,0.194
07/01,0.19
07/02,0.186
07/03,0.187
07/04,0.183
07/05,0.187
07/06,0.184
07/07,0.184
07/08,0.176
07/09,0.18
07/10,0.161
07/11,0.18
07/12,0.183
07/13,0.179
07/14,0.18
07/15,0.179
07/16,0.177
07/17,0.18
07/18,0.183
07/19,0.171
07/20,0.173
07/21,0.183
07/22,0.169
07/23,0.166
07/24,0.169
07/25,0.164
07/26,0.156
07/27,0.169
07/28,0.18
07/29,0.176
07/30,0.179
07/31,0.163
08/01,0.15
08/02,0.157
08/03,0.166
08/04,0.166
08/05,0.153
08/06,0.15
08/07,0.157
08/08,0.144
08/09,0.149
08/10,0.146
08/11,0.149
08/12,0.146
08/13,0.139
08/14,0.136
08/15,0.143
08/16,0.143
08/17,0.14
08/18,0.136
08/19,0.133
08/20,0.139
08/21,0.124
08/22,0.127
08/23,0.127
08/24,0.126
08/25,0.13
08/26,0.126
08/27,0.127
08/28,0.123
08/29,0.126
08/30,0.127
08/31,0.126
09/01,0.124
09/02,0.113
09/03,0.113
09/04,0.11
09/05,0.111
09/06,0.103
09/07,0.111
09/08,0.101
09/09,0.101
09/10,0.09
09/11,0.107
09/12,0.09
09/13,0.093
09/14,0.081
09/15,0.096
09/16,0.09
09/17,0.096
09/18,0.071
09/19,0.08
09/20,0.084
09/21,0.079
09/22,0.061
09/23,0.084
09/24,0.083
09/25,0.077
09/26,0.083
09/27,0.081
09/28,0.074
09/29,0.074
09/30,0.077
10/01,0.066
10/02,0.066
10/03,0.061
10/04,0.05
10/05,0.057
10/06,0.059
10/07,0.066
10/08,0.059
10/09,0.054
10/10,0.0
