# Station Code,bkvo
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:27
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,BEAN,FCRN,LAWN,PAST,POTA,PPMT,SGRN,WGRN
03/06,,,,,,0.027,,,,
03/07,,,,,,0.023,,,,
03/08,,,,,,0.027,,,,
03/09,,,,,,0.02,,,,
03/10,,,,,0.02,0.03,,,,
03/11,,,,,0.02,0.027,,,,
03/12,,,,,0.015,0.027,,,,
03/13,,,,,0.025,0.037,,,,
03/14,,,,,0.03,0.043,,,,
03/15,,,,,0.03,0.047,,,,
03/16,,,,,0.025,0.03,,,,
03/17,,,,,0.025,0.037,,,,
03/18,,,,,0.03,0.037,,,,
03/19,,,,,0.04,0.043,,,,
03/20,0.02,0.02,,,0.05,0.053,,,,0.033
03/21,0.02,0.02,,,0.045,0.043,,,,0.026
03/22,0.017,0.017,,,0.045,0.037,,,,0.026
03/23,0.017,0.017,,,0.045,0.037,,,,0.03
03/24,0.027,0.027,,,0.065,0.057,,,,0.03
03/25,0.02,0.02,,,0.055,0.032,,,,0.028
03/26,0.023,0.023,,,0.06,0.038,,,,0.034
03/27,0.027,0.027,,,0.065,0.038,,,,0.034
03/28,0.027,0.027,,,0.055,0.04,,,,0.038
03/29,0.043,0.043,,,0.07,0.054,,,,0.052
03/30,0.053,0.053,,,0.075,0.056,,,,0.056
03/31,0.047,0.047,,,0.07,0.048,,,,0.048
04/01,0.034,0.034,,,0.036,0.05,,,,0.045
04/02,0.04,0.04,,,0.044,0.052,,,,0.052
04/03,0.048,0.048,,,0.052,0.062,,,,0.063
04/04,0.036,0.036,,,0.04,0.048,,,,0.048
04/05,0.034,0.034,,,0.028,0.043,,,,0.05
04/06,0.05,0.05,,,0.047,0.051,,,,0.051
04/07,0.068,0.068,,,0.072,0.069,,,,0.069
04/08,0.076,0.076,,,0.082,0.08,,,,0.071
04/09,0.086,0.086,,,0.088,0.08,,,,0.078
04/10,0.078,0.078,,,0.061,0.062,,,,0.082
04/11,0.067,0.067,,,0.05,0.052,,,,0.067
04/12,0.067,0.067,,,0.055,0.054,,,,0.07
04/13,0.087,0.087,,,0.063,0.06,,,,0.079
04/14,0.077,0.077,,,0.058,0.057,,,,0.076
04/15,0.05,0.05,,,0.062,0.058,,,0.028,0.079
04/16,0.052,0.052,,,0.067,0.058,,,0.028,0.082
04/17,0.058,0.058,,,0.081,0.067,,,0.03,0.092
04/18,0.072,0.072,,,0.099,0.077,,,0.037,0.107
04/19,0.076,0.076,,,0.106,0.083,,,0.037,0.115
04/20,0.071,0.071,,,0.091,0.072,,,0.03,0.099
04/21,0.082,0.083,,,0.106,0.082,,,0.037,0.115
04/22,0.081,0.083,,,0.108,0.082,,,0.033,0.115
04/23,0.076,0.077,,,0.105,0.079,,,0.032,0.108
04/24,0.072,0.074,,,0.095,0.072,,,0.03,0.103
04/25,0.075,0.075,,,0.1,0.076,,,0.033,0.107
04/26,0.078,0.08,,,0.099,0.076,,,0.033,0.108
04/27,0.095,0.098,,,0.126,0.094,,,0.037,0.133
04/28,0.098,0.103,,,0.119,0.088,,,0.047,0.13
04/29,0.095,0.1,,,0.125,0.092,,,0.042,0.133
04/30,0.098,0.103,,,0.124,0.092,,,0.042,0.133
05/01,0.112,0.118,,,0.135,0.1,,,0.043,0.143
05/02,0.121,0.128,,,0.141,0.104,,,0.05,0.155
05/03,0.118,0.125,,,0.14,0.105,,,0.052,0.152
05/04,0.132,0.141,,,0.15,0.115,,,0.06,0.163
05/05,0.128,0.135,,,0.138,0.108,,,0.06,0.156
05/06,0.138,0.147,,,0.152,0.118,,,0.071,0.176
05/07,0.143,0.153,,,0.155,0.121,,,0.076,0.174
05/08,0.158,0.169,,,0.168,0.133,,,0.089,0.193
05/09,0.143,0.152,,,0.151,0.121,,,0.081,0.172
05/10,0.148,0.158,,,0.16,0.126,,0.03,0.075,0.168
05/11,0.15,0.16,,,0.156,0.127,,0.03,0.082,0.168
05/12,0.15,0.161,,,0.157,0.126,,0.02,0.083,0.174
05/13,0.152,0.162,,,0.158,0.125,,0.03,0.085,0.17
05/14,0.141,0.151,,,0.144,0.116,,0.017,0.078,0.159
05/15,0.135,0.142,,,0.136,0.111,,0.02,0.071,0.155
05/16,0.136,0.145,,,0.132,0.109,,0.023,0.078,0.152
05/17,0.13,0.14,,,0.128,0.106,,0.023,0.081,0.145
05/18,0.135,0.144,,,0.131,0.109,,0.02,0.082,0.147
05/19,0.145,0.159,,,0.142,0.117,,0.033,0.092,0.158
05/20,0.139,0.152,,,0.135,0.112,,0.024,0.088,0.15
05/21,0.135,0.149,,,0.129,0.107,,0.027,0.095,0.149
05/22,0.149,0.165,,,0.139,0.118,,0.031,0.11,0.165
