# Station Code,boii
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:27
# Note,Averages calculated from all available years

DATE,LAWN
02/21,0.0
02/22,0.0
02/23,0.01
02/24,0.02
02/25,0.02
02/26,0.015
02/27,0.015
02/28,0.02
02/29,0.02
03/01,0.013
03/02,0.014
03/03,0.013
03/04,0.017
03/05,0.023
03/06,0.029
03/07,0.026
03/08,0.031
03/09,0.031
03/10,0.036
03/11,0.03
03/12,0.038
03/13,0.037
03/14,0.039
03/15,0.035
03/16,0.039
03/17,0.051
03/18,0.048
03/19,0.056
03/20,0.057
03/21,0.052
03/22,0.059
03/23,0.059
03/24,0.055
03/25,0.057
03/26,0.058
03/27,0.062
03/28,0.082
03/29,0.072
03/30,0.064
03/31,0.089
04/01,0.079
04/02,0.08
04/03,0.092
04/04,0.079
04/05,0.087
04/06,0.091
04/07,0.092
04/08,0.088
04/09,0.099
04/10,0.112
04/11,0.09
04/12,0.102
04/13,0.1
04/14,0.098
04/15,0.105
04/16,0.1
04/17,0.112
04/18,0.108
04/19,0.13
04/20,0.113
04/21,0.122
04/22,0.122
04/23,0.112
04/24,0.103
04/25,0.113
04/26,0.105
04/27,0.122
04/28,0.127
04/29,0.126
04/30,0.123
05/01,0.132
05/02,0.137
05/03,0.138
05/04,0.138
05/05,0.136
05/06,0.134
05/07,0.123
05/08,0.133
05/09,0.138
05/10,0.144
05/11,0.143
05/12,0.142
05/13,0.143
05/14,0.136
05/15,0.11
05/16,0.124
05/17,0.122
05/18,0.13
05/19,0.126
05/20,0.119
05/21,0.122
05/22,0.134
05/23,0.138
05/24,0.153
05/25,0.141
05/26,0.128
05/27,0.141
05/28,0.146
05/29,0.143
05/30,0.14
05/31,0.152
06/01,0.152
06/02,0.162
06/03,0.171
06/04,0.168
06/05,0.162
06/06,0.162
06/07,0.148
06/08,0.15
06/09,0.155
06/10,0.152
06/11,0.162
06/12,0.156
06/13,0.158
06/14,0.162
06/15,0.152
06/16,0.153
06/17,0.148
06/18,0.158
06/19,0.164
06/20,0.171
06/21,0.175
06/22,0.184
06/23,0.177
06/24,0.177
06/25,0.169
06/26,0.176
06/27,0.178
06/28,0.177
06/29,0.175
06/30,0.187
07/01,0.192
07/02,0.192
07/03,0.186
07/04,0.184
07/05,0.182
07/06,0.192
07/07,0.186
07/08,0.181
07/09,0.184
07/10,0.175
07/11,0.179
07/12,0.191
07/13,0.176
07/14,0.186
07/15,0.188
07/16,0.181
07/17,0.181
07/18,0.192
07/19,0.185
07/20,0.185
07/21,0.185
07/22,0.178
07/23,0.176
07/24,0.175
07/25,0.177
07/26,0.169
07/27,0.176
07/28,0.181
07/29,0.175
07/30,0.181
07/31,0.168
08/01,0.158
08/02,0.165
08/03,0.168
08/04,0.164
08/05,0.16
08/06,0.161
08/07,0.155
08/08,0.155
08/09,0.162
08/10,0.156
08/11,0.161
08/12,0.157
08/13,0.148
08/14,0.151
08/15,0.151
08/16,0.149
08/17,0.143
08/18,0.148
08/19,0.132
08/20,0.135
08/21,0.128
08/22,0.135
08/23,0.133
08/24,0.132
08/25,0.129
08/26,0.129
08/27,0.129
08/28,0.131
08/29,0.126
08/30,0.128
08/31,0.121
09/01,0.122
09/02,0.111
09/03,0.11
09/04,0.112
09/05,0.112
09/06,0.107
09/07,0.115
09/08,0.109
09/09,0.106
09/10,0.103
09/11,0.11
09/12,0.099
09/13,0.098
09/14,0.09
09/15,0.094
09/16,0.097
09/17,0.092
09/18,0.079
09/19,0.084
09/20,0.086
09/21,0.081
09/22,0.074
09/23,0.081
09/24,0.078
09/25,0.078
09/26,0.078
09/27,0.077
09/28,0.069
09/29,0.074
09/30,0.068
10/01,0.063
10/02,0.066
10/03,0.063
10/04,0.057
10/05,0.057
10/06,0.058
10/07,0.06
10/08,0.056
10/09,0.055
10/10,0.009
10/11,0.06
10/12,0.06
10/13,0.06
10/14,0.07
10/15,0.0
