# Station Code,brko
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:27
# Note,Averages calculated from all available years

DATE,LAWN,LILY,PAST
01/02,,0.017,
01/03,,0.013,
01/04,,0.024,
01/05,,0.029,
01/06,,0.02,
01/07,,0.02,
01/08,,0.017,
01/09,,0.013,
01/10,,0.014,
01/11,,0.016,
01/12,,0.014,
01/13,,0.03,
01/14,,0.03,
01/15,,0.03,
01/16,,0.026,
01/17,,0.022,
01/18,,0.016,
01/19,,0.023,
01/20,,0.025,
01/21,,0.024,
01/22,,0.029,
01/23,,0.043,
01/24,,0.035,
01/25,,0.027,
01/26,,0.031,
01/27,,0.027,
01/28,,0.021,
01/29,,0.018,
01/30,,0.024,
01/31,,0.034,
02/01,,0.035,
02/02,,0.028,
02/03,,0.024,
02/04,,0.022,
02/05,,0.027,
02/06,,0.032,
02/07,,0.032,
02/08,,0.046,
02/09,,0.045,
02/10,0.005,0.039,0.015
02/11,0.015,0.039,0.025
02/12,0.01,0.029,0.02
02/13,0.01,0.029,0.01
02/14,0.02,0.032,0.035
02/15,0.013,0.04,0.022
02/16,0.01,0.032,0.013
02/17,0.012,0.045,0.012
02/18,0.008,0.032,0.012
02/19,0.013,0.034,0.018
02/20,0.022,0.04,0.023
02/21,0.026,0.041,0.027
02/22,0.029,0.041,0.029
02/23,0.041,0.053,0.034
02/24,0.028,0.044,0.023
02/25,0.035,0.043,0.028
02/26,0.028,0.037,0.021
02/27,0.025,0.032,0.023
02/28,0.034,0.031,0.023
02/29,0.037,0.04,0.03
03/01,0.044,0.045,0.032
03/02,0.037,0.039,0.028
03/03,0.034,0.036,0.027
03/04,0.037,0.038,0.029
03/05,0.026,0.031,0.023
03/06,0.033,0.036,0.028
03/07,0.04,0.042,0.035
03/08,0.03,0.032,0.025
03/09,0.034,0.038,0.031
03/10,0.046,0.044,0.036
03/11,0.055,0.051,0.045
03/12,0.058,0.049,0.044
03/13,0.043,0.038,0.036
03/14,0.042,0.036,0.034
03/15,0.038,0.035,0.03
03/16,0.059,0.048,0.046
03/17,0.068,0.055,0.053
03/18,0.069,0.054,0.053
03/19,0.055,0.044,0.043
03/20,0.06,0.047,0.045
03/21,0.07,0.055,0.052
03/22,0.06,0.046,0.045
03/23,0.067,0.049,0.052
03/24,0.057,0.044,0.043
03/25,0.06,0.048,0.048
03/26,0.067,0.051,0.051
03/27,0.063,0.053,0.048
03/28,0.077,0.065,0.061
03/29,0.08,0.064,0.062
03/30,0.085,0.065,0.066
03/31,0.097,0.077,0.078
04/01,0.08,0.066,0.065
04/02,0.098,0.082,0.082
04/03,0.072,0.062,0.058
04/04,0.058,0.051,0.045
04/05,0.088,0.075,0.075
04/06,0.079,0.068,0.068
04/07,0.067,0.056,0.055
04/08,0.086,0.072,0.072
04/09,0.086,0.075,0.071
04/10,0.076,0.069,0.063
04/11,0.095,0.081,0.082
04/12,0.095,0.084,0.079
04/13,0.101,0.087,0.084
04/14,0.104,0.091,0.086
04/15,0.092,0.085,0.077
04/16,0.09,0.086,0.075
04/17,0.072,0.069,0.061
04/18,0.098,0.099,0.081
04/19,0.085,0.087,0.072
04/20,0.092,0.089,0.075
04/21,0.121,0.121,0.102
04/22,0.115,0.12,0.096
04/23,0.098,0.105,0.082
04/24,0.081,0.082,0.067
04/25,0.075,0.081,0.064
04/26,0.092,0.1,0.08
04/27,0.108,0.118,0.092
04/28,0.129,0.144,0.111
04/29,0.125,0.141,0.106
04/30,0.158,0.18,0.134
05/01,0.151,0.169,0.128
05/02,0.106,0.118,0.089
05/03,0.115,0.126,0.095
05/04,0.116,0.128,0.1
05/05,0.095,0.107,0.082
05/06,0.12,0.135,0.102
05/07,0.125,0.145,0.107
05/08,0.123,0.143,0.103
05/09,0.107,0.126,0.091
05/10,0.129,0.152,0.111
05/11,0.128,0.148,0.11
05/12,0.088,0.105,0.075
05/13,0.077,0.093,0.065
05/14,0.112,0.135,0.095
05/15,0.098,0.118,0.082
05/16,0.09,0.108,0.075
05/17,0.113,0.138,0.097
05/18,0.108,0.135,0.094
05/19,0.13,0.158,0.111
05/20,0.12,0.147,0.102
05/21,0.115,0.141,0.098
05/22,0.119,0.147,0.102
05/23,0.14,0.172,0.118
05/24,0.122,0.148,0.105
05/25,0.105,0.131,0.09
05/26,0.105,0.129,0.088
05/27,0.089,0.112,0.075
05/28,0.117,0.146,0.098
05/29,0.117,0.146,0.099
05/30,0.114,0.143,0.097
05/31,0.132,0.165,0.114
06/01,0.122,0.152,0.104
06/02,0.122,0.151,0.103
06/03,0.127,0.157,0.108
06/04,0.123,0.154,0.105
06/05,0.138,0.172,0.118
06/06,0.132,0.165,0.113
06/07,0.13,0.162,0.11
06/08,0.15,0.188,0.128
06/09,0.163,0.205,0.139
06/10,0.149,0.186,0.126
06/11,0.159,0.2,0.135
06/12,0.148,0.187,0.125
06/13,0.138,0.175,0.118
06/14,0.153,0.191,0.131
06/15,0.136,0.169,0.115
06/16,0.156,0.196,0.134
06/17,0.166,0.208,0.142
06/18,0.16,0.202,0.137
06/19,0.157,0.196,0.135
06/20,0.148,0.184,0.124
06/21,0.17,0.214,0.145
06/22,0.15,0.187,0.128
06/23,0.142,0.176,0.121
06/24,0.127,0.16,0.109
06/25,0.105,0.131,0.088
06/26,0.102,0.127,0.086
06/27,0.106,0.132,0.09
06/28,0.119,0.146,0.099
06/29,0.129,0.161,0.108
06/30,0.128,0.16,0.109
07/01,0.142,0.178,0.122
07/02,0.142,0.177,0.121
07/03,0.135,0.169,0.114
07/04,0.118,0.148,0.1
07/05,0.108,0.136,0.093
07/06,0.098,0.122,0.084
07/07,0.119,0.151,0.104
07/08,0.103,0.13,0.088
07/09,0.096,0.121,0.082
07/10,0.105,0.132,0.09
07/11,0.112,0.139,0.095
07/12,0.113,0.141,0.095
07/13,0.113,0.144,0.099
07/14,0.114,0.142,0.096
07/15,0.122,0.153,0.104
07/16,0.139,0.174,0.119
07/17,0.121,0.149,0.102
07/18,0.102,0.126,0.086
07/19,0.108,0.135,0.091
07/20,0.108,0.134,0.092
07/21,0.105,0.13,0.088
07/22,0.118,0.148,0.102
07/23,0.118,0.15,0.102
07/24,0.121,0.152,0.104
07/25,0.111,0.139,0.095
07/26,0.108,0.135,0.093
07/27,0.132,0.164,0.112
07/28,0.136,0.172,0.117
07/29,0.124,0.155,0.106
07/30,0.107,0.134,0.089
07/31,0.095,0.119,0.08
08/01,0.083,0.105,0.072
08/02,0.102,0.128,0.088
08/03,0.098,0.124,0.085
08/04,0.078,0.098,0.066
08/05,0.082,0.102,0.068
08/06,0.108,0.135,0.091
08/07,0.103,0.129,0.087
08/08,0.105,0.13,0.088
08/09,0.112,0.139,0.093
08/10,0.104,0.129,0.088
08/11,0.089,0.113,0.077
08/12,0.088,0.111,0.073
08/13,0.096,0.119,0.082
08/14,0.107,0.134,0.092
08/15,0.127,0.158,0.107
08/16,0.123,0.154,0.104
08/17,0.132,0.166,0.113
08/18,0.099,0.127,0.086
08/19,0.104,0.131,0.088
08/20,0.105,0.132,0.09
08/21,0.085,0.106,0.072
08/22,0.092,0.115,0.078
08/23,0.092,0.112,0.076
08/24,0.088,0.106,0.073
08/25,0.074,0.09,0.063
08/26,0.086,0.103,0.072
08/27,0.109,0.13,0.092
08/28,0.092,0.109,0.075
08/29,0.08,0.095,0.067
08/30,0.108,0.126,0.091
08/31,0.125,0.142,0.102
09/01,0.132,0.152,0.112
09/02,0.111,0.123,0.093
09/03,0.132,0.146,0.109
09/04,0.122,0.135,0.102
09/05,0.099,0.11,0.082
09/06,0.093,0.1,0.075
09/07,0.085,0.092,0.068
09/08,0.114,0.119,0.093
09/09,0.098,0.102,0.081
09/10,0.098,0.101,0.081
09/11,0.09,0.092,0.073
09/12,0.087,0.086,0.069
09/13,0.084,0.084,0.069
09/14,0.068,0.069,0.055
09/15,0.062,0.058,0.048
09/16,0.07,0.069,0.058
09/17,0.056,0.054,0.045
09/18,0.076,0.072,0.059
09/19,0.095,0.088,0.075
09/20,0.109,0.1,0.085
09/21,0.088,0.078,0.068
09/22,0.068,0.062,0.054
09/23,0.105,0.092,0.082
09/24,0.107,0.091,0.082
09/25,0.11,0.095,0.086
09/26,0.089,0.075,0.068
09/27,0.099,0.084,0.074
