# Station Code,cedc
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:28
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,GARL,LAWN,ONYN,PAST,SGRN,WGRN
02/21,,,,,,,,0.03
02/22,,,,,,,,0.03
02/23,,,,,,,,0.04
02/24,,,,0.02,,0.03,,0.04
02/25,,,,0.02,,0.04,,0.04
02/26,,,,0.01,,0.02,,0.03
02/27,,,,0.01,,0.01,,0.02
02/28,,,,0.01,,0.02,,0.03
03/01,,,,0.02,,0.03,,0.04
03/02,,,,0.02,,0.03,,0.045
03/03,,,,0.02,,0.03,,0.04
03/04,,,,0.02,,0.03,,0.04
03/05,0.01,0.01,,0.025,,0.035,,0.045
03/06,0.01,0.01,,0.025,,0.033,,0.05
03/07,0.02,0.02,,0.025,,0.03,,0.04
03/08,0.03,0.03,,0.03,,0.04,,0.05
03/09,0.02,0.02,,0.04,,0.037,,0.065
03/10,0.02,0.02,,0.04,,0.04,,0.07
03/11,0.025,0.025,,0.04,,0.033,,0.055
03/12,0.025,0.025,,0.035,,0.04,,0.06
03/13,0.035,0.035,,0.05,,0.047,,0.08
03/14,0.035,0.035,,0.06,,0.047,,0.08
03/15,0.03,0.03,,0.1,,0.07,,0.097
03/16,0.025,0.025,,0.05,,0.057,,0.055
03/17,0.025,0.025,,0.055,,0.053,,0.053
03/18,0.033,0.033,,0.075,,0.05,,0.06
03/19,0.037,0.037,,0.085,,0.063,,0.073
03/20,0.037,0.037,0.04,0.053,,0.052,,0.066
03/21,0.048,0.048,0.05,0.065,,0.058,,0.072
03/22,0.043,0.043,0.04,0.052,,0.046,,0.06
03/23,0.055,0.055,0.08,0.05,,0.046,,0.062
03/24,0.052,0.052,0.09,0.052,,0.052,,0.075
03/25,0.04,0.04,0.049,0.05,,0.053,,0.08
03/26,0.044,0.044,0.043,0.043,,0.04,,0.065
03/27,0.058,0.058,0.052,0.062,,0.056,,0.088
03/28,0.064,0.064,0.055,0.063,,0.056,,0.088
03/29,0.058,0.058,0.055,0.058,,0.049,,0.082
03/30,0.08,0.08,0.065,0.077,,0.061,,0.098
03/31,0.076,0.076,0.07,0.077,,0.061,,0.095
04/01,0.057,0.057,0.067,0.073,,0.06,,0.07
04/02,0.064,0.064,0.077,0.085,,0.064,,0.082
04/03,0.079,0.079,0.084,0.105,,0.076,,0.092
04/04,0.073,0.073,0.077,0.095,,0.066,,0.087
04/05,0.066,0.066,0.073,0.062,,0.056,0.027,0.075
04/06,0.069,0.069,0.081,0.076,,0.062,0.03,0.093
04/07,0.094,0.094,0.089,0.09,,0.073,0.03,0.107
04/08,0.117,0.119,0.097,0.105,,0.083,0.047,0.123
04/09,0.126,0.127,0.101,0.104,,0.086,0.05,0.127
04/10,0.08,0.081,0.097,0.091,,0.082,0.043,0.115
04/11,0.077,0.078,0.089,0.09,,0.077,0.043,0.108
04/12,0.075,0.075,0.089,0.101,,0.083,0.047,0.113
04/13,0.085,0.086,0.087,0.107,,0.084,0.047,0.119
04/14,0.073,0.075,0.078,0.093,,0.073,0.04,0.102
04/15,0.088,0.09,0.089,0.098,,0.08,0.037,0.108
04/16,0.084,0.086,0.092,0.107,,0.085,0.043,0.119
04/17,0.097,0.099,0.092,0.118,,0.092,0.048,0.129
04/18,0.107,0.109,0.098,0.132,,0.098,0.055,0.141
