# Station Code,chaw
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:28
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,ALHM,ALHP,FCRN,GRSD,GRSF,HAYM,HAYP,LAWN,PAST,POP1,POP2,POP3,RAPE,RAPF,SGRN,WGRN
03/02,,,,,,,,,,,,,,,,,,0.01
03/03,,,,,,,,,,,,,,,,,,0.01
03/04,,,,,,0.01,,,,,,,,,,,,0.02
03/05,,,,,,0.02,,,,0.01,0.015,,,,,,,0.01
03/06,,,,,,0.02,,,,0.01,0.017,,,,,,,0.02
03/07,,,,,,0.02,,,,0.01,0.013,,,,,,,0.02
03/08,,,,,,0.03,,,,0.01,0.02,,,,,,,0.02
03/09,,,,,,0.03,,,,0.01,0.02,,,,,,,0.01
03/10,0.01,0.01,,,,0.02,0.01,,,0.01,0.02,,,,,,,0.02
03/11,0.01,0.01,,,,0.02,0.03,,,0.01,0.017,,,,,,,0.02
03/12,0.01,0.01,,,,0.03,0.02,,,0.0,0.02,,,,,,,0.01
03/13,0.02,0.02,,,,0.01,0.02,,,0.01,0.023,,,,,,,0.02
03/14,0.01,0.01,,,,0.02,0.01,,,0.02,0.02,,,,,,,0.03
03/15,0.01,0.01,,,,0.023,0.015,,,0.02,0.017,,,,,,,0.015
03/16,0.01,0.01,,,,0.028,0.022,,,0.02,0.02,,,,,,,0.022
03/17,0.01,0.01,,,,0.03,0.028,,,0.03,0.023,,,,,,,0.022
03/18,0.02,0.02,,,,0.036,0.033,,,0.04,0.027,,,,,,,0.033
03/19,0.02,0.02,,,,0.03,0.033,,,0.05,0.027,,,,,,,0.035
03/20,0.02,0.02,,,,0.044,0.037,,,0.02,0.03,,,,,0.02,,0.03
03/21,0.02,0.02,,,,0.032,0.033,,,0.02,0.028,,,,,0.01,,0.032
03/22,0.02,0.02,,,,0.03,0.03,,,0.013,0.024,,,,,0.01,,0.025
03/23,0.02,0.02,,,,0.038,0.033,,,0.025,0.03,,,,,0.02,,0.035
03/24,0.02,0.02,,,,0.03,0.018,,,0.025,0.028,,,,,0.03,,0.032
03/25,0.013,0.013,,,,0.042,0.024,,,0.017,0.023,,,,,0.04,,0.033
03/26,0.02,0.02,,,,0.044,0.026,,,0.025,0.027,,,,,0.04,,0.04
03/27,0.027,0.027,,,,0.056,0.038,,,0.023,0.026,,,,,0.04,,0.035
03/28,0.037,0.037,,,,0.06,0.036,,,0.028,0.029,,,,,0.05,,0.04
03/29,0.033,0.033,,,,0.064,0.04,,,0.042,0.033,,,,,0.06,,0.052
03/30,0.047,0.047,,,,0.08,0.048,,,0.047,0.039,,,,,0.06,,0.062
03/31,0.05,0.05,,,,0.062,0.036,,,0.05,0.043,,,,,0.04,,0.06
04/01,0.03,0.03,0.017,0.015,,0.072,0.044,0.063,0.063,0.052,0.04,,,,,0.05,,0.051
04/02,0.037,0.037,0.02,0.017,,0.084,0.05,0.067,0.067,0.065,0.047,,,,,0.05,,0.055
04/03,0.033,0.033,0.018,0.015,,0.07,0.04,0.07,0.07,0.058,0.043,,,,,0.06,,0.049
04/04,0.037,0.037,0.022,0.018,,0.078,0.04,0.083,0.083,0.062,0.043,,,,,0.09,,0.049
04/05,0.038,0.038,0.021,0.016,,0.048,0.034,0.058,0.058,0.041,0.037,,,,,0.045,0.017,0.05
04/06,0.037,0.037,0.024,0.019,,0.05,0.035,0.063,0.063,0.043,0.037,,,,,0.033,0.02,0.053
04/07,0.048,0.048,0.027,0.021,,0.062,0.042,0.074,0.074,0.054,0.043,,,,,0.04,0.027,0.065
04/08,0.063,0.063,0.036,0.027,,0.069,0.047,0.085,0.085,0.064,0.052,,,,,0.06,0.033,0.077
04/09,0.057,0.057,0.033,0.024,,0.067,0.048,0.084,0.084,0.058,0.051,,,,,0.047,0.027,0.073
04/10,0.037,0.037,0.028,0.02,,0.065,0.043,0.077,0.077,0.056,0.048,,,,,0.028,0.03,0.062
04/11,0.044,0.044,0.032,0.024,,0.074,0.05,0.089,0.089,0.065,0.056,,,,,0.04,0.03,0.073
04/12,0.04,0.04,0.029,0.021,,0.066,0.045,0.075,0.075,0.059,0.052,,,,,0.045,0.027,0.064
04/13,0.043,0.043,0.035,0.024,,0.074,0.047,0.083,0.083,0.065,0.052,,,,,0.062,0.027,0.071
04/14,0.038,0.038,0.035,0.023,,0.074,0.05,0.082,0.082,0.064,0.049,,,,,0.05,0.023,0.068
04/15,0.043,0.043,0.036,0.027,,0.079,0.051,0.087,0.087,0.065,0.051,,,,,0.046,0.023,0.068
04/16,0.047,0.047,0.032,0.024,,0.078,0.05,0.089,0.089,0.065,0.05,,,,,0.046,0.023,0.07
04/17,0.061,0.061,0.045,0.033,,0.104,0.065,0.109,0.109,0.084,0.065,,,,,0.064,0.03,0.088
04/18,0.064,0.065,0.045,0.036,,0.101,0.064,0.109,0.109,0.087,0.065,,,,,0.058,0.033,0.091
04/19,0.069,0.07,0.046,0.035,,0.104,0.063,0.111,0.111,0.087,0.068,,,,,0.062,0.035,0.092
04/20,0.069,0.07,0.049,0.037,,0.108,0.067,0.114,0.114,0.093,0.068,,,,,0.066,0.038,0.098
04/21,0.072,0.072,0.051,0.037,,0.119,0.074,0.114,0.114,0.096,0.069,,,,,0.066,0.037,0.1
04/22,0.072,0.073,0.052,0.04,,0.113,0.07,0.11,0.11,0.097,0.072,,,,,0.08,0.033,0.098
04/23,0.072,0.072,0.052,0.042,,0.117,0.072,0.107,0.107,0.097,0.071,,,,,0.086,0.035,0.1
04/24,0.074,0.075,0.051,0.04,,0.112,0.068,0.104,0.104,0.095,0.071,,,,,0.092,0.04,0.098
04/25,0.069,0.07,0.052,0.04,,0.11,0.07,0.104,0.104,0.091,0.065,,,,0.03,0.102,0.034,0.094
04/26,0.082,0.085,0.058,0.048,,0.123,0.083,0.128,0.128,0.101,0.075,,,,0.022,0.102,0.041,0.108
04/27,0.097,0.098,0.068,0.055,,0.142,0.096,0.135,0.135,0.115,0.086,,,,0.03,0.128,0.047,0.125
04/28,0.098,0.102,0.067,0.056,,0.134,0.089,0.134,0.134,0.115,0.087,,,,0.025,0.118,0.05,0.124
04/29,0.102,0.105,0.072,0.057,,0.14,0.094,0.138,0.138,0.118,0.09,,,,0.033,0.126,0.054,0.126
04/30,0.103,0.107,0.071,0.06,,0.136,0.098,0.139,0.139,0.118,0.09,0.026,0.026,0.026,0.025,0.118,0.056,0.128
05/01,0.117,0.121,0.081,0.067,,0.146,0.106,0.15,0.15,0.129,0.102,0.028,0.03,0.032,0.034,0.075,0.064,0.142
05/02,0.123,0.128,0.087,0.074,,0.152,0.114,0.165,0.165,0.136,0.105,0.03,0.033,0.037,0.035,0.088,0.067,0.151
05/03,0.122,0.128,0.086,0.072,,0.147,0.115,0.163,0.163,0.131,0.104,0.032,0.037,0.04,0.034,0.086,0.069,0.147
