# Station Code,ckvy
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:28
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,SGRN
03/06,,,0.01,0.01,
03/07,,,0.01,0.02,
03/08,,,0.01,0.02,
03/09,,,0.01,0.02,
03/10,,,0.02,0.03,
03/11,,,0.02,0.03,
03/12,,,0.02,0.03,
03/13,,,0.02,0.02,
03/14,,,0.01,0.01,
03/15,0.01,0.01,0.01,0.02,
03/16,0.01,0.01,0.01,0.01,
03/17,0.01,0.01,0.02,0.02,
03/18,0.01,0.01,0.03,0.03,
03/19,0.01,0.01,0.03,0.03,
03/20,0.02,0.02,0.03,0.03,
03/21,0.02,0.02,0.035,0.035,
03/22,0.02,0.02,0.025,0.025,
03/23,0.02,0.02,0.03,0.03,
03/24,0.02,0.02,0.03,0.025,
03/25,0.015,0.015,0.018,0.022,
03/26,0.02,0.02,0.025,0.028,
03/27,0.025,0.025,0.033,0.03,
03/28,0.015,0.015,0.022,0.022,
03/29,0.015,0.015,0.025,0.025,
03/30,0.025,0.025,0.033,0.033,
03/31,0.03,0.03,0.04,0.033,
04/01,0.03,0.03,0.048,0.037,
04/02,0.03,0.03,0.05,0.04,
04/03,0.028,0.028,0.057,0.04,
04/04,0.04,0.04,0.07,0.05,
04/05,0.042,0.042,0.062,0.053,
04/06,0.045,0.045,0.051,0.043,
04/07,0.055,0.055,0.06,0.051,
04/08,0.075,0.075,0.081,0.061,
04/09,0.06,0.06,0.063,0.053,
04/10,0.041,0.041,0.063,0.053,
04/11,0.041,0.041,0.063,0.051,
04/12,0.043,0.043,0.069,0.053,
04/13,0.037,0.037,0.069,0.05,
04/14,0.031,0.031,0.054,0.037,
04/15,0.037,0.037,0.056,0.041,
04/16,0.053,0.053,0.081,0.059,
04/17,0.054,0.054,0.076,0.056,
04/18,0.073,0.073,0.096,0.068,
04/19,0.083,0.083,0.107,0.077,
04/20,0.081,0.081,0.114,0.083,0.03
04/21,0.085,0.085,0.113,0.08,0.04
04/22,0.085,0.085,0.113,0.083,0.04
04/23,0.08,0.08,0.106,0.074,0.03
04/24,0.068,0.068,0.088,0.064,0.03
04/25,0.085,0.086,0.106,0.077,0.03
04/26,0.086,0.086,0.106,0.08,0.04
04/27,0.11,0.11,0.129,0.096,0.04
04/28,0.114,0.115,0.135,0.1,0.05
04/29,0.101,0.104,0.116,0.087,0.05
04/30,0.095,0.096,0.11,0.081,0.05
05/01,0.114,0.116,0.129,0.095,0.033
05/02,0.113,0.118,0.122,0.096,0.04
05/03,0.124,0.129,0.135,0.105,0.037
05/04,0.142,0.149,0.152,0.12,0.043
05/05,0.151,0.159,0.16,0.128,0.048
05/06,0.158,0.168,0.168,0.134,0.045
05/07,0.145,0.152,0.15,0.12,0.04
05/08,0.131,0.139,0.134,0.109,0.04
05/09,0.141,0.151,0.144,0.115,0.048
05/10,0.138,0.149,0.139,0.113,0.045
05/11,0.151,0.165,0.15,0.124,0.055
05/12,0.161,0.177,0.158,0.131,0.058
05/13,0.149,0.166,0.145,0.119,0.055
05/14,0.166,0.184,0.163,0.134,0.058
05/15,0.159,0.176,0.154,0.128,0.057
05/16,0.17,0.188,0.164,0.136,0.066
05/17,0.15,0.168,0.143,0.119,0.07
05/18,0.158,0.179,0.15,0.126,0.086
05/19,0.17,0.19,0.16,0.135,0.096
05/20,0.144,0.163,0.136,0.115,0.067
05/21,0.138,0.155,0.129,0.11,0.069
05/22,0.154,0.177,0.145,0.124,0.081
05/23,0.133,0.154,0.125,0.107,0.07
05/24,0.145,0.17,0.139,0.117,0.086
05/25,0.16,0.188,0.15,0.128,0.098
05/26,0.169,0.199,0.16,0.138,0.115
05/27,0.177,0.206,0.165,0.141,0.122
05/28,0.155,0.182,0.145,0.125,0.111
05/29,0.161,0.188,0.15,0.128,0.116
05/30,0.186,0.219,0.175,0.149,0.143
05/31,0.193,0.225,0.18,0.152,0.154
06/01,0.184,0.217,0.174,0.149,0.16
06/02,0.181,0.211,0.166,0.144,0.159
06/03,0.21,0.247,0.2,0.168,0.19
06/04,0.209,0.244,0.194,0.168,0.188
06/05,0.216,0.254,0.203,0.173,0.204
06/06,0.201,0.235,0.188,0.161,0.191
06/07,0.194,0.228,0.18,0.155,0.188
06/08,0.19,0.223,0.177,0.15,0.186
06/09,0.223,0.261,0.21,0.177,0.225
06/10,0.196,0.229,0.182,0.156,0.204
06/11,0.211,0.251,0.201,0.169,0.226
06/12,0.221,0.259,0.206,0.175,0.24
06/13,0.179,0.21,0.168,0.143,0.201
06/14,0.199,0.233,0.185,0.159,0.219
06/15,0.22,0.258,0.204,0.176,0.246
06/16,0.195,0.231,0.185,0.156,0.223
06/17,0.191,0.225,0.18,0.154,0.217
06/18,0.204,0.241,0.193,0.163,0.234
06/19,0.206,0.243,0.194,0.166,0.237
06/20,0.209,0.246,0.196,0.167,0.24
06/21,0.223,0.26,0.207,0.179,0.257
06/22,0.221,0.26,0.207,0.179,0.257
06/23,0.217,0.254,0.203,0.173,0.253
06/24,0.2,0.236,0.189,0.16,0.234
06/25,0.21,0.247,0.199,0.169,0.246
06/26,0.234,0.273,0.22,0.183,0.271
