# Station Code,covm
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:28
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,SGRN
02/25,,,0.01,,
02/26,,,0.01,,
02/27,,,0.01,,
02/28,,,0.01,,
03/01,,,0.01,0.01,
03/02,,,0.01,0.02,
03/03,,,0.01,0.01,
03/04,,,0.01,0.02,
03/05,,,0.02,0.03,
03/06,,,0.02,0.027,
03/07,,,0.02,0.023,
03/08,,,0.025,0.033,
03/09,,,0.035,0.03,
03/10,0.02,0.02,0.035,0.03,
03/11,0.01,0.01,0.02,0.02,
03/12,0.02,0.02,0.03,0.03,
03/13,0.02,0.02,0.035,0.033,
03/14,0.03,0.03,0.045,0.033,
03/15,0.02,0.02,0.055,0.043,0.02
03/16,0.023,0.023,0.035,0.037,0.03
03/17,0.01,0.01,0.025,0.023,0.02
03/18,0.013,0.013,0.04,0.027,0.02
03/19,0.023,0.023,0.055,0.04,0.02
03/20,0.027,0.027,0.037,0.037,0.02
03/21,0.027,0.027,0.038,0.032,0.02
03/22,0.027,0.027,0.035,0.034,0.02
03/23,0.027,0.027,0.043,0.036,0.02
03/24,0.02,0.02,0.033,0.032,0.02
03/25,0.025,0.025,0.028,0.03,0.02
03/26,0.03,0.03,0.037,0.034,0.02
03/27,0.04,0.04,0.04,0.031,0.02
03/28,0.035,0.035,0.043,0.036,0.03
03/29,0.035,0.035,0.043,0.036,0.02
03/30,0.048,0.048,0.053,0.043,0.02
03/31,0.048,0.048,0.053,0.041,0.03
04/01,0.035,0.035,0.053,0.039,0.03
04/02,0.04,0.04,0.06,0.047,0.04
04/03,0.05,0.05,0.075,0.054,0.06
04/04,0.042,0.042,0.063,0.046,0.06
04/05,0.047,0.047,0.052,0.042,0.033
04/06,0.053,0.053,0.05,0.043,0.037
04/07,0.065,0.065,0.06,0.051,0.05
04/08,0.077,0.077,0.069,0.053,0.053
04/09,0.073,0.073,0.063,0.053,0.05
04/10,0.048,0.048,0.061,0.052,0.06
04/11,0.043,0.043,0.06,0.052,0.05
04/12,0.042,0.042,0.06,0.05,0.047
04/13,0.045,0.045,0.064,0.052,0.047
04/14,0.045,0.045,0.07,0.055,0.06
04/15,0.046,0.046,0.065,0.054,0.038
04/16,0.048,0.048,0.068,0.055,0.038
04/17,0.067,0.067,0.088,0.068,0.047
04/18,0.074,0.075,0.098,0.076,0.055
04/19,0.083,0.083,0.101,0.078,0.062
04/20,0.074,0.075,0.097,0.075,0.057
04/21,0.078,0.079,0.102,0.075,0.055
04/22,0.081,0.082,0.105,0.078,0.05
04/23,0.071,0.072,0.09,0.068,0.05
04/24,0.075,0.075,0.093,0.071,0.048
04/25,0.086,0.088,0.105,0.078,0.045
04/26,0.078,0.078,0.096,0.072,0.039
04/27,0.101,0.102,0.121,0.088,0.05
04/28,0.102,0.107,0.119,0.09,0.058
04/29,0.101,0.104,0.114,0.087,0.058
04/30,0.097,0.101,0.11,0.085,0.054
05/01,0.115,0.121,0.129,0.098,0.068
05/02,0.128,0.135,0.139,0.109,0.077
05/03,0.128,0.135,0.137,0.109,0.077
05/04,0.134,0.142,0.143,0.116,0.08
05/05,0.135,0.143,0.147,0.115,0.075
05/06,0.127,0.136,0.132,0.107,0.072
05/07,0.113,0.122,0.118,0.095,0.068
05/08,0.135,0.145,0.139,0.114,0.085
05/09,0.123,0.132,0.122,0.1,0.079
05/10,0.138,0.147,0.135,0.112,0.086
05/11,0.135,0.144,0.134,0.11,0.087
05/12,0.148,0.159,0.145,0.12,0.098
05/13,0.152,0.166,0.146,0.122,0.109
05/14,0.162,0.178,0.155,0.13,0.119
05/15,0.148,0.158,0.139,0.118,0.107
05/16,0.129,0.141,0.124,0.102,0.099
05/17,0.122,0.135,0.115,0.097,0.1
05/18,0.127,0.14,0.12,0.1,0.105
05/19,0.124,0.138,0.117,0.098,0.1
05/20,0.119,0.134,0.113,0.095,0.104
05/21,0.134,0.153,0.127,0.107,0.118
05/22,0.138,0.159,0.129,0.109,0.131
05/23,0.137,0.16,0.128,0.11,0.133
05/24,0.139,0.164,0.133,0.113,0.141
05/25,0.139,0.163,0.132,0.113,0.142
05/26,0.132,0.154,0.123,0.106,0.137
05/27,0.141,0.166,0.134,0.114,0.147
05/28,0.147,0.173,0.139,0.119,0.157
05/29,0.164,0.192,0.153,0.13,0.175
05/30,0.152,0.178,0.142,0.121,0.166
05/31,0.149,0.175,0.142,0.119,0.166
06/01,0.141,0.166,0.133,0.112,0.158
06/02,0.142,0.167,0.135,0.113,0.162
06/03,0.165,0.194,0.155,0.134,0.188
06/04,0.174,0.205,0.164,0.139,0.197
06/05,0.175,0.207,0.165,0.139,0.201
06/06,0.177,0.207,0.166,0.14,0.202
06/07,0.17,0.2,0.16,0.136,0.198
06/08,0.172,0.202,0.162,0.139,0.2
06/09,0.176,0.207,0.167,0.142,0.205
06/10,0.152,0.178,0.142,0.122,0.177
06/11,0.168,0.198,0.158,0.135,0.196
06/12,0.179,0.212,0.17,0.144,0.211
06/13,0.165,0.194,0.155,0.134,0.194
06/14,0.177,0.208,0.166,0.142,0.208
06/15,0.165,0.195,0.158,0.132,0.195
06/16,0.152,0.178,0.143,0.122,0.178
06/17,0.158,0.184,0.147,0.125,0.184
06/18,0.15,0.175,0.14,0.119,0.175
06/19,0.161,0.189,0.152,0.129,0.189
06/20,0.165,0.195,0.156,0.132,0.195
06/21,0.195,0.228,0.182,0.155,0.228
06/22,0.2,0.235,0.188,0.16,0.235
06/23,0.182,0.215,0.172,0.145,0.215
06/24,0.185,0.217,0.175,0.148,0.217
06/25,0.192,0.227,0.182,0.155,0.227
06/26,0.196,0.231,0.185,0.157,0.231
06/27,0.199,0.234,0.186,0.159,0.234
06/28,0.198,0.231,0.184,0.158,0.231
06/29,0.181,0.212,0.169,0.145,0.212
06/30,0.202,0.235,0.187,0.16,0.235
07/01,0.217,0.255,0.203,0.173,0.255
07/02,0.222,0.261,0.21,0.178,0.261
07/03,0.218,0.255,0.204,0.175,0.255
07/04,0.215,0.25,0.2,0.169,0.249
07/05,0.209,0.245,0.195,0.167,0.244
07/06,0.208,0.245,0.196,0.166,0.243
07/07,0.199,0.235,0.188,0.16,0.233
07/08,0.213,0.252,0.201,0.172,0.248
07/09,0.21,0.248,0.2,0.168,0.245
07/10,0.205,0.24,0.192,0.163,0.234
07/11,0.201,0.236,0.189,0.161,0.231
07/12,0.199,0.236,0.189,0.162,0.23
07/13,0.197,0.232,0.185,0.158,0.225
07/14,0.207,0.243,0.195,0.165,0.237
07/15,0.199,0.235,0.188,0.162,0.23
07/16,0.198,0.232,0.186,0.158,0.223
07/17,0.205,0.242,0.195,0.165,0.229
07/18,0.218,0.256,0.204,0.175,0.245
07/19,0.218,0.255,0.204,0.174,0.238
07/20,0.224,0.263,0.21,0.179,0.242
07/21,0.222,0.261,0.208,0.177,0.24
07/22,0.215,0.252,0.202,0.172,0.229
07/23,0.212,0.25,0.202,0.168,0.222
07/24,0.228,0.268,0.213,0.184,0.231
07/25,0.212,0.25,0.199,0.169,0.202
07/26,0.205,0.241,0.192,0.165,0.207
07/27,0.201,0.235,0.185,0.16,0.194
07/28,0.2,0.235,0.188,0.161,0.184
07/29,0.218,0.257,0.203,0.174,0.191
07/30,0.216,0.255,0.203,0.172,0.177
07/31,0.216,0.255,0.205,0.174,0.164
08/01,0.198,0.233,0.186,0.159,0.13
08/02,0.197,0.232,0.185,0.158,0.144
08/03,0.2,0.235,0.189,0.16,0.135
08/04,0.192,0.225,0.178,0.153,0.112
08/05,0.165,0.193,0.155,0.132,0.067
08/06,0.185,0.218,0.174,0.148,0.107
08/07,0.185,0.219,0.175,0.149,0.111
08/08,0.184,0.217,0.174,0.148,0.093
08/09,0.174,0.203,0.162,0.139,0.081
08/10,0.175,0.205,0.164,0.142,0.033
08/11,0.182,0.213,0.17,0.145,0.105
08/12,0.177,0.208,0.166,0.142,0.09
08/13,0.175,0.206,0.165,0.139,0.08
08/14,0.19,0.222,0.176,0.152,0.07
08/15,0.182,0.214,0.17,0.146,0.0
08/16,0.178,0.211,0.168,0.143,
08/17,0.173,0.202,0.162,0.138,
08/18,0.179,0.209,0.167,0.143,
08/19,0.178,0.208,0.166,0.143,
08/20,0.151,0.177,0.142,0.121,
08/21,0.152,0.179,0.144,0.123,
08/22,0.152,0.177,0.142,0.121,
08/23,0.153,0.182,0.145,0.122,
08/24,0.148,0.175,0.141,0.118,
08/25,0.15,0.176,0.142,0.12,
08/26,0.145,0.171,0.136,0.115,
08/27,0.153,0.182,0.145,0.122,
08/28,0.154,0.18,0.145,0.12,
08/29,0.152,0.18,0.142,0.121,
08/30,0.142,0.168,0.134,0.112,
08/31,0.141,0.167,0.132,0.11,
09/01,0.161,0.189,0.151,0.125,
09/02,0.152,0.178,0.142,0.117,
