# Station Code,crsm
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:28
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,CHRY,LAWN,PAST,PEAS,POTA,PPMT,SGRN,SPMT,WGRN
02/24,,,,0.0,,,,,,,
02/25,,,,0.01,,,,,,,
02/26,,,,0.01,,,,,,,
02/27,,,,0.01,,,,,,,
02/28,,,,0.01,,,,,,,
03/01,,,,0.01,0.01,,,,,,0.01
03/02,,,,0.01,0.01,,,,,,0.01
03/03,,,,0.01,0.01,,,,,,0.01
03/04,,,,0.01,0.01,,,,,,0.02
03/05,,,,0.01,0.01,,,,,,0.015
03/06,,,,0.01,0.015,,,,,,0.02
03/07,,,,0.015,0.02,,,,,,0.025
03/08,,,,0.015,0.02,,,,,,0.03
03/09,,,,0.025,0.025,,,,,,0.035
03/10,0.02,0.02,,0.025,0.03,,,,,,0.04
03/11,0.01,0.01,,0.02,0.02,,,,,,0.03
03/12,0.01,0.01,,0.025,0.025,,,,,,0.035
03/13,0.02,0.02,,0.03,0.025,,,,,,0.04
03/14,0.01,0.01,,0.015,0.015,,,,,,0.025
03/15,0.01,0.01,,0.01,0.015,,,,,,0.02
03/16,0.01,0.01,,0.025,0.017,,,,,,0.022
03/17,0.005,0.005,,0.015,0.017,,,,,,0.025
03/18,0.005,0.005,,0.02,0.02,,,,,,0.025
03/19,0.02,0.02,,0.045,0.03,,,,,,0.04
03/20,0.013,0.013,,0.033,0.025,,,,,,0.036
03/21,0.02,0.02,,0.03,0.025,,,,,,0.03
03/22,0.02,0.02,,0.028,0.023,,,,,,0.031
03/23,0.01,0.01,,0.025,0.025,,,,,,0.033
03/24,0.023,0.023,,0.035,0.027,,,,,,0.033
03/25,0.015,0.015,,0.022,0.024,,,,,,0.033
03/26,0.015,0.015,,0.023,0.026,,,,,,0.034
03/27,0.025,0.025,,0.028,0.024,,,,,,0.036
03/28,0.02,0.02,,0.028,0.025,,,,,,0.037
03/29,0.033,0.033,,0.048,0.036,,,,,,0.056
03/30,0.037,0.037,,0.047,0.036,,,,,,0.054
03/31,0.037,0.037,,0.043,0.034,,,,,,0.053
04/01,0.033,0.033,,0.057,0.043,,,,,,0.058
04/02,0.034,0.034,,0.053,0.043,,,,,,0.054
04/03,0.034,0.034,,0.062,0.043,,,,,,0.053
04/04,0.03,0.03,,0.052,0.035,,,,,,0.048
04/05,0.04,0.04,,0.048,0.04,,,,0.02,,0.058
04/06,0.043,0.043,,0.047,0.041,,,,0.025,,0.066
04/07,0.045,0.045,,0.051,0.045,,,,0.03,,0.067
04/08,0.063,0.063,,0.063,0.056,,,,0.04,,0.083
04/09,0.062,0.062,,0.059,0.053,,,,0.035,,0.079
04/10,0.036,0.036,,0.054,0.046,0.01,,,0.035,,0.065
04/11,0.043,0.043,,0.058,0.05,0.02,,,0.03,,0.07
04/12,0.035,0.035,,0.048,0.043,0.02,,,0.02,,0.054
04/13,0.041,0.041,,0.057,0.047,0.02,,,0.027,,0.062
04/14,0.042,0.042,,0.066,0.054,0.03,,,0.023,,0.068
04/15,0.046,0.046,,0.059,0.051,0.02,,,0.023,,0.067
04/16,0.048,0.048,,0.064,0.053,0.018,,,0.023,,0.073
04/17,0.062,0.062,,0.076,0.061,0.02,,,0.029,,0.083
04/18,0.059,0.059,,0.074,0.058,0.025,,,0.029,,0.08
04/19,0.067,0.068,,0.083,0.064,0.022,,,0.031,,0.09
04/20,0.071,0.072,,0.088,0.069,0.025,,,0.036,,0.097
04/21,0.078,0.079,,0.102,0.076,0.028,,,0.04,,0.109
04/22,0.078,0.078,,0.095,0.072,0.035,,,0.036,,0.101
04/23,0.07,0.071,,0.091,0.069,0.035,,,0.031,,0.095
04/24,0.078,0.08,,0.095,0.075,0.04,,,0.036,,0.101
04/25,0.084,0.085,,0.1,0.078,0.038,,0.02,0.037,,0.106
04/26,0.085,0.087,,0.096,0.076,0.038,,0.015,0.04,,0.108
04/27,0.084,0.087,,0.099,0.075,0.036,,0.025,0.041,,0.109
04/28,0.11,0.113,,0.123,0.097,0.042,,0.035,0.054,,0.137
04/29,0.095,0.097,,0.108,0.082,0.036,,0.025,0.049,,0.118
04/30,0.094,0.098,,0.105,0.082,0.026,,0.035,0.051,,0.118
05/01,0.125,0.13,,0.138,0.11,0.04,,0.033,0.065,0.034,0.154
05/02,0.136,0.142,,0.147,0.115,0.044,,0.04,0.082,0.04,0.164
05/03,0.115,0.121,,0.122,0.098,0.038,,0.022,0.065,0.028,0.138
05/04,0.142,0.15,,0.152,0.122,0.052,,0.03,0.08,0.03,0.17
05/05,0.118,0.125,0.033,0.122,0.098,0.042,0.045,0.025,0.071,0.03,0.142
05/06,0.122,0.13,0.03,0.123,0.103,0.053,0.045,0.033,0.073,0.028,0.145
05/07,0.111,0.12,0.028,0.11,0.092,0.043,0.05,0.033,0.074,0.032,0.13
05/08,0.128,0.138,0.035,0.129,0.107,0.05,0.045,0.033,0.084,0.032,0.152
05/09,0.125,0.135,0.033,0.123,0.102,0.048,0.045,0.033,0.083,0.028,0.146
05/10,0.152,0.165,0.039,0.151,0.125,0.063,0.058,0.034,0.107,0.034,0.178
05/11,0.156,0.169,0.042,0.152,0.128,0.06,0.058,0.034,0.114,0.035,0.181
05/12,0.155,0.172,0.039,0.154,0.127,0.067,0.05,0.034,0.117,0.035,0.182
05/13,0.16,0.178,0.041,0.157,0.131,0.067,0.048,0.034,0.122,0.035,0.187
05/14,0.17,0.186,0.045,0.165,0.136,0.073,0.05,0.036,0.129,0.035,0.195
05/15,0.163,0.178,0.045,0.157,0.132,0.058,0.048,0.038,0.124,0.037,0.186
05/16,0.148,0.164,0.044,0.14,0.12,0.055,0.053,0.038,0.127,0.034,0.172
