# Station Code,csvu
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:29
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,CHRY,LAWN,PAST,PEAR
02/26,,,,,0.02,0.03,
02/27,,,,,0.03,0.04,
02/28,,,,,0.02,0.03,
03/01,0.02,0.02,,,0.02,0.03,
03/02,0.02,0.02,,,0.04,0.04,
03/03,0.02,0.02,,,0.03,0.03,
03/04,0.02,0.02,,,0.04,0.03,
03/05,0.03,0.03,,,0.033,0.04,
03/06,0.02,0.02,,,0.033,0.033,
03/07,0.02,0.02,,,0.033,0.033,
03/08,0.03,0.03,,,0.043,0.04,
03/09,0.03,0.03,,,0.04,0.04,
03/10,0.027,0.027,,,0.05,0.047,
03/11,0.017,0.017,,,0.033,0.033,
03/12,0.027,0.027,,,0.045,0.043,
03/13,0.037,0.037,,,0.06,0.05,
03/14,0.04,0.04,,,0.07,0.055,
03/15,0.04,0.04,0.03,0.07,0.068,0.06,0.03
03/16,0.043,0.043,0.04,0.08,0.053,0.049,0.04
03/17,0.055,0.055,0.04,0.09,0.069,0.057,0.04
03/18,0.05,0.05,0.03,0.07,0.066,0.056,0.03
03/19,0.06,0.06,0.04,0.09,0.077,0.067,0.04
03/20,0.049,0.049,0.04,0.09,0.077,0.067,0.04
03/21,0.046,0.046,0.04,0.1,0.084,0.064,0.04
03/22,0.05,0.05,0.04,0.09,0.094,0.07,0.04
03/23,0.054,0.054,0.07,0.14,0.093,0.067,0.06
03/24,0.055,0.055,0.04,0.09,0.096,0.069,0.04
03/25,0.061,0.061,0.04,0.09,0.089,0.069,0.04
03/26,0.069,0.069,0.04,0.09,0.093,0.07,0.04
03/27,0.071,0.071,0.05,0.11,0.094,0.072,0.04
03/28,0.081,0.081,0.06,0.12,0.102,0.076,0.05
03/29,0.08,0.08,0.06,0.13,0.107,0.08,0.05
03/30,0.083,0.083,0.07,0.13,0.101,0.077,0.05
03/31,0.094,0.094,0.08,0.15,0.109,0.081,0.06
04/01,0.104,0.104,0.09,0.16,0.134,0.097,0.05
04/02,0.109,0.109,0.08,0.14,0.144,0.104,0.06
04/03,0.096,0.096,0.06,0.1,0.128,0.091,0.05
04/04,0.113,0.114,0.08,0.13,0.143,0.103,0.04
04/05,0.141,0.142,0.11,0.17,0.169,0.124,0.045
04/06,0.141,0.142,0.14,0.2,0.163,0.119,0.055
04/07,0.14,0.141,0.12,0.17,0.164,0.122,0.05
04/08,0.149,0.151,0.11,0.15,0.178,0.129,0.05
04/09,0.144,0.147,0.08,0.12,0.168,0.123,0.045
04/10,0.138,0.141,0.067,0.16,0.159,0.118,0.045
04/11,0.163,0.169,0.077,0.18,0.187,0.139,0.053
04/12,0.168,0.173,0.077,0.2,0.184,0.139,0.05
04/13,0.157,0.162,0.077,0.18,0.172,0.131,0.05
04/14,0.177,0.183,0.09,0.23,0.187,0.144,0.052
04/15,0.151,0.157,0.073,0.17,0.158,0.122,0.048
04/16,0.152,0.156,0.05,0.07,0.162,0.124,0.037
04/17,0.161,0.167,0.04,0.03,0.168,0.131,0.037
04/18,0.179,0.189,0.063,0.1,0.187,0.148,0.05
04/19,0.193,0.203,0.08,0.13,0.194,0.156,0.052
04/20,0.18,0.19,0.08,0.15,0.179,0.146,0.05
04/21,0.184,0.2,0.103,0.19,0.18,0.147,0.058
04/22,0.183,0.198,0.09,0.17,0.178,0.147,0.053
04/23,0.209,0.228,0.107,0.2,0.203,0.166,0.062
04/24,0.196,0.213,0.107,0.21,0.188,0.154,0.055
04/25,0.183,0.201,0.077,0.093,0.174,0.144,0.046
04/26,0.174,0.191,0.06,0.073,0.167,0.137,0.042
04/27,0.196,0.217,0.113,0.13,0.184,0.156,0.062
04/28,0.196,0.219,0.103,0.123,0.186,0.154,0.058
04/29,0.209,0.238,0.127,0.143,0.198,0.164,0.066
04/30,0.201,0.228,0.083,0.137,0.191,0.16,0.058
05/01,0.214,0.249,0.089,0.12,0.202,0.17,0.062
05/02,0.212,0.247,0.091,0.124,0.202,0.17,0.064
05/03,0.208,0.242,0.089,0.121,0.197,0.166,0.062
05/04,0.21,0.243,0.087,0.126,0.196,0.168,0.065
05/05,0.218,0.254,0.091,0.128,0.204,0.173,0.064
05/06,0.221,0.258,0.104,0.14,0.207,0.178,0.069
05/07,0.247,0.288,0.114,0.159,0.23,0.197,0.076
05/08,0.244,0.287,0.124,0.164,0.23,0.196,0.079
05/09,0.202,0.24,0.103,0.135,0.193,0.163,0.069
05/10,0.201,0.236,0.099,0.138,0.188,0.16,0.069
05/11,0.219,0.258,0.111,0.157,0.207,0.176,0.076
05/12,0.247,0.288,0.129,0.182,0.23,0.196,0.087
05/13,0.269,0.314,0.147,0.207,0.253,0.211,0.099
05/14,0.236,0.277,0.128,0.183,0.22,0.188,0.083
05/15,0.254,0.297,0.143,0.2,0.237,0.2,0.091
05/16,0.239,0.28,0.139,0.196,0.224,0.191,0.089
05/17,0.23,0.27,0.144,0.199,0.216,0.184,0.09
05/18,0.233,0.273,0.149,0.202,0.218,0.187,0.092
05/19,0.233,0.274,0.159,0.21,0.22,0.188,0.098
05/20,0.236,0.278,0.173,0.219,0.222,0.189,0.102
05/21,0.222,0.261,0.166,0.214,0.208,0.176,0.098
05/22,0.211,0.248,0.167,0.209,0.198,0.168,0.099
05/23,0.233,0.274,0.187,0.238,0.22,0.188,0.106
05/24,0.25,0.293,0.208,0.261,0.234,0.198,0.12
05/25,0.251,0.294,0.211,0.269,0.236,0.199,0.122
05/26,0.254,0.299,0.224,0.278,0.239,0.201,0.127
05/27,0.258,0.303,0.236,0.289,0.244,0.206,0.133
05/28,0.254,0.299,0.238,0.287,0.24,0.204,0.136
05/29,0.24,0.283,0.228,0.277,0.228,0.193,0.132
05/30,0.26,0.304,0.251,0.302,0.243,0.206,0.149
05/31,0.269,0.317,0.266,0.32,0.252,0.214,0.158
06/01,0.273,0.322,0.272,0.327,0.259,0.22,0.163
06/02,0.272,0.32,0.278,0.328,0.254,0.217,0.169
06/03,0.279,0.327,0.288,0.333,0.259,0.22,0.176
06/04,0.293,0.344,0.31,0.353,0.276,0.234,0.191
06/05,0.293,0.346,0.313,0.359,0.278,0.234,0.191
06/06,0.261,0.307,0.28,0.319,0.246,0.209,0.171
06/07,0.292,0.344,0.317,0.357,0.278,0.233,0.196
06/08,0.294,0.347,0.321,0.361,0.278,0.237,0.206
06/09,0.31,0.364,0.34,0.378,0.292,0.247,0.221
06/10,0.319,0.374,0.354,0.39,0.299,0.254,0.236
06/11,0.279,0.328,0.307,0.339,0.263,0.222,0.201
06/12,0.319,0.374,0.351,0.388,0.3,0.252,0.243
06/13,0.301,0.352,0.333,0.366,0.28,0.24,0.233
06/14,0.304,0.358,0.339,0.371,0.287,0.243,0.237
06/15,0.292,0.343,0.327,0.357,0.274,0.234,0.234
06/16,0.297,0.349,0.332,0.364,0.278,0.238,0.243
06/17,0.302,0.353,0.338,0.368,0.282,0.24,0.25
06/18,0.3,0.352,0.334,0.366,0.28,0.239,0.254
06/19,0.317,0.376,0.357,0.391,0.3,0.256,0.276
06/20,0.322,0.379,0.361,0.394,0.303,0.258,0.282
06/21,0.299,0.351,0.334,0.364,0.281,0.238,0.266
06/22,0.319,0.373,0.357,0.389,0.3,0.252,0.283
06/23,0.292,0.342,0.328,0.356,0.273,0.233,0.264
06/24,0.291,0.342,0.327,0.357,0.272,0.232,0.268
06/25,0.314,0.37,0.353,0.386,0.294,0.251,0.292
06/26,0.308,0.362,0.347,0.378,0.289,0.248,0.29
06/27,0.327,0.381,0.366,0.397,0.304,0.259,0.308
06/28,0.327,0.386,0.371,0.401,0.31,0.262,0.314
06/29,0.302,0.354,0.34,0.368,0.284,0.241,0.293
06/30,0.281,0.33,0.319,0.341,0.264,0.224,0.276
07/01,0.256,0.301,0.292,0.31,0.242,0.203,0.25
07/02,0.276,0.324,0.313,0.336,0.26,0.219,0.276
07/03,0.302,0.356,0.346,0.369,0.283,0.241,0.306
07/04,0.32,0.379,0.369,0.396,0.302,0.26,0.328
07/05,0.292,0.344,0.333,0.357,0.277,0.232,0.3
07/06,0.297,0.349,0.339,0.363,0.279,0.239,0.304
07/07,0.296,0.349,0.339,0.362,0.28,0.238,0.307
07/08,0.309,0.363,0.353,0.38,0.289,0.249,0.324
07/09,0.306,0.359,0.349,0.374,0.287,0.242,0.321
07/10,0.32,0.376,0.368,0.392,0.299,0.257,0.339
07/11,0.291,0.342,0.336,0.354,0.274,0.232,0.312
07/12,0.282,0.333,0.328,0.344,0.267,0.226,0.308
07/13,0.299,0.352,0.347,0.366,0.281,0.24,0.33
07/14,0.281,0.332,0.329,0.343,0.266,0.224,0.313
07/15,0.277,0.324,0.321,0.334,0.259,0.22,0.307
07/16,0.296,0.348,0.344,0.36,0.279,0.237,0.336
07/17,0.314,0.37,0.367,0.386,0.296,0.251,0.359
07/18,0.298,0.351,0.349,0.363,0.28,0.237,0.343
07/19,0.276,0.324,0.322,0.338,0.258,0.222,0.317
07/20,0.283,0.333,0.331,0.346,0.267,0.228,0.329
07/21,0.279,0.326,0.323,0.337,0.259,0.222,0.323
07/22,0.281,0.331,0.331,0.342,0.267,0.226,0.337
07/23,0.289,0.341,0.341,0.353,0.274,0.232,0.348
07/24,0.256,0.301,0.301,0.312,0.241,0.204,0.311
07/25,0.247,0.289,0.289,0.297,0.231,0.196,0.298
07/26,0.257,0.302,0.302,0.311,0.242,0.206,0.312
07/27,0.268,0.314,0.314,0.324,0.25,0.214,0.329
07/28,0.252,0.297,0.297,0.306,0.238,0.201,0.313
07/29,0.273,0.321,0.321,0.331,0.258,0.217,0.338
07/30,0.263,0.309,0.309,0.319,0.247,0.21,0.326
07/31,0.263,0.31,0.31,0.318,0.247,0.21,0.328
08/01,0.243,0.287,0.287,0.29,0.23,0.196,0.304
08/02,0.24,0.281,0.281,0.285,0.226,0.191,0.3
08/03,0.257,0.3,0.3,0.302,0.238,0.204,0.321
08/04,0.25,0.293,0.293,0.293,0.234,0.199,0.316
08/05,0.264,0.312,0.312,0.31,0.249,0.21,0.333
08/06,0.274,0.323,0.323,0.318,0.259,0.22,0.346
08/07,0.25,0.293,0.293,0.287,0.234,0.2,0.312
08/08,0.273,0.322,0.322,0.312,0.258,0.22,0.341
08/09,0.27,0.317,0.317,0.306,0.253,0.213,0.333
08/10,0.276,0.324,0.324,0.311,0.26,0.221,0.341
08/11,0.257,0.304,0.304,0.288,0.246,0.209,0.319
08/12,0.237,0.278,0.278,0.26,0.221,0.19,0.289
08/13,0.268,0.316,0.316,0.296,0.253,0.214,0.323
08/14,0.252,0.298,0.298,0.276,0.24,0.202,0.3
08/15,0.25,0.293,0.293,0.267,0.236,0.2,0.289
08/16,0.24,0.281,0.281,0.253,0.224,0.19,0.277
08/17,0.249,0.292,0.292,0.262,0.234,0.199,0.281
08/18,0.26,0.306,0.306,0.272,0.246,0.207,0.281
08/19,0.221,0.26,0.26,0.228,0.207,0.176,0.239
08/20,0.232,0.274,0.273,0.24,0.219,0.187,0.243
08/21,0.241,0.281,0.28,0.244,0.226,0.19,0.232
08/22,0.237,0.276,0.272,0.237,0.22,0.188,0.214
08/23,0.232,0.273,0.269,0.233,0.219,0.186,0.207
08/24,0.231,0.273,0.267,0.231,0.22,0.184,0.188
08/25,0.226,0.264,0.258,0.222,0.211,0.179,0.16
08/26,0.224,0.263,0.258,0.22,0.21,0.179,0.186
08/27,0.231,0.272,0.26,0.226,0.219,0.184,0.181
08/28,0.231,0.271,0.256,0.222,0.214,0.183,0.161
08/29,0.237,0.277,0.254,0.222,0.221,0.187,0.147
08/30,0.243,0.284,0.26,0.227,0.227,0.191,0.124
08/31,0.237,0.277,0.251,0.216,0.221,0.183,0.132
09/01,0.209,0.244,0.214,0.19,0.196,0.162,0.042
09/02,0.209,0.246,0.213,0.187,0.194,0.164,0.125
09/03,0.21,0.247,0.21,0.184,0.198,0.163,0.125
09/04,0.224,0.263,0.22,0.192,0.211,0.174,0.105
09/05,0.219,0.256,0.208,0.184,0.203,0.17,0.0
09/06,0.239,0.28,0.221,0.199,0.223,0.187,
09/07,0.226,0.266,0.206,0.183,0.213,0.173,
09/08,0.223,0.263,0.202,0.182,0.211,0.172,
09/09,0.214,0.252,0.186,0.169,0.202,0.167,
09/10,0.199,0.233,0.168,0.152,0.188,0.151,
09/11,0.21,0.247,0.176,0.156,0.197,0.16,
09/12,0.206,0.242,0.168,0.148,0.194,0.157,
09/13,0.203,0.238,0.162,0.14,0.19,0.153,
09/14,0.192,0.227,0.15,0.129,0.18,0.144,
09/15,0.181,0.213,0.141,0.117,0.171,0.136,
09/16,0.186,0.216,0.139,0.111,0.172,0.138,
09/17,0.202,0.237,0.147,0.119,0.189,0.149,
09/18,0.197,0.23,0.137,0.111,0.186,0.144,
09/19,0.226,0.264,0.154,0.121,0.212,0.164,
09/20,0.187,0.218,0.126,0.004,0.174,0.134,
09/21,0.173,0.203,0.114,0.02,0.162,0.124,
09/22,0.178,0.209,0.111,0.1,0.167,0.128,
09/23,0.168,0.198,0.1,0.1,0.159,0.12,
09/24,0.176,0.207,0.104,0.09,0.164,0.126,
09/25,0.182,0.213,0.086,0.0,0.17,0.128,
09/26,0.181,0.213,0.106,,0.17,0.126,
09/27,0.182,0.214,0.103,,0.171,0.123,
09/28,0.176,0.207,0.099,,0.166,0.118,
09/29,0.164,0.192,0.09,,0.153,0.108,
09/30,0.153,0.179,0.03,,0.142,0.098,
10/01,0.141,0.168,0.11,,0.133,0.091,
10/02,0.127,0.149,0.09,,0.12,0.078,
10/03,0.147,0.172,0.09,,0.138,0.087,
10/04,0.154,0.18,0.095,,0.144,0.09,
10/05,0.137,0.161,0.0,,0.128,0.076,
10/06,0.131,0.152,,,0.121,0.07,
10/07,0.124,0.146,,,0.118,0.067,
10/08,0.132,0.156,,,0.123,0.07,
10/09,0.138,0.16,,,0.128,0.071,
10/10,0.047,0.057,,,0.047,0.033,
10/11,0.15,0.18,,,0.14,0.11,
10/12,0.14,0.17,,,0.14,0.1,
10/13,0.15,0.18,,,0.14,0.11,
10/14,0.14,0.17,,,0.14,0.1,
10/15,0.15,0.18,,,0.14,0.1,
10/16,0.15,0.18,,,0.14,0.1,
10/17,0.09,0.11,,,0.09,0.06,
10/18,0.07,0.08,,,0.06,0.04,
10/19,0.09,0.11,,,0.09,0.06,
10/20,0.07,0.08,,,0.06,0.04,
10/21,0.04,0.05,,,0.04,0.03,
10/22,0.06,0.07,,,0.06,0.04,
10/23,0.07,0.08,,,0.06,0.04,
10/24,0.08,0.09,,,0.07,0.04,
10/25,0.06,0.07,,,0.06,0.03,
10/26,0.08,0.09,,,0.07,0.04,
10/27,0.12,0.14,,,0.11,0.06,
10/28,0.06,0.07,,,0.06,0.03,
10/29,0.07,0.08,,,0.06,0.03,
10/30,0.08,0.09,,,0.07,0.04,
10/31,0.08,0.09,,,0.07,0.04,
