# Station Code,defo
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:29
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,BLUB,CHRY,LAWN,PAST,PEAR
03/02,,,,,,0.005,0.01,
03/03,,,,,,0.01,0.015,
03/04,,,,,,0.01,0.02,
03/05,0.005,0.005,,,,0.013,0.02,
03/06,0.015,0.015,,,,0.013,0.022,
03/07,0.015,0.015,,,,0.02,0.025,
03/08,0.015,0.015,,,,0.018,0.02,
03/09,0.02,0.02,,,,0.028,0.028,
03/10,0.015,0.015,,,,0.028,0.025,
03/11,0.018,0.018,,,,0.028,0.026,
03/12,0.02,0.02,,,,0.038,0.032,
03/13,0.018,0.018,,,,0.03,0.018,
03/14,0.015,0.015,,,,0.026,0.02,
03/15,0.02,0.02,,,,0.032,0.02,
03/16,0.026,0.026,,,,0.028,0.027,
03/17,0.024,0.024,,,,0.026,0.025,
03/18,0.03,0.03,,,,0.032,0.029,
03/19,0.032,0.032,,,,0.034,0.029,
03/20,0.02,0.02,,,,0.033,0.026,
03/21,0.02,0.02,,,,0.035,0.027,
03/22,0.024,0.024,,,,0.044,0.032,
03/23,0.025,0.025,,,,0.046,0.035,
03/24,0.028,0.028,,,,0.05,0.035,
03/25,0.027,0.027,,,,0.042,0.032,
03/26,0.028,0.028,,,,0.046,0.032,
03/27,0.034,0.034,,,,0.05,0.037,
03/28,0.035,0.035,,,,0.052,0.037,
03/29,0.042,0.042,,,,0.055,0.041,
03/30,0.048,0.048,,,,0.062,0.046,
03/31,0.051,0.051,,,,0.068,0.048,
04/01,0.052,0.052,,0.025,,0.073,0.051,0.01
04/02,0.055,0.055,,0.023,,0.075,0.053,0.015
04/03,0.057,0.057,,0.023,,0.074,0.052,0.02
04/04,0.047,0.047,,0.017,,0.062,0.042,0.02
04/05,0.049,0.049,,0.023,,0.062,0.046,0.02
04/06,0.062,0.062,,0.02,0.03,0.072,0.052,0.02
04/07,0.073,0.073,,0.03,0.03,0.085,0.064,0.027
04/08,0.078,0.078,,0.037,0.05,0.089,0.066,0.027
04/09,0.084,0.085,,0.033,0.05,0.095,0.072,0.023
04/10,0.083,0.085,0.01,0.03,0.07,0.092,0.069,0.022
04/11,0.079,0.081,0.01,0.033,0.06,0.088,0.068,0.022
04/12,0.08,0.082,0.02,0.033,0.05,0.09,0.068,0.02
04/13,0.086,0.088,0.01,0.025,0.045,0.095,0.072,0.018
04/14,0.096,0.099,0.01,0.025,0.04,0.103,0.081,0.015
04/15,0.089,0.094,0.025,0.027,0.06,0.094,0.075,0.025
04/16,0.093,0.098,0.02,0.034,0.07,0.097,0.077,0.022
04/17,0.106,0.111,0.03,0.049,0.095,0.109,0.088,0.028
04/18,0.112,0.118,0.025,0.054,0.095,0.113,0.09,0.028
04/19,0.102,0.107,0.025,0.056,0.095,0.102,0.082,0.028
04/20,0.117,0.123,0.025,0.05,0.09,0.115,0.092,0.023
04/21,0.127,0.135,0.03,0.052,0.07,0.125,0.101,0.03
04/22,0.119,0.13,0.03,0.053,0.067,0.12,0.097,0.028
04/23,0.118,0.13,0.033,0.058,0.057,0.118,0.096,0.028
04/24,0.119,0.127,0.033,0.054,0.053,0.115,0.095,0.03
04/25,0.115,0.125,0.03,0.052,0.068,0.109,0.091,0.034
04/26,0.138,0.152,0.033,0.066,0.074,0.132,0.109,0.037
04/27,0.123,0.137,0.04,0.064,0.072,0.118,0.097,0.036
04/28,0.138,0.155,0.043,0.075,0.08,0.133,0.111,0.041
04/29,0.145,0.162,0.04,0.08,0.086,0.137,0.115,0.043
04/30,0.144,0.165,0.04,0.083,0.098,0.135,0.115,0.039
