# Station Code,drlm
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:29
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,PEAS,POTA,SGRN
04/06,,,0.022,0.033,,,
04/07,,,0.03,0.048,,,
04/08,,,0.03,0.048,,,
04/09,,,0.028,0.043,,,
04/10,0.025,0.025,0.038,0.042,,,
04/11,0.03,0.03,0.047,0.048,,,
04/12,0.022,0.022,0.042,0.038,,,
04/13,0.033,0.033,0.065,0.05,,,
04/14,0.028,0.028,0.052,0.04,,,
04/15,0.018,0.018,0.047,0.033,,,
04/16,0.02,0.02,0.052,0.038,,,
04/17,0.04,0.04,0.093,0.065,,,
04/18,0.043,0.043,0.102,0.07,,,
04/19,0.06,0.06,0.127,0.083,,,
04/20,0.055,0.055,0.09,0.065,,,
04/21,0.06,0.06,0.077,0.061,,,
04/22,0.067,0.067,0.083,0.067,,,
04/23,0.057,0.057,0.065,0.053,,,
04/24,0.051,0.051,0.062,0.053,,,
04/25,0.052,0.052,0.079,0.064,,,
04/26,0.052,0.052,0.077,0.061,,,
04/27,0.061,0.061,0.09,0.068,,,
04/28,0.066,0.066,0.102,0.077,,,
04/29,0.067,0.067,0.102,0.075,,,
04/30,0.069,0.069,0.105,0.078,,,
05/01,0.078,0.078,0.12,0.088,0.04,,
05/02,0.1,0.1,0.138,0.102,0.055,,
05/03,0.095,0.095,0.132,0.097,0.037,,
05/04,0.107,0.107,0.148,0.106,0.04,,
05/05,0.107,0.107,0.149,0.106,0.04,,
05/06,0.118,0.118,0.151,0.111,0.055,,
05/07,0.098,0.098,0.12,0.088,0.035,,
05/08,0.107,0.107,0.132,0.096,0.037,,
05/09,0.11,0.111,0.134,0.098,0.04,,
05/10,0.12,0.12,0.141,0.104,0.04,,0.037
05/11,0.126,0.128,0.147,0.107,0.038,,0.035
05/12,0.145,0.148,0.163,0.122,0.047,,0.043
05/13,0.148,0.152,0.162,0.125,0.052,,0.05
05/14,0.141,0.145,0.155,0.119,0.049,,0.043
05/15,0.145,0.148,0.162,0.124,0.053,,0.03
05/16,0.142,0.148,0.154,0.118,0.048,,0.03
05/17,0.128,0.134,0.134,0.103,0.043,,0.033
05/18,0.128,0.136,0.132,0.105,0.04,,0.028
05/19,0.127,0.135,0.132,0.105,0.042,,0.028
05/20,0.129,0.139,0.132,0.107,0.042,,0.03
05/21,0.147,0.159,0.148,0.121,0.048,,0.04
05/22,0.146,0.16,0.147,0.119,0.049,,0.045
05/23,0.14,0.155,0.139,0.115,0.045,,0.045
05/24,0.152,0.166,0.148,0.122,0.052,,0.047
05/25,0.157,0.177,0.152,0.127,0.057,,0.049
05/26,0.146,0.163,0.138,0.117,0.055,,0.047
05/27,0.155,0.174,0.149,0.125,0.059,,0.051
05/28,0.166,0.186,0.158,0.133,0.062,,0.058
05/29,0.169,0.189,0.161,0.134,0.066,,0.062
05/30,0.173,0.196,0.162,0.138,0.068,,0.065
05/31,0.181,0.206,0.172,0.146,0.074,,0.075
06/01,0.154,0.177,0.145,0.124,0.065,,0.062
06/02,0.164,0.189,0.152,0.13,0.071,,0.074
06/03,0.194,0.228,0.184,0.155,0.088,,0.092
06/04,0.219,0.255,0.205,0.175,0.1,,0.1
06/05,0.222,0.259,0.207,0.178,0.108,,0.112
06/06,0.208,0.244,0.194,0.166,0.106,,0.109
06/07,0.211,0.247,0.199,0.169,0.106,,0.108
06/08,0.188,0.219,0.175,0.149,0.101,,0.105
06/09,0.219,0.258,0.206,0.175,0.134,,0.135
06/10,0.185,0.216,0.172,0.148,0.113,0.07,0.128
06/11,0.188,0.218,0.174,0.149,0.116,0.02,0.135
06/12,0.209,0.246,0.197,0.167,0.139,0.02,0.16
06/13,0.205,0.24,0.192,0.163,0.143,0.06,0.164
06/14,0.211,0.248,0.198,0.168,0.149,0.06,0.162
06/15,0.195,0.229,0.185,0.157,0.149,0.072,0.162
06/16,0.187,0.22,0.177,0.148,0.148,0.068,0.162
06/17,0.189,0.222,0.178,0.151,0.158,0.075,0.171
06/18,0.185,0.218,0.174,0.148,0.156,0.072,0.171
06/19,0.194,0.228,0.183,0.155,0.165,0.063,0.191
06/20,0.176,0.208,0.167,0.141,0.152,0.063,0.174
06/21,0.206,0.242,0.195,0.165,0.184,0.073,0.205
06/22,0.215,0.254,0.205,0.173,0.202,0.08,0.221
06/23,0.218,0.257,0.205,0.175,0.212,0.081,0.23
06/24,0.223,0.262,0.21,0.178,0.221,0.085,0.235
06/25,0.228,0.268,0.215,0.182,0.232,0.086,0.245
06/26,0.24,0.282,0.226,0.193,0.246,0.094,0.263
06/27,0.222,0.261,0.208,0.177,0.235,0.089,0.243
06/28,0.234,0.275,0.22,0.186,0.255,0.097,0.26
06/29,0.232,0.273,0.218,0.185,0.258,0.099,0.259
06/30,0.234,0.275,0.22,0.186,0.263,0.101,0.265
