# Station Code,drpw
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:29
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,ALHM,ALHP,FCRN,GRSD,GRSF,HAYM,HAYP,LAWN,PAST,RAPE,RAPF,SGRN,WGRN
03/01,,,,,,0.01,,,,,,,,,
03/02,,,,,,0.0,0.03,,,,,,,,0.02
03/03,,,,,,0.01,0.04,,,,,,,,0.02
03/04,,,,,,0.01,0.03,,,,,,,,0.02
03/05,,,,,,0.02,0.02,,,0.01,0.015,,,,0.01
03/06,,,,,,0.02,0.02,,,0.01,0.015,,,,0.01
03/07,,,,,,0.03,0.01,,,0.01,0.015,,,,0.01
03/08,,,,,,0.04,0.02,,,0.01,0.015,,,,0.02
03/09,,,,,,0.03,0.02,,,0.01,0.02,,,,0.01
03/10,0.01,0.01,,,,0.02,0.01,,,0.01,0.025,,,,0.02
03/11,0.01,0.01,,,,0.02,0.04,,,0.01,0.015,,,,0.03
03/12,0.01,0.01,,,,0.03,0.03,,,0.01,0.02,,,,0.01
03/13,0.02,0.02,,,,0.01,0.03,,,0.01,0.025,,,,0.02
03/14,0.01,0.01,,,,0.02,0.01,,,0.02,0.02,,,,0.03
03/15,0.005,0.005,0.01,0.01,,0.027,0.02,,,0.02,0.015,,0.02,,0.017
03/16,0.015,0.015,0.01,0.01,,0.03,0.028,,,0.02,0.025,,0.03,,0.022
03/17,0.015,0.015,0.02,0.01,,0.028,0.025,,,0.04,0.025,,0.03,,0.028
03/18,0.02,0.02,0.02,0.02,,0.034,0.037,,,0.05,0.03,,0.04,,0.035
03/19,0.02,0.02,0.03,0.03,,0.03,0.035,,,0.07,0.04,,0.03,,0.037
03/20,0.02,0.02,0.02,0.02,,0.044,0.04,,,0.027,0.03,,0.025,,0.032
03/21,0.025,0.025,0.02,0.01,,0.032,0.033,,,0.027,0.033,,0.025,,0.032
03/22,0.02,0.02,0.01,0.01,,0.028,0.03,,,0.02,0.027,,0.025,,0.023
