# Station Code,echo
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:29
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,BEAN,FCRN,LAWN,ONYN,PAST,PEAS,POTA,PPMT,RAPE,SCRN,SGRN,WGRN
02/11,,,,,,0.0,,0.0,,,,,,,0.007
02/12,,,,,,0.01,,0.01,,,,,,,0.01
02/13,,,,,,0.01,,0.02,,,,,,,0.017
02/14,,,,,,0.01,,0.01,,,,,,,0.013
02/15,0.0,0.0,,,,0.015,,0.02,,,,,,,0.022
02/16,0.01,0.01,,,,0.015,,0.02,,,,0.01,,,0.024
02/17,0.02,0.02,,,,0.025,,0.03,,,,0.01,,,0.028
02/18,0.02,0.02,,,,0.025,,0.03,,,,0.01,,,0.024
02/19,0.02,0.02,,,,0.035,,0.035,,,,0.01,,,0.03
02/20,0.02,0.02,,,,0.022,,0.024,,,,0.01,,,0.035
02/21,0.03,0.03,,,,0.02,,0.022,,,,0.01,,,0.029
02/22,0.01,0.01,,,,0.022,,0.024,,,,0.02,,,0.037
02/23,0.01,0.01,,,,0.025,,0.03,,,,0.01,,,0.039
02/24,0.01,0.01,,,,0.023,,0.026,,,,0.01,,,0.039
02/25,0.015,0.015,0.03,,,0.023,,0.025,,,,0.01,,,0.036
02/26,0.012,0.012,0.02,,,0.023,,0.022,,,,0.01,,,0.031
02/27,0.008,0.008,0.01,,,0.027,,0.021,,,,0.01,,,0.032
02/28,0.015,0.015,0.01,,,0.037,,0.029,,,,0.02,,,0.041
02/29,0.02,0.02,0.02,,,0.06,,0.047,,,,,,,0.067
03/01,0.017,0.017,0.02,,,0.037,0.025,0.028,,,,0.01,,0.015,0.04
03/02,0.016,0.016,0.02,,,0.036,0.03,0.027,,,,0.03,,0.018,0.045
03/03,0.019,0.019,0.03,,,0.055,0.035,0.038,,,,0.02,,0.018,0.055
03/04,0.024,0.024,0.03,,,0.053,0.04,0.038,,,,0.02,,0.014,0.054
03/05,0.025,0.025,0.03,,,0.045,0.035,0.044,,,0.02,0.02,,0.02,0.059
03/06,0.026,0.026,0.03,,,0.051,0.037,0.041,,,0.025,0.03,,0.02,0.055
03/07,0.033,0.033,0.02,,,0.06,0.04,0.046,,,0.025,0.03,,0.021,0.063
03/08,0.022,0.022,0.02,,,0.04,0.027,0.03,,,0.015,0.04,,0.015,0.042
