# Station Code,efhw
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:29
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,CHRY,LAWN,PAST,PEAR,WGRP
02/15,0.01,0.01,,,0.01,0.02,,
02/16,0.01,0.01,,,0.01,0.02,,
02/17,0.01,0.01,,,0.01,0.02,,
02/18,0.01,0.01,,,0.01,0.01,,
02/19,0.01,0.01,,,0.01,0.01,,
02/20,0.02,0.02,,,0.02,0.03,,
02/21,0.02,0.02,,,0.02,0.03,,
02/22,0.02,0.02,,,0.03,0.02,,
02/23,0.02,0.02,,,0.03,0.03,,
02/24,0.02,0.02,,,0.03,0.03,,
02/25,0.02,0.02,,,0.015,0.015,,
02/26,0.03,0.03,,,0.025,0.02,,
02/27,0.01,0.01,,,0.015,0.01,,
02/28,0.03,0.03,,,0.025,0.02,,
03/01,0.02,0.02,,,0.02,0.017,,
03/02,0.015,0.015,,,0.015,0.017,,
03/03,0.02,0.02,,,0.018,0.022,,
03/04,0.025,0.025,,,0.02,0.022,,
03/05,0.017,0.017,,,0.023,0.02,,
03/06,0.018,0.018,,,0.027,0.025,,
03/07,0.022,0.022,,,0.033,0.027,,
03/08,0.022,0.022,,,0.032,0.025,,
03/09,0.027,0.027,,,0.04,0.03,,
03/10,0.03,0.03,,,0.046,0.031,,
03/11,0.027,0.027,,,0.036,0.031,,
03/12,0.032,0.032,,,0.045,0.035,,
03/13,0.028,0.028,,,0.033,0.026,,
03/14,0.03,0.03,,,0.039,0.03,,
03/15,0.024,0.024,,,0.037,0.028,,
03/16,0.036,0.036,,,0.055,0.041,,
03/17,0.036,0.036,,,0.052,0.039,,
03/18,0.045,0.045,,,0.066,0.046,,
03/19,0.045,0.045,,,0.069,0.045,,
03/20,0.04,0.04,,,0.062,0.041,0.013,
03/21,0.044,0.044,,,0.056,0.043,0.02,
03/22,0.041,0.041,,,0.05,0.039,0.017,
03/23,0.053,0.054,,,0.059,0.045,0.017,
03/24,0.058,0.059,,,0.06,0.046,0.023,
03/25,0.05,0.051,0.024,0.03,0.066,0.046,0.024,
03/26,0.055,0.056,0.022,0.03,0.07,0.053,0.022,
03/27,0.059,0.06,0.02,0.02,0.077,0.056,0.02,
03/28,0.058,0.059,0.022,0.02,0.074,0.056,0.022,
03/29,0.064,0.066,0.024,0.03,0.083,0.06,0.024,
03/30,0.079,0.081,0.03,0.04,0.097,0.075,0.03,
03/31,0.082,0.084,0.028,0.04,0.097,0.071,0.028,
04/01,0.083,0.085,0.032,0.032,0.098,0.074,0.032,0.02
04/02,0.087,0.089,0.032,0.032,0.101,0.077,0.032,0.025
04/03,0.081,0.083,0.028,0.024,0.096,0.071,0.026,0.02
04/04,0.078,0.08,0.026,0.026,0.086,0.067,0.026,0.02
04/05,0.072,0.074,0.025,0.024,0.079,0.061,0.021,0.02
04/06,0.074,0.078,0.026,0.024,0.079,0.063,0.024,0.02
04/07,0.087,0.089,0.03,0.026,0.092,0.072,0.025,0.02
04/08,0.109,0.115,0.041,0.04,0.112,0.088,0.035,0.03
04/09,0.112,0.116,0.04,0.04,0.116,0.091,0.034,0.03
04/10,0.1,0.106,0.037,0.03,0.101,0.081,0.029,0.024
04/11,0.105,0.112,0.041,0.033,0.105,0.085,0.031,0.026
04/12,0.091,0.098,0.034,0.029,0.093,0.075,0.028,0.018
04/13,0.102,0.11,0.041,0.033,0.102,0.084,0.03,0.026
04/14,0.109,0.12,0.046,0.036,0.109,0.09,0.034,0.026
04/15,0.112,0.126,0.047,0.037,0.113,0.092,0.032,0.029
04/16,0.109,0.123,0.047,0.04,0.106,0.088,0.033,0.025
04/17,0.13,0.144,0.057,0.048,0.127,0.105,0.037,0.03
04/18,0.121,0.136,0.058,0.048,0.118,0.098,0.038,0.03
04/19,0.126,0.142,0.063,0.053,0.124,0.102,0.042,0.035
04/20,0.144,0.161,0.073,0.061,0.137,0.114,0.043,0.039
04/21,0.146,0.165,0.077,0.065,0.141,0.118,0.046,0.039
04/22,0.131,0.149,0.071,0.061,0.127,0.107,0.043,0.036
04/23,0.132,0.15,0.076,0.064,0.126,0.107,0.042,0.039
04/24,0.134,0.152,0.077,0.064,0.126,0.106,0.043,0.039
04/25,0.143,0.16,0.087,0.064,0.134,0.114,0.047,0.04
