# Station Code,eoro
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:30
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,PPMT,SGRN,WGRN
03/10,,,,,,,0.02
03/11,,,,,,,0.03
03/12,,,,,,,0.07
03/13,,,,,,,0.03
03/14,,,,,,,0.04
03/15,,,0.02,0.04,,,0.05
03/16,,,0.02,0.03,,,0.05
03/17,,,0.02,0.03,,,0.04
03/18,,,0.03,0.04,,,0.06
03/19,,,0.01,0.02,,,0.03
03/20,0.02,0.02,0.02,0.03,,,0.035
03/21,0.01,0.01,0.02,0.03,,,0.037
03/22,0.02,0.02,0.04,0.04,,,0.04
03/23,0.04,0.04,0.08,0.07,,,0.063
03/24,0.03,0.03,0.08,0.06,,,0.047
03/25,0.04,0.04,0.047,0.043,,,0.06
03/26,0.03,0.03,0.04,0.04,,,0.057
03/27,0.03,0.03,0.043,0.047,,,0.067
03/28,0.03,0.03,0.047,0.053,,,0.08
03/29,0.05,0.05,0.05,0.05,,,0.073
03/30,0.04,0.04,0.043,0.043,,,0.063
03/31,0.05,0.05,0.05,0.04,,,0.063
04/01,0.033,0.033,0.067,0.057,,,0.068
04/02,0.047,0.047,0.09,0.063,,,0.083
04/03,0.043,0.043,0.087,0.063,,,0.077
04/04,0.05,0.05,0.097,0.067,,,0.085
04/05,0.037,0.037,0.053,0.04,,,0.058
04/06,0.043,0.043,0.065,0.048,,,0.072
04/07,0.077,0.077,0.11,0.077,,,0.12
04/08,0.09,0.09,0.12,0.087,,,0.13
04/09,0.073,0.073,0.102,0.073,,,0.113
04/10,0.06,0.06,0.113,0.08,,0.02,0.12
04/11,0.052,0.052,0.098,0.07,,0.02,0.103
04/12,0.05,0.05,0.087,0.06,,0.02,0.092
04/13,0.058,0.058,0.1,0.068,,0.02,0.105
04/14,0.07,0.07,0.115,0.077,,0.02,0.115
04/15,0.07,0.07,0.107,0.075,,0.027,0.115
04/16,0.085,0.085,0.128,0.09,,0.037,0.135
04/17,0.072,0.072,0.105,0.073,,0.033,0.11
04/18,0.13,0.13,0.175,0.12,,0.05,0.185
04/19,0.092,0.092,0.122,0.09,,0.037,0.13
04/20,0.088,0.088,0.117,0.085,,0.037,0.125
04/21,0.12,0.12,0.158,0.115,,0.043,0.165
04/22,0.105,0.105,0.13,0.095,,0.037,0.135
04/23,0.103,0.105,0.128,0.095,,0.037,0.135
04/24,0.1,0.102,0.115,0.087,,0.037,0.13
04/25,0.11,0.113,0.125,0.098,,0.04,0.14
04/26,0.117,0.12,0.133,0.103,,0.04,0.147
04/27,0.165,0.168,0.18,0.143,,0.062,0.205
04/28,0.138,0.138,0.152,0.117,,0.05,0.172
04/29,0.155,0.158,0.175,0.135,,0.06,0.195
04/30,0.152,0.155,0.163,0.133,,0.06,0.19
05/01,0.145,0.152,0.15,0.12,0.027,0.062,0.175
05/02,0.163,0.168,0.165,0.135,0.033,0.073,0.195
05/03,0.182,0.193,0.19,0.153,0.033,0.092,0.217
05/04,0.16,0.173,0.163,0.135,0.03,0.087,0.193
05/05,0.14,0.15,0.138,0.113,0.03,0.085,0.165
05/06,0.215,0.228,0.205,0.173,0.05,0.135,0.25
05/07,0.143,0.152,0.138,0.113,0.03,0.09,0.168
05/08,0.135,0.143,0.125,0.107,0.03,0.09,0.158
05/09,0.14,0.152,0.135,0.113,0.027,0.095,0.165
05/10,0.147,0.165,0.143,0.118,0.03,0.105,0.175
05/11,0.19,0.21,0.177,0.153,0.043,0.148,0.22
05/12,0.168,0.185,0.155,0.133,0.033,0.128,0.193
05/13,0.193,0.22,0.182,0.153,0.04,0.155,0.225
05/14,0.155,0.177,0.145,0.125,0.037,0.135,0.18
05/15,0.193,0.225,0.185,0.155,0.048,0.18,0.228
05/16,0.195,0.225,0.18,0.155,0.048,0.18,0.227
05/17,0.18,0.21,0.17,0.143,0.045,0.173,0.212
05/18,0.195,0.228,0.18,0.158,0.05,0.188,0.228
05/19,0.15,0.177,0.14,0.122,0.037,0.145,0.177
05/20,0.168,0.198,0.158,0.135,0.045,0.165,0.198
05/21,0.158,0.188,0.15,0.13,0.045,0.163,0.188
05/22,0.15,0.175,0.143,0.118,0.045,0.155,0.175
05/23,0.173,0.203,0.163,0.138,0.053,0.185,0.203
05/24,0.205,0.24,0.193,0.165,0.062,0.217,0.24
05/25,0.173,0.2,0.158,0.138,0.058,0.185,0.2
05/26,0.18,0.212,0.17,0.143,0.065,0.198,0.212
05/27,0.168,0.198,0.158,0.135,0.06,0.188,0.198
05/28,0.19,0.22,0.172,0.152,0.073,0.21,0.22
05/29,0.177,0.208,0.165,0.143,0.068,0.198,0.208
05/30,0.195,0.228,0.182,0.155,0.08,0.22,0.228
05/31,0.188,0.22,0.173,0.15,0.08,0.215,0.22
06/01,0.188,0.217,0.175,0.147,0.085,0.215,0.217
06/02,0.205,0.242,0.195,0.163,0.1,0.24,0.242
06/03,0.215,0.253,0.203,0.172,0.105,0.25,0.253
06/04,0.208,0.245,0.198,0.165,0.102,0.242,0.245
06/05,0.225,0.268,0.215,0.182,0.117,0.265,0.268
