# Station Code,eurn
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:30
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,HAYM,HAYP,LAWN,PAST,SGRN,WGRN
02/26,,,,,,,,0.03
02/27,,,,,,,,0.023
02/28,,,,,,,,0.02
02/29,,,,,,,,0.04
03/01,0.01,0.01,,,0.01,0.02,,0.028
03/02,0.01,0.01,,,0.01,0.015,,0.032
03/03,0.015,0.015,,,0.015,0.02,,0.036
03/04,0.01,0.01,,,0.01,0.02,,0.038
03/05,0.02,0.02,0.082,0.082,0.023,0.04,,0.052
03/06,0.025,0.025,0.084,0.084,0.037,0.053,,0.054
03/07,0.025,0.025,0.072,0.072,0.033,0.043,,0.048
03/08,0.04,0.04,0.076,0.076,0.047,0.05,,0.058
03/09,0.035,0.035,0.07,0.07,0.05,0.043,,0.052
03/10,0.038,0.038,0.114,0.114,0.073,0.06,,0.075
03/11,0.03,0.03,0.1,0.1,0.057,0.05,,0.059
03/12,0.036,0.036,0.102,0.102,0.073,0.057,,0.062
03/13,0.04,0.04,0.11,0.11,0.087,0.063,,0.069
03/14,0.052,0.052,0.136,0.134,0.11,0.077,,0.083
03/15,0.06,0.06,0.122,0.122,0.08,0.07,0.045,0.09
03/16,0.058,0.058,0.101,0.101,0.058,0.049,0.045,0.083
03/17,0.054,0.054,0.103,0.103,0.054,0.053,0.04,0.081
03/18,0.05,0.05,0.106,0.105,0.052,0.051,0.03,0.087
03/19,0.066,0.066,0.108,0.107,0.053,0.052,0.04,0.09
03/20,0.049,0.049,0.117,0.117,0.068,0.061,0.036,0.088
03/21,0.045,0.045,0.11,0.109,0.063,0.056,0.032,0.085
03/22,0.036,0.036,0.084,0.083,0.059,0.046,0.026,0.059
03/23,0.047,0.047,0.102,0.102,0.071,0.051,0.03,0.078
03/24,0.057,0.057,0.125,0.125,0.087,0.062,0.036,0.094
03/25,0.065,0.065,0.122,0.121,0.078,0.057,0.04,0.098
03/26,0.054,0.054,0.107,0.107,0.071,0.05,0.03,0.085
03/27,0.08,0.08,0.147,0.147,0.089,0.067,0.048,0.128
03/28,0.069,0.069,0.128,0.127,0.08,0.062,0.04,0.113
03/29,0.065,0.065,0.109,0.109,0.081,0.06,0.032,0.096
03/30,0.07,0.07,0.118,0.117,0.084,0.062,0.034,0.099
03/31,0.097,0.097,0.155,0.155,0.119,0.089,0.048,0.132
04/01,0.085,0.085,0.142,0.141,0.108,0.076,0.041,0.132
04/02,0.087,0.087,0.141,0.14,0.103,0.073,0.041,0.131
04/03,0.095,0.096,0.143,0.142,0.113,0.08,0.046,0.135
04/04,0.109,0.109,0.163,0.163,0.132,0.091,0.053,0.152
04/05,0.11,0.111,0.158,0.158,0.129,0.092,0.054,0.156
04/06,0.107,0.109,0.151,0.151,0.13,0.087,0.054,0.147
04/07,0.137,0.138,0.181,0.181,0.161,0.107,0.066,0.181
04/08,0.133,0.134,0.17,0.17,0.139,0.095,0.067,0.173
04/09,0.12,0.122,0.152,0.152,0.131,0.089,0.062,0.15
04/10,0.133,0.135,0.181,0.181,0.158,0.108,0.073,0.18
04/11,0.136,0.139,0.179,0.179,0.151,0.109,0.084,0.189
04/12,0.127,0.132,0.17,0.17,0.147,0.107,0.079,0.179
04/13,0.131,0.137,0.166,0.166,0.141,0.105,0.089,0.175
04/14,0.124,0.129,0.155,0.155,0.127,0.095,0.086,0.158
04/15,0.135,0.141,0.168,0.169,0.129,0.105,0.098,0.186
04/16,0.133,0.14,0.167,0.167,0.128,0.105,0.093,0.18
04/17,0.152,0.163,0.188,0.188,0.14,0.118,0.121,0.203
04/18,0.155,0.165,0.185,0.186,0.138,0.116,0.126,0.201
04/19,0.155,0.164,0.185,0.187,0.148,0.12,0.119,0.193
04/20,0.162,0.174,0.192,0.193,0.15,0.125,0.133,0.202
04/21,0.168,0.183,0.198,0.2,0.157,0.128,0.14,0.204
04/22,0.172,0.185,0.199,0.203,0.166,0.135,0.136,0.208
04/23,0.159,0.173,0.186,0.187,0.152,0.126,0.126,0.187
04/24,0.163,0.177,0.19,0.191,0.155,0.128,0.133,0.198
04/25,0.148,0.162,0.172,0.174,0.136,0.115,0.116,0.169
04/26,0.168,0.183,0.189,0.194,0.155,0.13,0.141,0.196
04/27,0.185,0.203,0.209,0.212,0.17,0.141,0.16,0.219
04/28,0.177,0.197,0.202,0.203,0.163,0.138,0.155,0.206
04/29,0.182,0.203,0.203,0.207,0.166,0.142,0.171,0.216
04/30,0.198,0.223,0.221,0.225,0.182,0.154,0.182,0.236
05/01,0.203,0.233,0.229,0.232,0.19,0.162,0.175,0.241
05/02,0.212,0.244,0.239,0.241,0.193,0.166,0.206,0.259
05/03,0.198,0.228,0.224,0.224,0.184,0.158,0.19,0.233
05/04,0.206,0.238,0.232,0.232,0.191,0.163,0.223,0.245
05/05,0.22,0.255,0.246,0.248,0.201,0.173,0.243,0.258
05/06,0.203,0.236,0.225,0.231,0.185,0.161,0.234,0.244
05/07,0.182,0.211,0.202,0.205,0.165,0.144,0.198,0.212
05/08,0.178,0.208,0.198,0.202,0.164,0.142,0.198,0.218
05/09,0.195,0.228,0.218,0.219,0.181,0.155,0.221,0.233
05/10,0.195,0.227,0.216,0.218,0.18,0.155,0.22,0.234
05/11,0.195,0.228,0.216,0.219,0.182,0.155,0.22,0.227
05/12,0.217,0.255,0.242,0.245,0.202,0.172,0.247,0.256
05/13,0.222,0.258,0.245,0.25,0.204,0.175,0.247,0.252
05/14,0.218,0.255,0.24,0.247,0.202,0.172,0.241,0.241
05/15,0.212,0.248,0.232,0.237,0.195,0.168,0.228,0.24
05/16,0.175,0.205,0.189,0.197,0.161,0.141,0.192,0.202
05/17,0.182,0.213,0.198,0.204,0.168,0.145,0.21,0.222
05/18,0.187,0.219,0.202,0.21,0.174,0.148,0.222,0.229
05/19,0.17,0.201,0.185,0.193,0.157,0.136,0.196,0.205
05/20,0.164,0.192,0.177,0.183,0.152,0.131,0.166,0.178
05/21,0.176,0.205,0.188,0.196,0.162,0.14,0.177,0.192
05/22,0.178,0.212,0.193,0.202,0.168,0.145,0.184,0.191
05/23,0.167,0.196,0.178,0.188,0.155,0.134,0.186,0.186
05/24,0.195,0.231,0.208,0.221,0.183,0.156,0.219,0.218
05/25,0.205,0.24,0.217,0.229,0.192,0.164,0.242,0.237
05/26,0.2,0.235,0.21,0.223,0.186,0.158,0.249,0.241
05/27,0.188,0.22,0.197,0.21,0.175,0.15,0.234,0.232
05/28,0.19,0.224,0.198,0.213,0.178,0.152,0.247,0.234
05/29,0.21,0.245,0.217,0.235,0.196,0.167,0.261,0.259
05/30,0.238,0.28,0.248,0.267,0.223,0.191,0.282,0.283
05/31,0.227,0.265,0.234,0.252,0.213,0.179,0.269,0.268
06/01,0.229,0.268,0.233,0.253,0.212,0.183,0.269,0.261
06/02,0.242,0.283,0.248,0.268,0.227,0.191,0.287,0.282
06/03,0.251,0.294,0.255,0.277,0.235,0.2,0.306,0.298
06/04,0.26,0.305,0.263,0.289,0.245,0.207,0.292,0.285
06/05,0.262,0.307,0.263,0.289,0.245,0.208,0.319,0.31
06/06,0.238,0.281,0.239,0.265,0.225,0.192,0.288,0.285
06/07,0.262,0.31,0.262,0.294,0.248,0.212,0.309,0.304
06/08,0.262,0.308,0.26,0.291,0.246,0.209,0.309,0.302
06/09,0.272,0.32,0.268,0.302,0.255,0.217,0.336,0.319
06/10,0.255,0.299,0.249,0.279,0.239,0.203,0.269,0.285
06/11,0.243,0.285,0.236,0.266,0.229,0.195,0.276,0.286
06/12,0.249,0.293,0.241,0.275,0.235,0.2,0.27,0.284
06/13,0.261,0.306,0.251,0.287,0.245,0.207,0.288,0.296
06/14,0.258,0.302,0.246,0.282,0.242,0.206,0.293,0.299
06/15,0.281,0.331,0.269,0.31,0.264,0.225,0.318,0.323
06/16,0.284,0.334,0.27,0.312,0.268,0.228,0.326,0.326
06/17,0.282,0.332,0.267,0.309,0.265,0.225,0.323,0.317
06/18,0.286,0.338,0.272,0.313,0.269,0.228,0.326,0.314
06/19,0.282,0.332,0.266,0.309,0.266,0.225,0.332,0.316
06/20,0.289,0.341,0.272,0.315,0.272,0.232,0.346,0.323
06/21,0.318,0.372,0.298,0.344,0.298,0.252,0.369,0.34
06/22,0.305,0.359,0.289,0.332,0.288,0.245,0.36,0.329
06/23,0.321,0.376,0.3,0.348,0.3,0.255,0.363,0.328
06/24,0.312,0.367,0.292,0.339,0.292,0.251,0.351,0.311
06/25,0.319,0.377,0.302,0.351,0.302,0.255,0.353,0.308
06/26,0.299,0.352,0.28,0.323,0.28,0.238,0.349,0.305
06/27,0.308,0.363,0.29,0.335,0.29,0.246,0.352,0.3
06/28,0.342,0.402,0.322,0.372,0.322,0.274,0.387,0.319
06/29,0.305,0.358,0.286,0.328,0.286,0.244,0.348,0.277
06/30,0.282,0.333,0.265,0.307,0.265,0.226,0.326,0.251
07/01,0.301,0.354,0.282,0.325,0.282,0.24,0.346,0.257
07/02,0.319,0.375,0.3,0.343,0.3,0.254,0.358,0.264
07/03,0.299,0.352,0.282,0.323,0.282,0.238,0.344,0.243
07/04,0.312,0.367,0.293,0.334,0.293,0.248,0.365,0.252
07/05,0.298,0.35,0.28,0.322,0.28,0.237,0.364,0.241
07/06,0.297,0.349,0.279,0.319,0.279,0.235,0.348,0.223
07/07,0.288,0.337,0.269,0.308,0.269,0.228,0.327,0.206
07/08,0.287,0.338,0.27,0.308,0.27,0.231,0.318,0.193
07/09,0.298,0.352,0.282,0.319,0.282,0.239,0.333,0.2
07/10,0.284,0.334,0.265,0.304,0.265,0.228,0.306,0.153
07/11,0.275,0.324,0.259,0.294,0.259,0.221,0.297,0.21
07/12,0.295,0.347,0.279,0.315,0.279,0.235,0.307,0.207
07/13,0.28,0.328,0.262,0.298,0.262,0.222,0.28,0.18
07/14,0.292,0.343,0.274,0.309,0.274,0.233,0.29,0.18
07/15,0.282,0.33,0.263,0.298,0.263,0.223,0.267,0.159
07/16,0.298,0.351,0.28,0.315,0.28,0.238,0.265,0.15
07/17,0.301,0.352,0.283,0.316,0.283,0.239,0.255,0.14
07/18,0.295,0.347,0.277,0.311,0.277,0.235,0.233,0.123
07/19,0.277,0.325,0.26,0.293,0.26,0.221,0.203,0.103
07/20,0.272,0.317,0.252,0.285,0.252,0.216,0.171,0.034
07/21,0.277,0.326,0.26,0.292,0.26,0.221,0.215,0.14
07/22,0.275,0.325,0.261,0.292,0.261,0.22,0.193,0.12
07/23,0.278,0.326,0.26,0.291,0.26,0.222,0.185,0.105
07/24,0.258,0.303,0.242,0.27,0.242,0.205,0.156,0.085
07/25,0.262,0.308,0.246,0.275,0.246,0.208,0.1,0.0
07/26,0.272,0.319,0.256,0.285,0.256,0.217,0.162,
07/27,0.27,0.318,0.253,0.283,0.253,0.216,0.158,
07/28,0.281,0.33,0.265,0.295,0.265,0.224,0.15,
07/29,0.278,0.326,0.262,0.29,0.262,0.221,0.14,
07/30,0.275,0.322,0.256,0.286,0.256,0.217,0.122,
07/31,0.275,0.323,0.259,0.287,0.259,0.219,0.104,
08/01,0.252,0.297,0.238,0.264,0.238,0.202,0.016,
08/02,0.262,0.306,0.245,0.272,0.245,0.208,0.07,
08/03,0.274,0.322,0.258,0.285,0.258,0.218,0.08,
08/04,0.278,0.327,0.262,0.288,0.262,0.222,0.08,
08/05,0.258,0.305,0.243,0.268,0.243,0.207,0.0,
08/06,0.247,0.291,0.232,0.257,0.232,0.197,,
08/07,0.252,0.297,0.236,0.262,0.236,0.201,,
08/08,0.254,0.298,0.239,0.262,0.239,0.202,,
08/09,0.266,0.312,0.248,0.274,0.248,0.211,,
08/10,0.274,0.32,0.255,0.28,0.255,0.217,,
08/11,0.26,0.305,0.243,0.265,0.243,0.205,,
08/12,0.258,0.303,0.244,0.264,0.244,0.206,,
08/13,0.262,0.308,0.247,0.268,0.247,0.211,,
08/14,0.246,0.29,0.232,0.252,0.232,0.196,,
08/15,0.261,0.305,0.244,0.265,0.244,0.206,,
08/16,0.248,0.292,0.233,0.252,0.233,0.198,,
08/17,0.265,0.311,0.248,0.268,0.248,0.212,,
08/18,0.247,0.289,0.232,0.251,0.232,0.195,,
08/19,0.236,0.277,0.222,0.24,0.222,0.188,,
08/20,0.23,0.272,0.218,0.235,0.218,0.184,,
08/21,0.23,0.271,0.216,0.235,0.216,0.185,,
08/22,0.223,0.262,0.209,0.227,0.209,0.178,,
08/23,0.239,0.282,0.226,0.246,0.226,0.192,,
08/24,0.244,0.287,0.231,0.248,0.231,0.195,,
08/25,0.251,0.295,0.236,0.255,0.215,0.2,,
08/26,0.245,0.287,0.229,0.247,0.231,0.195,,
08/27,0.234,0.274,0.218,0.236,0.217,0.183,,
08/28,0.235,0.276,0.222,0.237,0.221,0.186,,
08/29,0.247,0.289,0.229,0.248,0.226,0.194,,
08/30,0.237,0.278,0.218,0.238,0.219,0.185,,
08/31,0.24,0.283,0.223,0.24,0.225,0.188,,
09/01,0.23,0.272,0.215,0.232,0.215,0.179,,
09/02,0.231,0.269,0.211,0.231,0.213,0.178,,
09/03,0.217,0.255,0.199,0.217,0.199,0.168,,
09/04,0.22,0.257,0.201,0.219,0.203,0.171,,
09/05,0.216,0.252,0.197,0.215,0.198,0.164,,
09/06,0.216,0.254,0.195,0.215,0.199,0.167,,
09/07,0.22,0.26,0.2,0.219,0.206,0.168,,
09/08,0.212,0.248,0.191,0.21,0.193,0.16,,
09/09,0.219,0.257,0.198,0.216,0.204,0.167,,
