# Station Code,evty
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:30
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,SGRN
03/06,,,0.01,0.02,
03/07,,,0.01,0.02,
03/08,,,0.02,0.03,
03/09,,,0.02,0.02,
03/10,,,0.03,0.05,
03/11,,,0.02,0.03,
03/12,,,0.03,0.04,
03/13,,,0.02,0.03,
03/14,,,0.01,0.01,
03/15,0.01,0.01,0.01,0.01,
03/16,0.01,0.01,0.02,0.02,
03/17,0.02,0.02,0.04,0.03,
03/18,0.01,0.01,0.03,0.03,
03/19,0.02,0.02,0.04,0.04,
03/20,0.03,0.03,0.05,0.045,
03/21,0.04,0.04,0.06,0.05,
03/22,0.02,0.02,0.035,0.035,
03/23,0.02,0.02,0.035,0.03,
03/24,0.03,0.03,0.035,0.035,
03/25,0.02,0.02,0.03,0.037,
03/26,0.02,0.02,0.035,0.037,
03/27,0.03,0.03,0.048,0.048,
03/28,0.02,0.02,0.03,0.035,
03/29,0.015,0.015,0.025,0.022,
03/30,0.015,0.015,0.028,0.028,
03/31,0.03,0.03,0.048,0.037,
04/01,0.033,0.033,0.058,0.048,
04/02,0.035,0.035,0.068,0.052,
04/03,0.045,0.045,0.085,0.06,
04/04,0.052,0.052,0.098,0.07,
04/05,0.045,0.045,0.067,0.06,
04/06,0.055,0.055,0.061,0.051,
04/07,0.068,0.068,0.077,0.066,
04/08,0.083,0.083,0.09,0.071,
04/09,0.077,0.077,0.083,0.066,
04/10,0.049,0.049,0.073,0.063,
04/11,0.047,0.047,0.071,0.057,
04/12,0.044,0.044,0.073,0.057,
04/13,0.044,0.044,0.073,0.054,
04/14,0.044,0.044,0.073,0.051,
04/15,0.037,0.037,0.06,0.045,
04/16,0.047,0.047,0.081,0.059,
04/17,0.06,0.06,0.088,0.064,
04/18,0.084,0.084,0.109,0.08,
04/19,0.091,0.091,0.116,0.084,
04/20,0.085,0.085,0.115,0.084,0.03
04/21,0.09,0.09,0.119,0.086,0.04
04/22,0.099,0.099,0.129,0.095,0.04
04/23,0.092,0.092,0.126,0.09,0.02
04/24,0.084,0.084,0.106,0.077,0.03
04/25,0.095,0.095,0.118,0.086,0.04
04/26,0.103,0.103,0.129,0.094,0.05
04/27,0.122,0.124,0.147,0.111,0.06
04/28,0.121,0.122,0.146,0.109,0.05
04/29,0.114,0.116,0.135,0.101,0.06
04/30,0.124,0.126,0.141,0.106,0.07
05/01,0.11,0.114,0.135,0.098,0.02
05/02,0.126,0.131,0.139,0.106,0.04
05/03,0.131,0.136,0.147,0.114,0.043
05/04,0.159,0.166,0.169,0.134,0.053
05/05,0.186,0.196,0.195,0.154,0.063
05/06,0.185,0.195,0.195,0.154,0.057
05/07,0.174,0.181,0.182,0.142,0.043
05/08,0.141,0.15,0.146,0.118,0.047
05/09,0.145,0.154,0.15,0.12,0.057
05/10,0.145,0.159,0.146,0.12,0.05
