# Station Code,fafi
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:30
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,SGRN
04/06,,,0.01,0.02,
04/07,,,0.02,0.03,
04/08,,,0.025,0.04,
04/09,,,0.03,0.045,
04/10,0.03,0.03,0.04,0.047,
04/11,0.03,0.03,0.043,0.05,
04/12,0.025,0.025,0.042,0.052,
04/13,0.025,0.025,0.043,0.047,
04/14,0.03,0.03,0.045,0.048,
04/15,0.03,0.03,0.063,0.058,
04/16,0.027,0.027,0.058,0.048,
04/17,0.04,0.04,0.087,0.067,
04/18,0.05,0.05,0.117,0.082,
04/19,0.047,0.047,0.105,0.073,
04/20,0.053,0.053,0.104,0.076,
04/21,0.05,0.05,0.079,0.068,
04/22,0.064,0.064,0.085,0.071,
04/23,0.064,0.064,0.083,0.068,
04/24,0.06,0.06,0.072,0.058,
04/25,0.044,0.044,0.068,0.056,0.028
04/26,0.063,0.063,0.095,0.07,0.048
04/27,0.067,0.067,0.104,0.079,0.04
04/28,0.081,0.081,0.13,0.093,0.05
04/29,0.085,0.085,0.134,0.094,0.045
04/30,0.074,0.074,0.118,0.085,0.043
05/01,0.089,0.089,0.142,0.102,0.043
05/02,0.103,0.103,0.152,0.108,0.052
05/03,0.103,0.103,0.149,0.105,0.047
05/04,0.111,0.111,0.156,0.11,0.05
05/05,0.123,0.123,0.167,0.118,0.055
05/06,0.113,0.113,0.148,0.107,0.047
05/07,0.093,0.093,0.125,0.088,0.035
05/08,0.115,0.115,0.142,0.102,0.045
05/09,0.12,0.121,0.148,0.109,0.048
05/10,0.128,0.13,0.155,0.112,0.049
05/11,0.144,0.145,0.167,0.122,0.054
05/12,0.148,0.15,0.168,0.127,0.057
05/13,0.157,0.158,0.175,0.133,0.063
05/14,0.157,0.159,0.173,0.133,0.064
05/15,0.158,0.162,0.173,0.132,0.06
05/16,0.151,0.156,0.162,0.127,0.06
05/17,0.148,0.154,0.157,0.125,0.062
05/18,0.172,0.181,0.179,0.144,0.073
05/19,0.148,0.155,0.153,0.121,0.062
05/20,0.126,0.133,0.131,0.104,0.053
05/21,0.152,0.162,0.153,0.125,0.071
05/22,0.162,0.172,0.162,0.13,0.075
05/23,0.162,0.177,0.16,0.132,0.085
05/24,0.182,0.202,0.178,0.147,0.101
05/25,0.165,0.182,0.16,0.132,0.096
05/26,0.159,0.179,0.152,0.127,0.106
05/27,0.175,0.195,0.168,0.141,0.115
05/28,0.188,0.21,0.177,0.15,0.129
05/29,0.185,0.208,0.175,0.145,0.129
05/30,0.188,0.214,0.178,0.152,0.139
05/31,0.201,0.228,0.189,0.16,0.152
06/01,0.182,0.208,0.172,0.146,0.145
06/02,0.215,0.246,0.201,0.168,0.175
06/03,0.211,0.246,0.198,0.169,0.184
06/04,0.223,0.261,0.21,0.178,0.198
06/05,0.216,0.254,0.203,0.172,0.198
06/06,0.232,0.272,0.218,0.185,0.218
06/07,0.219,0.257,0.206,0.176,0.208
06/08,0.218,0.256,0.205,0.173,0.214
06/09,0.227,0.265,0.212,0.18,0.23
06/10,0.22,0.258,0.206,0.175,0.228
06/11,0.212,0.25,0.199,0.169,0.222
06/12,0.195,0.228,0.182,0.155,0.208
06/13,0.237,0.277,0.221,0.188,0.253
06/14,0.236,0.277,0.223,0.186,0.255
06/15,0.213,0.252,0.202,0.172,0.234
06/16,0.217,0.254,0.202,0.172,0.239
06/17,0.232,0.272,0.216,0.185,0.259
06/18,0.219,0.257,0.206,0.173,0.245
06/19,0.246,0.288,0.23,0.196,0.278
06/20,0.242,0.283,0.227,0.193,0.274
06/21,0.257,0.302,0.242,0.205,0.292
06/22,0.254,0.299,0.24,0.202,0.292
06/23,0.255,0.3,0.241,0.203,0.294
06/24,0.248,0.292,0.233,0.198,0.287
06/25,0.241,0.282,0.226,0.192,0.278
06/26,0.256,0.302,0.243,0.205,0.298
06/27,0.251,0.295,0.236,0.2,0.293
06/28,0.262,0.308,0.245,0.208,0.306
06/29,0.264,0.311,0.248,0.211,0.309
06/30,0.257,0.302,0.242,0.206,0.3
07/01,0.281,0.33,0.265,0.225,0.329
07/02,0.284,0.333,0.267,0.226,0.332
07/03,0.29,0.342,0.275,0.232,0.342
07/04,0.275,0.323,0.258,0.219,0.323
07/05,0.271,0.318,0.253,0.215,0.318
07/06,0.272,0.322,0.258,0.218,0.322
07/07,0.278,0.327,0.262,0.222,0.327
07/08,0.271,0.318,0.254,0.217,0.318
07/09,0.278,0.326,0.258,0.222,0.326
07/10,0.268,0.317,0.254,0.216,0.317
07/11,0.273,0.322,0.257,0.218,0.322
07/12,0.275,0.322,0.257,0.219,0.322
07/13,0.272,0.319,0.255,0.215,0.319
07/14,0.271,0.318,0.255,0.217,0.318
07/15,0.295,0.346,0.276,0.234,0.346
07/16,0.274,0.322,0.258,0.218,0.322
07/17,0.282,0.333,0.267,0.226,0.333
07/18,0.313,0.369,0.295,0.25,0.369
07/19,0.302,0.355,0.285,0.242,0.355
07/20,0.297,0.351,0.282,0.237,0.351
07/21,0.285,0.335,0.269,0.226,0.335
07/22,0.291,0.34,0.272,0.232,0.34
07/23,0.277,0.327,0.262,0.221,0.327
07/24,0.275,0.321,0.256,0.218,0.321
07/25,0.277,0.326,0.262,0.222,0.326
