# Station Code,faln
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:30
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,FCRN,HAYM,HAYP,LAWN,MELN,PAST,POP2,SCRN,SGRN,WGRN
02/11,,,,0.04,0.04,0.01,,0.02,,,,0.017
02/12,,,,0.047,0.047,0.01,,0.02,,,,0.02
02/13,,,,0.047,0.047,0.013,,0.017,,,,0.02
02/14,,,,0.067,0.067,0.02,,0.03,,,,0.03
02/15,0.025,0.025,,0.083,0.083,0.027,,0.037,,,,0.037
02/16,0.02,0.02,,0.083,0.083,0.027,,0.04,,,,0.029
02/17,0.015,0.015,,0.09,0.09,0.033,,0.035,,,,0.034
02/18,0.02,0.02,,0.083,0.083,0.033,,0.035,,,,0.03
02/19,0.02,0.02,,0.097,0.097,0.047,,0.045,,,,0.033
02/20,0.014,0.014,,0.063,0.063,0.024,,0.024,,,,0.03
02/21,0.018,0.018,,0.059,0.059,0.027,,0.025,,,,0.032
02/22,0.022,0.022,,0.074,0.074,0.037,,0.028,,,,0.038
02/23,0.016,0.016,,0.069,0.069,0.033,,0.029,,,,0.038
02/24,0.022,0.022,,0.069,0.069,0.033,,0.029,,,,0.04
02/25,0.025,0.025,,0.074,0.074,0.034,,0.038,,,,0.053
02/26,0.022,0.022,,0.075,0.075,0.039,,0.037,,,,0.052
02/27,0.026,0.026,,0.072,0.072,0.043,,0.037,,,,0.049
02/28,0.026,0.026,,0.069,0.069,0.039,,0.036,,,,0.046
02/29,0.035,0.035,,0.137,0.137,0.087,,0.063,,,,0.103
03/01,0.031,0.031,,0.088,0.088,0.05,,0.042,,0.025,0.03,0.062
03/02,0.026,0.026,,0.074,0.074,0.051,,0.036,,0.025,0.02,0.054
03/03,0.029,0.029,,0.068,0.068,0.048,,0.035,,0.03,0.023,0.05
03/04,0.038,0.038,,0.087,0.087,0.051,,0.044,,0.025,0.017,0.065
03/05,0.037,0.037,,0.094,0.094,0.057,,0.047,,0.025,0.024,0.068
03/06,0.051,0.051,,0.112,0.112,0.07,,0.06,,0.045,0.027,0.083
03/07,0.04,0.04,,0.083,0.083,0.053,,0.045,,0.035,0.023,0.065
03/08,0.048,0.048,,0.098,0.098,0.065,,0.053,,0.04,0.023,0.076
03/09,0.052,0.052,,0.097,0.097,0.07,,0.054,,0.035,0.026,0.079
03/10,0.065,0.065,,0.11,0.11,0.081,,0.062,,0.055,0.03,0.092
03/11,0.062,0.062,,0.102,0.102,0.075,,0.058,,0.04,0.027,0.085
03/12,0.079,0.079,,0.127,0.128,0.097,,0.072,,0.04,0.032,0.109
03/13,0.089,0.089,,0.144,0.144,0.108,,0.084,,0.045,0.037,0.123
03/14,0.083,0.083,,0.13,0.131,0.101,,0.078,,0.045,0.036,0.115
03/15,0.082,0.082,,0.125,0.125,0.101,,0.075,,0.07,0.036,0.113
03/16,0.081,0.081,,0.121,0.121,0.098,,0.075,,0.05,0.037,0.11
03/17,0.082,0.082,,0.121,0.121,0.098,,0.075,,0.07,0.035,0.11
03/18,0.091,0.091,,0.131,0.131,0.107,,0.081,,0.06,0.04,0.12
03/19,0.087,0.087,,0.122,0.122,0.101,,0.077,,0.055,0.038,0.113
03/20,0.096,0.096,,0.135,0.135,0.112,,0.084,,0.05,0.048,0.126
03/21,0.107,0.107,,0.138,0.14,0.115,,0.091,,0.075,0.054,0.133
03/22,0.102,0.102,,0.133,0.133,0.114,,0.085,,0.08,0.055,0.127
03/23,0.107,0.108,,0.136,0.137,0.116,,0.089,,0.085,0.057,0.135
03/24,0.115,0.117,,0.146,0.146,0.125,,0.095,,0.065,0.065,0.143
03/25,0.122,0.125,0.06,0.148,0.148,0.125,,0.095,,0.077,0.065,0.145
03/26,0.111,0.113,0.05,0.133,0.133,0.114,,0.088,,0.067,0.062,0.133
03/27,0.134,0.138,0.07,0.159,0.159,0.138,,0.108,,0.09,0.078,0.16
03/28,0.129,0.134,0.047,0.159,0.159,0.138,,0.105,,0.073,0.078,0.16
03/29,0.118,0.123,0.05,0.138,0.139,0.118,,0.096,,0.077,0.074,0.141
03/30,0.123,0.13,0.047,0.145,0.145,0.124,,0.098,,0.073,0.08,0.147
03/31,0.159,0.17,0.07,0.184,0.185,0.159,,0.126,,0.113,0.109,0.188
04/01,0.142,0.153,0.048,0.166,0.166,0.143,,0.115,0.03,0.063,0.098,0.17
04/02,0.148,0.159,0.053,0.169,0.171,0.147,,0.116,0.03,0.068,0.108,0.176
04/03,0.146,0.16,0.055,0.166,0.166,0.143,,0.115,0.04,0.07,0.111,0.172
04/04,0.166,0.185,0.068,0.189,0.19,0.161,,0.132,0.05,0.092,0.135,0.197
