# Station Code,fogo
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:30
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,BLUB,FCRN,GRSD,LAWN,ONYN,PAST,PEAS,POTA,PPMT,SBRY,SCRN,SGRN,TBER,WGRN,WGRP
02/02,,,,,,,,,,,,,,,,,0.01,
02/03,,,,,,,,,,,,,,,,,0.01,
02/04,,,,,,,,,,,,,,,,,0.01,
02/05,,,,,,,,,,,,,,,,,0.01,
02/06,,,,,,,,,,,,,,,,,0.01,
02/07,,,,,,,,,,,,,,,,,0.01,
02/08,,,,,,,,,,,,,,,,,0.01,
02/09,,,,,,,,,,,,,,,,,0.0,
02/10,,,,,,0.01,0.0,,0.01,,,,,,,,0.01,
02/11,,,,,,0.01,0.0,,0.005,,,,,,,,0.003,
02/12,,,,,,0.01,0.005,,0.01,,,,,,,,0.01,
02/13,,,,,,0.01,0.005,,0.005,,,,,,,,0.007,
02/14,,,,,,0.02,0.005,,0.015,,,,,,,,0.017,
02/15,0.01,0.01,,,,0.02,0.01,,0.013,,,,,,,,0.018,
02/16,0.02,0.02,,,,0.03,0.01,,0.02,,,,,,,,0.016,
02/17,0.01,0.01,,,,0.025,0.017,,0.017,,,,,,,,0.016,
02/18,0.01,0.01,,,,0.005,0.003,,0.003,,,,,,,,0.01,
02/19,0.01,0.01,,,,0.015,0.013,,0.01,,,,,,,,0.015,
02/20,0.007,0.007,,,,0.013,0.012,,0.011,,,,,,,,0.016,
02/21,0.01,0.01,,,,0.02,0.011,,0.013,,,,,,,,0.02,
02/22,0.017,0.017,,,,0.025,0.021,,0.017,,,,,,,,0.025,
02/23,0.013,0.013,,,,0.022,0.02,,0.018,,,,,,,,0.025,
02/24,0.01,0.01,,,,0.015,0.016,,0.012,,,,,,,,0.022,
02/25,0.01,0.01,0.01,,,0.016,0.019,,0.013,,,,0.01,,,,0.02,
02/26,0.006,0.006,0.01,,,0.014,0.016,,0.013,,,,0.003,,,,0.017,
02/27,0.005,0.005,0.01,,,0.012,0.016,,0.013,,,,0.007,,,,0.016,
02/28,0.011,0.011,0.0,,,0.017,0.026,,0.017,,,,0.01,,,,0.023,
02/29,0.01,0.01,0.01,,,0.01,0.017,,0.01,,,,0.01,,,,0.017,
03/01,0.01,0.01,0.01,,,0.014,0.018,0.013,0.012,,,,0.007,,0.007,,0.021,
03/02,0.01,0.01,0.0,,,0.016,0.019,0.013,0.014,,,,0.008,,0.01,,0.024,
03/03,0.017,0.017,0.0,,,0.025,0.028,0.023,0.022,,,,0.009,,0.01,,0.035,
03/04,0.017,0.017,0.01,,,0.022,0.024,0.013,0.019,,,,0.009,,0.01,,0.033,
03/05,0.011,0.011,0.01,,,0.019,0.02,0.017,0.018,,,0.007,0.008,,0.01,,0.026,
03/06,0.017,0.017,0.02,,,0.023,0.024,0.021,0.02,,,0.007,0.01,,0.01,,0.026,
03/07,0.022,0.022,0.02,,,0.032,0.03,0.02,0.025,,,0.013,0.012,,0.01,,0.034,
03/08,0.017,0.017,0.02,,,0.025,0.026,0.016,0.023,,,0.005,0.008,,0.007,,0.028,
03/09,0.022,0.022,0.01,,,0.028,0.028,0.023,0.025,,,0.005,0.01,,0.008,,0.034,
03/10,0.025,0.025,0.01,0.01,,0.029,0.029,0.026,0.025,,,0.01,0.014,,0.012,0.01,0.039,
03/11,0.029,0.029,0.015,0.01,,0.032,0.034,0.026,0.028,,,0.012,0.015,,0.014,0.003,0.043,
03/12,0.033,0.033,0.013,0.013,,0.037,0.037,0.034,0.029,,,0.012,0.015,,0.015,0.013,0.047,
