# Station Code,fthi
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:30
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,BEET,FCRN,LAWN,PAST,POTA,SGRN,WGRN
02/12,,,,,,,,,0.02
02/13,,,,,,,,,0.02
02/14,,,,,,,,,0.03
02/15,,,,,,,,,0.02
02/16,,,,,,,,,0.03
02/17,,,,,,,,,0.02
02/18,,,,,,,,,0.03
02/19,,,,,,,,,0.06
02/20,,,,,,,,,0.03
02/21,,,,,,,,,0.03
02/22,,,,,,,,,0.06
02/23,,,,,,,,,0.06
02/24,,,,,,,,,0.06
02/25,,,,,,,,,0.05
02/26,,,,,,,,,0.04
02/27,,,,,,,,,0.03
02/28,,,,,,,,,0.06
02/29,,,,,,,,,0.05
03/01,,,,,,,,,0.055
03/02,,,,,,,,,0.055
03/03,,,,,,,,,0.05
03/04,,,,,,,,,0.045
03/05,,,,,0.02,0.03,,,0.065
03/06,,,,,0.01,0.02,,,0.06
03/07,,,,,0.02,0.03,,,0.065
03/08,,,,,0.01,0.02,,,0.055
03/09,,,,,0.02,0.02,,,0.07
03/10,0.04,0.04,,,0.045,0.06,,,0.087
03/11,0.02,0.02,,,0.03,0.04,,,0.056
03/12,0.02,0.02,,,0.03,0.037,,,0.054
03/13,0.01,0.01,,,0.023,0.03,,,0.048
03/14,0.02,0.02,,,0.04,0.047,,,0.064
03/15,0.027,0.027,,,0.034,0.044,,,0.08
03/16,0.033,0.033,,,0.042,0.048,,,0.078
03/17,0.03,0.03,,,0.044,0.042,,,0.068
03/18,0.027,0.027,,,0.044,0.04,,,0.068
03/19,0.037,0.037,,,0.062,0.052,,,0.086
03/20,0.038,0.038,,,0.082,0.06,,,0.074
03/21,0.024,0.024,,,0.054,0.042,,,0.05
03/22,0.03,0.03,,,0.06,0.042,,,0.045
03/23,0.038,0.038,,,0.076,0.056,,,0.059
03/24,0.046,0.046,,,0.09,0.064,,,0.064
03/25,0.056,0.056,,,0.057,0.048,,,0.068
03/26,0.046,0.046,,,0.048,0.042,,,0.062
03/27,0.064,0.064,,,0.06,0.05,,,0.079
03/28,0.078,0.078,,,0.072,0.063,,,0.095
03/29,0.062,0.062,,,0.056,0.049,,,0.077
03/30,0.066,0.066,,,0.058,0.05,,,0.078
03/31,0.078,0.078,,,0.078,0.064,,,0.099
04/01,0.045,0.043,,,0.075,0.061,,0.025,0.088
04/02,0.047,0.047,,,0.082,0.064,,0.02,0.088
04/03,0.052,0.052,,,0.093,0.064,,0.03,0.095
04/04,0.054,0.054,,,0.097,0.07,,0.035,0.098
04/05,0.057,0.057,,,0.09,0.064,,0.03,0.097
04/06,0.059,0.059,,,0.094,0.067,,0.03,0.1
04/07,0.062,0.062,,,0.096,0.07,,0.03,0.103
04/08,0.084,0.085,,,0.122,0.089,,0.035,0.132
04/09,0.097,0.098,,,0.132,0.098,,0.045,0.144
04/10,0.083,0.083,,,0.13,0.094,,0.042,0.137
04/11,0.094,0.095,,,0.134,0.098,,0.046,0.145
04/12,0.085,0.086,,,0.122,0.085,,0.04,0.128
04/13,0.098,0.1,,,0.139,0.1,,0.042,0.147
04/14,0.089,0.089,,,0.118,0.085,,0.04,0.126
04/15,0.089,0.091,,,0.118,0.085,,0.035,0.126
04/16,0.111,0.112,,,0.146,0.105,,0.039,0.157
04/17,0.122,0.125,,,0.156,0.112,,0.043,0.168
04/18,0.126,0.128,,,0.153,0.114,,0.046,0.168
04/19,0.138,0.141,,,0.163,0.122,,0.051,0.18
04/20,0.145,0.149,,,0.166,0.128,,0.055,0.185
04/21,0.143,0.149,,,0.162,0.124,,0.055,0.182
04/22,0.159,0.169,,,0.177,0.14,,0.063,0.202
04/23,0.127,0.134,,,0.143,0.112,,0.052,0.161
04/24,0.13,0.135,,,0.145,0.114,,0.053,0.164
04/25,0.122,0.127,,,0.133,0.107,0.04,0.049,0.154
04/26,0.132,0.138,,,0.142,0.113,0.03,0.054,0.165
04/27,0.153,0.162,,,0.168,0.134,0.055,0.067,0.193
04/28,0.158,0.167,,,0.167,0.134,0.055,0.073,0.195
04/29,0.162,0.172,,,0.171,0.137,0.07,0.081,0.201
04/30,0.153,0.165,,,0.158,0.13,0.075,0.08,0.188
05/01,0.173,0.185,0.06,,0.175,0.144,0.077,0.093,0.208
05/02,0.198,0.213,0.06,,0.195,0.162,0.087,0.117,0.235
05/03,0.186,0.201,0.055,,0.183,0.152,0.09,0.118,0.221
05/04,0.201,0.218,0.058,,0.196,0.165,0.09,0.133,0.237
05/05,0.205,0.222,0.056,0.065,0.199,0.166,0.073,0.14,0.242
05/06,0.196,0.212,0.047,0.045,0.188,0.158,0.05,0.134,0.231
05/07,0.167,0.182,0.046,0.04,0.158,0.134,0.043,0.122,0.195
05/08,0.17,0.187,0.046,0.07,0.161,0.137,0.07,0.134,0.199
05/09,0.192,0.215,0.056,0.08,0.181,0.153,0.09,0.157,0.224
05/10,0.188,0.211,0.055,0.058,0.177,0.151,0.07,0.159,0.22
05/11,0.191,0.218,0.049,0.068,0.179,0.152,0.068,0.168,0.225
05/12,0.222,0.253,0.058,0.08,0.208,0.177,0.08,0.196,0.261
05/13,0.212,0.245,0.062,0.08,0.2,0.168,0.082,0.195,0.248
05/14,0.202,0.233,0.062,0.077,0.188,0.16,0.082,0.191,0.235
05/15,0.197,0.229,0.057,0.07,0.185,0.158,0.079,0.192,0.231
05/16,0.195,0.229,0.055,0.058,0.184,0.155,0.073,0.194,0.23
05/17,0.177,0.205,0.051,0.068,0.165,0.14,0.071,0.179,0.206
05/18,0.188,0.219,0.057,0.083,0.175,0.15,0.076,0.195,0.219
05/19,0.178,0.208,0.056,0.062,0.166,0.142,0.076,0.185,0.208
05/20,0.148,0.173,0.046,0.056,0.138,0.118,0.068,0.156,0.173
05/21,0.177,0.208,0.057,0.068,0.166,0.142,0.083,0.19,0.208
05/22,0.172,0.203,0.056,0.07,0.162,0.138,0.086,0.188,0.203
05/23,0.168,0.198,0.057,0.068,0.159,0.135,0.085,0.186,0.198
05/24,0.193,0.227,0.062,0.079,0.18,0.155,0.096,0.215,0.227
05/25,0.206,0.241,0.065,0.083,0.192,0.165,0.096,0.231,0.241
05/26,0.187,0.22,0.058,0.071,0.176,0.149,0.088,0.213,0.22
05/27,0.181,0.214,0.06,0.074,0.172,0.148,0.091,0.208,0.214
05/28,0.196,0.232,0.066,0.075,0.185,0.158,0.098,0.225,0.232
05/29,0.214,0.252,0.073,0.082,0.201,0.172,0.111,0.245,0.252
05/30,0.215,0.251,0.074,0.08,0.201,0.17,0.112,0.245,0.251
05/31,0.222,0.258,0.075,0.085,0.206,0.176,0.117,0.255,0.258
06/01,0.225,0.263,0.08,0.089,0.21,0.178,0.125,0.259,0.263
06/02,0.225,0.264,0.082,0.09,0.211,0.179,0.126,0.262,0.264
06/03,0.245,0.288,0.092,0.098,0.231,0.196,0.145,0.287,0.288
06/04,0.248,0.292,0.093,0.102,0.234,0.198,0.15,0.291,0.292
06/05,0.249,0.293,0.095,0.102,0.235,0.198,0.152,0.292,0.293
06/06,0.241,0.282,0.095,0.099,0.227,0.191,0.153,0.282,0.282
06/07,0.216,0.253,0.089,0.094,0.202,0.172,0.145,0.253,0.253
06/08,0.216,0.254,0.091,0.095,0.202,0.172,0.149,0.254,0.254
06/09,0.232,0.273,0.102,0.105,0.219,0.187,0.166,0.273,0.273
06/10,0.226,0.268,0.102,0.105,0.214,0.181,0.162,0.268,0.268
06/11,0.232,0.272,0.105,0.108,0.218,0.184,0.162,0.272,0.272
06/12,0.215,0.252,0.1,0.1,0.202,0.172,0.158,0.252,0.252
06/13,0.243,0.287,0.12,0.119,0.229,0.195,0.188,0.287,0.286
06/14,0.247,0.29,0.123,0.122,0.232,0.195,0.192,0.29,0.289
