# Station Code,gdvi
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:31
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,BEAN,BEET,FCRN,LAWN,PAST,POTA,POTS,PPMT,SCRN,SGRN,WGRN
02/02,,,,,,,,,,,,,0.0
02/03,,,,,,,,,,,,,0.01
02/04,,,,,,,,,,,,,0.01
02/05,,,,,,,,,,,,,0.02
02/06,,,,,,,,,,,,,0.05
02/07,,,,,,,,,,,,,0.1
02/08,,,,,,,,,,,,,0.05
02/09,,,,,,,,,,,,,0.06
02/10,,,,,,,,,,,,,0.03
02/11,,,,,,,,,,,,,0.03
02/12,,,,,,,,,,,,,0.03
02/13,,,,,,,,,,,,,0.03
02/14,,,,,,,,,,,,,0.04
02/15,0.02,0.02,,,,0.02,0.04,,,,,,0.07
02/16,0.02,0.02,,,,0.02,0.03,,,,,,0.03
02/17,0.01,0.01,,,,0.02,0.02,,,,,,0.03
02/18,0.02,0.02,,,,0.02,0.02,,,,,,0.03
02/19,0.02,0.02,,,,0.02,0.03,,,,,,0.035
02/20,0.02,0.02,,,,0.03,0.04,,,,,,0.045
02/21,0.03,0.03,,,,0.03,0.04,,,,,,0.04
02/22,0.02,0.02,,,,0.03,0.03,,,,,,0.033
02/23,0.02,0.02,,,,0.03,0.03,,,,,,0.04
02/24,0.03,0.03,,,,0.05,0.04,,,,,,0.047
02/25,0.06,0.06,,,,0.09,0.06,,,,,,0.055
02/26,0.04,0.04,,,,0.05,0.04,,,,,,0.038
02/27,0.04,0.04,,,,0.06,0.04,,,,,,0.038
02/28,0.05,0.05,,,,0.07,0.05,,,,,,0.05
02/29,,,,,,,,,,,,,0.04
03/01,0.05,0.05,,,,0.033,0.037,,,,,,0.048
03/02,0.06,0.06,,,,0.028,0.037,,,,,,0.052
03/03,0.09,0.09,,,,0.035,0.037,,,,,,0.064
03/04,0.06,0.06,,,,0.035,0.04,,,,,,0.058
03/05,0.032,0.032,,,,0.042,0.052,,,0.03,,0.03,0.062
03/06,0.033,0.033,,,,0.047,0.05,,,0.02,,0.03,0.057
03/07,0.028,0.028,,,,0.042,0.038,,,0.01,,0.027,0.049
03/08,0.035,0.035,,,,0.06,0.048,,,0.03,,0.027,0.055
03/09,0.03,0.03,,,,0.05,0.038,,,0.02,,0.023,0.05
03/10,0.042,0.042,,,,0.047,0.04,,,0.01,,0.028,0.062
03/11,0.032,0.032,,,,0.045,0.04,,,0.03,,0.024,0.057
03/12,0.052,0.052,,,,0.065,0.052,,,0.02,,0.038,0.079
03/13,0.06,0.06,,,,0.067,0.057,,,0.03,,0.034,0.085
03/14,0.053,0.053,,,,0.057,0.045,,,0.04,,0.03,0.069
03/15,0.033,0.033,,0.023,,0.054,0.044,,,0.025,,0.025,0.064
03/16,0.035,0.035,,0.027,,0.056,0.044,,,0.018,,0.026,0.065
03/17,0.054,0.054,,0.043,,0.085,0.065,,,0.035,,0.037,0.091
03/18,0.051,0.051,,0.037,,0.081,0.06,,,0.025,,0.031,0.086
03/19,0.055,0.055,,0.043,,0.086,0.061,,,0.025,,0.032,0.094
03/20,0.065,0.065,,0.042,,0.092,0.068,,,0.032,,0.037,0.106
03/21,0.061,0.061,,0.03,,0.078,0.057,,,0.026,,0.034,0.089
03/22,0.069,0.07,,0.04,,0.083,0.064,,,0.03,,0.038,0.095
03/23,0.077,0.078,,0.042,,0.093,0.069,,,0.034,,0.04,0.102
03/24,0.068,0.068,,0.038,,0.085,0.065,,,0.03,,0.037,0.1
03/25,0.071,0.072,,0.042,,0.097,0.074,,,0.034,,0.046,0.117
03/26,0.063,0.064,,0.032,,0.087,0.064,,,0.026,,0.04,0.099
03/27,0.076,0.077,,0.04,,0.1,0.073,,,0.034,,0.049,0.115
03/28,0.092,0.093,,0.044,,0.123,0.089,,,0.038,,0.059,0.138
03/29,0.092,0.094,,0.044,,0.122,0.088,,,0.04,,0.066,0.135
03/30,0.083,0.085,,0.04,,0.105,0.076,,,0.036,,0.062,0.117
03/31,0.119,0.123,,0.06,,0.147,0.11,,,0.056,,0.088,0.167
04/01,0.1,0.102,,0.04,,0.128,0.091,,,0.034,,0.07,0.143
04/02,0.11,0.112,,0.048,,0.13,0.096,,,0.04,,0.083,0.147
04/03,0.122,0.125,,0.052,,0.145,0.108,,,0.043,,0.096,0.166
04/04,0.115,0.117,,0.046,,0.135,0.102,,,0.038,,0.094,0.155
04/05,0.118,0.121,,0.05,,0.132,0.101,0.05,0.05,0.044,,0.098,0.152
04/06,0.115,0.117,,0.05,,0.13,0.099,0.057,0.057,0.042,,0.098,0.152
04/07,0.138,0.142,,0.056,,0.151,0.117,0.06,0.06,0.05,,0.122,0.176
04/08,0.155,0.16,,0.058,,0.171,0.134,0.063,0.067,0.052,,0.145,0.2
04/09,0.154,0.159,,0.058,,0.167,0.131,0.07,0.073,0.056,,0.144,0.196
04/10,0.168,0.174,,0.054,,0.18,0.142,0.065,0.08,0.056,,0.151,0.213
04/11,0.146,0.153,,0.052,,0.152,0.121,0.06,0.07,0.05,,0.142,0.182
04/12,0.159,0.169,,0.056,,0.164,0.131,0.06,0.073,0.058,,0.159,0.196
04/13,0.152,0.162,,0.057,,0.155,0.125,0.072,0.103,0.055,,0.158,0.187
04/14,0.151,0.162,,0.056,,0.148,0.122,0.072,0.097,0.058,,0.162,0.179
04/15,0.162,0.174,,0.058,0.073,0.161,0.132,0.068,0.08,0.059,0.073,0.139,0.194
04/16,0.172,0.187,,0.061,0.073,0.171,0.14,0.077,0.087,0.065,0.073,0.143,0.207
04/17,0.167,0.185,,0.063,0.083,0.162,0.135,0.08,0.098,0.067,0.083,0.149,0.201
04/18,0.178,0.198,,0.069,0.083,0.173,0.145,0.098,0.115,0.071,0.083,0.166,0.215
04/19,0.189,0.21,,0.07,0.087,0.182,0.152,0.095,0.117,0.077,0.087,0.17,0.226
04/20,0.191,0.212,,0.066,0.072,0.181,0.152,0.087,0.117,0.081,0.072,0.179,0.225
04/21,0.195,0.217,,0.065,0.074,0.186,0.155,0.085,0.125,0.085,0.074,0.178,0.231
04/22,0.208,0.232,,0.07,0.074,0.198,0.166,0.081,0.108,0.092,0.074,0.189,0.245
04/23,0.179,0.202,,0.062,0.062,0.17,0.145,0.072,0.103,0.082,0.062,0.164,0.212
04/24,0.155,0.175,,0.055,0.046,0.148,0.123,0.064,0.085,0.068,0.046,0.142,0.184
04/25,0.178,0.201,,0.059,0.06,0.168,0.142,0.069,0.098,0.084,0.06,0.162,0.208
04/26,0.181,0.208,,0.062,0.068,0.17,0.144,0.084,0.147,0.092,0.068,0.165,0.212
04/27,0.198,0.228,,0.068,0.06,0.186,0.159,0.08,0.115,0.098,0.06,0.18,0.232
04/28,0.215,0.248,,0.075,0.076,0.201,0.171,0.095,0.16,0.114,0.076,0.203,0.252
04/29,0.205,0.238,,0.075,0.072,0.192,0.164,0.096,0.16,0.114,0.072,0.2,0.241
04/30,0.213,0.246,,0.077,0.072,0.199,0.168,0.104,0.168,0.12,0.072,0.204,0.249
05/01,0.224,0.26,,0.084,0.083,0.209,0.178,0.107,0.128,0.132,0.083,0.221,0.262
05/02,0.233,0.272,,0.089,0.088,0.218,0.186,0.112,0.138,0.142,0.088,0.234,0.274
05/03,0.233,0.275,,0.092,0.089,0.219,0.185,0.119,0.15,0.148,0.089,0.238,0.275
05/04,0.225,0.265,,0.091,0.087,0.212,0.18,0.112,0.142,0.148,0.087,0.232,0.265
05/05,0.227,0.266,0.057,0.093,0.089,0.213,0.182,0.12,0.141,0.153,0.089,0.239,0.266
05/06,0.237,0.278,0.06,0.098,0.093,0.222,0.19,0.132,0.152,0.159,0.093,0.254,0.278
05/07,0.202,0.236,0.043,0.084,0.078,0.188,0.162,0.109,0.123,0.138,0.078,0.217,0.236
05/08,0.208,0.244,0.05,0.088,0.079,0.194,0.165,0.113,0.132,0.146,0.079,0.228,0.244
05/09,0.225,0.264,0.06,0.098,0.089,0.21,0.178,0.13,0.149,0.165,0.089,0.248,0.264
05/10,0.225,0.264,0.048,0.097,0.083,0.212,0.178,0.122,0.138,0.165,0.087,0.249,0.264
05/11,0.237,0.278,0.064,0.108,0.093,0.222,0.189,0.14,0.166,0.181,0.092,0.263,0.278
05/12,0.231,0.27,0.066,0.107,0.09,0.214,0.183,0.142,0.168,0.182,0.089,0.258,0.27
05/13,0.212,0.248,0.058,0.098,0.081,0.199,0.168,0.132,0.154,0.168,0.081,0.237,0.248
05/14,0.212,0.248,0.058,0.1,0.084,0.198,0.169,0.139,0.159,0.171,0.085,0.24,0.248
