# Station Code,gerw
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:31
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,BEAN,BEET,FCRN,HAYM,HAYP,LAWN,PAST,PEAS,POTA,PPMT,SCRN,SGRN,WGRN
02/02,,,,,,,,,,,,,,,,0.0
02/03,,,,,,,,,,,,,,,,0.01
02/04,,,,,,,,,,,,,,,,0.0
02/05,,,,,,,,,,,,,,,,0.01
02/06,,,,,,,,,,,,,,,,0.02
02/07,,,,,,,,,,,,,,,,0.03
02/08,,,,,,,,,,,,,,,,0.01
02/09,,,,,,,,,,,,,,,,0.01
02/10,,,,,,,,,,,,,,,,0.02
02/11,,,,,,,,,,,,,,,,0.01
02/12,,,,,,,,,,,,,,,,0.02
02/13,,,,,,,,,,,,,,,,0.02
02/14,,,,,,,,,,,,,,,,0.03
02/15,0.01,0.01,,,,,0.04,0.04,0.01,0.02,,,,,,0.03
02/16,0.01,0.01,,,,,0.04,0.04,0.01,0.02,,,,,,0.02
02/17,0.01,0.01,,,,,0.03,0.03,0.01,0.01,,,,,,0.015
02/18,0.01,0.01,,,,,0.03,0.03,0.01,0.01,,,,,,0.015
02/19,0.01,0.01,,,,,0.03,0.03,0.01,0.01,,,,,,0.02
02/20,0.02,0.02,,,,,0.06,0.06,0.02,0.03,,,,,,0.03
02/21,0.03,0.03,,,,,0.09,0.09,0.03,0.04,,,,,,0.04
02/22,0.02,0.02,,,,,0.05,0.05,0.02,0.02,,,,,,0.027
02/23,0.02,0.02,,,,,0.05,0.05,0.03,0.02,,,,,,0.027
02/24,0.01,0.01,,,,,0.04,0.04,0.02,0.02,,,,,,0.02
02/25,0.03,0.03,,,,,0.05,0.05,0.025,0.025,,,,,,0.04
02/26,0.02,0.02,,,,,0.043,0.043,0.02,0.02,,,,,,0.033
02/27,0.04,0.04,,,,,0.057,0.057,0.035,0.025,,,,,,0.037
02/28,0.05,0.05,,,,,0.08,0.08,0.04,0.03,,,,,,0.04
02/29,,,,,,,0.08,0.08,,,,,,,,0.035
03/01,0.03,0.03,,,,,0.058,0.058,0.02,0.024,,,,,,0.048
03/02,0.03,0.03,,,,,0.068,0.068,0.023,0.027,,,,,,0.055
03/03,0.025,0.025,,,,,0.07,0.07,0.025,0.03,,,,,,0.058
03/04,0.03,0.03,,,,,0.06,0.06,0.025,0.027,,,,,,0.06
03/05,0.017,0.017,,,,,0.064,0.064,0.025,0.027,,,0.01,,0.02,0.039
03/06,0.023,0.023,,,,,0.076,0.076,0.035,0.033,,,0.02,,0.025,0.037
03/07,0.022,0.022,,,,,0.076,0.076,0.037,0.03,,,0.01,,0.022,0.039
03/08,0.023,0.023,,,,,0.058,0.058,0.035,0.03,,,0.01,,0.015,0.035
03/09,0.03,0.03,,,,,0.082,0.082,0.048,0.037,,,0.0,,0.022,0.047
03/10,0.035,0.035,,,,,0.069,0.069,0.044,0.035,,,0.02,,0.022,0.048
03/11,0.035,0.035,,,,,0.07,0.07,0.039,0.035,,,0.01,,0.024,0.047
03/12,0.043,0.043,,,,,0.071,0.071,0.044,0.035,,,0.02,,0.024,0.051
03/13,0.03,0.03,,,,,0.063,0.063,0.035,0.03,,,0.01,,0.018,0.045
03/14,0.052,0.052,,,,,0.078,0.078,0.049,0.04,,,0.02,,0.028,0.055
03/15,0.031,0.031,,,,,0.078,0.078,0.048,0.039,,,0.018,,0.023,0.052
03/16,0.04,0.04,,,,,0.093,0.093,0.062,0.047,,,0.025,,0.026,0.063
03/17,0.034,0.034,,,,,0.081,0.081,0.054,0.042,,,0.018,,0.022,0.058
03/18,0.045,0.045,,,,,0.092,0.092,0.068,0.05,,,0.022,,0.028,0.068
03/19,0.046,0.046,,,,,0.095,0.095,0.075,0.051,,,0.02,,0.031,0.073
03/20,0.039,0.039,,,,,0.081,0.081,0.058,0.042,,,0.018,,0.029,0.065
03/21,0.042,0.042,,,,,0.082,0.082,0.059,0.043,,,0.016,,0.023,0.068
03/22,0.049,0.049,,,,,0.092,0.092,0.068,0.048,,,0.02,,0.032,0.077
03/23,0.057,0.057,,,,,0.098,0.098,0.073,0.055,,,0.022,,0.038,0.083
03/24,0.064,0.064,,,,,0.1,0.1,0.078,0.057,,,0.024,,0.041,0.086
03/25,0.05,0.05,0.024,,,,0.091,0.091,0.072,0.052,,,0.024,,0.035,0.08
03/26,0.051,0.052,0.02,,,,0.091,0.091,0.071,0.053,,,0.02,,0.039,0.082
03/27,0.069,0.07,0.03,,,,0.109,0.109,0.093,0.065,,,0.03,,0.051,0.098
03/28,0.075,0.077,0.026,,,,0.118,0.118,0.097,0.07,,,0.03,,0.053,0.108
03/29,0.078,0.079,0.032,,,,0.118,0.118,0.099,0.072,,,0.034,,0.064,0.108
03/30,0.091,0.092,0.036,,,,0.136,0.136,0.115,0.085,,,0.04,,0.07,0.127
03/31,0.087,0.089,0.034,,,,0.126,0.126,0.108,0.079,,,0.038,,0.066,0.119
04/01,0.092,0.094,0.034,,,,0.135,0.135,0.115,0.083,0.033,,0.031,,0.071,0.128
04/02,0.098,0.1,0.04,,,,0.135,0.135,0.115,0.087,0.04,,0.036,,0.079,0.129
04/03,0.092,0.093,0.034,,,,0.127,0.127,0.11,0.081,0.03,,0.032,,0.076,0.123
04/04,0.087,0.088,0.034,,,,0.113,0.114,0.097,0.075,0.037,,0.031,,0.082,0.112
04/05,0.087,0.088,0.028,,0.027,,0.115,0.115,0.098,0.075,0.03,,0.031,,0.07,0.114
04/06,0.095,0.098,0.033,,0.037,,0.121,0.122,0.106,0.08,0.033,,0.034,,0.076,0.122
04/07,0.1,0.105,0.034,,0.037,,0.125,0.125,0.108,0.084,0.035,,0.036,,0.086,0.125
04/08,0.128,0.132,0.049,,0.047,,0.156,0.156,0.135,0.106,0.048,,0.05,,0.121,0.159
04/09,0.125,0.128,0.044,,0.047,,0.153,0.153,0.131,0.103,0.045,,0.046,,0.11,0.155
04/10,0.115,0.119,0.044,,0.036,,0.135,0.135,0.117,0.095,0.037,,0.039,,0.103,0.14
04/11,0.132,0.14,0.05,,0.042,,0.156,0.157,0.135,0.107,0.038,,0.046,,0.115,0.16
04/12,0.115,0.124,0.047,,0.034,,0.138,0.138,0.118,0.096,0.034,,0.042,,0.109,0.143
04/13,0.122,0.13,0.05,,0.034,,0.144,0.145,0.124,0.1,0.04,,0.044,,0.117,0.149
04/14,0.14,0.15,0.054,,0.034,,0.166,0.166,0.142,0.115,0.041,,0.05,,0.129,0.172
04/15,0.131,0.143,0.053,,0.044,0.067,0.151,0.152,0.128,0.105,0.042,,0.049,0.075,0.116,0.159
04/16,0.118,0.131,0.045,,0.032,0.047,0.138,0.139,0.118,0.098,0.037,,0.045,0.05,0.1,0.145
04/17,0.158,0.172,0.061,,0.038,0.053,0.182,0.183,0.157,0.128,0.049,,0.058,0.05,0.123,0.192
04/18,0.152,0.168,0.066,,0.042,0.07,0.173,0.174,0.149,0.125,0.047,,0.059,0.07,0.135,0.182
04/19,0.14,0.156,0.064,,0.044,0.053,0.16,0.161,0.135,0.114,0.046,,0.057,0.05,0.125,0.169
04/20,0.151,0.166,0.072,,0.047,0.056,0.169,0.169,0.144,0.119,0.045,0.067,0.063,0.065,0.133,0.178
04/21,0.161,0.177,0.077,,0.048,0.054,0.18,0.18,0.152,0.128,0.049,0.06,0.068,0.06,0.142,0.189
04/22,0.157,0.176,0.081,,0.048,0.058,0.177,0.178,0.148,0.125,0.051,0.063,0.07,0.06,0.142,0.186
04/23,0.162,0.182,0.084,,0.048,0.054,0.18,0.18,0.153,0.129,0.051,0.053,0.071,0.045,0.146,0.191
04/24,0.158,0.177,0.085,,0.043,0.056,0.175,0.176,0.149,0.126,0.052,0.063,0.072,0.06,0.144,0.185
04/25,0.154,0.174,0.085,,0.047,0.052,0.172,0.173,0.145,0.125,0.049,0.053,0.074,0.05,0.148,0.181
04/26,0.185,0.212,0.102,,0.052,0.058,0.207,0.207,0.174,0.148,0.058,0.057,0.092,0.055,0.171,0.217
04/27,0.194,0.224,0.114,,0.059,0.06,0.217,0.218,0.182,0.155,0.063,0.058,0.098,0.07,0.191,0.228
04/28,0.175,0.204,0.108,,0.053,0.064,0.196,0.197,0.165,0.141,0.062,0.06,0.095,0.07,0.172,0.207
04/29,0.167,0.193,0.107,,0.053,0.056,0.185,0.186,0.155,0.133,0.059,0.062,0.091,0.075,0.165,0.195
04/30,0.19,0.222,0.125,,0.061,0.068,0.212,0.215,0.18,0.152,0.071,0.062,0.11,0.075,0.193,0.224
05/01,0.182,0.212,0.116,,0.054,0.067,0.203,0.205,0.17,0.146,0.068,0.07,0.105,0.07,0.187,0.214
