# Station Code,gfri
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:31
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,BEAN,BEET,FCRN,LAWN,PAST,POTA,PPMT,SCRN,SGRN,WGRN
02/02,,,,,,,,,,,,0.0
02/03,,,,,,,,,,,,0.01
02/04,,,,,,,,,,,,0.01
02/05,,,,,,,,,,,,0.02
02/06,,,,,,,,,,,,0.04
02/07,,,,,,,,,,,,0.06
02/08,,,,,,,,,,,,0.06
02/09,,,,,,,,,,,,0.05
02/10,,,,,,,,,,,,0.03
02/11,,,,,,,,,,,,0.04
02/12,,,,,,,,,,,,0.04
02/13,,,,,,,,,,,,0.05
02/14,,,,,,,,,,,,0.04
02/15,0.02,0.02,,,,0.02,0.04,,,,,0.08
02/16,0.02,0.02,,,,0.02,0.03,,,,,0.03
02/17,0.02,0.02,,,,0.02,0.03,,,,,0.04
02/18,0.02,0.02,,,,0.02,0.03,,,,,0.035
02/19,0.02,0.02,,,,0.02,0.03,,,,,0.045
02/20,0.03,0.03,,,,0.03,0.04,,,,,0.055
02/21,0.02,0.02,,,,0.03,0.03,,,,,0.033
02/22,0.02,0.02,,,,0.03,0.02,,,,,0.043
02/23,0.02,0.02,,,,0.03,0.03,,,,,0.047
02/24,0.04,0.04,,,,0.06,0.05,,,,,0.06
02/25,0.06,0.06,,,,0.055,0.055,,,,,0.08
02/26,0.04,0.04,,,,0.045,0.045,,,,,0.055
02/27,0.03,0.03,,,,0.03,0.025,,,,,0.037
02/28,0.05,0.05,,,,0.045,0.04,,,,,0.062
02/29,,,,,,,,,,,,0.035
03/01,0.03,0.03,,,,0.03,0.03,,,,,0.045
03/02,0.035,0.035,,,,0.03,0.037,,,,,0.058
03/03,0.045,0.045,,,,0.037,0.038,,,,,0.065
03/04,0.045,0.045,,,,0.037,0.038,,,,,0.07
03/05,0.032,0.032,,,,0.042,0.043,,,,0.022,0.055
03/06,0.023,0.023,,,,0.038,0.033,,,,0.018,0.05
03/07,0.033,0.033,,,,0.05,0.038,,,,0.025,0.051
03/08,0.037,0.037,,,,0.062,0.045,,,,0.028,0.053
03/09,0.032,0.032,,,,0.052,0.037,,,,0.02,0.053
03/10,0.045,0.045,,,,0.044,0.039,,,,0.024,0.063
03/11,0.048,0.048,,,,0.052,0.045,,,,0.03,0.065
03/12,0.058,0.058,,,,0.065,0.052,,,,0.036,0.077
03/13,0.057,0.057,,,,0.064,0.055,,,,0.028,0.081
03/14,0.06,0.06,,,,0.058,0.048,,,,0.028,0.069
03/15,0.036,0.036,,,,0.056,0.044,,0.027,,0.027,0.064
03/16,0.045,0.045,,,,0.069,0.054,,0.023,,0.028,0.074
03/17,0.052,0.052,,,,0.08,0.06,,0.03,,0.032,0.083
03/18,0.053,0.053,,,,0.082,0.058,,0.027,,0.033,0.087
03/19,0.053,0.053,,,,0.084,0.057,,0.033,,0.032,0.088
03/20,0.069,0.069,,,,0.09,0.068,,0.037,,0.041,0.102
03/21,0.063,0.063,,,,0.082,0.06,,0.025,,0.039,0.095
03/22,0.069,0.07,,,,0.086,0.061,,0.033,,0.04,0.097
03/23,0.076,0.077,,,,0.095,0.069,,0.03,,0.046,0.105
03/24,0.074,0.074,,,,0.088,0.064,,0.03,,0.045,0.102
03/25,0.078,0.078,,,,0.104,0.078,,0.04,,0.054,0.121
03/26,0.067,0.068,,,,0.092,0.068,,0.025,,0.045,0.105
03/27,0.079,0.081,,,,0.106,0.077,,0.033,,0.055,0.119
03/28,0.092,0.094,,,,0.125,0.09,,0.033,,0.065,0.137
03/29,0.081,0.082,,,,0.106,0.076,,0.03,,0.058,0.118
03/30,0.082,0.084,,,,0.102,0.074,,0.037,,0.063,0.112
03/31,0.117,0.121,,,,0.142,0.106,,0.053,,0.087,0.16
04/01,0.101,0.103,,,,0.125,0.09,,0.031,,0.072,0.14
04/02,0.107,0.109,,,,0.126,0.094,,0.034,,0.082,0.143
04/03,0.113,0.116,,,,0.13,0.099,,0.034,,0.086,0.152
04/04,0.107,0.11,,,,0.128,0.096,,0.033,,0.086,0.147
04/05,0.117,0.118,,0.04,,0.132,0.102,0.06,0.036,,0.099,0.152
04/06,0.128,0.132,,0.05,,0.143,0.108,0.067,0.041,,0.109,0.165
04/07,0.138,0.143,,0.053,,0.148,0.116,0.073,0.044,,0.126,0.174
04/08,0.153,0.159,,0.057,,0.166,0.13,0.073,0.052,,0.15,0.195
04/09,0.148,0.155,,0.057,,0.156,0.124,0.077,0.05,,0.144,0.185
04/10,0.173,0.18,,0.048,,0.185,0.145,0.068,0.053,,0.157,0.22
04/11,0.16,0.167,,0.044,,0.164,0.132,0.06,0.052,,0.155,0.197
04/12,0.161,0.171,,0.05,,0.164,0.131,0.062,0.052,,0.155,0.197
04/13,0.158,0.17,,0.048,,0.162,0.13,0.072,0.056,,0.16,0.195
04/14,0.138,0.149,,0.04,,0.136,0.112,0.062,0.048,,0.14,0.165
04/15,0.165,0.177,,0.05,0.077,0.162,0.132,0.07,0.055,0.077,0.148,0.197
04/16,0.158,0.173,,0.054,0.073,0.158,0.131,0.07,0.054,0.073,0.142,0.192
04/17,0.165,0.182,,0.058,0.087,0.16,0.134,0.083,0.062,0.087,0.153,0.199
04/18,0.185,0.204,,0.062,0.09,0.178,0.148,0.1,0.072,0.09,0.178,0.222
04/19,0.183,0.203,,0.06,0.083,0.178,0.148,0.087,0.07,0.083,0.168,0.22
04/20,0.195,0.217,,0.062,0.076,0.188,0.156,0.091,0.079,0.076,0.192,0.232
04/21,0.204,0.228,,0.062,0.082,0.195,0.162,0.092,0.087,0.082,0.198,0.242
04/22,0.216,0.244,,0.067,0.08,0.206,0.174,0.09,0.09,0.08,0.209,0.256
04/23,0.192,0.215,,0.056,0.068,0.182,0.154,0.08,0.08,0.068,0.185,0.226
04/24,0.162,0.182,,0.046,0.054,0.154,0.13,0.064,0.069,0.054,0.157,0.192
04/25,0.162,0.182,,0.046,0.048,0.152,0.129,0.061,0.071,0.048,0.159,0.189
04/26,0.192,0.22,,0.059,0.07,0.181,0.15,0.09,0.095,0.07,0.188,0.224
04/27,0.208,0.239,,0.061,0.06,0.197,0.167,0.083,0.098,0.06,0.207,0.244
04/28,0.234,0.271,,0.073,0.078,0.218,0.186,0.106,0.117,0.078,0.239,0.274
04/29,0.22,0.257,,0.068,0.078,0.208,0.177,0.102,0.115,0.078,0.228,0.26
04/30,0.223,0.258,,0.073,0.074,0.209,0.177,0.109,0.123,0.074,0.231,0.261
05/01,0.232,0.27,,0.074,0.083,0.218,0.186,0.108,0.13,0.083,0.243,0.272
05/02,0.24,0.281,,0.08,0.091,0.225,0.191,0.115,0.141,0.091,0.255,0.282
05/03,0.236,0.278,,0.082,0.093,0.222,0.188,0.123,0.147,0.093,0.255,0.278
05/04,0.235,0.278,,0.08,0.092,0.222,0.189,0.118,0.151,0.092,0.256,0.278
05/05,0.23,0.272,0.06,0.074,0.091,0.217,0.185,0.118,0.152,0.091,0.251,0.272
05/06,0.237,0.278,0.057,0.075,0.096,0.222,0.19,0.12,0.155,0.096,0.259,0.278
05/07,0.202,0.235,0.043,0.063,0.077,0.188,0.16,0.102,0.132,0.077,0.222,0.235
05/08,0.203,0.238,0.05,0.066,0.08,0.19,0.161,0.11,0.14,0.08,0.228,0.238
05/09,0.225,0.267,0.067,0.076,0.091,0.215,0.182,0.125,0.165,0.091,0.258,0.267
05/10,0.228,0.268,0.05,0.077,0.09,0.215,0.183,0.122,0.163,0.092,0.259,0.268
05/11,0.252,0.294,0.068,0.087,0.097,0.236,0.2,0.148,0.187,0.098,0.285,0.294
05/12,0.228,0.268,0.064,0.079,0.088,0.215,0.182,0.132,0.174,0.089,0.259,0.268
05/13,0.222,0.262,0.06,0.078,0.086,0.209,0.178,0.134,0.174,0.087,0.254,0.262
05/14,0.241,0.284,0.066,0.086,0.094,0.226,0.193,0.147,0.194,0.095,0.277,0.284
05/15,0.24,0.28,0.064,0.088,0.092,0.224,0.19,0.135,0.193,0.092,0.275,0.28
05/16,0.215,0.252,0.062,0.081,0.085,0.201,0.171,0.13,0.182,0.086,0.25,0.252
05/17,0.215,0.253,0.067,0.085,0.088,0.201,0.172,0.135,0.186,0.089,0.252,0.253
05/18,0.235,0.276,0.076,0.093,0.095,0.222,0.188,0.148,0.203,0.097,0.275,0.276
05/19,0.217,0.255,0.068,0.087,0.088,0.205,0.175,0.135,0.191,0.087,0.254,0.255
05/20,0.198,0.23,0.06,0.078,0.081,0.185,0.156,0.122,0.175,0.08,0.228,0.23
05/21,0.212,0.249,0.071,0.088,0.089,0.199,0.171,0.135,0.192,0.088,0.248,0.249
