# Station Code,golw
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:31
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,SGRN,WGRN
02/26,,,,,,0.01
02/27,,,,,,0.02
02/28,,,,,,0.03
02/29,,,,,,0.02
03/01,,,,,,0.025
03/02,,,0.005,0.015,,0.018
03/03,,,0.015,0.02,,0.028
03/04,,,0.01,0.02,,0.026
03/05,0.015,0.015,0.015,0.022,,0.028
03/06,0.02,0.02,0.02,0.03,,0.04
03/07,0.02,0.02,0.025,0.035,,0.044
03/08,0.015,0.015,0.02,0.025,,0.032
03/09,0.02,0.02,0.033,0.035,,0.038
03/10,0.02,0.02,0.043,0.04,,0.056
03/11,0.018,0.018,0.045,0.037,,0.033
03/12,0.022,0.022,0.053,0.043,,0.042
03/13,0.02,0.02,0.048,0.037,,0.035
03/14,0.022,0.022,0.05,0.033,,0.039
03/15,0.02,0.02,0.03,0.026,,0.035
03/16,0.03,0.03,0.035,0.035,,0.049
03/17,0.034,0.034,0.033,0.033,,0.05
03/18,0.038,0.038,0.035,0.034,,0.054
03/19,0.044,0.044,0.041,0.035,,0.055
03/20,0.026,0.026,0.038,0.034,,0.049
03/21,0.027,0.027,0.044,0.034,,0.049
03/22,0.032,0.032,0.055,0.044,,0.058
03/23,0.034,0.034,0.059,0.045,,0.061
03/24,0.038,0.038,0.065,0.045,,0.062
03/25,0.035,0.035,0.054,0.039,,0.064
03/26,0.036,0.036,0.052,0.037,,0.057
03/27,0.043,0.043,0.061,0.045,,0.07
03/28,0.046,0.046,0.065,0.048,,0.074
03/29,0.056,0.056,0.07,0.052,,0.082
03/30,0.058,0.058,0.077,0.056,,0.088
03/31,0.064,0.064,0.083,0.057,,0.091
04/01,0.066,0.066,0.09,0.062,0.015,0.098
04/02,0.078,0.078,0.104,0.072,0.03,0.113
04/03,0.072,0.072,0.092,0.064,0.025,0.098
04/04,0.066,0.066,0.082,0.057,0.03,0.091
04/05,0.065,0.065,0.08,0.057,0.024,0.089
04/06,0.082,0.083,0.097,0.069,0.034,0.108
04/07,0.091,0.092,0.104,0.075,0.034,0.118
04/08,0.102,0.102,0.115,0.084,0.038,0.128
04/09,0.108,0.109,0.118,0.088,0.04,0.134
04/10,0.106,0.108,0.116,0.086,0.036,0.131
04/11,0.104,0.107,0.115,0.085,0.04,0.128
04/12,0.103,0.106,0.112,0.086,0.036,0.125
04/13,0.113,0.115,0.122,0.093,0.036,0.137
04/14,0.126,0.132,0.134,0.105,0.042,0.152
04/15,0.11,0.115,0.112,0.089,0.033,0.13
04/16,0.116,0.122,0.118,0.092,0.036,0.138
04/17,0.132,0.138,0.134,0.105,0.042,0.158
04/18,0.137,0.144,0.141,0.111,0.044,0.164
04/19,0.135,0.145,0.137,0.109,0.046,0.16
04/20,0.143,0.152,0.14,0.113,0.048,0.165
04/21,0.158,0.172,0.154,0.127,0.055,0.185
04/22,0.149,0.162,0.147,0.119,0.053,0.175
04/23,0.147,0.161,0.144,0.118,0.052,0.172
04/24,0.149,0.162,0.145,0.119,0.055,0.174
04/25,0.152,0.167,0.145,0.119,0.06,0.178
04/26,0.178,0.196,0.169,0.141,0.071,0.208
04/27,0.182,0.201,0.172,0.143,0.075,0.211
04/28,0.18,0.203,0.17,0.145,0.083,0.212
04/29,0.192,0.218,0.182,0.152,0.09,0.224
04/30,0.188,0.215,0.179,0.15,0.092,0.222
05/01,0.174,0.204,0.165,0.139,0.094,0.203
05/02,0.179,0.207,0.167,0.141,0.103,0.207
05/03,0.188,0.219,0.178,0.151,0.11,0.22
05/04,0.187,0.218,0.176,0.15,0.113,0.219
05/05,0.178,0.207,0.166,0.142,0.114,0.208
05/06,0.184,0.215,0.174,0.147,0.12,0.215
05/07,0.192,0.225,0.18,0.153,0.138,0.225
05/08,0.19,0.221,0.178,0.15,0.141,0.221
05/09,0.206,0.241,0.192,0.162,0.157,0.241
05/10,0.205,0.239,0.19,0.164,0.162,0.239
05/11,0.193,0.226,0.181,0.154,0.154,0.226
05/12,0.211,0.246,0.196,0.168,0.173,0.246
05/13,0.198,0.234,0.187,0.159,0.169,0.234
05/14,0.192,0.228,0.183,0.156,0.167,0.228
05/15,0.178,0.208,0.166,0.142,0.16,0.208
05/16,0.198,0.234,0.186,0.158,0.19,0.234
05/17,0.207,0.244,0.195,0.165,0.202,0.244
05/18,0.188,0.22,0.178,0.151,0.185,0.22
05/19,0.179,0.212,0.168,0.143,0.18,0.212
05/20,0.185,0.218,0.174,0.149,0.19,0.218
05/21,0.168,0.198,0.16,0.134,0.178,0.198
05/22,0.182,0.212,0.168,0.145,0.191,0.212
05/23,0.222,0.26,0.208,0.176,0.235,0.26
05/24,0.206,0.244,0.195,0.166,0.227,0.244
05/25,0.182,0.212,0.171,0.145,0.2,0.212
05/26,0.203,0.238,0.189,0.163,0.227,0.238
05/27,0.201,0.236,0.189,0.162,0.225,0.236
05/28,0.227,0.267,0.214,0.182,0.255,0.267
05/29,0.23,0.272,0.217,0.184,0.26,0.272
05/30,0.222,0.261,0.209,0.177,0.252,0.261
05/31,0.228,0.268,0.214,0.182,0.26,0.268
06/01,0.236,0.278,0.222,0.188,0.271,0.278
06/02,0.259,0.305,0.244,0.208,0.297,0.305
06/03,0.258,0.304,0.242,0.206,0.298,0.304
06/04,0.252,0.296,0.235,0.202,0.292,0.296
06/05,0.232,0.272,0.215,0.184,0.27,0.272
06/06,0.244,0.288,0.23,0.195,0.286,0.288
06/07,0.252,0.298,0.238,0.202,0.297,0.298
06/08,0.232,0.273,0.219,0.186,0.272,0.273
06/09,0.22,0.258,0.206,0.176,0.256,0.258
06/10,0.239,0.282,0.225,0.192,0.28,0.282
06/11,0.242,0.285,0.228,0.193,0.285,0.285
06/12,0.235,0.276,0.222,0.187,0.276,0.276
06/13,0.258,0.302,0.242,0.205,0.302,0.302
06/14,0.25,0.294,0.235,0.199,0.294,0.293
06/15,0.218,0.255,0.204,0.175,0.255,0.255
06/16,0.238,0.28,0.224,0.19,0.28,0.279
06/17,0.255,0.298,0.239,0.203,0.298,0.297
06/18,0.254,0.297,0.237,0.202,0.297,0.295
06/19,0.266,0.313,0.251,0.212,0.313,0.31
06/20,0.256,0.301,0.242,0.203,0.301,0.294
06/21,0.252,0.296,0.237,0.201,0.296,0.287
06/22,0.258,0.302,0.242,0.206,0.302,0.293
06/23,0.278,0.327,0.262,0.222,0.327,0.318
06/24,0.277,0.325,0.259,0.222,0.325,0.312
06/25,0.255,0.3,0.238,0.205,0.3,0.282
06/26,0.271,0.319,0.255,0.216,0.319,0.295
06/27,0.281,0.33,0.263,0.225,0.33,0.298
06/28,0.283,0.333,0.266,0.226,0.333,0.295
06/29,0.301,0.352,0.282,0.24,0.352,0.303
06/30,0.296,0.348,0.279,0.236,0.348,0.294
07/01,0.302,0.355,0.284,0.241,0.355,0.292
07/02,0.31,0.365,0.293,0.249,0.365,0.29
07/03,0.312,0.366,0.292,0.248,0.366,0.28
07/04,0.312,0.366,0.292,0.248,0.366,0.271
07/05,0.309,0.365,0.293,0.248,0.365,0.266
07/06,0.31,0.365,0.294,0.249,0.365,0.255
07/07,0.312,0.367,0.293,0.249,0.367,0.248
07/08,0.29,0.341,0.274,0.231,0.341,0.222
07/09,0.311,0.365,0.291,0.248,0.365,0.226
07/10,0.316,0.372,0.298,0.252,0.372,0.214
07/11,0.309,0.362,0.29,0.245,0.362,0.216
07/12,0.304,0.356,0.285,0.241,0.356,0.202
07/13,0.312,0.367,0.294,0.25,0.365,0.198
07/14,0.312,0.367,0.293,0.25,0.365,0.181
07/15,0.323,0.381,0.305,0.259,0.379,0.181
07/16,0.32,0.375,0.3,0.254,0.369,0.168
07/17,0.313,0.368,0.295,0.25,0.358,0.157
07/18,0.292,0.344,0.274,0.234,0.332,0.135
07/19,0.321,0.376,0.3,0.255,0.358,0.135
07/20,0.33,0.387,0.31,0.262,0.365,0.047
07/21,0.336,0.394,0.315,0.268,0.364,0.193
07/22,0.315,0.369,0.295,0.251,0.341,0.197
07/23,0.308,0.363,0.29,0.247,0.332,0.177
07/24,0.296,0.348,0.278,0.237,0.309,0.137
07/25,0.285,0.335,0.269,0.229,0.29,0.06
07/26,0.321,0.377,0.302,0.257,0.318,0.19
07/27,0.312,0.368,0.294,0.25,0.3,0.19
07/28,0.314,0.368,0.293,0.252,0.28,0.19
07/29,0.33,0.388,0.311,0.265,0.28,0.18
07/30,0.342,0.403,0.322,0.275,0.269,0.18
07/31,0.322,0.378,0.302,0.257,0.238,0.15
08/01,0.321,0.378,0.303,0.258,0.211,0.14
08/02,0.316,0.371,0.296,0.252,0.226,0.12
08/03,0.292,0.343,0.275,0.232,0.196,0.11
08/04,0.286,0.335,0.268,0.228,0.165,0.11
08/05,0.289,0.339,0.272,0.23,0.12,0.0
08/06,0.288,0.339,0.271,0.232,0.17,
08/07,0.288,0.341,0.272,0.232,0.16,
08/08,0.299,0.353,0.282,0.241,0.151,
08/09,0.261,0.306,0.244,0.208,0.122,
08/10,0.287,0.337,0.269,0.228,0.042,
08/11,0.297,0.35,0.281,0.238,0.15,
08/12,0.281,0.332,0.265,0.226,0.13,
08/13,0.275,0.322,0.257,0.218,0.125,
08/14,0.271,0.318,0.255,0.215,0.125,
08/15,0.286,0.335,0.268,0.227,0.0,
08/16,0.285,0.336,0.27,0.228,,
08/17,0.283,0.332,0.265,0.225,,
08/18,0.281,0.329,0.262,0.224,,
08/19,0.283,0.333,0.267,0.226,,
08/20,0.265,0.312,0.248,0.212,,
08/21,0.275,0.324,0.258,0.221,,
08/22,0.26,0.305,0.245,0.208,,
08/23,0.244,0.286,0.228,0.194,,
08/24,0.249,0.293,0.234,0.198,,
08/25,0.235,0.277,0.222,0.187,,
08/26,0.243,0.285,0.227,0.193,,
08/27,0.261,0.306,0.246,0.205,,
08/28,0.238,0.279,0.222,0.188,,
08/29,0.252,0.296,0.237,0.198,,
08/30,0.236,0.278,0.223,0.186,,
08/31,0.237,0.279,0.224,0.187,,
09/01,0.218,0.256,0.205,0.168,,
09/02,0.223,0.263,0.21,0.173,,
09/03,0.22,0.258,0.208,0.172,,
09/04,0.216,0.253,0.202,0.166,,
09/05,0.218,0.255,0.205,0.167,,
09/06,0.198,0.234,0.186,0.152,,
09/07,0.228,0.268,0.214,0.174,,
09/08,0.218,0.255,0.203,0.166,,
09/09,0.218,0.255,0.203,0.166,,
09/10,0.212,0.248,0.198,0.162,,
09/11,0.193,0.228,0.182,0.146,,
09/12,0.208,0.245,0.196,0.158,,
09/13,0.198,0.232,0.186,0.148,,
09/14,0.188,0.221,0.177,0.142,,
09/15,0.177,0.208,0.166,0.131,,
09/16,0.179,0.209,0.168,0.131,,
09/17,0.16,0.186,0.148,0.116,,
09/18,0.146,0.172,0.138,0.107,,
09/19,0.157,0.184,0.148,0.114,,
09/20,0.155,0.181,0.145,0.111,,
09/21,0.147,0.172,0.138,0.105,,
09/22,0.155,0.181,0.143,0.111,,
09/23,0.142,0.167,0.135,0.101,,
09/24,0.138,0.163,0.13,0.098,,
09/25,0.14,0.165,0.132,0.098,,
09/26,0.142,0.167,0.133,0.098,,
09/27,0.129,0.151,0.121,0.085,,
09/28,0.125,0.146,0.118,0.081,,
09/29,0.122,0.145,0.117,0.078,,
09/30,0.127,0.15,0.12,0.078,,
10/01,0.117,0.138,0.112,0.072,,
10/02,0.12,0.142,0.112,0.073,,
10/03,0.124,0.144,0.115,0.069,,
10/04,0.13,0.153,0.122,0.072,,
10/05,0.111,0.13,0.103,0.061,,
10/06,0.135,0.159,0.128,0.072,,
10/07,0.117,0.138,0.112,0.061,,
10/08,0.104,0.122,0.097,0.05,,
10/09,0.094,0.111,0.088,0.045,,
10/10,0.0,0.0,0.0,0.0,,
