# Station Code,hami
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:31
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,HAYM,HAYP,LAWN,PAST,POTA,SGRN,WGRN
03/02,,,,,,,,,0.02
03/03,,,,,,,,,0.02
03/04,,,,,,,,,0.03
03/05,,,,,0.02,0.025,,,0.03
03/06,,,,,0.01,0.025,,,0.01
03/07,,,,,0.01,0.025,,,0.02
03/08,,,,,0.01,0.025,,,0.01
03/09,,,,,0.01,0.03,,,0.03
03/10,0.03,0.03,,,0.02,0.04,,,0.04
03/11,0.03,0.03,,,0.02,0.04,,,0.04
03/12,0.02,0.02,,,0.02,0.04,,,0.05
03/13,0.03,0.03,,,0.02,0.035,,,0.04
03/14,0.04,0.04,,,0.03,0.05,,,0.05
03/15,0.03,0.03,,,0.03,0.06,,,0.05
03/16,0.02,0.02,,,0.02,0.04,,,0.033
03/17,0.025,0.025,,,0.03,0.05,,,0.043
03/18,0.03,0.03,,,0.05,0.045,,,0.047
03/19,0.03,0.03,,,0.06,0.05,,,0.053
03/20,0.045,0.045,,,0.043,0.057,,,0.058
03/21,0.045,0.045,,,0.037,0.05,,,0.048
03/22,0.04,0.04,,,0.03,0.043,,,0.04
03/23,0.05,0.05,,,0.043,0.053,,,0.05
03/24,0.035,0.035,,,0.04,0.047,,,0.054
03/25,0.037,0.037,,,0.03,0.04,,,0.056
03/26,0.04,0.04,,,0.04,0.048,,,0.064
03/27,0.045,0.045,,,0.043,0.048,,,0.067
03/28,0.068,0.068,,,0.063,0.067,,,0.088
03/29,0.062,0.062,,,0.062,0.058,,,0.08
03/30,0.07,0.07,,,0.072,0.063,,,0.088
03/31,0.085,0.085,,,0.082,0.068,,,0.097
04/01,0.048,0.048,0.105,0.105,0.065,0.055,,,0.073
04/02,0.048,0.048,0.12,0.12,0.07,0.055,,,0.069
04/03,0.053,0.053,0.115,0.115,0.078,0.057,,,0.074
04/04,0.062,0.062,0.125,0.125,0.088,0.063,,,0.084
04/05,0.067,0.067,0.093,0.093,0.072,0.061,,0.035,0.082
04/06,0.068,0.068,0.094,0.094,0.073,0.061,,0.02,0.084
04/07,0.083,0.083,0.111,0.111,0.091,0.071,,0.03,0.103
04/08,0.103,0.103,0.133,0.133,0.11,0.086,,0.03,0.123
04/09,0.107,0.107,0.13,0.13,0.108,0.087,,0.035,0.124
04/10,0.077,0.077,0.133,0.133,0.106,0.087,,0.045,0.122
04/11,0.078,0.078,0.122,0.122,0.101,0.081,,0.035,0.114
04/12,0.08,0.08,0.127,0.127,0.108,0.084,,0.035,0.119
04/13,0.087,0.087,0.144,0.144,0.121,0.092,,0.035,0.133
04/14,0.081,0.081,0.123,0.123,0.111,0.082,,0.045,0.116
04/15,0.072,0.072,0.114,0.114,0.102,0.074,,0.028,0.108
04/16,0.101,0.101,0.156,0.156,0.137,0.101,,0.042,0.147
04/17,0.116,0.117,0.17,0.17,0.154,0.111,,0.048,0.166
