# Station Code,hero
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:32
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,BEAN,FCRN,LAWN,MELN,ONYN,PAST,PEAS,POP3,POTA,PPMT,RAPE,SCRN,SGRN,WGRN,WGRP
02/11,,,,,,0.0,,,0.0,,,,,,,,0.007,
02/12,,,,,,0.01,,,0.01,,,,,,,,0.01,
02/13,,,,,,0.01,,,0.02,,,,,,,,0.013,
02/14,,,,,,0.01,,,0.01,,,,,,,,0.023,
02/15,0.0,0.0,,,,0.015,,,0.025,,,,,,,,0.028,
02/16,0.01,0.01,,,,0.02,,,0.025,,,,,0.01,,,0.029,
02/17,0.02,0.02,,,,0.025,,,0.03,,,,,0.01,,,0.029,
02/18,0.02,0.02,,,,0.025,,,0.025,,,,,0.01,,,0.025,
02/19,0.02,0.02,,,,0.035,,,0.035,,,,,0.01,,,0.033,
02/20,0.015,0.015,,,,0.023,,,0.026,,,,,0.01,,,0.034,
02/21,0.02,0.02,,,,0.021,,,0.023,,,,,0.01,,,0.033,
02/22,0.015,0.015,,,,0.021,,,0.028,,,,,0.03,,,0.036,
02/23,0.01,0.01,,,,0.024,,,0.028,,,,,0.01,,,0.037,
02/24,0.01,0.01,,,,0.021,,,0.023,,,,,0.01,,,0.037,
02/25,0.017,0.017,0.04,,,0.021,,,0.026,,,,,0.02,,,0.034,
02/26,0.013,0.013,0.02,,,0.026,,,0.021,,,,,0.01,,,0.033,
02/27,0.013,0.013,0.02,,,0.027,,,0.024,,,,,0.02,,,0.034,
02/28,0.019,0.019,0.01,,,0.043,,,0.033,,,,,0.02,,,0.046,
02/29,0.03,0.03,0.02,,,0.063,,,0.053,,,,,,,,0.073,
03/01,0.018,0.018,0.02,,,0.039,,,0.028,,,,,0.01,,0.016,0.042,
03/02,0.018,0.018,0.02,,,0.039,,,0.027,,,,,0.02,,0.016,0.044,
03/03,0.026,0.026,0.03,,,0.059,,,0.041,,,,,0.02,,0.018,0.062,
03/04,0.026,0.026,0.03,,,0.044,,,0.035,,,,,0.01,,0.016,0.055,
03/05,0.025,0.025,0.03,,,0.043,,0.03,0.037,,,,0.01,0.02,,0.02,0.053,
03/06,0.036,0.036,0.03,,,0.058,,0.04,0.046,,,,0.02,0.03,,0.024,0.062,
03/07,0.041,0.041,0.02,,,0.064,,0.07,0.048,,,,0.025,0.04,,0.022,0.069,
