# Station Code,hoxo
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:32
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,BLUB,CHRY,LAWN,PAST,PEAR,WGRP
02/16,0.01,0.01,,,,0.01,0.02,,
02/17,0.01,0.01,,,,0.01,0.02,,
02/18,0.01,0.01,,,,0.01,0.02,,
02/19,0.01,0.01,,,,0.01,0.02,,
02/20,0.01,0.01,,,,0.01,0.02,,
02/21,0.02,0.02,,,,0.02,0.02,,
02/22,0.02,0.02,,,,0.03,0.03,,
02/23,0.02,0.02,,,,0.03,0.02,,
02/24,0.03,0.03,,,,0.05,0.04,,
02/25,0.02,0.02,,,,0.03,0.02,,
02/26,0.02,0.02,,,,0.015,0.02,,
02/27,0.01,0.01,,,,0.015,0.01,,
02/28,0.03,0.03,,,,0.025,0.02,,
03/01,0.02,0.02,,,,0.02,0.017,,
03/02,0.015,0.015,,,,0.012,0.013,,
03/03,0.015,0.015,,,,0.018,0.02,,
03/04,0.025,0.025,,,,0.018,0.017,,
03/05,0.017,0.017,,,,0.022,0.022,,
03/06,0.018,0.018,,,,0.028,0.023,,
03/07,0.018,0.018,,,,0.033,0.027,,
03/08,0.017,0.017,,,,0.027,0.022,,
03/09,0.018,0.018,,,,0.032,0.023,,
03/10,0.025,0.025,,,,0.039,0.031,,
03/11,0.023,0.023,,,,0.028,0.025,,
03/12,0.03,0.03,,,,0.037,0.028,,
03/13,0.023,0.023,,,,0.025,0.02,,
03/14,0.02,0.02,,,,0.023,0.019,,
03/15,0.02,0.02,,0.01,,0.03,0.025,,
03/16,0.028,0.028,,0.02,,0.045,0.034,,
03/17,0.025,0.025,,0.01,,0.041,0.031,,
03/18,0.032,0.032,,0.01,,0.048,0.035,,
03/19,0.034,0.034,,0.02,,0.051,0.034,,
03/20,0.026,0.026,,0.01,,0.04,0.028,,
03/21,0.031,0.031,,0.01,,0.043,0.033,,
03/22,0.039,0.039,,0.02,,0.05,0.037,,
03/23,0.038,0.038,,0.02,,0.048,0.037,,
03/24,0.043,0.044,,0.02,,0.052,0.039,,
03/25,0.039,0.039,0.025,0.02,,0.055,0.038,0.025,
03/26,0.042,0.042,0.01,0.015,,0.058,0.042,0.013,
03/27,0.047,0.048,0.02,0.03,,0.063,0.047,0.023,
03/28,0.046,0.047,0.025,0.025,,0.062,0.047,0.023,
03/29,0.052,0.053,0.02,0.025,,0.068,0.049,0.023,
03/30,0.056,0.058,0.03,0.045,,0.072,0.055,0.03,
03/31,0.064,0.065,0.03,0.04,0.04,0.078,0.056,0.027,
04/01,0.067,0.068,0.025,0.03,0.047,0.08,0.058,0.023,
04/02,0.078,0.08,0.03,0.036,0.057,0.092,0.069,0.03,
04/03,0.071,0.072,0.025,0.034,0.047,0.083,0.062,0.02,0.01
04/04,0.058,0.061,0.02,0.028,0.043,0.068,0.052,0.023,0.02
04/05,0.062,0.063,0.02,0.025,0.043,0.07,0.053,0.019,0.01
04/06,0.074,0.075,0.025,0.03,0.05,0.08,0.062,0.022,0.02
04/07,0.086,0.088,0.027,0.035,0.053,0.091,0.072,0.024,0.02
04/08,0.096,0.1,0.027,0.039,0.053,0.098,0.08,0.028,0.02
04/09,0.099,0.105,0.028,0.046,0.057,0.104,0.082,0.029,0.02
04/10,0.088,0.093,0.025,0.033,0.052,0.089,0.073,0.027,0.017
04/11,0.091,0.095,0.023,0.035,0.053,0.093,0.075,0.025,0.013
04/12,0.09,0.097,0.025,0.035,0.05,0.095,0.077,0.024,0.013
04/13,0.096,0.102,0.028,0.043,0.055,0.098,0.08,0.025,0.017
04/14,0.106,0.115,0.035,0.049,0.062,0.105,0.085,0.029,0.02
04/15,0.103,0.114,0.031,0.052,0.062,0.104,0.084,0.025,0.022
04/16,0.096,0.106,0.033,0.055,0.061,0.095,0.078,0.026,0.022
04/17,0.112,0.122,0.039,0.072,0.072,0.11,0.089,0.031,0.026
04/18,0.118,0.131,0.041,0.075,0.076,0.116,0.097,0.032,0.029
04/19,0.11,0.123,0.042,0.076,0.078,0.108,0.088,0.031,0.027
04/20,0.122,0.135,0.042,0.079,0.084,0.116,0.097,0.034,0.029
04/21,0.138,0.155,0.056,0.097,0.09,0.133,0.112,0.038,0.03
04/22,0.132,0.147,0.051,0.095,0.087,0.125,0.105,0.038,0.031
04/23,0.129,0.145,0.058,0.098,0.085,0.123,0.104,0.035,0.031
04/24,0.123,0.139,0.048,0.094,0.075,0.118,0.097,0.035,0.026
04/25,0.125,0.139,0.049,0.094,0.08,0.115,0.098,0.035,0.031
04/26,0.143,0.163,0.056,0.114,0.092,0.135,0.114,0.04,0.034
04/27,0.141,0.162,0.062,0.121,0.094,0.132,0.114,0.044,0.035
04/28,0.148,0.172,0.068,0.132,0.103,0.141,0.119,0.046,0.041
04/29,0.161,0.185,0.076,0.145,0.113,0.149,0.128,0.049,0.045
04/30,0.162,0.188,0.084,0.152,0.118,0.152,0.131,0.053,0.047
05/01,0.153,0.177,0.078,0.149,0.114,0.142,0.122,0.05,0.044
05/02,0.154,0.178,0.08,0.152,0.118,0.142,0.123,0.054,0.048
05/03,0.158,0.186,0.099,0.17,0.128,0.148,0.125,0.054,0.052
05/04,0.158,0.186,0.101,0.169,0.131,0.149,0.128,0.058,0.052
05/05,0.147,0.172,0.084,0.156,0.122,0.138,0.118,0.055,0.048
05/06,0.156,0.183,0.089,0.168,0.132,0.147,0.125,0.059,0.052
05/07,0.172,0.201,0.097,0.186,0.147,0.162,0.136,0.067,0.059
05/08,0.158,0.185,0.099,0.178,0.141,0.148,0.127,0.065,0.06
05/09,0.184,0.217,0.122,0.209,0.166,0.173,0.147,0.078,0.072
05/10,0.184,0.215,0.125,0.206,0.168,0.174,0.145,0.078,0.075
05/11,0.169,0.198,0.115,0.189,0.156,0.158,0.135,0.072,0.069
05/12,0.17,0.2,0.116,0.192,0.161,0.16,0.134,0.074,0.071
05/13,0.175,0.206,0.126,0.199,0.168,0.165,0.139,0.08,0.078
05/14,0.167,0.197,0.128,0.192,0.168,0.158,0.135,0.079,0.077
05/15,0.149,0.175,0.118,0.171,0.15,0.139,0.118,0.072,0.074
05/16,0.165,0.192,0.132,0.189,0.17,0.154,0.131,0.083,0.084
05/17,0.18,0.212,0.151,0.21,0.19,0.168,0.144,0.094,0.096
05/18,0.159,0.187,0.138,0.186,0.168,0.149,0.128,0.084,0.087
05/19,0.162,0.19,0.144,0.19,0.177,0.153,0.128,0.091,0.093
05/20,0.166,0.197,0.158,0.197,0.188,0.157,0.133,0.097,0.104
05/21,0.151,0.177,0.145,0.177,0.169,0.14,0.12,0.09,0.096
05/22,0.156,0.183,0.151,0.183,0.176,0.146,0.125,0.093,0.098
05/23,0.178,0.208,0.173,0.208,0.202,0.168,0.142,0.11,0.114
05/24,0.182,0.213,0.182,0.213,0.209,0.169,0.145,0.115,0.123
05/25,0.152,0.179,0.154,0.179,0.176,0.144,0.122,0.1,0.104
05/26,0.168,0.199,0.174,0.199,0.202,0.158,0.135,0.112,0.117
05/27,0.165,0.195,0.171,0.195,0.197,0.156,0.133,0.112,0.115
05/28,0.19,0.223,0.199,0.223,0.225,0.178,0.152,0.129,0.136
05/29,0.188,0.221,0.196,0.221,0.224,0.176,0.152,0.13,0.134
05/30,0.188,0.222,0.2,0.222,0.227,0.178,0.152,0.135,0.137
05/31,0.195,0.23,0.21,0.23,0.236,0.183,0.157,0.143,0.144
06/01,0.199,0.235,0.217,0.235,0.241,0.188,0.158,0.149,0.148
06/02,0.204,0.242,0.224,0.242,0.248,0.193,0.164,0.156,0.152
06/03,0.212,0.25,0.232,0.25,0.257,0.2,0.17,0.165,0.159
06/04,0.212,0.25,0.234,0.25,0.257,0.201,0.171,0.168,0.162
06/05,0.193,0.226,0.214,0.226,0.235,0.18,0.155,0.155,0.146
06/06,0.208,0.245,0.232,0.245,0.253,0.196,0.167,0.169,0.158
06/07,0.205,0.241,0.229,0.241,0.248,0.192,0.163,0.173,0.158
06/08,0.198,0.233,0.221,0.233,0.242,0.186,0.158,0.168,0.151
06/09,0.182,0.214,0.203,0.214,0.222,0.17,0.145,0.156,0.138
06/10,0.198,0.235,0.224,0.235,0.243,0.188,0.158,0.17,0.153
06/11,0.199,0.234,0.223,0.233,0.242,0.187,0.158,0.175,0.153
06/12,0.193,0.226,0.215,0.225,0.235,0.182,0.154,0.171,0.148
06/13,0.193,0.228,0.217,0.227,0.238,0.18,0.155,0.173,0.148
06/14,0.197,0.232,0.22,0.232,0.241,0.185,0.157,0.178,0.151
06/15,0.188,0.219,0.211,0.219,0.228,0.175,0.15,0.168,0.143
06/16,0.202,0.238,0.228,0.236,0.247,0.191,0.161,0.188,0.155
06/17,0.207,0.243,0.231,0.241,0.252,0.195,0.165,0.194,0.158
06/18,0.211,0.249,0.238,0.245,0.258,0.201,0.17,0.201,0.163
06/19,0.218,0.256,0.246,0.252,0.266,0.205,0.174,0.208,0.168
06/20,0.217,0.256,0.246,0.252,0.266,0.205,0.173,0.212,0.167
06/21,0.236,0.276,0.266,0.272,0.286,0.222,0.188,0.228,0.181
06/22,0.229,0.268,0.258,0.261,0.278,0.213,0.182,0.223,0.175
06/23,0.222,0.262,0.252,0.255,0.271,0.209,0.178,0.221,0.17
06/24,0.238,0.279,0.269,0.272,0.29,0.222,0.188,0.238,0.184
06/25,0.215,0.253,0.243,0.245,0.262,0.202,0.171,0.218,0.166
06/26,0.218,0.255,0.245,0.248,0.265,0.203,0.173,0.221,0.165
06/27,0.23,0.27,0.26,0.261,0.282,0.216,0.184,0.235,0.175
06/28,0.243,0.285,0.275,0.274,0.296,0.228,0.194,0.249,0.186
06/29,0.246,0.288,0.278,0.278,0.299,0.232,0.198,0.255,0.188
06/30,0.241,0.284,0.275,0.275,0.295,0.225,0.193,0.252,0.182
07/01,0.248,0.291,0.283,0.281,0.302,0.233,0.198,0.26,0.191
07/02,0.252,0.298,0.289,0.286,0.308,0.237,0.202,0.268,0.194
07/03,0.264,0.311,0.304,0.299,0.322,0.248,0.21,0.281,0.202
07/04,0.265,0.312,0.305,0.3,0.324,0.25,0.212,0.283,0.204
07/05,0.252,0.296,0.29,0.285,0.307,0.236,0.202,0.271,0.193
07/06,0.249,0.293,0.287,0.282,0.304,0.235,0.198,0.271,0.192
07/07,0.248,0.292,0.288,0.28,0.304,0.235,0.199,0.271,0.19
07/08,0.248,0.291,0.286,0.28,0.301,0.232,0.198,0.273,0.188
07/09,0.238,0.28,0.276,0.269,0.289,0.225,0.191,0.266,0.182
07/10,0.257,0.302,0.298,0.289,0.313,0.241,0.205,0.288,0.195
07/11,0.245,0.289,0.285,0.276,0.301,0.232,0.198,0.278,0.188
07/12,0.244,0.287,0.283,0.274,0.297,0.229,0.195,0.278,0.187
07/13,0.251,0.294,0.292,0.281,0.304,0.235,0.199,0.29,0.192
07/14,0.259,0.304,0.302,0.288,0.315,0.244,0.206,0.302,0.198
07/15,0.265,0.31,0.309,0.295,0.322,0.249,0.211,0.31,0.202
07/16,0.246,0.289,0.289,0.274,0.3,0.232,0.198,0.295,0.188
07/17,0.248,0.292,0.292,0.278,0.304,0.232,0.198,0.298,0.188
07/18,0.238,0.279,0.279,0.265,0.289,0.224,0.188,0.286,0.183
07/19,0.248,0.293,0.293,0.278,0.305,0.236,0.2,0.303,0.191
07/20,0.262,0.308,0.308,0.291,0.319,0.246,0.209,0.322,0.2
07/21,0.255,0.298,0.298,0.282,0.309,0.238,0.202,0.312,0.196
07/22,0.248,0.292,0.292,0.275,0.302,0.232,0.197,0.305,0.188
07/23,0.247,0.289,0.289,0.272,0.298,0.232,0.195,0.306,0.188
07/24,0.245,0.288,0.288,0.27,0.297,0.23,0.195,0.305,0.187
07/25,0.229,0.269,0.269,0.253,0.278,0.216,0.182,0.286,0.176
07/26,0.249,0.292,0.292,0.274,0.301,0.233,0.198,0.312,0.19
07/27,0.257,0.302,0.302,0.282,0.31,0.242,0.205,0.322,0.198
07/28,0.25,0.294,0.294,0.276,0.302,0.235,0.2,0.315,0.192
07/29,0.248,0.292,0.292,0.272,0.3,0.235,0.198,0.312,0.191
07/30,0.252,0.295,0.295,0.276,0.301,0.236,0.201,0.318,0.192
07/31,0.248,0.292,0.292,0.272,0.293,0.234,0.198,0.315,0.19
08/01,0.246,0.289,0.289,0.269,0.289,0.23,0.197,0.312,0.188
08/02,0.238,0.278,0.278,0.259,0.277,0.222,0.189,0.3,0.182
08/03,0.23,0.27,0.27,0.251,0.268,0.215,0.182,0.292,0.176
08/04,0.233,0.274,0.274,0.255,0.272,0.218,0.185,0.295,0.178
08/05,0.227,0.266,0.266,0.248,0.258,0.212,0.18,0.286,0.174
08/06,0.234,0.272,0.272,0.253,0.264,0.216,0.185,0.292,0.178
08/07,0.238,0.279,0.279,0.26,0.269,0.222,0.188,0.301,0.182
08/08,0.234,0.275,0.275,0.255,0.263,0.218,0.185,0.295,0.18
08/09,0.208,0.244,0.244,0.225,0.233,0.194,0.165,0.263,0.159
08/10,0.221,0.258,0.258,0.239,0.244,0.206,0.175,0.278,0.168
08/11,0.231,0.27,0.27,0.249,0.252,0.216,0.183,0.288,0.176
08/12,0.218,0.255,0.255,0.235,0.235,0.204,0.173,0.272,0.166
08/13,0.217,0.255,0.255,0.235,0.233,0.205,0.173,0.268,0.167
08/14,0.212,0.247,0.247,0.228,0.224,0.197,0.168,0.26,0.16
08/15,0.221,0.26,0.26,0.24,0.235,0.208,0.178,0.273,0.169
08/16,0.219,0.258,0.258,0.238,0.23,0.207,0.176,0.272,0.168
