# Station Code,hrfo
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:32
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST
03/06,,,,0.02
03/07,,,,0.02
03/08,,,,0.02
03/09,,,,0.01
03/10,,,,0.02
03/11,,,,0.01
03/12,,,,0.03
03/13,,,,0.02
03/14,,,,0.02
03/15,,,,0.02
03/16,,,,0.02
03/17,,,,0.03
03/18,,,,0.03
03/19,,,,0.04
03/20,0.02,0.02,,0.04
03/21,0.013,0.013,,0.04
03/22,0.017,0.017,,0.04
03/23,0.017,0.017,,0.05
03/24,0.023,0.023,,0.06
03/25,0.017,0.017,,0.026
03/26,0.017,0.017,,0.028
03/27,0.03,0.03,,0.028
03/28,0.027,0.027,,0.03
03/29,0.037,0.037,,0.04
03/30,0.047,0.047,,0.04
03/31,0.043,0.043,,0.038
04/01,0.028,0.028,0.012,0.032
04/02,0.036,0.036,0.016,0.04
04/03,0.042,0.042,0.022,0.044
04/04,0.04,0.04,0.022,0.044
04/05,0.042,0.042,0.022,0.047
04/06,0.054,0.054,0.033,0.047
04/07,0.058,0.058,0.047,0.054
04/08,0.064,0.064,0.052,0.057
04/09,0.072,0.072,0.065,0.064
04/10,0.077,0.077,0.064,0.062
04/11,0.073,0.073,0.047,0.049
04/12,0.065,0.065,0.046,0.048
04/13,0.077,0.077,0.052,0.048
04/14,0.07,0.07,0.052,0.049
04/15,0.049,0.049,0.058,0.052
04/16,0.05,0.05,0.062,0.052
04/17,0.058,0.058,0.077,0.062
04/18,0.068,0.068,0.091,0.072
04/19,0.076,0.076,0.101,0.077
04/20,0.063,0.063,0.082,0.064
04/21,0.077,0.077,0.099,0.076
04/22,0.077,0.077,0.103,0.076
04/23,0.073,0.075,0.096,0.071
04/24,0.074,0.076,0.095,0.071
04/25,0.075,0.077,0.102,0.074
04/26,0.085,0.087,0.105,0.078
04/27,0.094,0.096,0.122,0.09
04/28,0.09,0.094,0.113,0.084
04/29,0.097,0.102,0.124,0.09
04/30,0.097,0.102,0.12,0.088
05/01,0.108,0.115,0.132,0.098
05/02,0.125,0.132,0.145,0.108
05/03,0.123,0.132,0.14,0.108
05/04,0.124,0.132,0.142,0.108
05/05,0.125,0.132,0.138,0.107
05/06,0.12,0.126,0.135,0.104
05/07,0.131,0.138,0.147,0.112
05/08,0.144,0.153,0.155,0.122
05/09,0.138,0.147,0.148,0.118
05/10,0.137,0.145,0.144,0.115
05/11,0.143,0.152,0.147,0.118
05/12,0.141,0.151,0.143,0.117
05/13,0.148,0.159,0.152,0.123
05/14,0.134,0.143,0.135,0.108
05/15,0.13,0.14,0.131,0.105
05/16,0.132,0.143,0.131,0.108
05/17,0.128,0.139,0.125,0.103
05/18,0.145,0.156,0.139,0.116
05/19,0.125,0.137,0.122,0.102
05/20,0.122,0.133,0.117,0.098
