# Station Code,hrhw
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:32
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,ASPA,BLGR,CGRP,CHRY,FCRN,HAYM,HAYP,HOPS,LAWN,MELN,PAST,PECH,POTA,PPMT,SCRN,SGRN,SPMT,WGRN,WGRP
02/02,,,,,,,,,,,,,,,,,,,,,0.0,
02/03,,,,,,,,,,,,,,,,,,,,,0.01,
02/04,,,,,,,,,,,,,,,,,,,,,0.0,
02/05,,,,,,,,,,,,,,,,,,,,,0.01,
02/06,,,,,,,,,,,,,,,,,,,,,0.03,
02/07,,,,,,,,,,,,,,,,,,,,,0.03,
02/08,,,,,,,,,,,,,,,,,,,,,0.02,
02/09,,,,,,,,,,,,,,,,,,,,,0.02,
02/10,,,,,,,,,,,,,,,,,,,,,0.04,
02/11,,,,,,,,,,,,,,,,,,,,,0.01,
02/12,,,,,,,,,,,,,,,,,,,,,0.02,
02/13,,,,,,,,,,,,,,,,,,,,,0.02,
02/14,,,,,,,,,,,,,,,,,,,,,0.04,
02/15,0.01,0.01,,,,,,,0.05,0.05,,0.01,,0.02,,,,,,,0.04,
02/16,0.01,0.01,,,,,,,0.06,0.06,,0.01,,0.02,,,,,,,0.05,
02/17,0.02,0.02,,,,,,,0.06,0.06,,0.02,,0.03,,,,,,,0.05,
02/18,0.01,0.01,,,,,,,0.04,0.04,,0.01,,0.02,,,,,,,0.04,
02/19,0.01,0.01,,,,,,,0.05,0.05,,0.01,,0.02,,,,,,,0.04,
02/20,0.02,0.02,,,0.03,,,,0.07,0.07,,0.02,,0.03,,,,,,,0.06,
02/21,0.02,0.02,,,0.03,,,,0.08,0.08,,0.03,,0.04,,,,,,,0.05,
02/22,0.02,0.02,,,0.023,,,,0.07,0.07,,0.03,,0.03,,,,,,,0.04,
02/23,0.03,0.03,,,0.023,,,,0.07,0.07,,0.04,,0.03,,,,,,,0.035,
02/24,0.03,0.03,,,0.023,,,,0.06,0.06,,0.04,,0.03,,,,,,,0.035,
02/25,0.03,0.03,,,0.025,,,,0.047,0.047,,0.025,,0.02,,,,,,,0.035,
02/26,0.03,0.03,,,0.028,,,,0.047,0.047,,0.025,,0.025,,,,,,,0.033,
02/27,0.02,0.02,,,0.028,,,,0.043,0.043,,0.015,,0.01,,,,,,,0.027,
02/28,0.05,0.05,,,0.046,,,,0.077,0.077,,0.04,,0.03,,,,,,,0.057,
02/29,,,,,0.045,,,,0.07,0.07,,,,,,,,,,,0.05,
03/01,0.025,0.025,,0.04,0.042,,,,0.07,0.07,,0.024,,0.03,,,,,,,0.047,
03/02,0.015,0.015,,0.02,0.034,,,,0.058,0.058,,0.017,,0.025,,,,,,,0.043,
03/03,0.03,0.03,,0.03,0.052,,,,0.082,0.082,,0.03,,0.033,,,,,,,0.063,
03/04,0.035,0.035,,0.045,0.052,,,,0.078,0.078,,0.032,,0.033,,,,,,,0.07,
03/05,0.025,0.025,,0.043,0.048,,,,0.08,0.08,,0.032,,0.035,,,0.02,,0.02,0.02,0.039,
03/06,0.028,0.028,,0.057,0.049,,,,0.094,0.094,,0.045,,0.045,,,0.02,,0.022,0.02,0.038,
03/07,0.032,0.032,,0.043,0.053,,,,0.112,0.112,,0.053,,0.045,,,0.01,,0.033,0.01,0.044,
03/08,0.023,0.023,,0.037,0.039,,,,0.06,0.06,,0.038,,0.03,,,0.02,,0.013,0.02,0.035,
03/09,0.03,0.03,,0.047,0.049,,,,0.078,0.078,,0.048,,0.035,,,0.0,,0.02,0.01,0.045,
03/10,0.038,0.038,,0.07,0.059,,,,0.084,0.084,,0.049,,0.041,,,0.04,,0.024,0.04,0.055,
03/11,0.05,0.05,,0.067,0.064,,,,0.088,0.088,,0.05,,0.044,,,0.02,,0.03,0.02,0.06,
03/12,0.052,0.052,,0.06,0.068,,,,0.093,0.093,,0.054,,0.045,,,0.02,,0.03,0.02,0.06,
03/13,0.038,0.038,,0.04,0.057,,,,0.075,0.075,,0.044,,0.035,,,0.01,,0.026,0.01,0.05,
03/14,0.06,0.06,,0.077,0.075,,,,0.095,0.095,,0.061,,0.048,,,0.02,,0.034,0.02,0.066,
03/15,0.038,0.038,,0.06,0.065,0.02,,,0.086,0.086,0.01,0.057,,0.045,,,0.022,,0.025,0.022,0.058,
03/16,0.045,0.045,,0.07,0.082,0.025,,,0.104,0.104,0.01,0.07,,0.055,,,0.025,,0.031,0.028,0.072,
03/17,0.041,0.041,,0.057,0.074,0.025,,,0.094,0.094,0.01,0.064,,0.048,,,0.02,,0.026,0.022,0.068,
03/18,0.047,0.047,,0.057,0.077,0.02,,,0.1,0.1,0.01,0.075,,0.055,,,0.022,,0.031,0.022,0.072,
03/19,0.052,0.052,,0.057,0.088,0.025,,,0.109,0.109,0.01,0.085,,0.058,,,0.022,,0.035,0.025,0.079,
03/20,0.049,0.049,,0.05,0.082,0.025,,,0.095,0.095,0.01,0.069,,0.051,0.024,,0.022,,0.035,0.022,0.079,
03/21,0.052,0.052,,0.053,0.081,0.03,,,0.093,0.093,0.02,0.068,,0.051,0.02,,0.022,,0.031,0.022,0.077,
03/22,0.064,0.065,,0.057,0.102,0.025,,,0.118,0.118,0.01,0.084,,0.063,0.028,,0.028,,0.041,0.03,0.096,
03/23,0.072,0.072,,0.063,0.109,0.025,,,0.12,0.12,0.01,0.091,,0.067,0.028,,0.028,,0.044,0.03,0.101,
03/24,0.07,0.07,,0.06,0.104,0.025,,,0.111,0.111,0.01,0.085,,0.063,0.028,,0.03,,0.045,0.032,0.094,
03/25,0.062,0.063,0.03,0.07,0.102,0.025,,,0.108,0.108,0.017,0.087,,0.063,0.028,,0.032,,0.045,0.032,0.094,
03/26,0.06,0.061,0.025,0.047,0.097,0.018,,,0.107,0.107,0.01,0.082,,0.061,0.027,,0.022,,0.045,0.026,0.094,
03/27,0.088,0.089,0.04,0.1,0.132,0.033,,,0.135,0.136,0.023,0.113,,0.082,0.035,,0.042,,0.064,0.042,0.122,
03/28,0.085,0.086,0.033,0.077,0.128,0.028,,,0.132,0.133,0.017,0.111,,0.081,0.03,,0.034,,0.06,0.034,0.122,
03/29,0.088,0.089,0.035,0.077,0.13,0.025,,,0.13,0.13,0.017,0.111,,0.082,0.032,,0.04,,0.064,0.042,0.12,
03/30,0.099,0.102,0.04,0.087,0.148,0.028,,,0.151,0.151,0.02,0.127,,0.093,0.035,,0.046,,0.075,0.046,0.139,
03/31,0.098,0.101,0.035,0.083,0.143,0.03,,,0.144,0.145,0.017,0.122,,0.091,0.032,,0.042,,0.073,0.042,0.137,
04/01,0.109,0.112,0.037,0.09,0.158,0.034,0.07,,0.158,0.158,0.02,0.134,,0.097,0.037,,0.039,,0.079,0.043,0.149,0.03
04/02,0.117,0.118,0.04,0.087,0.16,0.032,0.08,,0.165,0.165,0.02,0.142,,0.105,0.038,,0.042,,0.088,0.046,0.157,0.025
04/03,0.109,0.112,0.04,0.083,0.146,0.032,0.077,,0.151,0.151,0.02,0.128,,0.096,0.035,,0.038,,0.085,0.041,0.148,0.03
04/04,0.109,0.112,0.037,0.083,0.147,0.04,0.072,,0.143,0.144,0.027,0.125,,0.095,0.04,,0.038,,0.095,0.043,0.142,0.035
04/05,0.105,0.107,0.034,0.067,0.139,0.03,0.073,,0.136,0.136,0.018,0.119,,0.091,0.031,,0.036,,0.087,0.04,0.134,0.025
04/06,0.111,0.113,0.037,0.083,0.141,0.031,0.075,,0.141,0.141,0.018,0.123,,0.095,0.033,,0.04,,0.095,0.044,0.142,0.035
04/07,0.12,0.123,0.043,0.077,0.156,0.034,0.08,,0.148,0.149,0.016,0.128,,0.102,0.038,,0.042,,0.107,0.044,0.149,0.03
04/08,0.147,0.152,0.054,0.11,0.192,0.044,0.113,,0.177,0.178,0.026,0.152,,0.119,0.046,,0.056,,0.138,0.062,0.178,0.04
04/09,0.139,0.145,0.05,0.09,0.171,0.04,0.098,,0.169,0.169,0.024,0.145,,0.115,0.041,,0.05,,0.13,0.056,0.171,0.04
04/10,0.152,0.159,0.058,0.107,0.182,0.042,0.096,,0.181,0.181,0.02,0.157,,0.125,0.047,,0.051,,0.143,0.053,0.187,0.035
04/11,0.133,0.142,0.046,0.103,0.165,0.037,0.083,,0.16,0.161,0.018,0.138,,0.11,0.038,,0.045,,0.122,0.045,0.162,0.033
04/12,0.135,0.142,0.048,0.08,0.161,0.04,0.085,,0.159,0.159,0.018,0.135,,0.109,0.04,,0.048,,0.129,0.049,0.164,0.025
04/13,0.148,0.157,0.059,0.1,0.179,0.044,0.095,,0.174,0.175,0.016,0.15,,0.123,0.047,,0.053,,0.145,0.055,0.182,0.03
