# Station Code,hrmo
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:32
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,BEAN,BLGR,FCRN,HAYM,HAYP,LAWN,MELN,ONYN,PAST,PEAS,POTA,PPMT,RAPE,SCRN,SGRN,WGRN,WGRP
02/11,,,,,,,,,0.0,,,0.0,,,,,,,0.007,
02/12,,,,,,,,,0.01,,,0.01,,,,,,,0.01,
02/13,,,,,,,,,0.01,,,0.02,,,,,,,0.017,
02/14,,,,,,,,,0.01,,,0.01,,,,,,,0.02,
02/15,0.0,0.0,,,,,,,0.015,,,0.02,,,,,,,0.025,
02/16,0.01,0.01,,,,,,,0.015,,,0.027,,,,0.01,,,0.025,
02/17,0.02,0.02,,,,,,,0.02,,,0.03,,,,0.01,,,0.028,
02/18,0.02,0.02,,,,,,,0.025,,,0.027,,,,0.01,,,0.025,
02/19,0.02,0.02,,,,,,,0.035,,,0.03,,,,0.01,,,0.033,
02/20,0.02,0.02,,,0.023,,0.065,0.065,0.024,,,0.028,,,,0.01,,,0.038,
02/21,0.02,0.02,,,0.023,,0.04,0.04,0.02,,,0.023,,,,0.01,,,0.037,
02/22,0.01,0.01,,,0.033,,0.07,0.07,0.018,,,0.029,,,,0.02,,,0.037,
02/23,0.01,0.01,,,0.027,,0.095,0.095,0.02,,,0.029,,,,0.01,,,0.045,
02/24,0.01,0.01,,,0.03,,0.06,0.06,0.02,,,0.024,,,,0.01,,,0.037,
02/25,0.012,0.012,0.03,,0.028,,0.04,0.04,0.02,,,0.023,,,,0.01,,,0.031,
02/26,0.01,0.01,0.02,,0.025,,0.055,0.055,0.02,,,0.021,,,,0.01,,,0.031,
02/27,0.008,0.008,0.01,,0.027,,0.055,0.055,0.022,,,0.02,,,,0.01,,,0.033,
02/28,0.016,0.016,0.01,,0.037,,0.06,0.06,0.035,,,0.03,,,,0.01,,,0.041,
02/29,0.02,0.02,0.02,,0.043,,0.13,0.13,0.05,,,0.043,,,,,,,0.063,
03/01,0.018,0.018,0.02,,0.03,,0.077,0.077,0.028,,0.025,0.027,,,,0.01,,0.014,0.034,
03/02,0.015,0.015,0.01,,0.033,,0.08,0.08,0.029,,0.03,0.028,,,,0.02,,0.016,0.036,
03/03,0.022,0.022,0.03,,0.048,,0.107,0.107,0.041,,0.035,0.04,,,,0.02,,0.014,0.052,
