# Station Code,htsm
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:32
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,PEAS,POTA,SGRN,WGRN
03/11,,,,,,,,0.02
03/12,,,,,,,,0.03
03/13,,,,,,,,0.02
03/14,,,,,,,,0.025
03/15,,,0.015,0.02,,,,0.03
03/16,,,0.015,0.025,,,,0.03
03/17,,,0.015,0.025,,,,0.04
03/18,,,0.02,0.03,,,,0.045
03/19,,,0.02,0.03,,,,0.04
03/20,0.02,0.02,0.025,0.035,,,,0.05
03/21,0.02,0.02,0.03,0.035,,,,0.04
03/22,0.02,0.02,0.04,0.035,,,,0.043
03/23,0.02,0.02,0.05,0.05,,,,0.053
03/24,0.03,0.03,0.07,0.055,,,,0.06
03/25,0.015,0.015,0.027,0.023,,,,0.033
03/26,0.02,0.02,0.04,0.033,,,,0.047
03/27,0.025,0.025,0.047,0.04,,,,0.06
03/28,0.035,0.035,0.057,0.047,,,,0.07
03/29,0.04,0.04,0.06,0.047,,,,0.067
03/30,0.035,0.035,0.05,0.037,,,,0.06
03/31,0.045,0.045,0.063,0.047,,,,0.073
04/01,0.03,0.03,0.06,0.047,,,,0.058
04/02,0.03,0.03,0.06,0.043,,,,0.055
04/03,0.043,0.043,0.073,0.05,,,,0.062
04/04,0.043,0.043,0.083,0.053,,,,0.073
04/05,0.05,0.05,0.065,0.048,,,,0.068
04/06,0.063,0.063,0.083,0.06,,,,0.09
04/07,0.07,0.07,0.088,0.068,,,,0.098
04/08,0.087,0.087,0.103,0.08,,,,0.115
04/09,0.077,0.077,0.092,0.073,,,,0.103
04/10,0.062,0.062,0.09,0.07,0.02,,0.025,0.103
04/11,0.05,0.05,0.068,0.05,0.02,,0.02,0.073
04/12,0.055,0.055,0.077,0.055,0.03,,0.025,0.083
04/13,0.065,0.065,0.092,0.068,0.03,,0.025,0.098
04/14,0.08,0.08,0.107,0.077,0.02,,0.025,0.115
04/15,0.075,0.075,0.103,0.075,0.03,,0.03,0.113
04/16,0.062,0.062,0.09,0.062,0.02,,0.023,0.098
04/17,0.083,0.083,0.108,0.077,0.03,,0.033,0.115
04/18,0.077,0.077,0.1,0.073,0.035,,0.03,0.108
04/19,0.087,0.087,0.113,0.083,0.035,,0.033,0.117
04/20,0.085,0.085,0.1,0.075,0.03,,0.03,0.107
04/21,0.09,0.09,0.105,0.083,0.03,,0.033,0.115
04/22,0.075,0.08,0.08,0.062,0.025,,0.03,0.09
04/23,0.083,0.083,0.092,0.073,0.025,,0.03,0.103
04/24,0.098,0.098,0.107,0.085,0.03,,0.033,0.12
04/25,0.103,0.105,0.108,0.087,0.033,,0.035,0.12
04/26,0.113,0.115,0.122,0.095,0.033,,0.04,0.138
04/27,0.12,0.125,0.13,0.1,0.037,,0.048,0.147
04/28,0.138,0.145,0.15,0.118,0.045,,0.06,0.17
04/29,0.138,0.143,0.145,0.113,0.042,,0.06,0.168
04/30,0.128,0.135,0.135,0.105,0.04,,0.053,0.155
05/01,0.152,0.165,0.155,0.128,0.05,,0.075,0.185
05/02,0.138,0.15,0.14,0.113,0.045,,0.07,0.165
05/03,0.145,0.158,0.147,0.123,0.05,,0.083,0.175
05/04,0.163,0.177,0.16,0.135,0.055,,0.095,0.195
05/05,0.135,0.15,0.133,0.113,0.05,,0.09,0.163
05/06,0.11,0.12,0.105,0.085,0.037,,0.075,0.13
05/07,0.118,0.13,0.113,0.09,0.045,,0.083,0.138
05/08,0.11,0.122,0.105,0.087,0.04,,0.08,0.13
05/09,0.128,0.142,0.122,0.103,0.048,,0.098,0.15
05/10,0.152,0.17,0.145,0.122,0.06,0.04,0.122,0.177
05/11,0.125,0.14,0.118,0.1,0.053,0.03,0.1,0.145
05/12,0.128,0.14,0.12,0.1,0.052,0.05,0.098,0.145
05/13,0.14,0.16,0.13,0.11,0.06,0.05,0.117,0.163
05/14,0.14,0.158,0.13,0.11,0.058,0.05,0.12,0.16
05/15,0.138,0.158,0.133,0.11,0.068,0.055,0.12,0.16
05/16,0.152,0.177,0.145,0.125,0.075,0.06,0.142,0.18
05/17,0.163,0.188,0.152,0.128,0.08,0.07,0.16,0.19
05/18,0.147,0.175,0.14,0.12,0.08,0.065,0.145,0.175
05/19,0.145,0.168,0.135,0.115,0.077,0.045,0.143,0.168
05/20,0.113,0.13,0.105,0.088,0.06,0.04,0.11,0.13
05/21,0.143,0.168,0.133,0.115,0.08,0.05,0.148,0.168
05/22,0.15,0.175,0.14,0.12,0.092,0.06,0.158,0.175
05/23,0.11,0.128,0.103,0.088,0.068,0.04,0.115,0.128
05/24,0.123,0.145,0.115,0.1,0.08,0.05,0.138,0.145
05/25,0.103,0.123,0.1,0.085,0.065,0.037,0.115,0.123
05/26,0.125,0.15,0.12,0.1,0.09,0.05,0.143,0.15
05/27,0.153,0.182,0.148,0.125,0.11,0.062,0.177,0.182
05/28,0.138,0.163,0.133,0.11,0.102,0.055,0.158,0.163
05/29,0.155,0.18,0.145,0.123,0.115,0.062,0.175,0.18
05/30,0.172,0.205,0.165,0.14,0.135,0.072,0.198,0.205
05/31,0.18,0.208,0.165,0.143,0.147,0.077,0.205,0.208
06/01,0.15,0.177,0.143,0.12,0.133,0.07,0.175,0.177
06/02,0.18,0.212,0.168,0.145,0.16,0.083,0.21,0.212
06/03,0.175,0.208,0.168,0.142,0.158,0.085,0.205,0.208
06/04,0.16,0.188,0.15,0.13,0.147,0.083,0.185,0.188
06/05,0.16,0.188,0.147,0.128,0.152,0.083,0.185,0.188
06/06,0.147,0.175,0.14,0.118,0.147,0.08,0.172,0.175
06/07,0.163,0.193,0.158,0.133,0.165,0.087,0.193,0.193
06/08,0.143,0.17,0.135,0.117,0.148,0.08,0.17,0.17
06/09,0.122,0.145,0.118,0.103,0.13,0.068,0.145,0.145
06/10,0.122,0.145,0.118,0.1,0.13,0.07,0.145,0.145
06/11,0.155,0.182,0.148,0.128,0.165,0.095,0.182,0.182
06/12,0.17,0.2,0.16,0.135,0.188,0.105,0.2,0.2
06/13,0.177,0.208,0.168,0.143,0.198,0.113,0.208,0.208
06/14,0.168,0.198,0.16,0.133,0.19,0.113,0.198,0.198
06/15,0.165,0.193,0.155,0.133,0.188,0.115,0.193,0.193
06/16,0.168,0.2,0.16,0.135,0.195,0.12,0.2,0.2
06/17,0.177,0.207,0.165,0.143,0.207,0.135,0.207,0.207
06/18,0.175,0.205,0.16,0.14,0.205,0.133,0.205,0.205
06/19,0.163,0.193,0.152,0.133,0.193,0.125,0.193,0.193
06/20,0.13,0.155,0.122,0.105,0.155,0.105,0.155,0.155
06/21,0.177,0.207,0.168,0.14,0.205,0.143,0.207,0.207
06/22,0.22,0.255,0.203,0.175,0.25,0.18,0.255,0.255
06/23,0.208,0.245,0.198,0.168,0.238,0.175,0.245,0.245
06/24,0.193,0.228,0.18,0.152,0.223,0.168,0.228,0.228
06/25,0.185,0.217,0.175,0.147,0.207,0.163,0.217,0.217
06/26,0.223,0.26,0.207,0.177,0.245,0.198,0.26,0.26
06/27,0.217,0.255,0.203,0.172,0.235,0.198,0.255,0.255
06/28,0.22,0.258,0.208,0.175,0.232,0.205,0.258,0.258
06/29,0.165,0.195,0.155,0.133,0.173,0.16,0.195,0.195
06/30,0.2,0.232,0.185,0.158,0.203,0.193,0.232,0.232
07/01,0.225,0.265,0.213,0.18,0.223,0.225,0.265,0.263
