# Station Code,ichi
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:33
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,HAYM,HAYP,LAWN,PAST,POTA,SGRN,WGRN
03/05,,,,,,0.03,,,
03/06,,,,,,0.04,,,
03/07,,,,,,0.05,,,
03/08,,,,,,0.04,,,
03/09,,,,,,0.04,,,
03/10,0.03,0.03,,,,0.06,,,
03/11,0.04,0.04,,,,0.07,,,
03/12,0.03,0.03,,,,0.05,,,
03/13,0.03,0.03,,,,0.05,,,
03/14,0.04,0.04,,,,0.07,,,
03/15,0.03,0.03,,,,0.05,,,0.04
03/16,0.03,0.03,,,0.01,0.035,,,0.04
03/17,0.03,0.03,,,0.02,0.04,,,0.035
03/18,0.04,0.04,,,0.02,0.05,,,0.035
03/19,0.04,0.04,,,0.04,0.06,,,0.04
03/20,0.05,0.05,,,0.037,0.063,,,0.055
03/21,0.045,0.045,,,0.027,0.047,,,0.046
03/22,0.045,0.045,,,0.033,0.057,,,0.044
03/23,0.045,0.045,,,0.04,0.05,,,0.046
03/24,0.045,0.045,,,0.043,0.05,,,0.054
03/25,0.04,0.04,,,0.038,0.046,,,0.056
03/26,0.037,0.037,,,0.038,0.046,,,0.056
03/27,0.057,0.057,,,0.05,0.054,,,0.068
03/28,0.057,0.057,,,0.052,0.054,,,0.066
03/29,0.05,0.05,,,0.046,0.048,,,0.06
03/30,0.067,0.067,,,0.062,0.058,,,0.076
03/31,0.09,0.09,,,0.08,0.066,,,0.088
04/01,0.056,0.056,0.115,0.115,0.078,0.064,,,0.075
04/02,0.052,0.052,0.115,0.115,0.082,0.062,,,0.063
04/03,0.062,0.062,0.115,0.115,0.094,0.07,,,0.071
04/04,0.066,0.066,0.1,0.1,0.096,0.07,,,0.077
04/05,0.058,0.058,0.094,0.094,0.062,0.054,,0.025,0.07
04/06,0.066,0.066,0.106,0.106,0.066,0.058,,0.03,0.08
04/07,0.088,0.088,0.117,0.117,0.084,0.07,,0.04,0.094
04/08,0.102,0.102,0.14,0.14,0.102,0.083,,0.035,0.116
04/09,0.1,0.1,0.137,0.137,0.099,0.082,,0.04,0.111
04/10,0.077,0.077,0.151,0.151,0.107,0.089,,0.05,0.124
04/11,0.074,0.074,0.129,0.129,0.103,0.081,,0.055,0.111
04/12,0.068,0.068,0.129,0.129,0.098,0.078,,0.04,0.107
04/13,0.078,0.078,0.133,0.133,0.111,0.083,,0.05,0.114
04/14,0.071,0.071,0.12,0.12,0.102,0.076,,0.045,0.106
04/15,0.072,0.072,0.123,0.123,0.107,0.078,,0.036,0.111
04/16,0.069,0.07,0.13,0.13,0.108,0.077,,0.028,0.112
04/17,0.097,0.098,0.16,0.16,0.139,0.099,,0.04,0.144
04/18,0.118,0.119,0.184,0.184,0.161,0.116,,0.056,0.167
04/19,0.12,0.12,0.188,0.188,0.163,0.117,,0.05,0.168
04/20,0.128,0.13,0.194,0.194,0.17,0.121,,0.054,0.177
04/21,0.141,0.142,0.202,0.202,0.18,0.131,,0.06,0.188
04/22,0.141,0.143,0.196,0.196,0.176,0.128,,0.06,0.183
04/23,0.127,0.129,0.176,0.176,0.156,0.113,,0.06,0.166
04/24,0.114,0.117,0.157,0.157,0.14,0.102,,0.054,0.149
