# Station Code,ifai
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:33
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,HAYM,HAYP,LAWN,PAST,POTA,SGRN,WGRN
03/05,,,,,,0.02,,,
03/06,,,,,,0.03,,,
03/07,,,,,,0.03,,,
03/08,,,,,,0.03,,,
03/09,,,,,,0.04,,,
03/10,0.02,0.02,,,,0.04,,,
03/11,0.03,0.03,,,,0.05,,,
03/12,0.02,0.02,,,,0.04,,,
03/13,0.02,0.02,,,,0.03,,,
03/14,0.03,0.03,,,,0.06,,,
03/15,0.04,0.04,,,,0.07,,,0.05
03/16,0.04,0.04,,,0.01,0.04,,,0.035
03/17,0.04,0.04,,,0.01,0.045,,,0.035
03/18,0.04,0.04,,,0.02,0.04,,,0.035
03/19,0.03,0.03,,,0.02,0.04,,,0.04
03/20,0.035,0.035,,,0.023,0.04,,,0.035
03/21,0.035,0.035,,,0.02,0.033,,,0.032
03/22,0.03,0.03,,,0.023,0.037,,,0.032
03/23,0.035,0.035,,,0.03,0.04,,,0.036
03/24,0.04,0.04,,,0.037,0.047,,,0.044
03/25,0.03,0.03,,,0.03,0.04,,,0.05
03/26,0.037,0.037,,,0.04,0.046,,,0.056
03/27,0.043,0.043,,,0.042,0.048,,,0.06
03/28,0.05,0.05,,,0.052,0.055,,,0.07
03/29,0.052,0.052,,,0.055,0.05,,,0.063
03/30,0.052,0.052,,,0.058,0.052,,,0.065
03/31,0.068,0.068,,,0.072,0.06,,,0.077
04/01,0.042,0.042,0.09,0.09,0.058,0.048,,,0.059
04/02,0.042,0.042,0.1,0.1,0.065,0.05,,,0.056
04/03,0.045,0.045,0.1,0.1,0.07,0.05,,,0.06
04/04,0.052,0.052,0.1,0.1,0.077,0.058,,,0.071
04/05,0.058,0.058,0.088,0.088,0.064,0.056,,0.025,0.071
04/06,0.062,0.062,0.089,0.089,0.069,0.054,,0.02,0.076
04/07,0.065,0.065,0.096,0.096,0.076,0.06,,0.025,0.079
04/08,0.088,0.088,0.118,0.118,0.097,0.074,,0.025,0.103
04/09,0.1,0.1,0.12,0.12,0.101,0.079,,0.035,0.107
04/10,0.069,0.069,0.117,0.117,0.093,0.074,,0.035,0.104
04/11,0.072,0.072,0.113,0.113,0.097,0.074,,0.035,0.103
04/12,0.076,0.076,0.117,0.117,0.1,0.077,,0.03,0.103
04/13,0.079,0.079,0.128,0.128,0.108,0.082,,0.035,0.111
04/14,0.068,0.068,0.099,0.099,0.091,0.067,,0.04,0.091
04/15,0.063,0.063,0.108,0.108,0.092,0.069,,0.028,0.096
04/16,0.089,0.089,0.137,0.137,0.124,0.089,,0.035,0.127
04/17,0.106,0.107,0.151,0.151,0.141,0.101,,0.043,0.143
04/18,0.11,0.11,0.156,0.156,0.142,0.103,,0.045,0.147
04/19,0.117,0.118,0.163,0.163,0.15,0.11,,0.045,0.154
04/20,0.123,0.124,0.167,0.167,0.151,0.113,,0.047,0.161
04/21,0.118,0.119,0.158,0.158,0.143,0.106,,0.045,0.149
04/22,0.14,0.143,0.183,0.183,0.167,0.124,,0.053,0.177
04/23,0.116,0.119,0.146,0.146,0.132,0.099,,0.048,0.143
04/24,0.107,0.109,0.139,0.139,0.124,0.094,,0.047,0.137
04/25,0.102,0.106,0.13,0.13,0.114,0.089,,0.041,0.127
04/26,0.113,0.117,0.144,0.144,0.129,0.099,,0.047,0.143
04/27,0.121,0.126,0.147,0.147,0.132,0.101,,0.051,0.146
04/28,0.137,0.143,0.164,0.164,0.148,0.113,,0.058,0.163
04/29,0.146,0.153,0.174,0.174,0.157,0.12,,0.067,0.176
04/30,0.142,0.15,0.163,0.163,0.148,0.114,,0.063,0.167
05/01,0.149,0.159,0.185,0.185,0.164,0.126,,0.073,0.183
05/02,0.175,0.187,0.209,0.209,0.187,0.146,,0.094,0.213
05/03,0.167,0.179,0.199,0.199,0.177,0.139,,0.091,0.203
05/04,0.176,0.191,0.206,0.206,0.183,0.147,,0.104,0.213
05/05,0.174,0.187,0.205,0.205,0.18,0.145,,0.099,0.211
05/06,0.183,0.198,0.216,0.216,0.187,0.151,,0.106,0.222
05/07,0.145,0.155,0.17,0.171,0.15,0.12,,0.085,0.176
