# Station Code,imbo
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:33
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,BEAN,BEET,BLGR,CHRY,FCRN,GARL,LAWN,PAST,PEAS,POP3,POTA,PPMT,RAPE,SCRN,SGRN,SOYB,WGRN
02/21,,,,,,,,,,,,,,,,,,,,0.01
02/22,,,,,,,,,,,,,,,,,,,,0.025
02/23,,,,,,,,,,,,,,,,,,,,0.02
02/24,,,,,,,,,,,,,,,,,,,,0.025
02/25,,,,,,0.02,,,,,,,,,,,,,,0.025
02/26,,,,,,0.015,,,,,,,,,,,,,,0.02
02/27,,,,,,0.015,,,,,,,,,,,,,,0.013
02/28,,,,,,0.035,,,,,,,,,,,,,,0.03
02/29,,,,,,,,,,,,,,,,,,,,0.04
03/01,,,,,,0.027,,,0.02,0.02,,,,,,,,,,0.03
03/02,,,,,,0.018,,,0.01,0.015,,,,,,,,,,0.018
03/03,,,,,,0.025,,,0.025,0.015,,,,,,,,,,0.023
03/04,,,,,,0.035,,,0.035,0.015,,,,,,,,,,0.037
03/05,0.01,0.01,,,,0.035,,,0.03,0.017,0.028,,,,,,,,,0.042
03/06,0.02,0.02,,,,0.036,,,0.036,0.018,0.025,,,,,,,,,0.041
03/07,0.015,0.015,,,,0.036,,,0.038,0.018,0.023,,,,,,,,,0.041
03/08,0.02,0.02,,,,0.034,,,0.036,0.022,0.023,,,,,,,,,0.043
03/09,0.02,0.02,,,,0.043,,,0.044,0.032,0.03,,,,,,,,,0.047
03/10,0.018,0.018,,,,0.041,,,0.044,0.029,0.031,,,,,,,,,0.051
03/11,0.018,0.018,,,,0.037,,,0.036,0.03,0.031,,,,,,,,,0.039
03/12,0.023,0.023,,,,0.048,,,0.056,0.043,0.039,,,,,,,,,0.048
03/13,0.023,0.023,,,,0.05,,,0.054,0.047,0.037,,,,,,,,,0.052
03/14,0.023,0.023,,,,0.042,,,0.052,0.041,0.03,,,,,,,,,0.045
03/15,0.024,0.024,,,,0.036,,,0.039,0.028,0.025,,,,,,,0.03,,0.044
03/16,0.027,0.027,,,,0.046,,,0.046,0.037,0.031,,,,,,,0.04,,0.054
03/17,0.024,0.024,,,,0.041,,,0.044,0.034,0.028,,,,,,,0.02,,0.046
03/18,0.03,0.03,,,,0.055,,,0.053,0.043,0.035,,,,,,,0.02,,0.06
03/19,0.039,0.039,,,,0.057,,,0.054,0.05,0.037,,,,,,,0.03,,0.064
03/20,0.029,0.029,,,,0.056,,,0.049,0.046,0.035,,,,,,,0.02,,0.055
03/21,0.026,0.026,,,,0.051,,,0.044,0.043,0.031,,,,,,,0.018,,0.05
03/22,0.028,0.028,,,,0.053,,,0.043,0.047,0.035,,,,,,,0.02,,0.053
03/23,0.035,0.035,,,,0.059,,,0.052,0.056,0.038,,,,,,,0.025,,0.06
03/24,0.039,0.039,,,,0.065,,,0.052,0.061,0.041,,,,,,,0.025,,0.063
03/25,0.036,0.036,,,,0.062,,,0.048,0.057,0.038,,,,,,,0.02,,0.062
03/26,0.042,0.042,,,,0.066,,,0.049,0.062,0.041,,,,,,,0.022,,0.065
03/27,0.042,0.042,,,,0.065,,,0.051,0.06,0.04,,,,,,,0.02,,0.068
03/28,0.047,0.047,,,,0.075,,,0.053,0.068,0.046,,,,,,,0.015,,0.075
03/29,0.051,0.051,,,,0.076,,,0.05,0.067,0.045,,,,,,,0.022,,0.072
03/30,0.058,0.058,,,,0.084,,,0.056,0.077,0.052,,,,,,,0.025,,0.083
03/31,0.065,0.065,,,,0.092,,,0.065,0.088,0.06,,,,,,,0.028,,0.092
04/01,0.072,0.072,,,,0.111,,,0.069,0.098,0.068,0.02,,,0.027,,,0.033,,0.106
04/02,0.066,0.066,,,,0.097,,,0.059,0.089,0.065,0.02,,,0.02,,,0.032,,0.096
04/03,0.084,0.084,,,,0.122,,,0.071,0.109,0.078,0.03,,,0.03,,,0.034,,0.118
04/04,0.058,0.058,,,,0.078,,,0.05,0.077,0.055,0.015,,,0.017,,,0.024,,0.083
04/05,0.068,0.068,,,,0.087,0.06,,0.058,0.088,0.063,0.017,,,0.018,,,0.032,,0.095
04/06,0.075,0.075,,,,0.103,0.07,,0.063,0.095,0.068,0.027,,,0.022,,,0.03,,0.105
04/07,0.107,0.108,,,,0.137,0.11,,0.083,0.126,0.094,0.043,,,0.034,,,0.05,,0.142
04/08,0.1,0.1,,,,0.13,0.13,,0.072,0.111,0.082,0.04,,,0.03,,,0.05,,0.128
04/09,0.108,0.108,,,,0.142,0.09,,0.081,0.123,0.094,0.03,,,0.024,,,0.051,,0.141
04/10,0.102,0.102,,,0.03,0.122,0.09,,0.075,0.115,0.086,0.027,0.01,,0.021,,,0.046,,0.129
04/11,0.096,0.098,,,0.04,0.115,0.11,,0.07,0.105,0.081,0.027,0.01,,0.022,,,0.051,,0.12
04/12,0.095,0.098,,,0.02,0.112,0.03,,0.066,0.102,0.078,0.033,0.02,,0.023,,,0.047,,0.116
04/13,0.107,0.111,,,0.015,0.126,0.05,,0.072,0.112,0.087,0.04,0.01,,0.024,,,0.054,,0.132
04/14,0.108,0.111,,,0.02,0.127,0.05,,0.072,0.112,0.088,0.034,0.02,,0.024,,,0.057,,0.129
04/15,0.105,0.109,,,0.033,0.122,0.05,,0.071,0.109,0.085,0.031,0.022,,0.024,,,0.055,,0.127
04/16,0.113,0.12,,,0.04,0.133,0.08,,0.078,0.119,0.093,0.037,0.025,,0.026,,,0.06,,0.14
04/17,0.123,0.131,,,0.043,0.144,0.11,,0.08,0.126,0.101,0.04,0.03,,0.029,,,0.074,,0.15
04/18,0.137,0.146,,,0.053,0.156,0.12,,0.087,0.133,0.109,0.043,0.035,,0.032,,,0.089,,0.16
04/19,0.133,0.143,,,0.05,0.152,0.13,,0.085,0.132,0.109,0.043,0.032,,0.033,,,0.088,,0.157
04/20,0.134,0.146,,,0.04,0.153,0.17,,0.085,0.13,0.108,0.036,0.035,,0.033,,,0.086,,0.159
04/21,0.141,0.155,,,0.035,0.159,0.14,,0.087,0.135,0.113,0.041,0.043,,0.034,,,0.091,,0.165
04/22,0.141,0.155,,,0.043,0.161,0.11,,0.089,0.139,0.113,0.045,0.058,,0.037,,,0.088,,0.166
04/23,0.124,0.137,,,0.033,0.141,0.08,,0.078,0.119,0.098,0.035,0.052,,0.031,,,0.077,,0.145
04/24,0.122,0.134,,,0.033,0.14,0.08,,0.077,0.115,0.097,0.034,0.05,,0.033,,,0.081,,0.143
04/25,0.122,0.136,,,0.04,0.142,0.093,,0.077,0.118,0.096,0.035,0.051,,0.032,,0.025,0.08,,0.144
04/26,0.124,0.137,,,0.037,0.141,0.077,,0.078,0.118,0.099,0.036,0.043,,0.032,,0.04,0.083,,0.145
04/27,0.146,0.162,,,0.041,0.166,0.08,,0.091,0.138,0.116,0.047,0.061,,0.039,,0.04,0.093,,0.17
04/28,0.15,0.168,,,0.04,0.172,0.057,,0.095,0.141,0.119,0.056,0.056,,0.04,,0.075,0.103,,0.175
04/29,0.154,0.173,,,0.045,0.176,0.053,,0.098,0.145,0.123,0.057,0.071,,0.043,,0.055,0.114,,0.179
04/30,0.147,0.168,0.03,,0.042,0.17,0.067,,0.095,0.139,0.118,0.057,0.055,,0.044,,0.065,0.108,,0.172
05/01,0.148,0.17,0.04,,0.041,0.168,0.071,,0.097,0.138,0.119,0.056,0.056,0.06,0.045,,0.053,0.117,,0.172
05/02,0.164,0.192,0.03,,0.047,0.186,0.083,,0.109,0.155,0.132,0.061,0.063,0.07,0.052,,0.053,0.135,,0.192
