# Station Code,kflo
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:33
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,BEAN,BEET,BLUB,CBBG,CHRY,CRT2,CRTS,GARL,GRSD,LAWN,LETC,ONYN,PAST,PEAS,POP1,POP2,POP3,POTA,PPMT,RAPE,SBRY,SCRN,SGRN,SPNC,WGRN,WGRP
02/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,
02/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,
02/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,
02/24,,,,,,,,,,,,,0.01,,,0.02,,,,,,,,,,,,0.03,
02/25,,,,,,,,,,,,,0.02,,,0.03,,,,,,,,,,,,0.04,
02/26,,,,,,,,,,,,,0.01,,,0.02,,,,,,,,,,,,0.02,
02/27,,,,,,,,,,,,,0.01,,,0.02,,,,,,,,,,,,0.02,
02/28,,,,,,,,,,,,,0.02,,,0.02,,,,,,,,,,,,0.03,
03/01,0.01,0.01,,,,,,,,,,0.03,0.01,,,0.02,,,,,,,,,,,,0.03,
03/02,0.01,0.01,,,,,,,,,,0.05,0.02,,,0.03,,,,,,,,,,,,0.035,
03/03,0.01,0.01,,,,,,,,,,0.01,0.015,,,0.025,,,,,,,,,,,,0.03,
03/04,0.02,0.02,,,,,,,,,,0.03,0.015,,,0.025,,,,,,,,,,,,0.03,
03/05,0.02,0.02,,,,,,,,,,0.05,0.02,,,0.03,,,,,,,,,,,,0.035,
03/06,0.02,0.02,,,,,,,,,,0.03,0.02,,,0.025,,,,,,,,,,,,0.04,
03/07,0.02,0.02,,,,,,,,,,0.05,0.025,,,0.03,,,,,,,,,,,,0.045,
03/08,0.03,0.03,,,,,,,,,,0.05,0.025,,,0.03,,,,,,,,,,,,0.04,
03/09,0.02,0.02,,,,,,,,,,0.04,0.03,,,0.03,,,,,,,,,,,,0.045,
03/10,0.015,0.015,,,,,,,,,,0.04,0.025,,,0.025,,,,,,,,,,,,0.035,
03/11,0.015,0.015,,,,,,,,,,0.05,0.025,,,0.02,,,,,,,,,,,,0.03,
03/12,0.015,0.015,,,,,,,,,,0.1,0.03,,,0.02,,,,,,,,,,,,0.035,
03/13,0.02,0.02,,,,,,,,,,0.04,0.04,,,0.035,,,,,,,,,,,,0.045,
03/14,0.025,0.025,,,,,,,,,,0.09,0.04,,,0.03,,,,,,,,,,,,0.045,
