# Station Code,ktbi
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:33
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,POTA,SGRN,WGRN
02/21,,,,,,,0.02
02/22,,,,,,,0.03
02/23,,,,,,,0.03
02/24,,,0.02,0.03,,,0.04
02/25,,,0.02,0.03,,,0.04
02/26,,,0.02,0.03,,,0.04
02/27,,,0.01,0.01,,,0.02
02/28,,,0.02,0.04,,,0.05
03/01,,,0.03,0.04,,,0.05
03/02,,,0.02,0.03,,,0.04
03/03,,,0.01,0.02,,,0.03
03/04,,,0.02,0.02,,,0.04
03/05,,,0.02,0.03,,,0.05
03/06,,,0.03,0.04,,,0.07
03/07,,,0.05,0.05,,,0.08
03/08,,,0.04,0.05,,,0.07
03/09,,,0.06,0.06,,,0.1
03/10,0.03,0.03,0.07,0.06,,,0.1
03/11,0.03,0.03,0.09,0.07,,,0.12
03/12,0.02,0.02,0.07,0.05,,,0.09
03/13,0.02,0.02,0.06,0.05,,,0.08
03/14,0.04,0.04,0.12,0.09,,,0.15
03/15,0.05,0.05,0.14,0.11,,,0.18
03/16,0.05,0.05,0.065,0.055,,,0.085
03/17,0.05,0.05,0.07,0.055,,,0.095
03/18,0.04,0.04,0.055,0.045,,,0.065
03/19,0.04,0.04,0.055,0.05,,,0.07
03/20,0.045,0.045,0.06,0.06,,,0.06
03/21,0.05,0.05,0.052,0.038,,,0.055
03/22,0.04,0.04,0.048,0.04,,,0.05
03/23,0.05,0.05,0.06,0.052,,,0.06
03/24,0.045,0.045,0.058,0.044,,,0.062
03/25,0.035,0.035,0.045,0.046,,,0.068
03/26,0.033,0.033,0.05,0.046,,,0.067
03/27,0.04,0.04,0.058,0.05,,,0.073
03/28,0.053,0.053,0.072,0.057,,,0.093
03/29,0.048,0.048,0.063,0.049,,,0.077
03/30,0.06,0.06,0.075,0.057,,,0.09
03/31,0.08,0.08,0.092,0.069,,,0.105
04/01,0.04,0.04,0.067,0.051,,,0.069
04/02,0.05,0.05,0.083,0.064,,,0.066
04/03,0.05,0.05,0.085,0.059,,,0.074
04/04,0.057,0.057,0.095,0.069,,,0.086
04/05,0.058,0.058,0.071,0.059,,0.027,0.081
04/06,0.065,0.065,0.069,0.056,,0.023,0.083
04/07,0.077,0.077,0.077,0.06,,0.033,0.093
04/08,0.098,0.098,0.1,0.072,,0.04,0.111
04/09,0.112,0.112,0.105,0.08,,0.05,0.121
04/10,0.067,0.067,0.094,0.081,,0.05,0.115
04/11,0.069,0.069,0.097,0.081,,0.053,0.114
04/12,0.067,0.067,0.095,0.077,,0.04,0.105
04/13,0.07,0.07,0.106,0.084,,0.04,0.118
04/14,0.066,0.066,0.097,0.075,,0.043,0.104
04/15,0.062,0.062,0.093,0.072,,0.032,0.096
04/16,0.085,0.086,0.125,0.096,,0.044,0.128
04/17,0.104,0.105,0.149,0.113,,0.052,0.149
04/18,0.112,0.113,0.155,0.115,,0.062,0.156
04/19,0.11,0.111,0.147,0.112,,0.058,0.152
04/20,0.123,0.125,0.163,0.12,,0.068,0.165
