# Station Code,lako
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:33
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,SGRN,WGRN
03/06,,,,0.02,,
03/07,,,,0.02,,
03/08,,,,0.01,,
03/09,,,,0.02,,
03/10,,,,0.02,,
03/11,,,,0.02,,
03/12,,,,0.02,,
03/13,,,,0.02,,
03/14,,,,0.03,,
03/15,,,,0.03,,
03/16,,,,0.03,,
03/17,,,,0.05,,
03/18,,,,0.06,,
03/19,,,,0.06,,
03/20,0.01,0.01,,0.03,,
03/21,0.02,0.02,,0.04,,0.035
03/22,0.01,0.01,,0.03,,0.033
03/23,0.02,0.02,,0.04,,0.033
03/24,0.03,0.03,,0.06,,0.035
03/25,0.023,0.023,,0.036,,0.035
03/26,0.023,0.023,,0.03,,0.037
03/27,0.03,0.03,,0.04,,0.05
03/28,0.035,0.035,,0.04,,0.05
03/29,0.045,0.045,,0.045,,0.053
03/30,0.04,0.04,,0.05,,0.065
03/31,0.033,0.033,,0.044,,0.052
04/01,0.028,0.028,0.018,0.04,,0.038
04/02,0.034,0.034,0.02,0.05,,0.048
04/03,0.046,0.046,0.026,0.058,,0.064
04/04,0.042,0.042,0.024,0.048,,0.052
04/05,0.042,0.042,0.022,0.046,,0.05
04/06,0.058,0.058,0.042,0.058,,0.056
04/07,0.064,0.064,0.058,0.063,,0.064
04/08,0.08,0.08,0.076,0.075,,0.077
04/09,0.088,0.088,0.098,0.082,,0.092
04/10,0.094,0.094,0.065,0.068,,0.096
04/11,0.08,0.08,0.051,0.055,,0.072
04/12,0.082,0.082,0.056,0.059,,0.085
04/13,0.114,0.114,0.069,0.066,,0.095
04/14,0.086,0.086,0.057,0.057,,0.08
04/15,0.061,0.061,0.072,0.066,,0.095
04/16,0.065,0.065,0.08,0.071,,0.1
04/17,0.073,0.073,0.094,0.075,,0.11
04/18,0.078,0.078,0.102,0.082,,0.113
04/19,0.087,0.087,0.117,0.088,,0.125
04/20,0.076,0.076,0.097,0.077,,0.108
04/21,0.092,0.092,0.121,0.092,,0.133
04/22,0.079,0.08,0.113,0.085,,0.119
04/23,0.088,0.089,0.116,0.089,,0.126
04/24,0.088,0.089,0.118,0.087,,0.125
04/25,0.088,0.089,0.116,0.086,,0.121
04/26,0.095,0.098,0.125,0.092,,0.131
04/27,0.108,0.11,0.14,0.102,,0.146
04/28,0.11,0.113,0.142,0.102,,0.152
04/29,0.12,0.123,0.149,0.11,,0.161
04/30,0.137,0.142,0.165,0.122,,0.177
05/01,0.14,0.148,0.165,0.124,0.05,0.177
05/02,0.141,0.149,0.162,0.122,0.053,0.176
05/03,0.148,0.158,0.168,0.127,0.048,0.182
05/04,0.151,0.158,0.17,0.128,0.048,0.182
05/05,0.146,0.153,0.164,0.125,0.042,0.177
