# Station Code,lbrw
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:34
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,FCRN,HAYM,HAYP,ORCH,PAST,POP1,POP2,POP3
02/11,,,,0.01,0.01,,0.0,,,
02/12,,,,0.03,0.03,,0.01,,,
02/13,,,,0.045,0.045,,0.015,,,
02/14,,,,0.06,0.06,,0.025,,,
02/15,0.0,0.0,,0.02,0.02,,0.01,,,
02/16,0.015,0.015,,0.053,0.057,,0.02,,,
02/17,0.015,0.015,,0.057,0.057,,0.022,,,
02/18,0.015,0.015,,0.06,0.06,,0.022,,,
02/19,0.02,0.02,,0.067,0.067,,0.028,,,
02/20,0.017,0.017,,0.062,0.064,,0.023,,,
02/21,0.013,0.013,,0.048,0.048,,0.018,,,
02/22,0.013,0.013,,0.048,0.048,,0.02,,,
02/23,0.017,0.017,,0.047,0.047,,0.02,,,
02/24,0.013,0.013,,0.042,0.043,,0.016,,,
02/25,0.014,0.014,,0.038,0.042,,0.018,,,
02/26,0.013,0.013,,0.042,0.042,0.01,0.018,,,
02/27,0.013,0.013,,0.043,0.043,0.01,0.021,,,
02/28,0.02,0.02,,0.06,0.06,0.01,0.026,,,
02/29,0.04,0.04,,0.09,0.09,0.01,0.045,,,
03/01,0.017,0.017,,0.049,0.049,0.01,0.026,,,
03/02,0.016,0.016,,0.047,0.047,0.02,0.023,,,
03/03,0.021,0.021,,0.057,0.057,0.01,0.029,,,
03/04,0.026,0.026,,0.062,0.062,0.02,0.029,,,
03/05,0.025,0.025,,0.062,0.063,0.01,0.029,,,
03/06,0.025,0.025,,0.061,0.062,0.03,0.032,,,
03/07,0.029,0.029,,0.067,0.066,0.03,0.034,,,
03/08,0.029,0.029,,0.061,0.061,0.03,0.031,,,
03/09,0.034,0.034,,0.069,0.071,0.03,0.038,,,
03/10,0.035,0.035,,0.068,0.068,0.027,0.036,,,
03/11,0.04,0.04,,0.073,0.073,0.02,0.038,,,
03/12,0.041,0.041,,0.075,0.075,0.02,0.04,,,
03/13,0.049,0.049,,0.079,0.079,0.027,0.042,,,
03/14,0.041,0.041,,0.064,0.064,0.02,0.036,,,
03/15,0.035,0.035,,0.062,0.062,0.016,0.035,,,
03/16,0.048,0.048,,0.082,0.082,0.024,0.047,,,
03/17,0.051,0.051,,0.083,0.083,0.023,0.046,,,
03/18,0.062,0.062,,0.098,0.098,0.029,0.057,,,
03/19,0.065,0.065,,0.1,0.1,0.034,0.056,,,
03/20,0.062,0.062,,0.089,0.09,0.028,0.053,,,
03/21,0.057,0.057,,0.083,0.084,0.027,0.048,,,
03/22,0.062,0.062,,0.09,0.091,0.027,0.053,,,
03/23,0.069,0.07,,0.095,0.098,0.032,0.059,,,
03/24,0.067,0.069,,0.088,0.091,0.032,0.056,,,
03/25,0.061,0.061,0.025,0.081,0.082,0.028,0.048,,,
03/26,0.076,0.078,0.04,0.097,0.099,0.035,0.062,,,
03/27,0.079,0.081,0.045,0.099,0.101,0.034,0.064,,,
03/28,0.079,0.082,0.035,0.102,0.102,0.038,0.065,,,
03/29,0.079,0.082,0.05,0.094,0.095,0.038,0.063,,,
03/30,0.086,0.091,0.045,0.105,0.106,0.038,0.068,,,
03/31,0.102,0.107,0.05,0.122,0.122,0.048,0.082,,,
04/01,0.105,0.113,0.048,0.125,0.126,0.049,0.085,0.02,0.02,0.02
04/02,0.112,0.119,0.043,0.132,0.133,0.049,0.09,0.03,0.03,0.03
04/03,0.108,0.117,0.045,0.125,0.125,0.052,0.085,0.03,0.03,0.04
04/04,0.088,0.096,0.037,0.104,0.105,0.044,0.07,0.02,0.03,0.03
04/05,0.105,0.114,0.045,0.122,0.123,0.052,0.083,0.023,0.027,0.03
04/06,0.107,0.117,0.04,0.122,0.123,0.052,0.084,0.02,0.023,0.035
