# Station Code,legw
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:34
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,ASPA,BEAN,BLGR,CGRP,FCRN,LAWN,ONYN,PAST,PEAS,POTA,POTS,SCRN,SGRN,WGRN,WGRP
02/11,,,,,,,,,0.005,,0.005,,,,,,0.007,
02/12,,,,,,,,,0.01,,0.015,,,,,,0.013,
02/13,,,,,,,,,0.01,,0.015,,,,,,0.017,
02/14,,,,,,,,,0.01,,0.02,,,,,,0.023,
02/15,0.005,0.005,,,,0.02,,,0.017,,0.023,,,,,,0.028,
02/16,0.015,0.015,,,,0.02,,,0.017,,0.027,,,,,,0.027,
02/17,0.015,0.015,,,,0.02,,,0.023,,0.027,,,,,,0.027,
02/18,0.015,0.015,,,,0.02,,,0.027,,0.033,,,,,,0.029,
02/19,0.02,0.02,,,,0.03,,,0.04,,0.04,,,,,,0.037,
02/20,0.02,0.02,,,,0.03,,,0.026,,0.024,,,,,,0.031,
02/21,0.017,0.017,,,,0.023,,,0.023,,0.018,,,,,,0.027,
02/22,0.02,0.02,,,,0.04,,,0.03,,0.03,,,,,,0.036,
02/23,0.013,0.013,,,,0.03,,,0.027,,0.027,,,,,,0.036,
02/24,0.017,0.017,,,,0.027,,,0.025,,0.021,,,,,,0.03,
02/25,0.018,0.018,,0.035,,0.024,,,0.027,,0.024,,,,,,0.033,
02/26,0.013,0.013,,0.03,,0.024,,,0.027,,0.023,,,,,,0.032,
02/27,0.017,0.017,,0.06,,0.036,,,0.038,,0.029,,,,,,0.039,
02/28,0.029,0.029,,0.075,,0.043,,,0.05,,0.036,,,,,,0.045,
02/29,0.025,0.025,,0.06,,0.06,,,0.06,,0.05,,,,,,0.073,
03/01,0.022,0.022,,0.035,,0.031,,,0.04,0.025,0.03,,,,,0.02,0.041,
03/02,0.021,0.021,,0.037,,0.032,,,0.039,0.04,0.028,,,,,0.02,0.043,
03/03,0.028,0.028,,0.042,,0.04,,,0.051,0.04,0.037,,,,,0.02,0.053,
03/04,0.03,0.03,,0.04,,0.041,,,0.043,0.035,0.035,,,,,0.018,0.052,
03/05,0.025,0.025,,0.04,,0.041,,,0.038,0.03,0.035,,,,,0.018,0.046,
03/06,0.032,0.032,,0.039,,0.043,,,0.05,0.034,0.039,,,,,0.021,0.054,
03/07,0.038,0.038,,0.05,,0.052,,,0.057,0.046,0.047,,,,,0.022,0.062,
03/08,0.032,0.032,,0.036,,0.043,,,0.046,0.03,0.036,,,,,0.016,0.049,
03/09,0.044,0.044,,0.045,,0.054,,,0.061,0.046,0.045,,,,,0.02,0.062,
03/10,0.048,0.048,0.025,0.046,,0.052,,,0.057,0.05,0.047,,,,,0.025,0.072,
03/11,0.049,0.049,0.025,0.048,,0.054,,,0.056,0.044,0.049,,,,,0.022,0.072,
03/12,0.058,0.058,0.03,0.056,,0.061,,,0.063,0.066,0.051,,,,,0.028,0.08,
03/13,0.062,0.062,0.03,0.052,,0.062,,,0.068,0.066,0.055,,,,,0.027,0.082,
03/14,0.063,0.063,0.035,0.05,,0.059,,,0.064,0.068,0.052,,,,,0.026,0.081,
