# Station Code,libw
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:34
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,SGRN,WGRN
03/02,,,,,,0.01
03/03,,,,,,0.02
03/04,,,,,,0.02
03/05,,,0.01,0.02,,0.02
03/06,,,0.01,0.02,,0.03
03/07,,,0.01,0.02,,0.03
03/08,,,0.02,0.03,,0.04
03/09,,,0.02,0.03,,0.04
03/10,0.02,0.02,0.02,0.03,,0.04
03/11,0.01,0.01,0.01,0.02,,0.02
03/12,0.02,0.02,0.03,0.04,,0.05
03/13,0.02,0.02,0.04,0.04,,0.05
03/14,0.01,0.01,0.02,0.02,,0.03
03/15,0.0,0.0,0.01,0.01,,0.01
03/16,0.02,0.02,0.035,0.03,,0.055
03/17,0.01,0.01,0.025,0.02,,0.03
03/18,0.02,0.02,0.035,0.035,,0.045
03/19,0.02,0.02,0.04,0.045,,0.04
03/20,0.03,0.03,0.037,0.04,,0.037
03/21,0.03,0.03,0.04,0.04,,0.042
03/22,0.025,0.025,0.03,0.027,,0.032
03/23,0.02,0.02,0.03,0.027,,0.034
03/24,0.02,0.02,0.04,0.03,,0.034
03/25,0.017,0.017,0.024,0.024,0.01,0.032
03/26,0.027,0.027,0.036,0.032,0.02,0.046
03/27,0.03,0.03,0.038,0.036,0.03,0.052
03/28,0.04,0.04,0.042,0.034,0.03,0.048
03/29,0.04,0.04,0.054,0.044,0.02,0.058
03/30,0.05,0.05,0.06,0.048,0.03,0.068
03/31,0.047,0.047,0.056,0.044,0.03,0.06
04/01,0.034,0.034,0.056,0.044,0.02,0.052
04/02,0.038,0.038,0.064,0.048,0.02,0.06
04/03,0.04,0.04,0.07,0.05,0.02,0.06
04/04,0.044,0.044,0.074,0.05,0.03,0.06
04/05,0.048,0.048,0.059,0.044,0.02,0.061
04/06,0.04,0.04,0.053,0.04,0.015,0.059
04/07,0.068,0.068,0.083,0.063,0.04,0.087
04/08,0.068,0.068,0.081,0.057,0.035,0.083
04/09,0.064,0.064,0.074,0.054,0.03,0.079
04/10,0.061,0.061,0.087,0.064,0.04,0.081
04/11,0.067,0.067,0.09,0.066,0.045,0.085
04/12,0.06,0.06,0.084,0.061,0.035,0.083
04/13,0.067,0.067,0.093,0.069,0.05,0.089
04/14,0.061,0.061,0.091,0.063,0.04,0.085
04/15,0.063,0.063,0.081,0.064,0.035,0.089
04/16,0.069,0.069,0.087,0.066,0.038,0.098
04/17,0.096,0.096,0.116,0.087,0.048,0.125
04/18,0.114,0.116,0.133,0.1,0.057,0.141
04/19,0.097,0.097,0.11,0.083,0.05,0.117
04/20,0.095,0.096,0.119,0.089,0.05,0.126
04/21,0.096,0.099,0.121,0.089,0.055,0.131
04/22,0.099,0.101,0.119,0.089,0.062,0.13
04/23,0.085,0.086,0.109,0.08,0.048,0.119
04/24,0.099,0.1,0.119,0.087,0.062,0.129
04/25,0.094,0.095,0.114,0.086,0.044,0.126
04/26,0.107,0.11,0.129,0.095,0.056,0.141
04/27,0.124,0.129,0.145,0.109,0.066,0.161
04/28,0.136,0.144,0.149,0.116,0.076,0.169
04/29,0.133,0.139,0.149,0.115,0.074,0.168
04/30,0.12,0.128,0.136,0.105,0.066,0.152
05/01,0.136,0.146,0.149,0.115,0.079,0.168
05/02,0.15,0.16,0.163,0.126,0.086,0.185
05/03,0.149,0.16,0.16,0.125,0.084,0.182
05/04,0.151,0.163,0.161,0.128,0.089,0.185
05/05,0.133,0.145,0.135,0.109,0.086,0.159
05/06,0.156,0.168,0.16,0.13,0.081,0.188
05/07,0.143,0.156,0.143,0.115,0.086,0.168
05/08,0.164,0.18,0.163,0.133,0.109,0.194
05/09,0.152,0.169,0.15,0.122,0.118,0.181
05/10,0.168,0.186,0.163,0.136,0.125,0.199
05/11,0.186,0.208,0.18,0.151,0.142,0.22
05/12,0.17,0.191,0.168,0.139,0.121,0.204
05/13,0.17,0.189,0.168,0.136,0.113,0.201
05/14,0.174,0.191,0.17,0.139,0.12,0.205
05/15,0.149,0.165,0.145,0.121,0.116,0.175
05/16,0.151,0.169,0.143,0.121,0.129,0.177
05/17,0.134,0.15,0.129,0.109,0.116,0.159
05/18,0.159,0.18,0.152,0.126,0.139,0.189
05/19,0.171,0.195,0.161,0.138,0.158,0.201
05/20,0.152,0.175,0.146,0.125,0.142,0.181
05/21,0.164,0.188,0.155,0.131,0.158,0.193
05/22,0.16,0.186,0.151,0.128,0.158,0.188
05/23,0.14,0.163,0.134,0.111,0.143,0.164
05/24,0.133,0.154,0.124,0.105,0.136,0.155
05/25,0.13,0.15,0.122,0.105,0.131,0.152
05/26,0.166,0.195,0.156,0.134,0.174,0.196
05/27,0.161,0.19,0.154,0.13,0.172,0.19
05/28,0.174,0.204,0.161,0.14,0.19,0.204
05/29,0.198,0.231,0.185,0.156,0.215,0.231
05/30,0.188,0.219,0.176,0.149,0.208,0.219
05/31,0.174,0.206,0.164,0.14,0.196,0.206
06/01,0.172,0.205,0.164,0.139,0.196,0.205
06/02,0.184,0.216,0.172,0.147,0.209,0.216
06/03,0.196,0.23,0.185,0.155,0.223,0.23
06/04,0.196,0.229,0.181,0.156,0.221,0.229
06/05,0.186,0.22,0.178,0.15,0.214,0.22
06/06,0.169,0.2,0.16,0.135,0.195,0.2
06/07,0.173,0.203,0.163,0.14,0.2,0.203
06/08,0.166,0.198,0.159,0.138,0.196,0.198
06/09,0.13,0.151,0.119,0.103,0.151,0.151
06/10,0.149,0.175,0.139,0.12,0.174,0.175
06/11,0.18,0.21,0.166,0.145,0.209,0.21
06/12,0.182,0.215,0.172,0.146,0.214,0.215
06/13,0.179,0.21,0.168,0.141,0.209,0.21
06/14,0.176,0.205,0.164,0.14,0.205,0.205
06/15,0.174,0.205,0.163,0.14,0.205,0.205
