# Station Code,lidw
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:34
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,BEAN,BEET,BLGR,FCRN,LAWN,PAST,PEAS,POTA,SGRN,WGRN
02/26,,,,,,,,,,,,0.02
02/27,,,,,,,,,,,,0.03
02/28,,,,,,,,,,,,0.04
02/29,,,,,,,,,,,,0.04
03/01,,,,,,,,,,,,0.035
03/02,,,,,,,0.01,0.02,,,,0.024
03/03,,,,,,,0.01,0.015,,,,0.03
03/04,,,,,,,0.02,0.035,,,,0.04
03/05,0.015,0.015,,,0.034,,0.022,0.033,,,,0.038
03/06,0.015,0.015,,,0.034,,0.02,0.03,,,,0.04
03/07,0.02,0.02,,,0.032,,0.02,0.03,,,,0.04
03/08,0.015,0.015,,,0.034,,0.028,0.03,,,,0.04
03/09,0.03,0.03,,,0.042,,0.044,0.045,,,,0.054
03/10,0.022,0.022,,,0.044,,0.042,0.042,,,,0.056
03/11,0.022,0.022,,,0.039,,0.042,0.043,,,,0.041
03/12,0.026,0.026,,,0.043,,0.056,0.05,,,,0.047
03/13,0.026,0.026,,,0.047,,0.06,0.045,,,,0.047
03/14,0.026,0.026,,,0.041,,0.052,0.04,,,,0.045
03/15,0.024,0.024,,,0.036,,0.027,0.027,,,0.015,0.045
03/16,0.034,0.034,,,0.045,,0.041,0.036,,,0.03,0.056
03/17,0.034,0.034,,,0.047,,0.038,0.035,,,0.025,0.057
03/18,0.044,0.044,,,0.057,,0.046,0.042,,,0.025,0.071
03/19,0.06,0.06,,,0.068,,0.056,0.047,,,0.04,0.083
03/20,0.037,0.037,,,0.069,,0.057,0.049,,,0.03,0.072
03/21,0.033,0.033,,,0.058,,0.05,0.04,,,0.026,0.062
03/22,0.035,0.035,,,0.067,,0.061,0.046,,,0.026,0.069
03/23,0.04,0.04,,,0.07,,0.069,0.05,,,0.03,0.076
03/24,0.048,0.048,,,0.078,,0.075,0.052,,,0.034,0.082
03/25,0.04,0.04,,,0.064,,0.062,0.045,,,0.024,0.072
03/26,0.046,0.046,,,0.076,,0.068,0.049,,,0.028,0.077
03/27,0.052,0.052,,,0.079,,0.072,0.053,,,0.036,0.088
03/28,0.049,0.049,,,0.077,,0.068,0.052,,,0.026,0.083
03/29,0.069,0.069,,,0.098,,0.085,0.062,,,0.044,0.105
03/30,0.074,0.074,,,0.105,,0.095,0.068,,,0.044,0.116
03/31,0.082,0.082,,,0.118,,0.105,0.075,,,0.044,0.121
04/01,0.092,0.092,,,0.135,,0.125,0.089,0.04,,0.044,0.142
04/02,0.092,0.092,,,0.132,,0.121,0.084,0.035,,0.048,0.134
04/03,0.089,0.089,,,0.127,,0.112,0.078,0.04,,0.042,0.122
04/04,0.078,0.078,,,0.109,,0.098,0.069,0.035,,0.038,0.112
04/05,0.09,0.09,,0.035,0.127,0.03,0.113,0.078,0.037,,0.042,0.124
04/06,0.087,0.088,,0.035,0.125,0.02,0.106,0.075,0.035,,0.041,0.123
04/07,0.118,0.119,,0.045,0.157,0.04,0.137,0.099,0.055,,0.059,0.161
04/08,0.125,0.126,,0.055,0.168,0.07,0.143,0.103,0.055,,0.061,0.16
04/09,0.124,0.125,,0.05,0.165,0.05,0.141,0.104,0.048,,0.064,0.162
04/10,0.118,0.119,,0.035,0.136,0.05,0.131,0.098,0.034,,0.061,0.142
04/11,0.124,0.126,,0.045,0.142,0.05,0.137,0.103,0.038,,0.069,0.148
04/12,0.117,0.121,,0.043,0.135,0.05,0.127,0.098,0.038,,0.066,0.138
04/13,0.126,0.129,,0.048,0.145,0.05,0.135,0.104,0.039,,0.075,0.148
04/14,0.136,0.142,,0.04,0.155,0.06,0.147,0.113,0.042,,0.078,0.158
04/15,0.132,0.138,,0.047,0.152,0.05,0.141,0.108,0.041,0.075,0.082,0.155
04/16,0.135,0.142,,0.045,0.152,0.02,0.142,0.11,0.042,0.055,0.083,0.163
04/17,0.157,0.164,,0.048,0.177,0.04,0.161,0.127,0.045,0.04,0.098,0.185
04/18,0.176,0.187,,0.063,0.198,0.04,0.176,0.142,0.055,0.075,0.118,0.204
04/19,0.157,0.167,,0.058,0.174,0.03,0.157,0.125,0.052,0.07,0.11,0.182
04/20,0.16,0.173,,0.047,0.18,0.03,0.159,0.129,0.048,0.065,0.117,0.187
04/21,0.183,0.198,,0.052,0.205,0.06,0.178,0.145,0.056,0.07,0.138,0.208
04/22,0.168,0.182,,0.054,0.19,0.07,0.165,0.134,0.057,0.068,0.123,0.189
04/23,0.17,0.185,,0.048,0.193,0.07,0.165,0.136,0.055,0.058,0.13,0.192
04/24,0.167,0.183,,0.052,0.187,0.07,0.16,0.132,0.056,0.065,0.131,0.188
04/25,0.158,0.173,,0.045,0.178,0.047,0.152,0.125,0.051,0.05,0.125,0.178
04/26,0.183,0.201,,0.051,0.206,0.047,0.174,0.143,0.058,0.06,0.156,0.212
04/27,0.215,0.238,,0.061,0.242,0.073,0.203,0.171,0.069,0.068,0.187,0.244
04/28,0.193,0.216,,0.058,0.218,0.08,0.184,0.154,0.066,0.075,0.168,0.222
04/29,0.199,0.225,,0.06,0.226,0.083,0.186,0.158,0.069,0.077,0.183,0.226
04/30,0.199,0.226,,0.058,0.226,0.083,0.188,0.158,0.072,0.075,0.185,0.228
05/01,0.198,0.23,,0.06,0.225,0.074,0.186,0.157,0.075,0.077,0.195,0.227
05/02,0.208,0.241,,0.062,0.235,0.08,0.195,0.164,0.08,0.079,0.211,0.237
05/03,0.22,0.256,,0.071,0.25,0.086,0.207,0.176,0.09,0.09,0.228,0.255
05/04,0.221,0.256,,0.071,0.249,0.078,0.206,0.175,0.091,0.09,0.23,0.254
05/05,0.182,0.214,0.05,0.056,0.207,0.064,0.171,0.145,0.077,0.072,0.199,0.21
05/06,0.212,0.248,0.045,0.07,0.24,0.07,0.198,0.17,0.092,0.084,0.231,0.245
05/07,0.218,0.257,0.06,0.075,0.248,0.09,0.207,0.174,0.101,0.089,0.238,0.253
05/08,0.228,0.268,0.07,0.078,0.258,0.096,0.215,0.183,0.108,0.096,0.252,0.264
05/09,0.228,0.268,0.065,0.073,0.257,0.094,0.215,0.183,0.108,0.086,0.249,0.263
05/10,0.237,0.278,0.065,0.078,0.267,0.087,0.221,0.189,0.116,0.091,0.267,0.275
05/11,0.224,0.262,0.065,0.077,0.253,0.079,0.209,0.178,0.114,0.091,0.251,0.259
