# Station Code,loro
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:34
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,BEAN,BEET,LAWN,ONYN,PAST,POTA,PPMT,SBRY,SGRN,WGRN
02/21,,,,,,,,,,,,0.03
02/22,,,,,,,,,,,,0.03
02/23,,,,,,,,,,,,0.04
02/24,,,,,0.02,,0.03,,,,,0.03
02/25,,,,,0.02,,0.03,,,,,0.04
02/26,,,,,0.01,,0.02,,,,,0.03
02/27,,,,,0.01,,0.01,,,,,0.02
02/28,,,,,0.01,,0.02,,,,,0.03
03/01,0.01,0.01,,,0.02,,0.03,,,,,0.04
03/02,0.02,0.02,,,0.02,,0.03,,,,,0.04
03/03,0.01,0.01,,,0.02,,0.02,,,,,0.035
03/04,0.02,0.02,,,0.02,,0.03,,,,,0.035
03/05,0.02,0.02,,,0.02,,0.03,,,,,0.045
03/06,0.02,0.02,,,0.025,,0.035,,,,,0.045
03/07,0.03,0.03,,,0.025,,0.03,,,,,0.045
03/08,0.03,0.03,,,0.03,,0.03,,,,,0.05
03/09,0.02,0.02,,,0.03,,0.035,,,,,0.05
03/10,0.03,0.03,,,0.035,,0.035,,,,,0.055
03/11,0.03,0.03,,,0.025,,0.03,,,,,0.04
03/12,0.03,0.03,,,0.025,,0.03,,,,,0.045
03/13,0.05,0.05,,,0.05,,0.04,,,,,0.075
03/14,0.05,0.05,,,0.05,,0.05,,,,,0.075
03/15,0.045,0.045,,,0.07,,0.055,,,,,0.09
03/16,0.02,0.02,,,0.03,,0.025,,,,,0.045
03/17,0.035,0.035,,,0.05,,0.045,,,,,0.05
03/18,0.035,0.035,,,0.055,,0.045,,,,,0.053
03/19,0.04,0.04,,,0.06,,0.05,,,,,0.058
03/20,0.05,0.05,,,0.048,,0.048,,,,,0.06
03/21,0.045,0.045,,,0.045,,0.036,,,,,0.05
03/22,0.045,0.045,,,0.043,,0.038,,,,,0.048
03/23,0.03,0.03,,,0.037,,0.034,,,,,0.05
03/24,0.04,0.04,,,0.048,,0.04,,,,,0.062
03/25,0.03,0.03,,,0.04,,0.037,,,,,0.06
03/26,0.04,0.04,,,0.04,,0.036,,,,,0.06
03/27,0.055,0.055,,,0.055,,0.041,,,,,0.073
03/28,0.048,0.048,,,0.058,,0.046,,,,,0.075
03/29,0.05,0.05,,,0.06,,0.046,,,,,0.077
03/30,0.058,0.058,,,0.063,,0.05,,,,,0.083
03/31,0.045,0.045,,,0.062,,0.049,,,,,0.073
04/01,0.036,0.036,,,0.058,,0.044,,,0.022,,0.067
04/02,0.041,0.041,,,0.067,,0.053,,,0.024,,0.063
04/03,0.05,0.05,,,0.083,,0.063,,,0.024,,0.076
04/04,0.036,0.036,,,0.06,,0.044,,,0.016,,0.061
04/05,0.039,0.039,,,0.051,,0.047,,,0.018,,0.066
04/06,0.053,0.053,,,0.059,,0.05,,,0.028,,0.078
04/07,0.063,0.063,,,0.075,,0.058,,,0.034,,0.094
04/08,0.07,0.07,,,0.075,,0.062,,,0.038,,0.098
04/09,0.081,0.081,,,0.085,,0.068,,,0.042,,0.11
04/10,0.053,0.053,,,0.072,,0.062,,,0.032,,0.091
04/11,0.05,0.05,,,0.066,,0.053,,,0.029,,0.077
04/12,0.058,0.058,,,0.083,,0.064,,,0.033,,0.092
