# Station Code,mali
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:35
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,BEET,LAWN,PAST,POTA,SGRN,WGRN
02/26,,,,,,,,0.02
02/27,,,,,,,,0.03
02/28,,,,,,,,0.03
02/29,,,,,,,,0.05
03/01,,,,,,,,0.04
03/02,,,,,,,0.02,0.032
03/03,,,,,,,0.02,0.038
03/04,,,,,,,0.03,0.04
03/05,0.02,0.02,,0.02,0.03,,0.03,0.042
03/06,0.02,0.02,,0.025,0.043,,0.03,0.05
03/07,0.025,0.025,,0.028,0.043,,0.03,0.05
03/08,0.03,0.03,,0.022,0.033,,0.035,0.042
03/09,0.035,0.035,,0.022,0.037,,0.035,0.048
03/10,0.022,0.022,,0.028,0.037,,0.04,0.066
03/11,0.028,0.028,,0.045,0.048,,0.04,0.051
03/12,0.032,0.032,,0.06,0.06,,0.035,0.058
03/13,0.03,0.03,,0.065,0.053,,0.04,0.059
03/14,0.042,0.042,,0.077,0.058,,0.065,0.064
03/15,0.042,0.042,,0.049,0.046,,0.065,0.066
03/16,0.048,0.048,,0.048,0.044,,0.07,0.068
03/17,0.06,0.06,,0.055,0.05,,0.085,0.08
03/18,0.052,0.052,,0.048,0.049,,0.065,0.074
03/19,0.052,0.052,,0.048,0.045,,0.06,0.07
03/20,0.039,0.039,,0.055,0.048,0.065,0.052,0.069
03/21,0.042,0.042,,0.062,0.052,0.06,0.054,0.073
03/22,0.042,0.042,,0.066,0.051,0.05,0.054,0.072
03/23,0.046,0.046,,0.07,0.052,0.055,0.054,0.078
03/24,0.048,0.048,,0.077,0.055,0.05,0.054,0.081
03/25,0.059,0.059,,0.08,0.057,0.08,0.082,0.09
03/26,0.049,0.049,,0.072,0.052,0.05,0.058,0.08
03/27,0.058,0.058,,0.076,0.055,0.05,0.064,0.09
03/28,0.081,0.081,,0.108,0.077,0.07,0.088,0.125
03/29,0.079,0.079,,0.099,0.072,0.065,0.08,0.117
03/30,0.066,0.066,,0.082,0.058,0.05,0.062,0.095
03/31,0.098,0.098,,0.122,0.085,0.09,0.1,0.135
04/01,0.082,0.082,,0.113,0.079,0.055,0.051,0.124
04/02,0.093,0.093,,0.123,0.085,0.05,0.056,0.135
04/03,0.09,0.09,,0.114,0.081,0.06,0.057,0.126
04/04,0.101,0.101,,0.123,0.088,0.07,0.062,0.135
04/05,0.098,0.098,,0.121,0.085,0.055,0.059,0.131
04/06,0.105,0.105,,0.129,0.09,0.07,0.062,0.139
04/07,0.101,0.101,,0.117,0.082,0.08,0.063,0.128
04/08,0.111,0.112,,0.129,0.092,0.06,0.063,0.14
04/09,0.135,0.136,,0.15,0.11,0.085,0.082,0.168
04/10,0.138,0.142,,0.158,0.115,0.105,0.079,0.176
04/11,0.147,0.15,,0.164,0.123,0.115,0.088,0.184
04/12,0.133,0.137,,0.147,0.112,0.14,0.086,0.164
04/13,0.138,0.142,,0.151,0.114,0.115,0.083,0.17
04/14,0.133,0.138,,0.139,0.108,0.135,0.088,0.161
04/15,0.136,0.143,,0.142,0.11,0.13,0.089,0.164
04/16,0.145,0.152,,0.152,0.117,0.115,0.089,0.176
04/17,0.158,0.168,,0.164,0.128,0.145,0.102,0.192
04/18,0.161,0.172,,0.162,0.128,0.17,0.114,0.19
04/19,0.172,0.182,,0.171,0.138,0.135,0.116,0.203
04/20,0.188,0.201,,0.187,0.151,0.125,0.135,0.22
04/21,0.175,0.19,,0.169,0.138,0.117,0.133,0.205
04/22,0.187,0.208,,0.184,0.15,0.113,0.149,0.22
04/23,0.173,0.191,,0.169,0.139,0.115,0.137,0.203
04/24,0.146,0.161,,0.142,0.117,0.075,0.115,0.171
04/25,0.142,0.155,,0.138,0.113,0.06,0.103,0.168
04/26,0.175,0.192,,0.165,0.138,0.11,0.146,0.203
04/27,0.187,0.205,,0.178,0.147,0.092,0.147,0.218
04/28,0.206,0.232,,0.195,0.165,0.117,0.181,0.242
04/29,0.199,0.226,,0.188,0.158,0.13,0.178,0.233
04/30,0.202,0.231,,0.191,0.162,0.135,0.187,0.236
05/01,0.188,0.218,0.03,0.177,0.15,0.09,0.167,0.22
05/02,0.211,0.244,0.045,0.198,0.168,0.11,0.198,0.245
05/03,0.212,0.245,0.035,0.198,0.168,0.111,0.208,0.246
05/04,0.214,0.248,0.055,0.2,0.168,0.108,0.217,0.248
05/05,0.216,0.255,0.06,0.205,0.172,0.11,0.229,0.255
05/06,0.208,0.243,0.04,0.195,0.167,0.097,0.222,0.244
05/07,0.188,0.22,0.05,0.175,0.148,0.092,0.203,0.22
05/08,0.167,0.197,0.035,0.156,0.134,0.089,0.184,0.197
05/09,0.195,0.229,0.065,0.183,0.155,0.1,0.213,0.229
05/10,0.188,0.221,0.044,0.176,0.15,0.094,0.204,0.221
05/11,0.204,0.239,0.05,0.192,0.163,0.104,0.221,0.239
05/12,0.224,0.263,0.061,0.21,0.178,0.114,0.25,0.263
05/13,0.197,0.232,0.054,0.186,0.158,0.103,0.222,0.232
05/14,0.199,0.235,0.058,0.187,0.16,0.112,0.231,0.235
05/15,0.211,0.248,0.058,0.199,0.168,0.109,0.239,0.248
05/16,0.205,0.24,0.055,0.191,0.163,0.103,0.233,0.24
05/17,0.177,0.207,0.046,0.166,0.14,0.098,0.202,0.207
05/18,0.218,0.254,0.052,0.203,0.172,0.112,0.25,0.254
05/19,0.181,0.213,0.052,0.17,0.144,0.106,0.205,0.213
05/20,0.159,0.187,0.047,0.15,0.127,0.087,0.177,0.187
05/21,0.176,0.208,0.05,0.166,0.141,0.101,0.203,0.208
05/22,0.175,0.205,0.055,0.162,0.139,0.099,0.193,0.205
05/23,0.166,0.194,0.045,0.155,0.132,0.096,0.192,0.194
05/24,0.204,0.241,0.063,0.193,0.163,0.125,0.248,0.241
05/25,0.199,0.233,0.062,0.188,0.159,0.127,0.24,0.233
05/26,0.188,0.22,0.059,0.176,0.149,0.119,0.225,0.22
05/27,0.192,0.225,0.06,0.182,0.155,0.125,0.23,0.225
05/28,0.19,0.223,0.061,0.178,0.152,0.128,0.225,0.223
05/29,0.203,0.238,0.064,0.19,0.163,0.136,0.246,0.238
05/30,0.228,0.268,0.07,0.214,0.182,0.152,0.276,0.268
05/31,0.235,0.276,0.077,0.22,0.188,0.157,0.278,0.276
06/01,0.222,0.262,0.075,0.209,0.177,0.158,0.265,0.262
