# Station Code,mdfo
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:35
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,BEAN,CBBG,FCRN,HAYM,HAYP,HOPS,LAWN,LETC,PAST,PEAR,PECH,POTA,SBRY,SCRN,SGRN,TBER,WGRN,WGRP
02/11,,,,,,0.02,0.02,,0.01,,0.01,,,,,,,,0.01,
02/12,,,,,,0.02,0.02,,0.005,,0.005,,,,,,,,0.01,
02/13,,,,,,0.02,0.02,,0.005,,0.005,,,,,,,,0.007,
02/14,,,,,,0.03,0.03,,0.005,,0.005,,,,,,,,0.01,
02/15,0.01,0.01,,,,0.04,0.04,,0.01,,0.013,,,,,,,,0.015,
02/16,0.01,0.01,,,,0.05,0.05,,0.013,,0.017,,,,,,,,0.015,
02/17,0.01,0.01,,,,0.05,0.05,,0.013,,0.017,,,,,,,,0.019,
02/18,0.01,0.01,,,,0.05,0.05,,0.013,,0.013,,,,,,,,0.022,
02/19,0.01,0.01,,,,0.05,0.05,,0.02,,0.017,,,,,,,,0.021,
02/20,0.01,0.01,,,,0.05,0.05,,0.015,,0.016,,,,,,,,0.02,
02/21,0.01,0.01,,,,0.06,0.06,,0.013,,0.017,,,,,,,,0.022,
02/22,0.017,0.017,,,,0.09,0.09,,0.021,,0.018,,,,,,,,0.029,
02/23,0.02,0.02,,,,0.08,0.08,,0.023,,0.021,,,,,,,,0.029,
02/24,0.017,0.017,,,,0.07,0.07,,0.021,,0.022,,,,,,,,0.031,
02/25,0.015,0.015,,,,0.06,0.06,,0.024,,0.019,,,,0.01,,,,0.03,
02/26,0.01,0.01,,,,0.03,0.03,,0.017,,0.017,,,,0.005,,,,0.022,
02/27,0.013,0.013,,,,0.04,0.04,,0.027,,0.023,,,,0.01,,,,0.03,
02/28,0.016,0.016,,,,0.06,0.06,,0.031,,0.022,,,,0.01,,,,0.03,
02/29,0.015,0.015,,,,,,,0.023,,0.02,,,,0.01,,,,0.027,
03/01,0.019,0.019,,,,0.07,0.07,,0.036,,0.027,,,,0.013,,0.015,,0.04,
03/02,0.02,0.02,,,,0.07,0.07,,0.034,,0.026,,,,0.013,,0.015,,0.04,
03/03,0.021,0.021,,,,0.07,0.07,,0.034,,0.027,,,,0.014,,0.015,,0.042,
03/04,0.024,0.024,,,,0.07,0.07,,0.034,,0.03,,,,0.011,,0.013,,0.046,
03/05,0.021,0.021,,,,0.08,0.08,,0.029,,0.025,,,,0.012,,0.014,,0.035,
03/06,0.025,0.025,,,,0.09,0.09,,0.036,,0.029,,,,0.013,,0.017,,0.04,
03/07,0.03,0.03,,,,0.09,0.09,,0.04,,0.033,,,,0.015,,0.017,,0.047,
03/08,0.029,0.029,,,,0.09,0.09,,0.037,,0.031,,,,0.017,,0.016,,0.044,
03/09,0.031,0.031,,,,0.1,0.1,,0.043,,0.034,,,,0.017,,0.013,,0.046,
03/10,0.034,0.034,0.02,,,0.04,0.04,,0.04,,0.033,0.01,0.015,,0.017,,0.018,0.01,0.053,
