# Station Code,mdki
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:35
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,HAYM,HAYP,LAWN,PAST,SGRN,WGRN
02/26,,,,,,,,0.03
02/27,,,,,,,,0.03
02/28,,,,,,,,0.03
02/29,,,,,,,,0.05
03/01,,,,,,,,0.03
03/02,,,,,,,,0.035
03/03,,,,,,,,0.037
03/04,,,,,,,,0.04
03/05,,,0.097,0.083,0.025,0.037,,0.048
03/06,,,0.103,0.083,0.03,0.04,,0.048
03/07,,,0.1,0.083,0.03,0.037,,0.048
03/08,,,0.067,0.058,0.025,0.027,,0.035
03/09,,,0.08,0.075,0.025,0.037,,0.05
03/10,0.022,0.022,0.107,0.088,0.035,0.033,,0.048
03/11,0.025,0.025,0.127,0.11,0.043,0.05,,0.054
03/12,0.025,0.025,0.107,0.105,0.04,0.047,,0.06
03/13,0.02,0.02,0.087,0.085,0.05,0.05,,0.051
03/14,0.025,0.025,0.11,0.103,0.063,0.05,,0.057
03/15,0.025,0.025,0.093,0.087,0.046,0.042,,0.056
03/16,0.028,0.028,0.091,0.091,0.043,0.041,,0.066
03/17,0.028,0.028,0.093,0.091,0.043,0.044,,0.064
03/18,0.033,0.033,0.103,0.101,0.047,0.049,,0.073
03/19,0.043,0.043,0.1,0.105,0.045,0.047,,0.076
03/20,0.042,0.042,0.123,0.119,0.068,0.059,0.035,0.079
03/21,0.037,0.037,0.107,0.105,0.067,0.051,0.03,0.071
03/22,0.034,0.034,0.089,0.089,0.06,0.044,0.03,0.064
03/23,0.04,0.04,0.097,0.101,0.065,0.05,0.03,0.072
03/24,0.048,0.048,0.1,0.109,0.067,0.054,0.033,0.081
03/25,0.048,0.048,0.091,0.101,0.056,0.05,0.03,0.078
03/26,0.049,0.049,0.092,0.101,0.059,0.048,0.028,0.076
03/27,0.068,0.068,0.112,0.122,0.077,0.063,0.036,0.104
03/28,0.073,0.073,0.136,0.138,0.092,0.071,0.034,0.113
03/29,0.067,0.067,0.126,0.122,0.089,0.063,0.024,0.107
03/30,0.068,0.068,0.115,0.118,0.08,0.062,0.032,0.101
03/31,0.086,0.086,0.138,0.141,0.103,0.077,0.038,0.123
04/01,0.081,0.081,0.13,0.131,0.101,0.071,0.032,0.119
04/02,0.087,0.087,0.128,0.134,0.099,0.074,0.034,0.123
04/03,0.098,0.098,0.141,0.143,0.114,0.081,0.039,0.133
04/04,0.104,0.104,0.156,0.153,0.128,0.088,0.042,0.139
04/05,0.096,0.096,0.131,0.134,0.108,0.078,0.037,0.127
04/06,0.108,0.108,0.15,0.148,0.124,0.089,0.042,0.142
04/07,0.124,0.124,0.16,0.163,0.134,0.101,0.05,0.16
04/08,0.148,0.148,0.173,0.191,0.144,0.114,0.062,0.184
04/09,0.148,0.148,0.181,0.187,0.151,0.118,0.068,0.182
04/10,0.16,0.16,0.194,0.199,0.158,0.126,0.072,0.198
04/11,0.141,0.141,0.167,0.169,0.141,0.11,0.069,0.17
04/12,0.142,0.144,0.172,0.176,0.141,0.113,0.071,0.174
04/13,0.136,0.139,0.164,0.164,0.139,0.108,0.069,0.166
04/14,0.121,0.123,0.144,0.146,0.118,0.093,0.067,0.144
04/15,0.127,0.131,0.147,0.149,0.119,0.098,0.072,0.15
04/16,0.141,0.147,0.163,0.167,0.133,0.111,0.082,0.169
04/17,0.168,0.177,0.192,0.198,0.154,0.132,0.102,0.2
04/18,0.183,0.196,0.206,0.213,0.163,0.146,0.12,0.218
04/19,0.19,0.202,0.217,0.22,0.174,0.151,0.12,0.223
04/20,0.194,0.21,0.217,0.222,0.177,0.154,0.137,0.227
04/21,0.201,0.226,0.224,0.229,0.182,0.158,0.151,0.237
04/22,0.199,0.221,0.222,0.226,0.181,0.156,0.152,0.231
04/23,0.166,0.186,0.188,0.19,0.151,0.13,0.129,0.192
04/24,0.144,0.161,0.158,0.163,0.13,0.112,0.113,0.167
04/25,0.148,0.166,0.162,0.168,0.129,0.116,0.121,0.173
04/26,0.171,0.193,0.189,0.192,0.151,0.132,0.15,0.199
04/27,0.177,0.202,0.197,0.199,0.16,0.139,0.157,0.207
04/28,0.189,0.216,0.21,0.212,0.171,0.149,0.172,0.221
04/29,0.2,0.231,0.222,0.227,0.181,0.159,0.188,0.234
04/30,0.18,0.209,0.198,0.202,0.161,0.142,0.172,0.211
05/01,0.202,0.234,0.229,0.232,0.193,0.16,0.179,0.238
05/02,0.217,0.253,0.243,0.246,0.2,0.173,0.213,0.255
05/03,0.214,0.246,0.237,0.24,0.197,0.167,0.21,0.247
05/04,0.223,0.26,0.248,0.251,0.205,0.176,0.24,0.26
05/05,0.228,0.267,0.253,0.258,0.209,0.182,0.251,0.267
05/06,0.204,0.239,0.227,0.228,0.188,0.163,0.224,0.24
05/07,0.167,0.194,0.183,0.186,0.15,0.132,0.18,0.194
05/08,0.166,0.194,0.182,0.186,0.153,0.131,0.188,0.194
05/09,0.203,0.238,0.227,0.228,0.188,0.161,0.226,0.238
05/10,0.183,0.217,0.206,0.207,0.17,0.147,0.206,0.217
05/11,0.199,0.234,0.221,0.224,0.183,0.159,0.226,0.234
05/12,0.203,0.24,0.228,0.231,0.188,0.162,0.232,0.24
05/13,0.217,0.254,0.239,0.244,0.206,0.174,0.237,0.254
05/14,0.204,0.242,0.228,0.232,0.194,0.167,0.235,0.242
