# Station Code,mdxo
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:35
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,BLGR,FCRN,HAYM,HAYP,LAWN,PAST,SGRN,SOYB,WGRN
02/16,,,,,,,,,,,0.02
02/17,,,,,,,,,,,0.02
02/18,,,,,,,,,,,0.03
02/19,,,,,,,,,,,0.04
02/20,,,,,,,,,,,0.02
02/21,,,,,,,,,,,0.02
02/22,,,,,,,,,,,0.03
02/23,,,,,,,,,,,0.04
02/24,,,,,,,,,,,0.04
02/25,0.02,0.02,0.03,,0.06,0.06,0.02,0.03,,,0.04
02/26,0.01,0.01,0.01,,0.02,0.02,0.01,0.01,,,0.02
02/27,0.01,0.01,0.03,,0.05,0.05,0.01,0.02,,,0.04
02/28,0.03,0.03,0.05,,0.1,0.1,0.03,0.04,,,0.08
02/29,0.01,0.01,0.03,,0.05,0.05,0.02,0.02,,,0.04
03/01,0.03,0.03,0.06,,0.11,0.11,0.04,0.05,,,0.065
03/02,0.02,0.02,0.04,,0.07,0.07,0.03,0.03,,,0.03
03/03,0.02,0.02,0.04,,0.08,0.08,0.04,0.03,,,0.043
03/04,0.02,0.02,0.04,,0.06,0.06,0.04,0.03,,,0.04
03/05,0.02,0.02,0.037,,0.067,0.067,0.023,0.03,,,0.04
03/06,0.05,0.05,0.043,,0.083,0.083,0.037,0.037,,,0.06
03/07,0.04,0.04,0.047,,0.087,0.087,0.033,0.037,,,0.057
03/08,0.01,0.01,0.037,,0.063,0.063,0.02,0.027,,,0.043
03/09,0.02,0.02,0.03,,0.057,0.057,0.023,0.027,,,0.04
03/10,0.03,0.03,0.05,,0.083,0.083,0.043,0.04,,,0.067
03/11,0.02,0.02,0.036,,0.073,0.073,0.033,0.033,,,0.045
03/12,0.037,0.037,0.05,,0.11,0.11,0.063,0.05,,,0.057
03/13,0.033,0.033,0.048,,0.09,0.09,0.057,0.047,,,0.045
03/14,0.027,0.027,0.034,,0.063,0.063,0.05,0.033,,,0.042
03/15,0.023,0.023,0.044,,0.069,0.069,0.033,0.033,,,0.047
03/16,0.033,0.033,0.046,,0.069,0.069,0.038,0.035,,,0.052
03/17,0.043,0.043,0.054,,0.073,0.073,0.042,0.037,,,0.057
03/18,0.043,0.043,0.058,,0.087,0.087,0.047,0.042,,,0.065
03/19,0.06,0.06,0.07,,0.093,0.093,0.058,0.048,,,0.075
03/20,0.03,0.03,0.056,,0.083,0.083,0.047,0.04,,,0.052
03/21,0.027,0.027,0.064,,0.077,0.077,0.048,0.04,,,0.05
03/22,0.041,0.041,0.084,,0.1,0.1,0.075,0.055,,,0.07
03/23,0.044,0.044,0.086,,0.097,0.097,0.08,0.057,,,0.075
03/24,0.057,0.057,0.108,,0.117,0.117,0.095,0.068,,,0.089
03/25,0.047,0.047,0.078,,0.096,0.098,0.065,0.05,,,0.079
03/26,0.05,0.05,0.092,,0.104,0.104,0.07,0.055,,,0.08
03/27,0.049,0.049,0.077,,0.1,0.1,0.065,0.052,,,0.08
03/28,0.06,0.06,0.092,,0.116,0.116,0.076,0.059,,,0.092
03/29,0.07,0.07,0.102,,0.119,0.119,0.083,0.065,,,0.101
03/30,0.076,0.077,0.105,,0.125,0.125,0.092,0.069,,,0.107
03/31,0.076,0.076,0.11,,0.121,0.121,0.092,0.064,,,0.103
04/01,0.073,0.073,0.113,,0.13,0.13,0.099,0.071,,,0.11
04/02,0.081,0.081,0.108,,0.13,0.131,0.101,0.075,,,0.116
04/03,0.081,0.083,0.127,,0.131,0.131,0.106,0.075,,,0.115
04/04,0.086,0.088,0.13,,0.133,0.134,0.109,0.079,,,0.122
04/05,0.074,0.075,0.112,,0.109,0.109,0.091,0.066,,,0.101
04/06,0.095,0.096,0.135,,0.133,0.133,0.111,0.081,,,0.125
04/07,0.131,0.134,0.172,,0.182,0.184,0.152,0.113,,,0.175
04/08,0.124,0.128,0.16,,0.165,0.165,0.139,0.102,,,0.163
04/09,0.124,0.128,0.162,,0.161,0.161,0.139,0.103,,,0.156
04/10,0.126,0.13,0.134,,0.163,0.163,0.138,0.104,,,0.155
04/11,0.117,0.121,0.135,,0.15,0.15,0.129,0.1,,,0.147
04/12,0.117,0.121,0.133,,0.149,0.149,0.131,0.098,,,0.146
04/13,0.116,0.119,0.125,,0.148,0.148,0.126,0.096,,,0.145
04/14,0.139,0.145,0.156,,0.173,0.173,0.149,0.114,,,0.171
04/15,0.133,0.138,0.145,,0.158,0.158,0.139,0.107,,,0.158
04/16,0.151,0.159,0.17,,0.185,0.186,0.159,0.126,,,0.186
04/17,0.15,0.159,0.166,,0.179,0.179,0.152,0.122,,,0.18
04/18,0.165,0.174,0.184,,0.196,0.196,0.169,0.134,,,0.196
04/19,0.16,0.169,0.179,,0.188,0.189,0.16,0.128,,,0.189
04/20,0.142,0.152,0.154,,0.166,0.166,0.141,0.116,,,0.169
04/21,0.177,0.19,0.194,,0.203,0.206,0.174,0.141,,,0.207
04/22,0.165,0.179,0.185,,0.194,0.194,0.164,0.134,,,0.194
04/23,0.193,0.21,0.216,,0.22,0.224,0.189,0.156,,,0.225
04/24,0.177,0.193,0.195,,0.2,0.201,0.17,0.14,,,0.205
04/25,0.164,0.179,0.185,,0.185,0.186,0.156,0.129,,,0.19
04/26,0.204,0.225,0.229,,0.23,0.231,0.195,0.16,,,0.236
04/27,0.219,0.24,0.244,,0.242,0.246,0.205,0.169,,,0.253
04/28,0.193,0.216,0.219,,0.219,0.219,0.184,0.154,,,0.226
04/29,0.214,0.241,0.241,,0.24,0.241,0.2,0.169,,,0.249
04/30,0.205,0.233,0.232,,0.23,0.232,0.195,0.164,,,0.24
05/01,0.168,0.199,0.193,,0.189,0.193,0.161,0.136,,,0.199
05/02,0.193,0.224,0.217,,0.216,0.216,0.181,0.152,,,0.224
05/03,0.22,0.255,0.249,,0.246,0.249,0.209,0.174,,,0.256
05/04,0.204,0.239,0.231,,0.231,0.231,0.193,0.163,,,0.239
05/05,0.214,0.249,0.241,,0.239,0.239,0.2,0.17,,,0.249
05/06,0.214,0.249,0.241,,0.238,0.24,0.2,0.171,,,0.25
