# Station Code,mfro
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:35
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,ASPA,BEAN,BLGR,CGRP,FCRN,LAWN,ONYN,PAST,PEAS,POTA,POTS,SCRN,SGRN,WGRN
03/05,,,,,,,,,,,,,,,,,0.03
03/06,,,,,,,,,,,,,,,,,0.03
03/07,,,,,,,,,,,,,,,,,0.04
03/08,,,,,,,,,,,,,,,,,0.03
03/09,,,,,,,,,,,,,,,,,0.06
03/10,,,,,,0.03,,,0.02,,0.03,,,,,,0.04
03/11,,,,,,0.04,,,0.02,,0.03,,,,,,0.05
03/13,,,,,,0.06,,,0.04,,0.05,,,,,,0.08
03/14,,,,,,0.03,,,0.02,,0.03,,,,,,0.05
03/15,0.02,0.02,,0.06,,0.05,,,0.04,,0.04,,,,,0.03,0.07
03/16,0.02,0.02,,0.06,,0.05,,,0.05,,0.04,,,,,0.03,0.07
03/17,0.03,0.03,,0.08,,0.07,,,0.07,,0.06,,,,,0.04,0.1
03/18,0.07,0.07,,0.16,,0.16,,,0.18,,0.13,,,,,0.08,0.22
03/19,0.03,0.03,,0.06,,0.06,,,0.07,,0.05,,,,,0.03,0.09
03/20,0.01,0.01,,0.03,,0.03,,,0.04,,0.02,,,,,0.01,0.04
03/21,0.02,0.02,,0.05,,0.05,,,0.06,,0.04,,,,,0.02,0.07
03/22,0.04,0.04,,0.06,,0.07,,,0.08,,0.05,,,,,0.03,0.09
03/23,0.05,0.05,,0.07,,0.08,,,0.1,,0.06,,,,,0.03,0.11
03/24,0.06,0.06,,0.08,,0.1,,,0.11,,0.07,,,,,0.04,0.12
03/25,0.05,0.05,,0.06,,0.09,,,0.1,0.05,0.06,,,,,0.03,0.11
03/26,0.07,0.07,,0.07,,0.1,,,0.12,0.05,0.07,,,,,0.04,0.12
03/27,0.09,0.09,,0.09,,0.13,,,0.15,0.07,0.09,,,,,0.05,0.16
03/28,0.09,0.09,,0.08,,0.13,,,0.14,0.07,0.09,,,,,0.05,0.14
03/29,0.02,0.02,,0.02,,0.03,,,0.03,0.02,0.02,,,,,0.01,0.03
03/30,0.08,0.08,,0.07,,0.11,,,0.12,0.06,0.08,,,,,0.05,0.13
03/31,0.08,0.08,,0.07,,0.11,,,0.11,0.06,0.08,,,,,0.04,0.12
04/01,0.09,0.09,0.03,0.07,,0.12,0.03,,0.12,0.07,0.08,,,,,0.05,0.13
04/02,0.08,0.08,0.03,0.06,,0.1,0.02,,0.1,0.06,0.07,,,,,0.05,0.11
04/03,0.05,0.05,0.02,0.04,,0.06,0.01,,0.06,0.04,0.04,,,,,0.03,0.07
04/04,0.1,0.1,0.03,0.07,,0.13,0.03,,0.13,0.08,0.09,,,,,0.07,0.14
04/05,0.14,0.14,0.04,0.1,,0.18,0.03,,0.17,0.11,0.13,,,,,0.1,0.19
04/06,0.25,0.25,0.07,0.17,,0.32,0.06,,0.3,0.19,0.22,,,,,0.19,0.34
04/07,0.16,0.16,0.05,0.11,,0.2,0.04,,0.18,0.12,0.14,,,,,0.12,0.22
04/08,0.09,0.09,0.03,0.06,,0.12,0.02,,0.1,0.07,0.08,,,,,0.08,0.12
04/09,0.1,0.1,0.03,0.07,,0.13,0.02,,0.11,0.07,0.09,,,,,0.09,0.13
04/10,0.06,0.06,0.02,0.04,,0.07,0.01,,0.06,0.04,0.05,,,,,0.05,0.08
04/11,0.11,0.11,0.03,0.07,,0.13,0.03,,0.11,0.07,0.09,,,,,0.09,0.13
04/12,0.06,0.06,0.02,0.04,,0.07,0.01,,0.06,0.04,0.05,,,,,0.06,0.08
04/13,0.15,0.15,0.05,0.09,,0.18,0.04,,0.15,0.1,0.12,,,,,0.14,0.19
04/14,0.15,0.16,0.05,0.09,,0.18,0.04,,0.15,0.1,0.12,,,,,0.14,0.19
04/15,0.16,0.17,0.06,0.1,,0.19,0.04,,0.16,0.1,0.13,0.04,,,,0.16,0.2
04/16,0.12,0.12,0.04,0.07,,0.13,0.03,,0.11,0.07,0.09,0.03,,,,0.11,0.14
04/17,0.13,0.13,0.05,0.07,,0.14,0.03,,0.12,0.08,0.1,0.03,,,,0.12,0.15
04/18,0.17,0.18,0.07,0.1,,0.19,0.04,,0.16,0.1,0.13,0.04,,,,0.17,0.2
04/19,0.14,0.15,0.06,0.08,,0.15,0.04,,0.13,0.08,0.11,0.03,,,,0.14,0.16
04/20,0.14,0.15,0.07,0.08,,0.15,0.04,,0.13,0.08,0.11,0.04,,,,0.14,0.16
04/21,0.13,0.14,0.06,0.07,,0.14,0.04,,0.12,0.08,0.1,0.03,,,,0.13,0.15
04/22,0.2,0.23,0.1,0.11,,0.22,0.06,,0.18,0.12,0.16,0.05,,,,0.21,0.23
04/23,0.11,0.13,0.06,0.07,,0.13,0.04,,0.1,0.07,0.09,0.03,,,,0.12,0.13
04/24,0.15,0.18,0.09,0.09,,0.17,0.05,,0.14,0.09,0.12,0.05,,,,0.17,0.18
04/25,0.2,0.23,0.12,0.12,,0.22,0.07,,0.18,0.12,0.16,0.06,,,,0.22,0.23
04/26,0.25,0.29,0.16,0.15,,0.28,0.09,,0.23,0.15,0.2,0.08,,,,0.27,0.29
04/27,0.22,0.26,0.15,0.13,,0.25,0.08,,0.21,0.13,0.18,0.07,,,,0.25,0.26
04/28,0.22,0.26,0.16,0.13,,0.25,0.08,,0.21,0.13,0.18,0.07,,,,0.25,0.26
04/29,0.23,0.27,0.17,0.14,,0.26,0.09,,0.22,0.14,0.18,0.08,,,,0.26,0.27
04/30,0.32,0.38,0.25,0.2,,0.37,0.13,,0.3,0.19,0.26,0.11,,,,0.37,0.38
05/01,0.24,0.28,0.19,0.15,,0.27,0.1,,0.22,0.14,0.19,0.08,,0.08,,0.27,0.28
05/02,0.16,0.19,0.13,0.1,,0.18,0.07,,0.15,0.1,0.13,0.06,,0.06,,0.19,0.19
05/03,0.24,0.28,0.2,0.15,,0.27,0.1,,0.22,0.14,0.19,0.09,,0.09,,0.27,0.28
05/04,0.23,0.27,0.2,0.14,,0.26,0.1,,0.22,0.14,0.18,0.09,,0.09,,0.27,0.27
05/05,0.13,0.15,0.11,0.08,,0.15,0.06,,0.12,0.08,0.1,0.05,,0.05,0.05,0.15,0.15
05/06,0.2,0.23,0.18,0.12,,0.22,0.09,,0.18,0.12,0.16,0.09,,0.08,0.07,0.23,0.23
05/07,0.17,0.2,0.16,0.11,,0.19,0.08,,0.16,0.1,0.14,0.08,,0.07,0.06,0.2,0.2
05/08,0.13,0.15,0.12,0.08,,0.14,0.07,,0.12,0.08,0.1,0.06,,0.06,0.05,0.15,0.15
05/09,0.14,0.16,0.13,0.09,,0.15,0.07,,0.13,0.08,0.11,0.07,,0.06,0.05,0.16,0.16
05/10,0.2,0.23,0.19,0.13,,0.22,0.11,,0.18,0.12,0.16,0.11,,0.1,0.07,0.23,0.23
05/11,0.24,0.28,0.24,0.15,,0.27,0.13,,0.22,0.15,0.19,0.13,,0.13,0.08,0.28,0.28
05/12,0.23,0.27,0.23,0.15,,0.26,0.13,,0.22,0.15,0.18,0.14,,0.13,0.08,0.27,0.27
05/13,0.26,0.31,0.27,0.17,,0.3,0.15,,0.25,0.17,0.21,0.16,,0.16,0.09,0.31,0.31
05/14,0.25,0.29,0.25,0.16,,0.28,0.15,,0.23,0.16,0.2,0.16,,0.16,0.09,0.29,0.29
05/15,0.31,0.37,0.33,0.21,,0.35,0.19,0.11,0.3,0.21,0.25,0.21,0.11,0.22,0.11,0.37,0.37
05/16,0.26,0.3,0.27,0.17,,0.29,0.16,0.09,0.24,0.18,0.2,0.18,0.09,0.19,0.09,0.3,0.3
05/17,0.2,0.23,0.21,0.13,,0.22,0.12,0.07,0.18,0.14,0.16,0.15,0.07,0.16,0.07,0.23,0.23
05/18,0.23,0.27,0.25,0.15,,0.26,0.15,0.08,0.22,0.17,0.18,0.18,0.08,0.19,0.08,0.27,0.27
05/19,0.29,0.34,0.32,0.2,,0.32,0.19,0.1,0.27,0.22,0.23,0.24,0.1,0.25,0.11,0.34,0.34
05/20,0.3,0.35,0.33,0.2,0.07,0.33,0.2,0.11,0.28,0.23,0.24,0.26,0.11,0.27,0.11,0.35,0.35
05/21,0.28,0.33,0.31,0.19,0.07,0.31,0.19,0.1,0.26,0.22,0.22,0.26,0.1,0.26,0.11,0.33,0.33
05/22,0.31,0.36,0.34,0.21,0.08,0.34,0.21,0.11,0.29,0.24,0.24,0.29,0.11,0.3,0.12,0.36,0.36
05/23,0.24,0.28,0.27,0.16,0.06,0.26,0.17,0.09,0.22,0.19,0.19,0.23,0.09,0.24,0.09,0.28,0.28
05/24,0.26,0.3,0.29,0.18,0.07,0.28,0.18,0.09,0.24,0.21,0.2,0.26,0.1,0.26,0.1,0.3,0.3
05/25,0.24,0.28,0.27,0.16,0.06,0.26,0.17,0.09,0.22,0.2,0.19,0.25,0.1,0.25,0.09,0.28,0.28
05/26,0.25,0.29,0.28,0.17,0.07,0.27,0.18,0.09,0.23,0.21,0.2,0.26,0.1,0.26,0.1,0.29,0.29
05/27,0.24,0.28,0.27,0.17,0.07,0.26,0.18,0.09,0.22,0.21,0.19,0.26,0.1,0.25,0.1,0.28,0.28
05/28,0.28,0.33,0.31,0.2,0.08,0.3,0.22,0.11,0.26,0.25,0.22,0.31,0.12,0.3,0.12,0.33,0.33
05/29,0.3,0.35,0.33,0.21,0.09,0.32,0.23,0.11,0.28,0.27,0.24,0.34,0.13,0.32,0.13,0.35,0.35
05/30,0.34,0.4,0.38,0.24,0.11,0.36,0.27,0.13,0.32,0.31,0.27,0.39,0.15,0.37,0.15,0.4,0.4
05/31,0.29,0.34,0.32,0.21,0.1,0.3,0.23,0.11,0.27,0.27,0.23,0.34,0.13,0.31,0.13,0.34,0.34
06/01,0.26,0.3,0.29,0.18,0.09,0.26,0.21,0.1,0.24,0.24,0.2,0.3,0.12,0.28,0.11,0.3,0.3
06/02,0.28,0.33,0.31,0.21,0.1,0.29,0.23,0.11,0.26,0.27,0.22,0.33,0.14,0.3,0.13,0.33,0.33
06/03,0.3,0.35,0.33,0.22,0.11,0.3,0.25,0.12,0.28,0.29,0.24,0.35,0.15,0.32,0.14,0.35,0.35
06/04,0.29,0.34,0.32,0.22,0.12,0.29,0.24,0.12,0.27,0.29,0.23,0.34,0.16,0.31,0.14,0.34,0.34
06/05,0.28,0.33,0.31,0.21,0.12,0.27,0.24,0.12,0.26,0.29,0.22,0.33,0.16,0.3,0.13,0.33,0.33
06/06,0.29,0.34,0.32,0.22,0.13,0.28,0.25,0.12,0.27,0.3,0.23,0.34,0.17,0.31,0.14,0.34,0.34
06/07,0.26,0.31,0.3,0.21,0.13,0.25,0.23,0.12,0.25,0.28,0.21,0.31,0.16,0.29,0.14,0.31,0.31
06/08,0.22,0.26,0.25,0.17,0.11,0.2,0.2,0.1,0.21,0.24,0.18,0.26,0.14,0.24,0.12,0.26,0.26
06/09,0.19,0.22,0.21,0.15,0.1,0.16,0.17,0.09,0.18,0.2,0.15,0.22,0.12,0.2,0.1,0.22,0.22
06/10,0.22,0.26,0.25,0.18,0.13,0.17,0.2,0.1,0.21,0.24,0.18,0.25,0.15,0.24,0.13,0.26,0.26
06/11,0.23,0.27,0.26,0.19,0.14,0.17,0.21,0.11,0.22,0.26,0.18,0.25,0.16,0.25,0.13,0.27,0.27
06/12,0.29,0.34,0.33,0.24,0.19,0.19,0.27,0.15,0.27,0.32,0.23,0.31,0.2,0.31,0.17,0.34,0.34
06/13,0.38,0.45,0.43,0.32,0.26,0.24,0.36,0.2,0.36,0.43,0.31,0.39,0.28,0.41,0.23,0.45,0.45
06/14,0.33,0.39,0.37,0.28,0.24,0.19,0.32,0.18,0.31,0.38,0.27,0.33,0.25,0.36,0.21,0.39,0.39
06/15,0.27,0.32,0.31,0.23,0.2,0.15,0.27,0.15,0.26,0.31,0.22,0.25,0.21,0.29,0.17,0.32,0.31
06/16,0.26,0.3,0.29,0.22,0.2,0.13,0.25,0.15,0.24,0.29,0.2,0.23,0.2,0.28,0.17,0.3,0.29
06/17,0.31,0.36,0.35,0.27,0.25,0.15,0.3,0.18,0.29,0.35,0.24,0.26,0.25,0.33,0.2,0.36,0.35
