# Station Code,mnpi
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:35
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,FCRN,HAYM,HAYP,LAWN,PAST,POTA,SGRN,WGRN,WGRP
03/21,,,,,,,,,,0.015,
03/22,,,,,,,,,,0.015,
03/23,,,,,,,,,,0.025,
03/24,,,,,,,,,,0.02,
03/25,,,,,,,0.02,,,0.02,
03/26,,,,,,,0.02,,,0.03,
03/27,,,,,,,0.02,,,0.03,
03/28,,,,,,,0.02,,,0.03,
03/29,,,,,,,0.02,,,0.03,
03/30,,,,,,,0.025,,,0.035,
03/31,,,,,,,0.02,,,0.035,
04/01,0.01,0.01,,,,0.01,0.02,,,0.027,
04/02,0.01,0.01,,,,0.01,0.02,,,0.027,
04/03,0.01,0.01,,,,0.01,0.025,,,0.037,
04/04,0.02,0.02,,,,0.02,0.035,,,0.043,
04/05,0.015,0.015,,0.063,0.063,0.02,0.033,,,0.047,
04/06,0.015,0.015,,0.057,0.057,0.023,0.03,,,0.03,
04/07,0.02,0.02,,0.07,0.07,0.027,0.037,,,0.044,
04/08,0.03,0.03,,0.093,0.093,0.047,0.05,,,0.066,
04/09,0.03,0.03,,0.09,0.09,0.05,0.047,,,0.06,
04/10,0.03,0.03,,0.092,0.092,0.042,0.046,,,0.064,0.02
04/11,0.027,0.027,,0.072,0.072,0.034,0.036,,,0.054,0.01
04/12,0.03,0.03,,0.066,0.066,0.038,0.032,,,0.052,0.01
04/13,0.03,0.03,,0.078,0.078,0.042,0.042,,,0.06,0.01
04/14,0.023,0.023,,0.058,0.058,0.032,0.03,,,0.044,0.01
04/15,0.022,0.022,,0.058,0.058,0.038,0.032,,0.013,0.05,0.01
04/16,0.032,0.032,,0.088,0.088,0.054,0.046,,0.02,0.072,0.02
04/17,0.036,0.036,,0.083,0.083,0.062,0.048,,0.02,0.07,0.02
04/18,0.054,0.054,,0.105,0.105,0.088,0.066,,0.03,0.098,0.01
04/19,0.054,0.054,,0.11,0.11,0.092,0.064,,0.03,0.098,0.02
04/20,0.064,0.064,,0.12,0.12,0.09,0.068,,0.03,0.098,0.02
04/21,0.062,0.062,,0.123,0.123,0.093,0.068,,0.033,0.1,0.02
04/22,0.062,0.062,,0.113,0.113,0.087,0.063,,0.027,0.09,0.02
04/23,0.066,0.066,,0.113,0.113,0.088,0.067,,0.027,0.095,0.02
04/24,0.072,0.072,,0.113,0.113,0.092,0.067,,0.033,0.098,0.02
04/25,0.068,0.068,,0.113,0.113,0.093,0.068,,0.033,0.1,0.02
04/26,0.077,0.077,,0.125,0.125,0.105,0.077,,0.04,0.11,0.03
04/27,0.092,0.092,,0.148,0.148,0.123,0.09,,0.043,0.132,0.04
04/28,0.105,0.105,,0.172,0.172,0.143,0.103,,0.047,0.152,0.03
04/29,0.09,0.09,,0.14,0.14,0.118,0.088,,0.04,0.125,0.03
04/30,0.082,0.082,,0.122,0.122,0.105,0.075,,0.04,0.108,0.04
05/01,0.085,0.085,,0.13,0.13,0.112,0.082,,0.038,0.115,0.04
05/02,0.09,0.09,,0.123,0.123,0.107,0.078,,0.04,0.112,0.04
05/03,0.102,0.103,,0.142,0.142,0.122,0.092,,0.044,0.132,0.05
05/04,0.115,0.118,,0.153,0.153,0.135,0.102,,0.056,0.147,0.05
05/05,0.12,0.122,,0.157,0.157,0.138,0.105,,0.06,0.15,0.06
05/06,0.157,0.158,,0.197,0.197,0.172,0.13,,0.078,0.19,0.05
05/07,0.14,0.143,,0.178,0.178,0.158,0.12,,0.07,0.172,0.06
05/08,0.123,0.127,,0.157,0.157,0.138,0.107,,0.064,0.152,0.06
05/09,0.118,0.12,,0.147,0.147,0.132,0.102,,0.058,0.143,0.07
05/10,0.143,0.15,,0.177,0.177,0.152,0.12,0.07,0.075,0.17,0.11
05/11,0.142,0.15,,0.168,0.168,0.147,0.115,0.07,0.085,0.167,0.1
05/12,0.148,0.158,,0.178,0.18,0.153,0.123,0.07,0.09,0.177,0.09
05/13,0.13,0.14,,0.155,0.155,0.133,0.108,0.03,0.077,0.155,0.08
05/14,0.147,0.158,,0.173,0.173,0.147,0.118,0.04,0.087,0.173,0.07
05/15,0.147,0.157,,0.173,0.173,0.148,0.12,0.04,0.092,0.172,0.1
05/16,0.177,0.192,,0.207,0.21,0.178,0.145,0.05,0.113,0.208,0.13
05/17,0.152,0.167,,0.178,0.178,0.152,0.125,0.07,0.102,0.18,0.1
05/18,0.167,0.182,,0.19,0.192,0.16,0.133,0.09,0.117,0.193,0.09
05/19,0.16,0.173,,0.182,0.185,0.157,0.128,0.1,0.112,0.187,0.12
05/20,0.148,0.162,0.05,0.17,0.175,0.148,0.12,0.04,0.098,0.175,0.14
05/21,0.135,0.15,0.04,0.152,0.153,0.13,0.108,0.05,0.1,0.157,0.14
05/22,0.142,0.153,0.05,0.157,0.16,0.132,0.11,0.05,0.102,0.16,0.15
05/23,0.12,0.132,0.03,0.137,0.137,0.115,0.097,0.045,0.088,0.14,0.14
05/24,0.14,0.155,0.05,0.153,0.155,0.132,0.11,0.055,0.112,0.162,0.1
05/25,0.163,0.187,0.06,0.185,0.185,0.155,0.132,0.07,0.143,0.193,0.12
05/26,0.173,0.202,0.06,0.197,0.197,0.165,0.142,0.075,0.16,0.205,0.1
05/27,0.17,0.198,0.07,0.193,0.193,0.162,0.137,0.085,0.157,0.2,0.1
05/28,0.137,0.158,0.08,0.153,0.153,0.128,0.11,0.065,0.127,0.16,0.1
05/29,0.15,0.173,0.09,0.168,0.168,0.142,0.118,0.07,0.145,0.175,0.11
05/30,0.178,0.207,0.1,0.198,0.2,0.167,0.142,0.075,0.173,0.207,0.13
05/31,0.188,0.217,0.09,0.208,0.208,0.173,0.15,0.08,0.182,0.217,0.14
06/01,0.187,0.22,0.08,0.21,0.212,0.177,0.15,0.083,0.192,0.22,0.12
06/02,0.177,0.207,0.075,0.198,0.198,0.165,0.14,0.085,0.187,0.207,0.07
06/03,0.185,0.218,0.07,0.208,0.208,0.175,0.15,0.085,0.197,0.218,0.11
06/04,0.19,0.223,0.065,0.213,0.213,0.178,0.153,0.083,0.202,0.223,0.12
06/05,0.208,0.243,0.08,0.232,0.235,0.193,0.165,0.083,0.223,0.243,0.14
06/06,0.202,0.237,0.072,0.225,0.227,0.19,0.16,0.08,0.218,0.237,0.15
