# Station Code,mnti
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:35
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,POTA,SGRN,WGRN
02/21,,,,,,,0.02
02/22,,,,,,,0.03
02/23,,,,,,,0.02
02/24,,,0.01,0.02,,,0.02
02/25,,,0.02,0.03,,,0.03
02/26,,,0.01,0.02,,,0.03
02/27,,,0.01,0.01,,,0.02
02/28,,,0.02,0.03,,,0.04
03/01,,,0.01,0.02,,,0.03
03/02,,,0.02,0.03,,,0.04
03/03,,,0.02,0.03,,,0.05
03/04,,,0.02,0.02,,,0.04
03/05,,,0.02,0.02,,,0.04
03/06,,,0.03,0.035,,,0.07
03/07,,,0.03,0.025,,,0.05
03/08,,,0.04,0.03,,,0.07
03/09,,,0.05,0.035,,,0.07
03/10,0.02,0.02,0.06,0.04,,,0.08
03/11,0.02,0.02,0.06,0.045,,,0.08
03/12,0.02,0.02,0.07,0.04,,,0.09
03/13,0.02,0.02,0.06,0.035,,,0.08
03/14,0.04,0.04,0.1,0.055,,,0.13
03/15,0.035,0.035,0.13,0.075,,,0.105
03/16,0.025,0.025,0.045,0.04,,,0.05
03/17,0.035,0.035,0.05,0.05,,,0.063
03/18,0.03,0.03,0.055,0.04,,,0.053
03/19,0.035,0.035,0.05,0.05,,,0.057
03/20,0.037,0.037,0.045,0.053,,,0.056
03/21,0.037,0.037,0.045,0.04,,,0.048
03/22,0.03,0.03,0.04,0.038,,,0.043
03/23,0.037,0.037,0.045,0.046,,,0.05
03/24,0.033,0.033,0.045,0.042,,,0.053
03/25,0.04,0.04,0.042,0.046,,,0.062
03/26,0.045,0.045,0.052,0.047,,,0.07
03/27,0.043,0.043,0.053,0.046,,,0.068
03/28,0.06,0.06,0.07,0.056,,,0.09
03/29,0.05,0.05,0.062,0.05,,,0.075
03/30,0.068,0.068,0.082,0.061,,,0.09
03/31,0.087,0.087,0.098,0.069,,,0.108
04/01,0.044,0.044,0.072,0.054,,,0.073
04/02,0.043,0.043,0.07,0.056,,,0.06
04/03,0.049,0.049,0.085,0.06,,,0.071
04/04,0.054,0.054,0.095,0.064,,,0.082
04/05,0.06,0.06,0.068,0.057,,0.025,0.078
04/06,0.064,0.064,0.066,0.054,,0.025,0.081
04/07,0.07,0.07,0.078,0.062,,0.035,0.093
04/08,0.087,0.087,0.094,0.073,,0.045,0.112
04/09,0.089,0.089,0.091,0.075,,0.05,0.109
04/10,0.065,0.065,0.088,0.078,,0.04,0.108
04/11,0.072,0.072,0.092,0.077,,0.045,0.11
04/12,0.068,0.068,0.093,0.078,,0.035,0.107
04/13,0.077,0.077,0.107,0.086,,0.03,0.122
04/14,0.071,0.071,0.098,0.078,,0.035,0.109
04/15,0.064,0.065,0.093,0.073,,0.025,0.097
04/16,0.085,0.086,0.118,0.09,,0.035,0.122
04/17,0.099,0.099,0.137,0.104,,0.042,0.141
04/18,0.115,0.116,0.147,0.113,,0.058,0.149
04/19,0.108,0.109,0.141,0.105,,0.053,0.143
04/20,0.117,0.117,0.149,0.111,,0.054,0.152
