# Station Code,moim
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:35
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,PEAS,POTA,SGRN,WGRN
03/10,,,,,,,,0.02
03/11,,,,,,,,0.02
03/12,,,,,,,,0.03
03/13,,,,,,,,0.02
03/14,,,,,,,,0.02
03/15,,,0.015,0.02,,,,0.025
03/16,,,0.015,0.025,,,,0.035
03/17,,,0.015,0.025,,,,0.035
03/18,,,0.02,0.025,,,,0.04
03/19,,,0.015,0.025,,,,0.035
03/20,0.025,0.025,0.03,0.04,,,,0.055
03/21,0.02,0.02,0.035,0.035,,,,0.043
03/22,0.015,0.015,0.035,0.035,,,,0.04
03/23,0.025,0.025,0.055,0.045,,,,0.05
03/24,0.03,0.03,0.065,0.05,,,,0.057
03/25,0.015,0.015,0.027,0.023,,,,0.033
03/26,0.02,0.02,0.043,0.037,,,,0.057
03/27,0.025,0.025,0.05,0.04,,,,0.06
03/28,0.025,0.025,0.043,0.04,,,,0.06
03/29,0.03,0.03,0.05,0.04,,,,0.067
03/30,0.04,0.04,0.057,0.047,,,,0.07
03/31,0.045,0.045,0.067,0.05,,,,0.077
04/01,0.033,0.033,0.06,0.047,,,,0.055
04/02,0.037,0.037,0.067,0.047,,,,0.06
04/03,0.037,0.037,0.067,0.043,,,,0.053
04/04,0.05,0.05,0.09,0.063,,,,0.077
04/05,0.05,0.05,0.065,0.05,,,,0.07
04/06,0.063,0.063,0.08,0.058,,,,0.087
04/07,0.07,0.07,0.087,0.062,,,,0.095
04/08,0.09,0.09,0.108,0.08,,,,0.118
04/09,0.077,0.077,0.09,0.07,,,,0.105
04/10,0.055,0.055,0.083,0.06,0.02,,0.025,0.092
04/11,0.05,0.05,0.075,0.055,0.02,,0.025,0.083
04/12,0.058,0.058,0.077,0.057,0.03,,0.025,0.08
04/13,0.058,0.058,0.087,0.06,0.03,,0.02,0.087
04/14,0.072,0.072,0.098,0.07,0.03,,0.025,0.105
04/15,0.062,0.062,0.085,0.062,0.025,,0.027,0.09
04/16,0.062,0.062,0.092,0.065,0.02,,0.023,0.098
04/17,0.077,0.077,0.1,0.07,0.025,,0.027,0.107
04/18,0.085,0.085,0.11,0.08,0.035,,0.033,0.118
04/19,0.095,0.095,0.12,0.09,0.03,,0.03,0.13
