# Station Code,mwso
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:36
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,BLGR,FCRN,HAYM,HAYP,LAWN,PAST,SGRN,SOYB,WGRN
02/16,,,,,,,,,,,0.01
02/17,,,,,,,,,,,0.02
02/18,,,,,,,,,,,0.02
02/19,,,,,,,,,,,0.03
02/20,,,,,,,,,,,0.02
02/21,,,,,,,,,,,0.01
02/22,,,,,,,,,,,0.03
02/23,,,,,,,,,,,0.02
02/24,,,,,,,,,,,0.03
02/25,0.01,0.01,0.03,,0.05,0.05,0.01,0.02,,,0.04
02/26,0.01,0.01,0.01,,0.02,0.02,0.01,0.01,,,0.02
02/27,0.01,0.01,0.03,,0.05,0.05,0.01,0.02,,,0.04
02/28,0.03,0.03,0.05,,0.1,0.1,0.03,0.04,,,0.08
02/29,0.01,0.01,0.03,,0.05,0.05,0.02,0.02,,,0.04
03/01,0.03,0.03,0.05,,0.1,0.1,0.03,0.04,,,0.06
03/02,0.02,0.02,0.04,,0.07,0.07,0.03,0.03,,,0.03
03/03,0.02,0.02,0.04,,0.08,0.08,0.04,0.03,,,0.04
03/04,0.02,0.02,0.03,,0.06,0.06,0.03,0.03,,,0.033
03/05,0.02,0.02,0.033,,0.063,0.063,0.023,0.03,,,0.037
03/06,0.05,0.05,0.04,,0.077,0.077,0.037,0.037,,,0.053
03/07,0.03,0.03,0.047,,0.077,0.077,0.03,0.037,,,0.053
03/08,0.01,0.01,0.027,,0.05,0.05,0.017,0.023,,,0.037
03/09,0.02,0.02,0.023,,0.047,0.047,0.02,0.02,,,0.03
03/10,0.03,0.03,0.047,,0.083,0.083,0.043,0.04,,,0.063
03/11,0.02,0.02,0.034,,0.067,0.067,0.033,0.03,,,0.035
03/12,0.037,0.037,0.05,,0.103,0.103,0.06,0.047,,,0.05
03/13,0.03,0.03,0.044,,0.083,0.083,0.053,0.043,,,0.042
03/14,0.027,0.027,0.032,,0.063,0.063,0.047,0.033,,,0.043
03/15,0.02,0.02,0.04,,0.063,0.061,0.03,0.028,,,0.043
03/16,0.03,0.03,0.04,,0.062,0.06,0.033,0.03,,,0.043
03/17,0.037,0.037,0.046,,0.067,0.067,0.038,0.032,,,0.05
03/18,0.04,0.04,0.056,,0.083,0.08,0.043,0.04,,,0.062
03/19,0.057,0.057,0.066,,0.09,0.086,0.052,0.045,,,0.07
03/20,0.024,0.024,0.05,,0.073,0.073,0.042,0.037,,,0.046
03/21,0.027,0.027,0.062,,0.078,0.074,0.048,0.04,,,0.05
03/22,0.036,0.036,0.076,,0.092,0.087,0.067,0.052,,,0.065
03/23,0.043,0.043,0.082,,0.1,0.091,0.075,0.055,,,0.07
03/24,0.05,0.05,0.094,,0.112,0.106,0.085,0.06,,,0.076
03/25,0.043,0.043,0.073,,0.089,0.091,0.06,0.048,,,0.071
03/26,0.047,0.047,0.082,,0.089,0.09,0.061,0.046,,,0.071
03/27,0.046,0.046,0.07,,0.085,0.086,0.06,0.044,,,0.073
03/28,0.06,0.06,0.09,,0.111,0.114,0.072,0.056,,,0.09
03/29,0.067,0.067,0.097,,0.109,0.111,0.077,0.061,,,0.095
03/30,0.066,0.066,0.093,,0.105,0.107,0.079,0.06,,,0.089
03/31,0.067,0.067,0.098,,0.106,0.107,0.08,0.059,,,0.09
04/01,0.066,0.068,0.103,,0.115,0.116,0.089,0.066,,,0.101
04/02,0.072,0.072,0.095,,0.115,0.116,0.09,0.065,,,0.105
04/03,0.069,0.07,0.107,,0.111,0.111,0.09,0.065,,,0.1
04/04,0.072,0.074,0.112,,0.109,0.11,0.091,0.065,,,0.099
04/05,0.068,0.069,0.102,,0.098,0.098,0.079,0.059,,,0.09
04/06,0.081,0.084,0.113,,0.114,0.114,0.096,0.07,,,0.109
04/07,0.113,0.115,0.138,,0.155,0.155,0.13,0.094,,,0.149
04/08,0.107,0.11,0.133,,0.144,0.144,0.122,0.09,,,0.141
04/09,0.106,0.11,0.143,,0.143,0.143,0.121,0.09,,,0.138
04/10,0.116,0.121,0.124,,0.149,0.149,0.129,0.095,,,0.144
04/11,0.105,0.11,0.119,,0.133,0.133,0.114,0.086,,,0.13
04/12,0.104,0.107,0.116,,0.134,0.134,0.115,0.087,,,0.129
04/13,0.104,0.109,0.115,,0.136,0.135,0.116,0.088,,,0.133
04/14,0.121,0.126,0.136,,0.152,0.152,0.131,0.1,,,0.15
04/15,0.116,0.121,0.131,,0.143,0.143,0.122,0.098,,,0.142
04/16,0.129,0.135,0.143,,0.158,0.158,0.136,0.105,,,0.155
04/17,0.131,0.138,0.147,,0.156,0.156,0.136,0.109,,,0.156
04/18,0.138,0.145,0.154,,0.164,0.164,0.14,0.113,,,0.164
04/19,0.139,0.146,0.156,,0.163,0.165,0.141,0.114,,,0.164
04/20,0.136,0.144,0.146,,0.156,0.156,0.131,0.109,,,0.159
04/21,0.159,0.171,0.174,,0.184,0.184,0.156,0.128,,,0.185
04/22,0.147,0.158,0.165,,0.169,0.17,0.146,0.117,,,0.171
04/23,0.171,0.185,0.191,,0.196,0.196,0.165,0.139,,,0.199
04/24,0.158,0.173,0.175,,0.18,0.18,0.152,0.126,,,0.184
04/25,0.149,0.161,0.166,,0.168,0.169,0.143,0.118,,,0.171
04/26,0.203,0.22,0.225,,0.226,0.228,0.189,0.159,,,0.234
04/27,0.203,0.225,0.231,,0.228,0.23,0.194,0.159,,,0.236
04/28,0.171,0.193,0.196,,0.194,0.194,0.165,0.138,,,0.201
04/29,0.186,0.209,0.211,,0.208,0.21,0.176,0.149,,,0.217
04/30,0.189,0.212,0.214,,0.212,0.212,0.179,0.151,,,0.221
05/01,0.158,0.182,0.179,,0.175,0.176,0.146,0.124,,,0.182
05/02,0.181,0.211,0.205,,0.204,0.204,0.17,0.144,,,0.212
05/03,0.195,0.226,0.221,,0.22,0.22,0.185,0.155,,,0.228
05/04,0.189,0.22,0.212,,0.212,0.212,0.177,0.151,,,0.22
05/05,0.193,0.224,0.216,,0.214,0.215,0.181,0.154,,,0.224
05/06,0.191,0.225,0.217,,0.215,0.217,0.181,0.155,,,0.226
05/07,0.199,0.231,0.224,,0.219,0.223,0.186,0.16,,,0.233
05/08,0.195,0.23,0.221,,0.216,0.22,0.184,0.156,,,0.23
05/09,0.221,0.258,0.246,,0.244,0.247,0.206,0.175,,,0.258
05/10,0.21,0.246,0.236,,0.232,0.236,0.196,0.169,,,0.246
05/11,0.195,0.229,0.22,,0.215,0.219,0.182,0.156,,,0.229
05/12,0.198,0.233,0.221,,0.216,0.223,0.185,0.158,,,0.233
05/13,0.209,0.245,0.234,,0.229,0.235,0.195,0.166,,,0.245
05/14,0.191,0.224,0.214,,0.207,0.215,0.18,0.151,,,0.224
05/15,0.181,0.214,0.205,0.08,0.201,0.205,0.173,0.144,0.044,,0.214
05/16,0.199,0.235,0.224,0.08,0.217,0.225,0.188,0.161,0.05,,0.235
05/17,0.22,0.259,0.246,0.06,0.24,0.247,0.206,0.175,0.053,,0.259
05/18,0.206,0.242,0.23,0.08,0.224,0.231,0.195,0.166,0.049,,0.242
05/19,0.181,0.212,0.201,0.07,0.196,0.204,0.17,0.144,0.046,,0.212
05/20,0.196,0.231,0.221,0.06,0.212,0.223,0.186,0.156,0.049,,0.231
05/21,0.184,0.216,0.208,0.06,0.198,0.208,0.173,0.146,0.044,,0.216
05/22,0.193,0.226,0.215,0.06,0.205,0.216,0.18,0.154,0.053,,0.226
05/23,0.23,0.271,0.255,0.09,0.246,0.26,0.216,0.184,0.066,,0.271
05/24,0.22,0.258,0.241,0.07,0.234,0.247,0.205,0.175,0.066,,0.258
05/25,0.189,0.219,0.204,0.07,0.196,0.209,0.176,0.15,0.056,,0.219
05/26,0.215,0.254,0.234,0.083,0.225,0.242,0.204,0.172,0.074,,0.254
05/27,0.226,0.266,0.244,0.077,0.236,0.254,0.212,0.18,0.09,,0.266
05/28,0.247,0.29,0.265,0.085,0.256,0.275,0.23,0.196,0.109,,0.29
05/29,0.26,0.306,0.28,0.095,0.27,0.291,0.245,0.208,0.128,,0.306
05/30,0.231,0.273,0.245,0.075,0.238,0.261,0.219,0.185,0.131,,0.273
05/31,0.24,0.28,0.25,0.08,0.244,0.268,0.225,0.189,0.146,,0.28
06/01,0.245,0.286,0.253,0.088,0.249,0.274,0.228,0.194,0.161,0.028,0.286
06/02,0.246,0.29,0.251,0.084,0.25,0.275,0.231,0.198,0.171,0.028,0.29
06/03,0.269,0.315,0.27,0.09,0.269,0.3,0.251,0.212,0.195,0.035,0.315
06/04,0.269,0.316,0.266,0.098,0.269,0.297,0.253,0.214,0.215,0.04,0.316
06/05,0.241,0.281,0.231,0.087,0.237,0.265,0.225,0.191,0.2,0.033,0.281
06/06,0.249,0.292,0.236,0.091,0.246,0.276,0.236,0.198,0.224,0.031,0.292
06/07,0.235,0.276,0.219,0.088,0.229,0.26,0.223,0.186,0.223,0.027,0.275
06/08,0.212,0.25,0.19,0.08,0.209,0.235,0.2,0.171,0.206,0.021,0.249
