# Station Code,nopo
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:36
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,BEAN,FCRN,LAWN,PAST,POTA,PPMT,SGRN,WGRN
04/20,,,,,0.02,0.03,,,,0.03
04/21,,,,,0.02,0.03,,,,0.02
04/22,,,,,0.02,0.03,,,,0.03
04/23,,,,,0.01,0.01,,,,0.01
04/24,,,,,0.02,0.03,,,,0.04
04/25,0.03,0.03,,,0.05,0.06,,,,0.07
04/26,0.03,0.03,,,0.06,0.06,,,,0.07
04/27,0.04,0.04,,,0.09,0.08,,,,0.09
04/28,0.05,0.05,,,0.12,0.09,,,,0.11
04/29,0.05,0.05,,,0.14,0.1,,,,0.12
04/30,0.06,0.06,,,0.15,0.11,,,,0.14
05/01,0.06,0.06,,,0.15,0.1,,,,0.13
05/02,0.06,0.06,,,0.12,0.08,,,,0.11
05/03,0.08,0.08,,,0.16,0.11,,,,0.14
05/04,0.07,0.07,,,0.14,0.09,,,,0.12
05/05,0.02,0.02,,,0.04,0.03,,,,0.03
05/06,0.05,0.05,,,0.08,0.05,,,,0.07
05/07,0.04,0.04,,,0.07,0.05,,,,0.06
05/08,0.05,0.05,,,0.07,0.05,,,,0.06
05/09,0.05,0.05,,,0.07,0.05,,,,0.06
05/10,0.08,0.08,,,0.12,0.08,,,0.03,0.11
05/11,0.12,0.12,,,0.17,0.11,,,0.04,0.15
05/12,0.14,0.14,,,0.18,0.13,,,0.05,0.17
05/13,0.18,0.18,,,0.22,0.16,,,0.06,0.21
05/14,0.14,0.14,,,0.17,0.13,,,0.04,0.16
05/15,0.13,0.13,,,0.16,0.12,,,0.04,0.15
05/16,0.09,0.09,,,0.11,0.08,,,0.03,0.11
05/17,0.12,0.12,,,0.14,0.11,,,0.04,0.14
05/18,0.13,0.13,,,0.15,0.12,,,0.04,0.15
05/19,0.13,0.13,,,0.14,0.11,,,0.04,0.15
05/20,0.17,0.17,,,0.18,0.14,,,0.06,0.2
05/21,0.19,0.19,,,0.2,0.16,,,0.06,0.22
05/22,0.2,0.2,,,0.21,0.17,,,0.07,0.23
05/23,0.17,0.17,,,0.17,0.14,,,0.06,0.19
05/24,0.21,0.21,,,0.21,0.17,,,0.08,0.24
05/25,0.19,0.2,,,0.19,0.16,,0.04,0.08,0.22
05/26,0.17,0.18,,,0.17,0.14,,0.03,0.08,0.2
05/27,0.12,0.13,,,0.12,0.1,,0.02,0.06,0.14
05/28,0.14,0.15,,,0.14,0.11,,0.03,0.08,0.16
05/29,0.18,0.19,,,0.17,0.14,,0.04,0.11,0.2
05/30,0.2,0.22,,,0.19,0.16,,0.04,0.13,0.23
05/31,0.24,0.26,,,0.22,0.19,,0.05,0.16,0.27
06/01,0.24,0.27,,,0.22,0.19,,0.05,0.17,0.27
06/02,0.26,0.29,,,0.24,0.2,,0.06,0.2,0.29
06/03,0.26,0.3,,,0.24,0.2,,0.06,0.21,0.29
06/04,0.25,0.29,,,0.23,0.2,,0.06,0.21,0.29
06/05,0.24,0.28,,,0.22,0.19,,0.06,0.21,0.28
06/06,0.25,0.29,,,0.23,0.2,,0.07,0.23,0.29
06/07,0.26,0.31,,,0.25,0.21,,0.08,0.25,0.31
06/08,0.14,0.16,,,0.13,0.11,,0.04,0.13,0.16
06/09,0.05,0.06,,,0.05,0.04,,0.02,0.05,0.06
06/10,0.2,0.23,0.05,0.07,0.18,0.16,,0.07,0.2,0.23
06/11,0.2,0.24,0.05,0.07,0.19,0.16,,0.08,0.21,0.24
06/12,0.23,0.27,0.06,0.08,0.22,0.18,,0.09,0.24,0.27
06/13,0.19,0.22,0.05,0.07,0.18,0.15,,0.08,0.2,0.22
06/14,0.23,0.27,0.06,0.08,0.22,0.18,,0.1,0.25,0.27
06/15,0.22,0.26,0.06,0.08,0.21,0.18,0.08,0.1,0.25,0.26
06/16,0.25,0.29,0.06,0.09,0.23,0.2,0.09,0.12,0.28,0.29
06/17,0.17,0.2,0.05,0.06,0.16,0.14,0.06,0.09,0.19,0.2
06/18,0.18,0.21,0.05,0.06,0.17,0.14,0.06,0.1,0.2,0.21
06/19,0.1,0.12,0.03,0.04,0.1,0.08,0.04,0.06,0.12,0.12
06/20,0.12,0.14,0.03,0.04,0.11,0.1,0.04,0.07,0.14,0.14
06/21,0.18,0.21,0.05,0.07,0.17,0.14,0.06,0.11,0.21,0.21
06/22,0.2,0.24,0.06,0.08,0.19,0.16,0.08,0.13,0.24,0.24
06/23,0.26,0.31,0.08,0.1,0.25,0.21,0.1,0.17,0.31,0.31
06/24,0.19,0.22,0.06,0.07,0.18,0.15,0.07,0.13,0.22,0.22
06/25,0.14,0.17,0.05,0.06,0.14,0.12,0.06,0.1,0.17,0.17
06/26,0.2,0.23,0.07,0.08,0.18,0.16,0.08,0.14,0.23,0.23
06/27,0.12,0.14,0.04,0.05,0.11,0.1,0.05,0.09,0.14,0.14
06/28,0.15,0.18,0.06,0.06,0.14,0.12,0.07,0.12,0.18,0.18
06/29,0.2,0.23,0.07,0.08,0.18,0.16,0.09,0.16,0.23,0.23
06/30,0.19,0.22,0.07,0.08,0.18,0.15,0.08,0.15,0.22,0.22
07/01,0.31,0.36,0.13,0.13,0.29,0.24,0.14,0.26,0.36,0.36
07/02,0.25,0.29,0.11,0.11,0.23,0.2,0.12,0.21,0.29,0.29
07/03,0.27,0.32,0.13,0.12,0.26,0.22,0.13,0.24,0.32,0.32
