# Station Code,odsw
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:36
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,BEAN,BLGR,FCRN,LAWN,PAST,PEAS,POTA,SGRN,WGRN
02/12,,,,,,,,,,,0.01
02/13,,,,,,,,,,,0.02
02/14,,,,,,,,,,,0.02
02/15,,,,,,,,,,,0.02
02/16,,,,,,,,,,,0.02
02/17,,,,,,,,,,,0.02
02/18,,,,,,,,,,,0.02
02/19,,,,,,,,,,,0.01
02/20,,,,,,,,,,,0.02
02/21,,,,,,,,,,,0.04
02/22,,,,,,,,,,,0.03
02/23,,,,,,,,,,,0.03
02/24,,,,,,,,,,,0.03
02/25,,,,,,,,,,,0.04
02/26,,,,,,,,,,,0.025
02/27,,,,,,,,,,,0.045
02/28,,,,,,,,,,,0.055
02/29,,,,,,,,,,,0.04
03/01,,,,,,,,,,,0.04
03/02,,,,,,,,,,,0.055
03/03,,,,,,,,,,,0.055
03/04,,,,,,,,,,,0.055
03/05,,,,,,0.02,0.03,,,,0.06
03/06,,,,,,0.01,0.02,,,,0.05
03/07,,,,,,0.02,0.03,,,,0.06
03/08,,,,,,0.02,0.02,,,,0.065
03/09,,,,,,0.01,0.02,,,,0.07
03/10,0.02,0.02,,,,0.025,0.04,,,,0.06
03/11,0.01,0.01,,,,0.02,0.03,,,,0.046
03/12,0.01,0.01,,,,0.02,0.03,,,,0.048
03/13,0.02,0.02,,,,0.03,0.033,,,,0.05
03/14,0.02,0.02,,,,0.04,0.043,,,,0.054
03/15,0.013,0.013,,0.034,,0.026,0.03,,,,0.046
03/16,0.02,0.02,,0.04,,0.034,0.038,,,,0.058
03/17,0.023,0.023,,0.036,,0.038,0.036,,,,0.054
03/18,0.03,0.03,,0.042,,0.046,0.04,,,,0.07
03/19,0.037,0.037,,0.048,,0.056,0.046,,,,0.076
03/20,0.028,0.028,,0.054,,0.056,0.052,,,,0.072
03/21,0.026,0.026,,0.042,,0.052,0.04,,,,0.046
03/22,0.03,0.03,,0.05,,0.062,0.044,,,,0.053
03/23,0.038,0.038,,0.058,,0.072,0.05,,,,0.057
03/24,0.042,0.042,,0.06,,0.076,0.056,,,,0.055
03/25,0.032,0.032,,0.04,,0.039,0.036,,,,0.05
03/26,0.046,0.046,,0.047,,0.045,0.039,,,,0.06
03/27,0.054,0.054,,0.052,,0.05,0.044,,,,0.069
03/28,0.05,0.05,,0.057,,0.05,0.046,,,,0.072
03/29,0.072,0.072,,0.06,,0.059,0.049,,,,0.08
03/30,0.08,0.08,,0.074,,0.069,0.06,,,,0.092
03/31,0.082,0.082,,0.074,,0.071,0.058,,,,0.093
04/01,0.054,0.051,,0.082,,0.083,0.065,,,0.04,0.095
04/02,0.054,0.054,,0.087,,0.093,0.068,,,0.035,0.099
04/03,0.056,0.056,,0.089,,0.096,0.069,,,0.035,0.098
04/04,0.056,0.056,,0.083,,0.086,0.061,,,0.035,0.089
04/05,0.054,0.054,,0.084,,0.087,0.062,0.035,,0.033,0.094
04/06,0.055,0.055,,0.087,,0.088,0.063,0.03,,0.033,0.095
04/07,0.069,0.069,,0.1,,0.102,0.074,0.04,,0.033,0.108
04/08,0.08,0.08,,0.116,,0.115,0.082,0.045,,0.037,0.122
04/09,0.084,0.085,,0.123,,0.12,0.088,0.045,,0.04,0.128
04/10,0.077,0.078,,0.118,,0.116,0.083,0.037,,0.038,0.125
04/11,0.091,0.092,,0.132,,0.128,0.092,0.043,,0.047,0.136
04/12,0.083,0.083,,0.121,,0.116,0.084,0.045,,0.04,0.122
04/13,0.09,0.091,,0.127,,0.122,0.088,0.04,,0.043,0.128
04/14,0.095,0.095,,0.136,,0.128,0.091,0.04,,0.037,0.137
04/15,0.098,0.099,,0.139,,0.13,0.095,0.037,,0.039,0.138
04/16,0.095,0.096,,0.132,,0.124,0.088,0.036,,0.037,0.132
04/17,0.116,0.118,,0.158,,0.146,0.107,0.04,,0.042,0.159
04/18,0.133,0.136,,0.175,,0.159,0.119,0.048,,0.048,0.177
04/19,0.124,0.128,,0.165,,0.148,0.111,0.045,,0.046,0.162
04/20,0.135,0.138,,0.174,,0.155,0.118,0.046,,0.051,0.172
04/21,0.138,0.145,,0.181,,0.16,0.123,0.047,,0.055,0.178
04/22,0.135,0.142,,0.176,,0.157,0.121,0.049,,0.053,0.173
04/23,0.142,0.15,,0.185,,0.162,0.128,0.049,,0.058,0.182
04/24,0.144,0.151,,0.182,,0.156,0.125,0.048,,0.061,0.178
04/25,0.138,0.145,,0.174,,0.152,0.12,0.047,,0.056,0.173
04/26,0.155,0.164,,0.192,,0.165,0.132,0.051,,0.07,0.192
04/27,0.188,0.199,,0.232,,0.2,0.162,0.062,,0.088,0.232
04/28,0.165,0.176,,0.204,,0.174,0.139,0.058,,0.083,0.203
04/29,0.172,0.184,,0.211,,0.179,0.145,0.06,,0.093,0.213
