# Station Code,omaw
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:36
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,LAWN,PAST,PEAR
02/16,0.02,0.02,,0.02,0.03,
02/17,0.01,0.01,,0.01,0.02,
02/18,0.01,0.01,,0.01,0.01,
02/19,0.01,0.01,,0.01,0.01,
02/20,0.01,0.01,,0.01,0.01,
02/21,0.03,0.03,,0.04,0.04,
02/22,0.01,0.01,,0.02,0.02,
02/23,0.01,0.01,,0.02,0.02,
02/24,0.02,0.02,,0.03,0.02,
02/25,0.02,0.02,0.01,0.02,0.02,
02/26,0.02,0.02,0.01,0.015,0.02,
02/27,0.03,0.03,0.015,0.03,0.03,
02/28,0.06,0.06,0.025,0.05,0.06,
03/01,0.02,0.02,0.015,0.023,0.02,
03/02,0.035,0.035,0.02,0.024,0.022,
03/03,0.025,0.025,0.015,0.024,0.022,
03/04,0.025,0.025,0.015,0.02,0.023,
03/05,0.02,0.02,0.015,0.024,0.023,
03/06,0.015,0.015,0.01,0.024,0.025,
03/07,0.02,0.02,0.025,0.032,0.023,
03/08,0.022,0.022,0.02,0.038,0.03,
03/09,0.025,0.025,0.035,0.05,0.03,
03/10,0.028,0.028,0.03,0.035,0.03,0.02
03/11,0.027,0.027,0.035,0.027,0.025,0.02
03/12,0.027,0.027,0.04,0.027,0.023,0.02
03/13,0.027,0.027,0.03,0.025,0.024,0.02
03/14,0.037,0.037,0.055,0.032,0.027,0.025
03/15,0.022,0.022,0.04,0.033,0.026,0.015
03/16,0.032,0.032,0.05,0.048,0.039,0.02
03/17,0.03,0.03,0.045,0.046,0.036,0.02
03/18,0.035,0.035,0.045,0.051,0.039,0.02
03/19,0.034,0.034,0.05,0.052,0.037,0.02
03/20,0.032,0.032,0.03,0.047,0.036,0.015
03/21,0.036,0.037,0.053,0.047,0.035,0.022
03/22,0.03,0.03,0.033,0.042,0.029,0.015
03/23,0.045,0.045,0.06,0.054,0.041,0.022
03/24,0.045,0.045,0.05,0.054,0.04,0.022
03/25,0.041,0.042,0.032,0.057,0.042,0.018
03/26,0.042,0.042,0.034,0.058,0.041,0.015
03/27,0.05,0.05,0.04,0.064,0.047,0.018
03/28,0.064,0.065,0.054,0.085,0.062,0.025
03/29,0.063,0.064,0.054,0.085,0.062,0.025
03/30,0.077,0.078,0.06,0.098,0.072,0.03
03/31,0.072,0.073,0.058,0.088,0.064,0.023
04/01,0.084,0.085,0.072,0.101,0.074,0.028
04/02,0.082,0.084,0.058,0.098,0.073,0.028
04/03,0.078,0.08,0.058,0.092,0.068,0.028
04/04,0.078,0.08,0.068,0.09,0.066,0.028
04/05,0.081,0.082,0.048,0.088,0.068,0.026
04/06,0.08,0.083,0.052,0.088,0.068,0.026
04/07,0.075,0.078,0.046,0.08,0.062,0.025
04/08,0.104,0.109,0.067,0.108,0.085,0.035
04/09,0.112,0.118,0.068,0.117,0.092,0.034
04/10,0.097,0.102,0.059,0.1,0.08,0.03
04/11,0.123,0.131,0.074,0.127,0.101,0.039
04/12,0.11,0.118,0.07,0.112,0.089,0.036
04/13,0.109,0.115,0.063,0.11,0.089,0.034
04/14,0.112,0.118,0.06,0.115,0.092,0.032
04/15,0.117,0.128,0.066,0.115,0.094,0.036
04/16,0.098,0.109,0.055,0.098,0.082,0.029
04/17,0.125,0.138,0.065,0.124,0.102,0.04
04/18,0.134,0.15,0.085,0.13,0.109,0.043
04/19,0.122,0.132,0.071,0.116,0.097,0.04
04/20,0.138,0.153,0.075,0.134,0.112,0.044
04/21,0.132,0.146,0.071,0.126,0.105,0.042
04/22,0.131,0.145,0.073,0.124,0.103,0.042
04/23,0.139,0.155,0.078,0.13,0.111,0.046
04/24,0.135,0.151,0.08,0.128,0.108,0.044
04/25,0.132,0.15,0.073,0.126,0.107,0.044
04/26,0.136,0.158,0.083,0.128,0.11,0.047
04/27,0.152,0.174,0.089,0.142,0.122,0.052
04/28,0.134,0.155,0.092,0.128,0.108,0.05
04/29,0.142,0.165,0.096,0.135,0.115,0.055
04/30,0.151,0.176,0.107,0.142,0.123,0.058
05/01,0.167,0.195,0.12,0.158,0.134,0.067
05/02,0.168,0.197,0.123,0.157,0.135,0.068
05/03,0.163,0.19,0.128,0.153,0.13,0.068
05/04,0.164,0.194,0.125,0.154,0.132,0.068
05/05,0.148,0.173,0.105,0.139,0.118,0.062
05/06,0.159,0.187,0.125,0.148,0.127,0.072
05/07,0.177,0.208,0.138,0.165,0.142,0.083
05/08,0.177,0.208,0.14,0.167,0.142,0.085
05/09,0.176,0.207,0.142,0.165,0.141,0.085
05/10,0.173,0.203,0.142,0.162,0.139,0.086
05/11,0.185,0.215,0.151,0.172,0.148,0.094
05/12,0.168,0.196,0.135,0.157,0.135,0.087
05/13,0.17,0.202,0.142,0.161,0.137,0.09
05/14,0.15,0.176,0.131,0.14,0.119,0.082
05/15,0.155,0.182,0.138,0.145,0.124,0.089
05/16,0.142,0.167,0.131,0.135,0.115,0.085
05/17,0.151,0.178,0.139,0.141,0.121,0.092
05/18,0.165,0.195,0.162,0.156,0.133,0.102
05/19,0.171,0.201,0.163,0.159,0.138,0.106
05/20,0.173,0.203,0.168,0.162,0.139,0.109
05/21,0.164,0.192,0.155,0.152,0.131,0.106
05/22,0.154,0.182,0.148,0.145,0.123,0.104
05/23,0.167,0.197,0.165,0.156,0.135,0.114
05/24,0.168,0.198,0.169,0.16,0.134,0.118
05/25,0.152,0.178,0.153,0.143,0.121,0.109
05/26,0.187,0.22,0.186,0.175,0.15,0.134
05/27,0.186,0.219,0.186,0.175,0.151,0.138
05/28,0.181,0.213,0.182,0.171,0.145,0.135
05/29,0.179,0.211,0.185,0.168,0.143,0.135
05/30,0.174,0.205,0.179,0.164,0.139,0.134
05/31,0.175,0.205,0.182,0.162,0.14,0.138
06/01,0.188,0.222,0.201,0.177,0.151,0.153
06/02,0.203,0.237,0.215,0.189,0.162,0.163
06/03,0.186,0.22,0.2,0.175,0.15,0.153
06/04,0.199,0.233,0.212,0.187,0.158,0.165
06/05,0.208,0.243,0.222,0.195,0.165,0.177
06/06,0.209,0.247,0.227,0.198,0.167,0.181
06/07,0.196,0.232,0.213,0.185,0.157,0.172
06/08,0.186,0.218,0.2,0.175,0.148,0.164
06/09,0.164,0.192,0.179,0.155,0.13,0.147
06/10,0.182,0.215,0.199,0.17,0.145,0.168
06/11,0.204,0.242,0.224,0.195,0.165,0.188
06/12,0.2,0.235,0.221,0.188,0.162,0.183
06/13,0.193,0.227,0.209,0.182,0.155,0.179
06/14,0.189,0.223,0.207,0.179,0.152,0.18
06/15,0.179,0.208,0.192,0.167,0.142,0.169
06/16,0.179,0.21,0.192,0.168,0.142,0.171
06/17,0.211,0.248,0.228,0.198,0.17,0.202
06/18,0.175,0.206,0.188,0.166,0.14,0.169
06/19,0.196,0.231,0.215,0.185,0.158,0.191
06/20,0.215,0.251,0.234,0.201,0.168,0.212
06/21,0.218,0.255,0.241,0.205,0.175,0.218
06/22,0.216,0.252,0.236,0.202,0.171,0.215
06/23,0.229,0.269,0.254,0.216,0.182,0.232
06/24,0.211,0.246,0.232,0.198,0.167,0.212
06/25,0.229,0.269,0.254,0.215,0.182,0.234
06/26,0.216,0.255,0.242,0.204,0.172,0.222
06/27,0.206,0.241,0.229,0.192,0.165,0.214
06/28,0.245,0.288,0.275,0.23,0.196,0.257
