# Station Code,onto
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:37
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,BEAN,BEET,FCRN,LAWN,ONYN,PAST,POP1,POP2,POP3,POTA,POTS,PPMT,SGRN,WGRN,WGRP
02/02,,,,,,,,,,,,,,,,,0.0,
02/03,,,,,,,,,,,,,,,,,0.0,
02/04,,,,,,,,,,,,,,,,,0.0,
02/05,,,,,,,,,,,,,,,,,0.0,
02/06,,,,,,,,,,,,,,,,,0.04,
02/07,,,,,,,,,,,,,,,,,0.05,
02/08,,,,,,,,,,,,,,,,,0.03,
02/09,,,,,,,,,,,,,,,,,0.05,
02/10,,,,,,,,,,,,,,,,,0.03,
02/11,,,,,,,0.01,,0.01,,,,,,,,0.015,
02/12,,,,,,,0.03,,0.04,,,,,,,,0.015,
02/13,,,,,,,0.01,,0.02,,,,,,,,0.02,
02/14,,,,,,,0.01,,0.01,,,,,,,,0.03,
02/15,0.015,0.015,,,,,0.017,,0.03,,,,,,,,0.045,
02/16,0.015,0.015,,,,,0.013,,0.02,,,,,,,,0.027,
02/17,0.01,0.01,,,,,0.02,,0.027,,,,,,,,0.027,
02/18,0.02,0.02,,,,,0.023,,0.03,,,,,,,,0.043,
02/19,0.025,0.025,,,,,0.03,,0.033,,,,,,,,0.043,
02/20,0.017,0.017,,,,,0.027,,0.03,,,,,,,,0.043,
02/21,0.013,0.013,,,,,0.023,,0.027,,,,,,,,0.033,
02/22,0.02,0.02,,,,,0.04,,0.033,,,,,,,,0.05,
02/23,0.02,0.02,,,,,0.043,,0.033,,,,,,,,0.05,
02/24,0.017,0.017,,,,,0.03,,0.027,,,,,,,,0.047,
02/25,0.027,0.027,,,,,0.05,,0.033,,,,,,,,0.067,
02/26,0.027,0.027,,,,,0.05,,0.037,,,,,,,,0.048,
02/27,0.03,0.03,,,,,0.047,,0.033,,,,,,,,0.048,
02/28,0.033,0.033,,,,,0.057,,0.037,,,,,,,,0.055,
02/29,0.05,0.05,,,,,0.07,,0.05,,,,,,,,0.053,
03/01,0.04,0.04,,,,,0.046,,0.04,,,,,,,,0.068,
03/02,0.047,0.047,,,,,0.039,,0.03,,,,,,,,0.05,
03/03,0.053,0.053,,,,,0.039,,0.031,,,,,,,,0.056,
03/04,0.047,0.047,,,,,0.037,,0.034,,,,,,,,0.056,
03/05,0.03,0.03,,,,,0.041,,0.039,,,,,,0.01,,0.048,
03/06,0.039,0.039,,,,,0.053,,0.046,,,,,,0.01,,0.052,
03/07,0.031,0.031,,,,,0.043,,0.036,,,,,,0.01,,0.041,
03/08,0.044,0.044,,,,,0.066,,0.047,,,,,,0.02,,0.05,
03/09,0.043,0.043,,,,,0.063,,0.046,,,,,,0.01,,0.05,
03/10,0.046,0.046,,,,,0.049,,0.038,,,,,,0.02,,0.055,
03/11,0.03,0.03,,,,,0.044,,0.036,,,,,,0.01,,0.049,
03/12,0.056,0.056,,,,,0.064,,0.05,,,,,,0.02,,0.064,
03/13,0.064,0.064,,,,,0.068,,0.055,,,,,,0.02,,0.071,
03/14,0.049,0.049,,,,,0.052,,0.04,,,,,,0.02,,0.057,
03/15,0.034,0.034,,,,,0.05,,0.039,,,,,,0.013,0.03,0.052,
03/16,0.042,0.042,,,,,0.062,,0.048,,,,,,0.018,0.03,0.063,
03/17,0.055,0.055,,,,,0.08,,0.061,,,,,,0.03,0.04,0.08,
03/18,0.058,0.058,,,,,0.079,,0.059,,,,,,0.025,0.03,0.08,
03/19,0.056,0.056,,,,,0.08,,0.059,,,,,,0.02,0.02,0.082,
03/20,0.065,0.065,0.03,,0.05,,0.083,,0.063,,,,,,0.028,0.04,0.092,
03/21,0.067,0.067,0.03,,0.02,,0.081,,0.062,,,,,,0.02,0.03,0.088,
03/22,0.075,0.075,0.04,,0.03,,0.093,,0.069,,,,,,0.028,0.03,0.107,
03/23,0.075,0.076,0.03,,0.04,,0.093,,0.068,,,,,,0.028,0.02,0.102,
03/24,0.076,0.077,0.03,,0.05,,0.087,,0.065,,,,,,0.028,0.02,0.096,
03/25,0.062,0.062,0.026,,0.04,,0.078,,0.058,,,,,,0.026,0.027,0.088,
03/26,0.072,0.073,0.024,,0.04,,0.088,,0.066,,,,,,0.026,0.027,0.098,
03/27,0.072,0.074,0.024,,0.03,,0.088,,0.065,,,,,,0.026,0.027,0.097,
03/28,0.102,0.106,0.036,,0.04,,0.121,,0.089,,,,,,0.036,0.033,0.132,
03/29,0.111,0.116,0.038,,0.08,,0.131,,0.098,,,,,,0.04,0.043,0.145,
