# Station Code,osgi
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:37
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,HAYM,HAYP,LAWN,PAST,POTA,POTS,SGRN,WGRN
03/05,,,,,,0.02,,,,
03/06,,,,,,0.03,,,,
03/07,,,,,,0.03,,,,
03/08,,,,,,0.03,,,,
03/09,,,,,,0.04,,,,
03/10,0.02,0.02,,,,0.04,,,,
03/11,0.03,0.03,,,,0.06,,,,
03/12,0.02,0.02,,,,0.04,,,,
03/13,0.02,0.02,,,,0.03,,,,
03/14,0.04,0.04,,,,0.06,,,,
03/15,0.035,0.035,,,,0.065,,,,0.045
03/16,0.04,0.04,,,0.01,0.057,,,,0.043
03/17,0.035,0.035,,,0.01,0.05,,,,0.043
03/18,0.03,0.03,,,0.02,0.043,,,,0.033
03/19,0.03,0.03,,,0.03,0.05,,,,0.04
03/20,0.043,0.043,,,0.028,0.058,,,,0.044
03/21,0.037,0.037,,,0.02,0.037,,,,0.035
03/22,0.03,0.03,,,0.02,0.04,,,,0.032
03/23,0.043,0.043,,,0.035,0.055,,,,0.045
03/24,0.037,0.037,,,0.037,0.048,,,,0.042
03/25,0.043,0.043,,,0.035,0.052,,,,0.06
03/26,0.043,0.043,,,0.04,0.05,,,,0.06
03/27,0.045,0.045,,,0.042,0.05,,,,0.058
03/28,0.062,0.062,,,0.06,0.062,,,,0.075
03/29,0.055,0.055,,,0.057,0.052,,,,0.063
03/30,0.058,0.058,,,0.063,0.057,,,,0.072
03/31,0.077,0.077,,,0.08,0.067,,,,0.085
04/01,0.047,0.047,0.1,0.1,0.063,0.05,,,,0.061
04/02,0.05,0.05,0.125,0.125,0.075,0.058,,,,0.061
04/03,0.048,0.048,0.11,0.11,0.072,0.053,,,,0.061
04/04,0.058,0.058,0.13,0.13,0.083,0.062,,,,0.078
04/05,0.065,0.065,0.093,0.093,0.071,0.059,,0.06,0.02,0.077
04/06,0.067,0.067,0.091,0.091,0.073,0.059,,0.08,0.01,0.078
04/07,0.07,0.07,0.096,0.096,0.076,0.062,,0.06,0.03,0.082
04/08,0.098,0.098,0.129,0.129,0.106,0.083,,0.09,0.03,0.112
04/09,0.113,0.113,0.13,0.13,0.11,0.088,,0.1,0.04,0.119
04/10,0.076,0.076,0.129,0.129,0.103,0.082,,0.05,0.05,0.107
04/11,0.082,0.082,0.127,0.127,0.108,0.084,,0.06,0.04,0.106
04/12,0.088,0.088,0.131,0.131,0.113,0.089,,0.09,0.03,0.11
04/13,0.091,0.091,0.146,0.146,0.122,0.094,,0.08,0.02,0.116
04/14,0.077,0.077,0.113,0.113,0.103,0.076,,0.04,0.03,0.097
04/15,0.084,0.084,0.122,0.122,0.106,0.079,,0.07,0.035,0.109
04/16,0.103,0.104,0.153,0.153,0.13,0.097,,0.1,0.035,0.137
04/17,0.12,0.12,0.169,0.169,0.147,0.109,,0.13,0.045,0.154
04/18,0.129,0.129,0.169,0.169,0.149,0.111,,0.1,0.053,0.158
04/19,0.13,0.131,0.174,0.174,0.149,0.113,,0.1,0.05,0.16
04/20,0.129,0.13,0.179,0.179,0.159,0.121,,0.1,0.058,0.169
04/21,0.118,0.12,0.159,0.159,0.143,0.107,,0.15,0.044,0.152
04/22,0.154,0.156,0.203,0.203,0.181,0.137,,0.2,0.056,0.195
04/23,0.119,0.122,0.155,0.155,0.139,0.105,,0.13,0.05,0.151
04/24,0.109,0.112,0.141,0.141,0.127,0.096,,0.06,0.05,0.139
04/25,0.103,0.106,0.138,0.138,0.12,0.092,,0.08,0.042,0.134
04/26,0.125,0.127,0.164,0.164,0.144,0.111,,0.13,0.052,0.161
04/27,0.132,0.137,0.175,0.175,0.153,0.115,,0.12,0.051,0.169
04/28,0.141,0.147,0.181,0.181,0.159,0.123,,0.16,0.053,0.176
04/29,0.155,0.163,0.195,0.195,0.174,0.134,,0.08,0.06,0.196
04/30,0.146,0.155,0.183,0.183,0.164,0.127,,0.1,0.059,0.184
05/01,0.169,0.179,0.21,0.21,0.185,0.143,,0.14,0.069,0.208
05/02,0.202,0.216,0.243,0.243,0.218,0.169,,0.15,0.086,0.246
05/03,0.189,0.203,0.228,0.228,0.202,0.158,,0.16,0.087,0.23
