# Station Code,owei
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:37
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,HAYM,HAYP,LAWN,PAST,POTA,POTS,SGRN,WGRN
03/16,,,,,,,,,,0.03
03/17,,,,,,,,,,0.03
03/18,,,,,,,,,,0.03
03/19,,,,,,,,,,0.05
03/20,,,,,0.02,0.03,,,,0.035
03/21,,,,,0.01,0.02,,,,0.037
03/22,,,,,0.02,0.03,,,,0.033
03/23,,,,,0.03,0.04,,,,0.04
03/24,,,,,0.03,0.05,,,,0.047
03/25,0.02,0.02,,,0.027,0.04,,,,0.053
03/26,0.02,0.02,,,0.033,0.043,,,,0.063
03/27,0.02,0.02,,,0.033,0.04,,,,0.06
03/28,0.02,0.02,,,0.043,0.05,,,,0.07
03/29,0.02,0.02,,,0.04,0.043,,,,0.07
03/30,0.03,0.03,,,0.047,0.05,,,,0.07
03/31,0.04,0.04,,,0.067,0.057,,,,0.08
04/01,0.023,0.023,0.13,0.13,0.057,0.053,,,,0.068
04/02,0.023,0.023,0.15,0.15,0.053,0.043,,,,0.058
04/03,0.027,0.027,0.13,0.13,0.07,0.05,,,,0.068
04/04,0.037,0.037,0.13,0.13,0.083,0.057,,,,0.077
04/05,0.04,0.04,0.1,0.1,0.058,0.053,,,0.03,0.075
04/06,0.037,0.037,0.112,0.112,0.06,0.055,,,0.02,0.08
04/07,0.057,0.057,0.122,0.122,0.08,0.067,,,0.04,0.097
04/08,0.073,0.073,0.138,0.138,0.093,0.077,,,0.05,0.112
04/09,0.083,0.083,0.155,0.155,0.1,0.083,,,0.05,0.123
04/10,0.053,0.053,0.14,0.14,0.095,0.078,,,0.05,0.115
04/11,0.057,0.057,0.132,0.132,0.097,0.075,,,0.06,0.113
04/12,0.04,0.04,0.108,0.108,0.075,0.055,,,0.03,0.085
04/13,0.052,0.052,0.14,0.14,0.098,0.073,,,0.03,0.108
04/14,0.055,0.055,0.12,0.12,0.097,0.067,,,0.03,0.102
04/15,0.06,0.06,0.135,0.135,0.107,0.073,,,0.037,0.113
04/16,0.067,0.067,0.142,0.142,0.115,0.078,,,0.037,0.12
04/17,0.083,0.083,0.163,0.163,0.138,0.095,,,0.043,0.143
04/18,0.093,0.093,0.165,0.165,0.143,0.1,,,0.057,0.15
04/19,0.117,0.117,0.202,0.202,0.175,0.123,,,0.063,0.182
04/20,0.12,0.12,0.198,0.198,0.173,0.122,,,0.06,0.18
04/21,0.113,0.113,0.182,0.182,0.158,0.113,,,0.053,0.167
04/22,0.135,0.135,0.212,0.212,0.185,0.132,,,0.067,0.193
04/23,0.125,0.125,0.182,0.182,0.163,0.117,,,0.07,0.173
04/24,0.133,0.133,0.188,0.188,0.167,0.122,,,0.073,0.18
04/25,0.152,0.152,0.212,0.212,0.187,0.137,,,0.062,0.2
04/26,0.15,0.152,0.197,0.197,0.175,0.132,,,0.063,0.193
04/27,0.165,0.167,0.222,0.222,0.198,0.145,,,0.068,0.213
04/28,0.168,0.168,0.22,0.22,0.197,0.142,,,0.072,0.213
04/29,0.173,0.175,0.228,0.228,0.202,0.152,,,0.077,0.223
04/30,0.142,0.143,0.178,0.178,0.16,0.118,,,0.065,0.177
05/01,0.171,0.173,0.229,0.229,0.204,0.149,,,0.078,0.221
05/02,0.18,0.183,0.233,0.233,0.206,0.154,,,0.087,0.229
05/03,0.176,0.18,0.226,0.226,0.2,0.154,,,0.087,0.221
05/04,0.173,0.179,0.211,0.211,0.187,0.146,,,0.1,0.213
05/05,0.197,0.203,0.24,0.24,0.21,0.164,,0.07,0.101,0.241
05/06,0.21,0.221,0.251,0.251,0.221,0.174,,0.08,0.12,0.256
05/07,0.187,0.194,0.226,0.226,0.197,0.154,,0.09,0.103,0.229
05/08,0.194,0.204,0.23,0.23,0.2,0.161,,0.06,0.113,0.237
05/09,0.176,0.186,0.207,0.207,0.18,0.144,,0.06,0.101,0.213
05/10,0.19,0.2,0.22,0.22,0.19,0.154,0.065,0.075,0.114,0.227
05/11,0.189,0.204,0.219,0.219,0.189,0.153,0.085,0.075,0.127,0.224
05/12,0.22,0.232,0.25,0.253,0.215,0.177,0.085,0.082,0.14,0.26
05/13,0.204,0.223,0.234,0.237,0.203,0.166,0.075,0.085,0.143,0.241
05/14,0.204,0.224,0.233,0.236,0.197,0.163,0.075,0.09,0.153,0.239
05/15,0.201,0.223,0.23,0.233,0.197,0.164,0.08,0.09,0.157,0.237
05/16,0.213,0.236,0.241,0.243,0.206,0.171,0.085,0.099,0.17,0.251
05/17,0.207,0.229,0.231,0.234,0.199,0.166,0.11,0.101,0.171,0.243
05/18,0.209,0.231,0.233,0.234,0.2,0.166,0.09,0.107,0.173,0.243
05/19,0.207,0.234,0.234,0.236,0.196,0.166,0.105,0.113,0.179,0.244
05/20,0.176,0.199,0.2,0.201,0.171,0.144,0.056,0.096,0.149,0.209
05/21,0.17,0.193,0.191,0.193,0.163,0.139,0.052,0.097,0.15,0.201
05/22,0.176,0.201,0.197,0.2,0.167,0.141,0.05,0.1,0.154,0.207
05/23,0.169,0.196,0.187,0.19,0.159,0.134,0.056,0.106,0.166,0.197
05/24,0.184,0.216,0.206,0.207,0.174,0.149,0.064,0.127,0.186,0.217
05/25,0.201,0.233,0.226,0.227,0.187,0.161,0.076,0.153,0.204,0.234
